Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"AA","07/01/2021","0941","N971NN","DFW","15:50"
"AA","07/01/2021","0942","N903NN","DFW","13:39"
"AA","07/01/2021","1229","N749US","PHX","19:24"
"AA","07/01/2021","1378","N850NN","ORD","15:16"
"AA","07/01/2021","2564","N949AN","DFW","23:28"
"AA","07/01/2021","2698","N903NN","DFW","19:54"
"AA","07/02/2021","0928","N669AW","DFW","09:59"
"AA","07/02/2021","0941","N892NN","DFW","15:50"
"AA","07/02/2021","0942","N977NN","DFW","13:39"
"AA","07/02/2021","1378","N991NN","ORD","15:16"
"AA","07/02/2021","2564","N983NN","DFW","23:28"
"AA","07/02/2021","2698","N998NN","DFW","19:54"
"AA","07/03/2021","0928","N653AW","DFW","09:54"
"AA","07/03/2021","0941","N301NW","DFW","15:50"
"AA","07/03/2021","1229","N742PS","PHX","19:24"
"AA","07/03/2021","2564","N816NN","DFW","23:28"
"AA","07/03/2021","2698","N870NN","DFW","19:54"
"AA","07/04/2021","0928","N928AM","DFW","09:54"
"AA","07/04/2021","0941","N825NN","DFW","15:50"
"AA","07/04/2021","0942","N951NN","DFW","13:39"
"AA","07/04/2021","2060","N981NN","DFW","17:46"
"AA","07/04/2021","2698","N840NN","DFW","19:54"
"AA","07/05/2021","0928","N653AW","DFW","09:59"
"AA","07/05/2021","0941","N916NN","DFW","15:50"
"AA","07/05/2021","0942","N853NN","DFW","13:39"
"AA","07/05/2021","1229","N833AW","PHX","19:24"
"AA","07/05/2021","1378","N909NN","ORD","15:16"
"AA","07/05/2021","2564","N809NN","DFW","23:28"
"AA","07/05/2021","2698","N899NN","DFW","19:54"
"AA","07/06/2021","0928","N111US","DFW","09:54"
"AA","07/06/2021","0941","N964AN","DFW","15:50"
"AA","07/06/2021","0942","N875NN","DFW","13:39"
"AA","07/06/2021","1229","N810AW","PHX","19:24"
"AA","07/06/2021","1378","N922NN","ORD","15:16"
"AA","07/06/2021","2564","N893NN","DFW","23:28"
"AA","07/06/2021","2698","N852NN","DFW","19:54"
"AA","07/07/2021","0928","N127UW","DFW","09:54"
"AA","07/07/2021","0941","N839NN","DFW","15:50"
"AA","07/07/2021","0942","N944AN","DFW","13:39"
"AA","07/07/2021","1229","N834AW","PHX","19:24"
"AA","07/07/2021","1378","N981AN","ORD","15:16"
"AA","07/07/2021","2564","N895NN","DFW","23:28"
"AA","07/07/2021","2698","N924NN","DFW","19:54"
"AA","07/08/2021","0928","N659AW","DFW","09:54"
"AA","07/08/2021","0941","N940AN","DFW","15:50"
