Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"DL","07/01/2021","0955","N356NW","ATL","12:18"
"DL","07/01/2021","2811","N117DX","ATL","21:25"
"DL","07/01/2021","2838","N352NB","SLC","22:46"
"DL","07/02/2021","0955","N344NW","ATL","12:18"
"DL","07/02/2021","2811","N324DX","ATL","21:25"
"DL","07/02/2021","2814","N358NW","MSP","13:27"
"DL","07/02/2021","2838","N352NB","SLC","22:46"
"DL","07/03/2021","0955","N356NW","ATL","12:18"
"DL","07/03/2021","2811","N309DN","ATL","21:25"
"DL","07/03/2021","2814","N122DN","MSP","13:20"
"DL","07/03/2021","2838","N357NB","SLC","22:46"
"DL","07/04/2021","2811","N372DN","ATL","15:08"
"DL","07/04/2021","2838","N344NB","SLC","22:46"
"DL","07/05/2021","0955","N372NW","ATL","12:18"
"DL","07/05/2021","2046","N374NW","MSP","13:27"
"DL","07/05/2021","2811","N341DN","ATL","21:25"
"DL","07/05/2021","2838","N325NB","SLC","22:46"
"DL","07/06/2021","0955","N363NW","ATL","12:18"
"DL","07/06/2021","2811","N308DN","ATL","21:25"
"DL","07/06/2021","2838","N370NB","SLC","22:46"
"DL","07/07/2021","0955","N103DY","ATL","12:25"
"DL","07/07/2021","2811","N103DY","ATL","21:05"
"DL","07/07/2021","2838","N370NB","SLC","22:45"
"DL","07/08/2021","0955","N354DN","ATL","12:25"
"DL","07/08/2021","2811","N354DN","ATL","21:05"
"DL","07/08/2021","2838","N343NB","SLC","22:45"
"DL","07/09/2021","0955","N353DN","ATL","12:25"
"DL","07/09/2021","2811","N353DN","ATL","21:05"
"DL","07/09/2021","2814","N362NW","MSP","12:57"
"DL","07/09/2021","2838","N348NB","SLC","22:45"
"DL","07/10/2021","0955","N112DN","ATL","12:25"
"DL","07/10/2021","2811","N325DN","ATL","21:05"
"DL","07/10/2021","2814","N390DN","MSP","12:57"
"DL","07/10/2021","2838","N349NB","SLC","22:45"
"DL","07/11/2021","0955","N396DN","ATL","12:25"
"DL","07/11/2021","2811","N317DN","ATL","21:05"
"DL","07/11/2021","2814","N360NW","MSP","12:57"
"DL","07/11/2021","2838","N323NB","SLC","22:45"
"DL","07/12/2021","0955","N112DN","ATL","12:25"
"DL","07/12/2021","2811","N112DN","ATL","21:05"
"DL","07/12/2021","2838","N340NB","SLC","22:45"
"DL","07/13/2021","0955","N354DN","ATL","12:25"
"DL","07/13/2021","2811","N337DN","ATL","21:05"
"DL","07/13/2021","2838","N325NB","SLC","22:45"
"DL","07/14/2021","0955","N313DN","ATL","12:25"
"DL","07/14/2021","2811","N313DN","ATL","21:05"
"DL","07/14/2021","2838","N322NB","SLC","22:45"
"DL","07/15/2021","0955","N121DZ","ATL","12:25"
"DL","07/15/2021","2811","N322DN","ATL","21:05"
"DL","07/15/2021","2838","N368NB","SLC","22:45"
"DL","07/16/2021","0955","N337DN","ATL","12:25"
"DL","07/16/2021","2811","N337DN","ATL","21:05"
"DL","07/16/2021","2814","N352NW","MSP","12:57"
"DL","07/16/2021","2838","N354NB","SLC","22:45"
"DL","07/17/2021","0955","N341DN","ATL","12:25"
"DL","07/17/2021","2811","N314DN","ATL","21:05"
"DL","07/17/2021","2814","N336DX","MSP","12:57"
"DL","07/17/2021","2838","N354NB","SLC","22:45"
"DL","07/18/2021","0955","N348DN","ATL","12:25"
"DL","07/18/2021","2811","N348DN","ATL","21:05"
"DL","07/18/2021","2814","N362NW","MSP","12:57"
"DL","07/18/2021","2838","N322NB","SLC","22:45"
"DL","07/19/2021","0955","N354DN","ATL","12:25"
"DL","07/19/2021","2811","N354DN","ATL","21:05"
"DL","07/19/2021","2838","N333NB","SLC","22:45"
"DL","07/20/2021","0955","N104DN","ATL","12:25"
"DL","07/20/2021","2811","N319DN","ATL","21:05"
"DL","07/20/2021","2838","N348NB","SLC","22:45"
"DL","07/21/2021","0955","N354DN","ATL","12:25"
"DL","07/21/2021","2811","N354DN","ATL","21:05"
"DL","07/21/2021","2838","N370NB","SLC","22:45"
"DL","07/22/2021","0955","N315DN","ATL","12:25"
"DL","07/22/2021","2811","N389DN","ATL","21:05"
"DL","07/22/2021","2838","N359NB","SLC","22:45"
"DL","07/23/2021","0955","N102DN","ATL","12:25"
"DL","07/23/2021","2811","N353DN","ATL","21:05"
"DL","07/23/2021","2814","N356NW","MSP","12:57"
"DL","07/23/2021","2838","N339NB","SLC","22:45"
"DL","07/24/2021","0955","N371DN","ATL","12:25"
"DL","07/24/2021","2811","N371DN","ATL","21:05"
"DL","07/24/2021","2814","N356DN","MSP","12:57"
"DL","07/24/2021","2838","N339NB","SLC","22:45"
"DL","07/25/2021","0955","N349DX","ATL","12:25"
"DL","07/25/2021","2811","N349DX","ATL","21:05"
"DL","07/25/2021","2814","N335NW","MSP","12:57"
"DL","07/25/2021","2838","N348NB","SLC","22:45"
"DL","07/26/2021","0955","N353DN","ATL","12:25"
"DL","07/26/2021","2811","N353DN","ATL","21:05"
"DL","07/26/2021","2838","N363NB","SLC","22:45"
