Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"UA","07/01/2021","0321","N826UA","DEN","20:43"
"UA","07/01/2021","1775","N835UA","SFO","14:32"
"UA","07/02/2021","0321","N825UA","DEN","20:43"
"UA","07/03/2021","0321","N820UA","DEN","20:43"
"UA","07/04/2021","0321","N810UA","DEN","20:43"
"UA","07/05/2021","0321","N878UA","DEN","20:43"
"UA","07/06/2021","0321","N405UA","DEN","20:43"
"UA","07/07/2021","0321","N895UA","DEN","20:43"
"UA","07/08/2021","0321","N878UA","DEN","20:43"
"UA","07/09/2021","0321","N848UA","DEN","20:43"
"UA","07/10/2021","0321","N820UA","DEN","20:43"
"UA","07/11/2021","0321","N896UA","DEN","20:43"
"UA","07/12/2021","0321","N824UA","DEN","20:43"
"UA","07/13/2021","0321","N402UA","DEN","20:43"
"UA","07/14/2021","0321","N844UA","DEN","20:43"
"UA","07/15/2021","0321","N4888U","DEN","20:43"
"UA","07/16/2021","0321","N824UA","DEN","20:43"
"UA","07/17/2021","0321","N897UA","DEN","20:43"
"UA","07/18/2021","0321","N891UA","DEN","20:43"
"UA","07/19/2021","0321","N881UA","DEN","20:43"
"UA","07/20/2021","0321","N443UA","DEN","20:43"
"UA","07/21/2021","0321","N827UA","DEN","20:43"
"UA","07/22/2021","0321","N880UA","DEN","20:43"
"UA","07/23/2021","0321","N816UA","DEN","20:43"
"UA","07/24/2021","0321","N817UA","DEN","20:43"
"UA","07/25/2021","0321","N882UA","DEN","20:43"
"UA","07/26/2021","0321","N834UA","DEN","20:43"
"UA","07/27/2021","0321","N811UA","DEN","20:43"
"UA","07/28/2021","0321","N846UA","DEN","20:43"
"UA","07/29/2021","0321","N420UA","DEN","20:43"
"UA","07/30/2021","0321","N831UA","DEN","20:43"
"UA","07/31/2021","0321","N17245","DEN","20:46"

