Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"UA","07/01/2021","0210","N415UA","IAH","17:45"
"UA","07/01/2021","0213","N12238","IAD","08:00"
"UA","07/01/2021","0225","N14250","DEN","17:15"
"UA","07/01/2021","0250","N11206","IAH","07:30"
"UA","07/01/2021","0254","N447UA","ORD","17:40"
"UA","07/01/2021","0287","N24702","EWR","07:30"
"UA","07/01/2021","0295","N61886","ORD","10:45"
"UA","07/01/2021","0335","N447UA","EWR","11:15"
"UA","07/01/2021","0340","N468UA","DEN","09:10"
"UA","07/01/2021","1180","N16703","EWR","20:00"
"UA","07/02/2021","0210","N27722","IAH","17:45"
"UA","07/02/2021","0213","N16732","IAD","08:00"
"UA","07/02/2021","0225","N66897","DEN","17:15"
"UA","07/02/2021","0250","N73299","IAH","07:30"
"UA","07/02/2021","0254","N890UA","ORD","17:40"
"UA","07/02/2021","0295","N878UA","ORD","10:45"
"UA","07/02/2021","0335","","EWR","11:15"
"UA","07/02/2021","0340","N895UA","DEN","09:15"
"UA","07/02/2021","1180","N16732","EWR","20:00"
"UA","07/03/2021","0210","N13716","IAH","17:45"
"UA","07/03/2021","0213","N24702","IAD","08:00"
"UA","07/03/2021","0225","N825UA","DEN","17:15"
"UA","07/03/2021","0250","N77525","IAH","07:30"
"UA","07/03/2021","0254","N896UA","ORD","17:40"
"UA","07/03/2021","0335","N896UA","EWR","11:15"
"UA","07/03/2021","0340","N490UA","DEN","09:15"
"UA","07/03/2021","1180","N21723","EWR","20:00"
"UA","07/04/2021","0210","N14704","IAH","17:45"
"UA","07/04/2021","0213","N27734","IAD","08:00"
"UA","07/04/2021","0225","N62884","DEN","17:15"
"UA","07/04/2021","0250","N36272","IAH","07:30"
"UA","07/04/2021","0254","N822UA","ORD","17:40"
"UA","07/04/2021","0298","N53442","DEN","13:45"
"UA","07/04/2021","0335","N822UA","EWR","11:15"
"UA","07/04/2021","0340","N831UA","DEN","09:15"
"UA","07/04/2021","1180","N16732","EWR","20:00"
"UA","07/05/2021","0210","N15712","IAH","17:45"
"UA","07/05/2021","0213","N33714","IAD","08:00"
"UA","07/05/2021","0225","N4901U","DEN","17:15"
"UA","07/05/2021","0250","N73299","IAH","07:30"
"UA","07/05/2021","0254","N844UA","ORD","17:40"
