Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
AA,7/1/2021,535,N828AW,CLT,8:35
AA,7/1/2021,621,N879NN,PHX,17:31
AA,7/1/2021,649,N724UW,DFW,20:18
AA,7/1/2021,835,N724UW,LGA,9:00
AA,7/1/2021,980,N158AN,DFW,14:19
AA,7/1/2021,982,N971AN,DFW,12:38
AA,7/1/2021,990,N773XF,LAX,18:45
AA,7/1/2021,1009,N653AW,PHL,17:15
AA,7/1/2021,1046,N722US,MIA,9:00
AA,7/1/2021,1051,N971AN,DFW,18:26
AA,7/1/2021,1151,N875NN,MIA,6:00
AA,7/1/2021,1192,N722US,MIA,16:25
AA,7/1/2021,1300,N9012,ORD,9:15
AA,7/1/2021,1402,N114UW,CLT,20:25
AA,7/1/2021,1567,N562UW,DFW,8:00
AA,7/1/2021,1718,N9010R,CLT,6:35
AA,7/1/2021,1860,N834AW,ORD,16:58
AA,7/1/2021,2344,N9022G,MIA,7:30
AA,7/1/2021,2737,N549UW,LAX,11:15
AA,7/1/2021,2770,N910NN,DFW,6:00
AA,7/1/2021,2778,N538UW,DFW,10:00
AA,7/2/2021,354,N702UW,CLT,7:37
AA,7/2/2021,649,N724UW,DFW,20:18
AA,7/2/2021,835,N776XF,LGA,9:00
AA,7/2/2021,980,N971UY,DFW,14:19
AA,7/2/2021,982,N901NN,DFW,12:40
AA,7/2/2021,990,N773XF,LAX,19:30
AA,7/2/2021,1008,N145AN,DFW,16:40
AA,7/2/2021,1009,N663AW,PHL,17:15
AA,7/2/2021,1046,N702UW,MIA,9:00
AA,7/2/2021,1051,N847NN,DFW,18:26
AA,7/2/2021,1151,N992AU,MIA,6:00
AA,7/2/2021,1192,N8001N,MIA,16:17
AA,7/2/2021,1300,N9016,ORD,9:22
AA,7/2/2021,1402,N664AW,CLT,20:23
AA,7/2/2021,1567,N196UW,DFW,8:00
AA,7/2/2021,1718,N9008U,CLT,6:35
AA,7/2/2021,2037,N864NN,PHX,17:28
AA,7/2/2021,2344,N9006,MIA,7:30
AA,7/2/2021,2737,N927UW,LAX,11:27
AA,7/2/2021,2770,N189UW,DFW,6:00
AA,7/2/2021,2778,N188US,DFW,10:00
AA,7/2/2021,2868,N508AY,MIA,20:43
AA,7/3/2021,354,N124US,CLT,8:35
AA,7/3/2021,649,N776XF,DFW,20:18
AA,7/3/2021,835,N840AW,LGA,9:00
AA,7/3/2021,980,N174US,DFW,14:19
AA,7/3/2021,982,N822NN,DFW,12:40
AA,7/3/2021,990,N147AA,LAX,19:30
AA,7/3/2021,1008,N125AA,DFW,16:40
AA,7/3/2021,1046,N338RS,MIA,8:55
AA,7/3/2021,1051,N975AN,DFW,18:26
AA,7/3/2021,1151,N152AA,MIA,6:00
AA,7/3/2021,1300,N9017P,ORD,9:22
