Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"DL","07/01/2021","0395","N344NB","SLC","19:15"
"DL","07/01/2021","0861","N317NB","SEA","06:00"
"DL","07/01/2021","0978","N3752","LAX","17:57"
"DL","07/01/2021","0994","N381DN","LAX","07:19"
"DL","07/01/2021","1241","N832DN","ATL","07:00"
"DL","07/01/2021","1249","N826DN","ATL","06:00"
"DL","07/01/2021","1254","N3758Y","SLC","07:50"
"DL","07/01/2021","1747","N919DU","ATL","17:53"
"DL","07/01/2021","2014","N948AT","DTW","17:46"
"DL","07/01/2021","2384","N905DN","ATL","15:54"
"DL","07/01/2021","2424","N354NW","MSP","18:26"
"DL","07/01/2021","2452","N863DN","ATL","09:41"
"DL","07/01/2021","2577","N943AT","DTW","14:31"
"DL","07/01/2021","2589","N940AT","DTW","10:46"
"DL","07/01/2021","2594","N940AT","DTW","05:25"
"DL","07/01/2021","2844","N842DN","ATL","11:48"
"DL","07/01/2021","2846","N888DU","ATL","19:59"
"DL","07/01/2021","2853","N904DN","ATL","13:24"
"DL","07/02/2021","0395","N365NB","SLC","19:15"
"DL","07/02/2021","0861","N345NB","SEA","06:00"
"DL","07/02/2021","0978","N3743H","LAX","17:57"
"DL","07/02/2021","0994","N3756","LAX","07:19"
"DL","07/02/2021","1241","N802DN","ATL","07:00"
"DL","07/02/2021","1249","N835DN","ATL","06:00"
"DL","07/02/2021","1254","N381DN","SLC","07:50"
"DL","07/02/2021","1747","N807DN","ATL","17:53"
"DL","07/02/2021","2014","N970AT","DTW","17:46"
"DL","07/02/2021","2384","N828DN","ATL","15:54"
"DL","07/02/2021","2424","N375NC","MSP","18:26"
"DL","07/02/2021","2452","N866DN","ATL","09:41"
"DL","07/02/2021","2577","N932AT","DTW","14:31"
"DL","07/02/2021","2589","N965AT","DTW","10:46"
"DL","07/02/2021","2594","N965AT","DTW","05:25"
"DL","07/02/2021","2844","N856DN","ATL","11:48"
"DL","07/02/2021","2846","N863DN","ATL","19:59"
"DL","07/02/2021","2853","N919DU","ATL","13:24"
"DL","07/03/2021","0395","N353NB","SLC","19:15"
"DL","07/03/2021","0861","N359NB","SEA","06:00"
"DL","07/03/2021","0978","N37700","LAX","17:57"
"DL","07/03/2021","1241","N822DN","ATL","07:00"
"DL","07/03/2021","1249","N854DN","ATL","06:00"
"DL","07/03/2021","1254","N3748Y","SLC","07:50"
"DL","07/03/2021","1747","N809DN","ATL","17:53"
"DL","07/03/2021","2014","N982AT","DTW","17:46"
"DL","07/03/2021","2384","N803DN","ATL","15:54"
"DL","07/03/2021","2452","N884DN","ATL","09:41"
"DL","07/03/2021","2577","N921AT","DTW","14:31"
"DL","07/03/2021","2589","N997AT","DTW","10:46"
"DL","07/03/2021","2594","N997AT","DTW","05:25"
"DL","07/03/2021","2844","N850DN","ATL","11:48"
"DL","07/03/2021","2853","N865DN","ATL","13:24"
"DL","07/04/2021","0861","N355NB","SEA","06:00"
"DL","07/04/2021","0978","N380DA","LAX","17:57"
"DL","07/04/2021","1241","N925DZ","ATL","07:00"
"DL","07/04/2021","1249","N880DN","ATL","06:00"
