Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"AA","07/01/2021","0434","N990NN","CLT","16:43"
"AA","07/01/2021","0521","N902NN","CLT","11:15"
"AA","07/01/2021","0539","N963NN","LAX","13:08"
"AA","07/01/2021","0764","N587UW","CLT","22:46"
"AA","07/01/2021","0885","N812NN","CLT","12:45"
"AA","07/01/2021","0889","N835NN","PHX","21:16"
"AA","07/01/2021","0986","N831AW","TPA","22:14"
"AA","07/01/2021","1014","N338PK","LAX","20:42"
"AA","07/01/2021","1018","N339PL","LAS","12:21"
"AA","07/01/2021","1059","N847NN","DFW","10:00"
"AA","07/01/2021","1060","N133AN","DFW","17:43"
"AA","07/01/2021","1064","N131NN","DFW","15:48"
"AA","07/01/2021","1065","N930AU","DFW","11:41"
"AA","07/01/2021","1083","N301PA","PHX","13:38"
"AA","07/01/2021","1092","N944AN","JFK","14:45"
"AA","07/01/2021","1095","N847NN","MCO","17:29"
"AA","07/01/2021","1202","N831AW","BOS","15:35"
"AA","07/01/2021","1205","N980NN","DFW","23:50"
"AA","07/01/2021","1394","N104UW","PHL","22:01"
"AA","07/01/2021","1396","N741UW","MIA","23:01"
"AA","07/01/2021","1592","N902NN","LAS","19:36"
"AA","07/01/2021","1629","N823NN","ORD","09:35"
"AA","07/01/2021","1630","N310RF","MIA","21:29"
"AA","07/01/2021","1637","N885NN","LAX","18:37"
"AA","07/01/2021","1760","N917UY","PHX","17:21"
"AA","07/01/2021","1857","N305NX","DFW","08:12"
"AA","07/01/2021","2198","N166NN","DFW","13:37"
"AA","07/01/2021","2199","N134AN","DFW","20:24"
"AA","07/01/2021","2208","N837NN","ORD","22:01"
"AA","07/01/2021","2419","N959AN","CLT","19:42"
"AA","07/01/2021","2594","N920NN","DFW","18:36"
"AA","07/01/2021","2707","N192UW","DFW","22:14"
"AA","07/01/2021","2772","N904NN","JFK","21:42"
"AA","07/01/2021","2870","N128AN","LAX","23:01"
"AA","07/02/2021","0434","N962NN","CLT","16:43"
"AA","07/02/2021","0437","N912NN","DFW","23:05"
"AA","07/02/2021","0521","N921NN","CLT","11:15"
"AA","07/02/2021","0539","N934NN","LAX","13:38"
"AA","07/02/2021","0764","N912UY","CLT","22:43"
"AA","07/02/2021","0885","N928NN","CLT","12:45"
"AA","07/02/2021","0889","N968AN","PHX","21:16"
"AA","07/02/2021","0986","N754UW","TPA","22:24"
"AA","07/02/2021","1014","N947AN","LAX","20:42"
"AA","07/02/2021","1018","N920NN","LAS","12:21"
"AA","07/02/2021","1059","N855NN","DFW","10:00"
"AA","07/02/2021","1060","N908AA","DFW","17:43"
"AA","07/02/2021","1064","N132AN","DFW","15:48"
"AA","07/02/2021","1065","N411AN","DFW","11:41"
"AA","07/02/2021","1083","N969NN","PHX","13:41"
"AA","07/02/2021","1092","N902NN","JFK","14:45"
"AA","07/02/2021","1095","N855NN","MCO","17:29"
"AA","07/02/2021","1202","N754UW","BOS","15:35"
"AA","07/02/2021","1205","N877NN","DFW","23:57"
"AA","07/02/2021","1394","N680AW","PHL","21:46"
"AA","07/02/2021","1396","N712US","MIA","22:50"
"AA","07/02/2021","1592","N921NN","LAS","19:40"
"AA","07/02/2021","1629","N917NN","ORD","09:35"
"AA","07/02/2021","1630","N350RV","MIA","21:29"
"AA","07/02/2021","1637","N976NN","LAX","18:37"
"AA","07/02/2021","1760","N176UW","PHX","17:21"
"AA","07/02/2021","1857","N984NN","DFW","08:17"
"AA","07/02/2021","2198","N132AN","DFW","13:53"
"AA","07/02/2021","2199","N148AN","DFW","19:57"
"AA","07/02/2021","2208","N813NN","ORD","22:10"
"AA","07/02/2021","2419","N200NV","CLT","19:42"
"AA","07/02/2021","2594","N973AN","DFW","18:36"
"AA","07/02/2021","2707","N980UY","DFW","21:56"
"AA","07/02/2021","2772","N991AN","JFK","21:42"
"AA","07/02/2021","2870","N121AN","LAX","23:23"
"AA","07/03/2021","0434","N972UY","CLT","16:43"
