Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"DL","07/01/2021","0344","N121DU","BOS","09:55"
"DL","07/01/2021","0346","N306DU","JFK","22:56"
"DL","07/01/2021","0368","N306DU","JFK","11:00"
"DL","07/01/2021","0518","N307DU","MSP","23:46"
"DL","07/01/2021","0690","N386DN","ATL","18:24"
"DL","07/01/2021","0697","N387DN","ATL","16:34"
"DL","07/01/2021","0986","N3748Y","LAX","14:39"
"DL","07/01/2021","1036","N303DN","ATL","11:39"
"DL","07/01/2021","1062","N391DN","ATL","20:42"
"DL","07/01/2021","1067","N110DU","SEA","15:57"
"DL","07/01/2021","1078","N129DU","SEA","00:01"
"DL","07/01/2021","1098","N356DN","ATL","09:33"
"DL","07/01/2021","1200","N139DU","SLC","14:20"
"DL","07/01/2021","1223","N326NB","RDU","15:52"
"DL","07/01/2021","1285","N121DU","DTW","18:30"
"DL","07/01/2021","1506","N379DA","LAX","18:03"
"DL","07/01/2021","1507","N372DN","LAX","23:50"
"DL","07/01/2021","1586","N320NB","DTW","22:56"
"DL","07/01/2021","1771","N367DN","ATL","00:21"
"DL","07/01/2021","2070","N116DU","MSP","12:55"
"DL","07/01/2021","2107","N127DU","SLC","00:47"
"DL","07/01/2021","2134","N371DN","ATL","14:36"
"DL","07/01/2021","2509","N114DU","DTW","10:52"
"DL","07/01/2021","2779","N308DU","MSP","18:21"
"DL","07/01/2021","2822","N319DN","ATL","22:44"
"DL","07/01/2021","2864","N307DU","JFK","16:20"
"DL","07/01/2021","2874","N119DU","SLC","17:48"
"DL","07/02/2021","0344","N119DU","BOS","09:55"
"DL","07/02/2021","0346","N304DU","JFK","22:56"
"DL","07/02/2021","0368","N304DU","JFK","11:00"
"DL","07/02/2021","0518","N309DU","MSP","23:46"
"DL","07/02/2021","0690","N333DX","ATL","18:24"
"DL","07/02/2021","0697","N397DN","ATL","16:34"
"DL","07/02/2021","0986","N374DA","LAX","14:39"
"DL","07/02/2021","1036","N384DN","ATL","11:39"
"DL","07/02/2021","1062","N118DY","ATL","20:42"
"DL","07/02/2021","1067","N127DU","SEA","15:57"
"DL","07/02/2021","1078","N115DU","SEA","00:01"
"DL","07/02/2021","1098","N107DN","ATL","09:33"
"DL","07/02/2021","1200","N141DU","SLC","14:20"
"DL","07/02/2021","1223","N320NB","RDU","15:52"
"DL","07/02/2021","1285","N119DU","DTW","18:30"
"DL","07/02/2021","1506","N382DA","LAX","18:03"
"DL","07/02/2021","1507","N391DN","LAX","23:50"
"DL","07/02/2021","1586","N329NB","DTW","22:56"
"DL","07/02/2021","1771","N356DN","ATL","00:21"
"DL","07/02/2021","2070","N321US","MSP","12:55"
"DL","07/02/2021","2107","N110DU","SLC","00:47"
"DL","07/02/2021","2134","N102DN","ATL","14:36"
"DL","07/02/2021","2509","N125DU","DTW","10:52"
"DL","07/02/2021","2779","N301DU","MSP","18:21"
"DL","07/02/2021","2822","N322DN","ATL","22:44"
"DL","07/02/2021","2864","N306DU","JFK","16:20"
"DL","07/02/2021","2874","N130DU","SLC","17:48"
"DL","07/03/2021","0344","N130DU","BOS","09:55"
"DL","07/03/2021","0346","N308DU","JFK","22:56"
"DL","07/03/2021","0368","N308DU","JFK","11:00"
"DL","07/03/2021","0518","N303DU","MSP","23:56"
"DL","07/03/2021","0690","N361DN","ATL","18:24"
"DL","07/03/2021","0697","N304DN","ATL","16:34"
"DL","07/03/2021","0986","N378DA","LAX","14:39"
"DL","07/03/2021","1036","N121DZ","ATL","11:39"
"DL","07/03/2021","1062","N377DN","ATL","20:42"
"DL","07/03/2021","1067","N110DU","SEA","15:57"
"DL","07/03/2021","1078","N122DU","SEA","00:01"
"DL","07/03/2021","1098","N365DN","ATL","09:33"
"DL","07/03/2021","1200","N108DQ","SLC","14:20"
"DL","07/03/2021","1223","N320NB","RDU","15:52"
"DL","07/03/2021","1285","N130DU","DTW","18:30"
"DL","07/03/2021","1506","N351DN","LAX","18:03"
"DL","07/03/2021","1507","N391DN","LAX","23:50"
"DL","07/03/2021","1586","N329NB","DTW","22:56"
"DL","07/03/2021","1771","N303DN","ATL","00:21"
"DL","07/03/2021","2070","N131DU","MSP","12:55"
"DL","07/03/2021","2107","N117DU","SLC","00:47"
"DL","07/03/2021","2134","N347DN","ATL","14:36"
"DL","07/03/2021","2509","N133DU","DTW","10:52"
"DL","07/03/2021","2822","N356DN","ATL","22:44"
"DL","07/03/2021","2874","N137DU","SLC","17:48"
"DL","07/04/2021","0344","N137DU","BOS","09:55"
"DL","07/04/2021","0346","N305DU","JFK","22:56"
"DL","07/04/2021","0368","N305DU","JFK","11:00"
"DL","07/04/2021","0518","N302DU","MSP","23:56"
"DL","07/04/2021","0690","N340DN","ATL","18:24"
"DL","07/04/2021","0697","N394DX","ATL","16:34"
"DL","07/04/2021","0986","N3755D","LAX","14:39"
"DL","07/04/2021","1036","N319DN","ATL","11:39"
"DL","07/04/2021","1062","N374DX","ATL","20:42"
"DL","07/04/2021","1067","N117DU","SEA","15:57"
"DL","07/04/2021","1078","N135DQ","SEA","00:01"
"DL","07/04/2021","1098","N344DN","ATL","09:33"
"DL","07/04/2021","1200","N120DU","SLC","14:20"
"DL","07/04/2021","1223","N318NB","RDU","15:52"
"DL","07/04/2021","1285","N137DU","DTW","18:30"
"DL","07/04/2021","1507","N377DN","LAX","23:50"
"DL","07/04/2021","1586","N333NB","DTW","22:56"
"DL","07/04/2021","1771","N110DX","ATL","00:21"
"DL","07/04/2021","2070","N103DU","MSP","12:55"
"DL","07/04/2021","2107","N133DU","SLC","00:47"
"DL","07/04/2021","2134","N351DN","ATL","14:36"
"DL","07/04/2021","2509","N121DU","DTW","10:52"
"DL","07/04/2021","2822","N116DN","ATL","22:44"
"DL","07/04/2021","2874","N129DU","SLC","17:48"
"DL","07/05/2021","0344","N129DU","BOS","09:55"
"DL","07/05/2021","0346","N301DU","JFK","22:56"
"DL","07/05/2021","0368","N301DU","JFK","11:00"
"DL","07/05/2021","0518","N303DU","MSP","23:46"
"DL","07/05/2021","0690","N324DX","ATL","18:24"
"DL","07/05/2021","0697","N342DN","ATL","16:34"
"DL","07/05/2021","0986","N3732J","LAX","14:39"
"DL","07/05/2021","1036","N338DN","ATL","11:39"
"DL","07/05/2021","1062","N365DN","ATL","20:42"
"DL","07/05/2021","1067","N133DU","SEA","15:57"
"DL","07/05/2021","1078","N138DU","SEA","00:01"
"DL","07/05/2021","1098","N102DN","ATL","09:33"
"DL","07/05/2021","1200","N120DU","SLC","14:20"
"DL","07/05/2021","1223","N329NB","RDU","15:52"
"DL","07/05/2021","1285","N129DU","DTW","18:30"
"DL","07/05/2021","1506","N37700","LAX","18:03"
"DL","07/05/2021","1507","N374DX","LAX","23:50"
"DL","07/05/2021","1586","N333NB","DTW","22:56"
"DL","07/05/2021","1771","N121DZ","ATL","00:21"
"DL","07/05/2021","2070","N113DQ","MSP","12:55"
"DL","07/05/2021","2107","N124DU","SLC","00:47"
"DL","07/05/2021","2134","N378DN","ATL","14:36"
"DL","07/05/2021","2509","N123DQ","DTW","10:52"
"DL","07/05/2021","2779","N307DU","MSP","18:21"
"DL","07/05/2021","2822","N362DN","ATL","22:44"
"DL","07/05/2021","2864","N302DU","JFK","16:20"
"DL","07/05/2021","2874","N119DU","SLC","17:48"
"DL","07/06/2021","0344","N119DU","BOS","09:55"
"DL","07/06/2021","0368","N319NB","JFK","11:00"
"DL","07/06/2021","0518","N304DU","MSP","23:46"
"DL","07/06/2021","0690","N314DN","ATL","18:24"
"DL","07/06/2021","0697","N103DY","ATL","16:34"
"DL","07/06/2021","0986","N3732J","LAX","14:39"
"DL","07/06/2021","1036","N310DN","ATL","11:39"
"DL","07/06/2021","1062","N383DZ","ATL","20:42"
"DL","07/06/2021","1067","N124DU","SEA","15:57"
"DL","07/06/2021","1078","N134DU","SEA","00:01"
"DL","07/06/2021","1098","N366DX","ATL","09:33"
"DL","07/06/2021","1200","N117DU","SLC","14:20"
"DL","07/06/2021","1223","N326NB","RDU","15:52"
"DL","07/06/2021","1285","N309DU","DTW","18:30"
"DL","07/06/2021","1506","N3765","LAX","18:03"
"DL","07/06/2021","1507","N365DN","LAX","23:50"
"DL","07/06/2021","1586","N124DU","DTW","22:56"
"DL","07/06/2021","1771","N382DN","ATL","00:21"
"DL","07/06/2021","2070","N303DU","MSP","12:55"
"DL","07/06/2021","2107","N353NB","SLC","00:47"
"DL","07/06/2021","2134","N334DN","ATL","14:36"
"DL","07/06/2021","2509","N309DU","DTW","10:52"
"DL","07/06/2021","2779","N114DU","MSP","18:21"
"DL","07/06/2021","2822","N354DN","ATL","22:44"
"DL","07/06/2021","2864","N301DU","JFK","16:20"
"DL","07/06/2021","2874","N103DU","SLC","17:48"
"DL","07/07/2021","0344","N103DU","BOS","10:12"
"DL","07/07/2021","0346","N302DU","JFK","22:45"
"DL","07/07/2021","0368","N302DU","JFK","11:32"
"DL","07/07/2021","0518","N301DU","MSP","23:56"
"DL","07/07/2021","0690","N391DN","ATL","17:22"
"DL","07/07/2021","0697","N337DN","ATL","15:42"
"DL","07/07/2021","0986","N360NW","LAX","14:29"
"DL","07/07/2021","1036","N121DZ","ATL","11:23"
"DL","07/07/2021","1062","N318DX","ATL","19:40"
"DL","07/07/2021","1067","N134DU","SEA","15:57"
"DL","07/07/2021","1098","N312DN","ATL","09:33"
"DL","07/07/2021","1200","N125DU","SLC","14:15"
"DL","07/07/2021","1223","N337NB","RDU","16:02"
"DL","07/07/2021","1285","N112DU","DTW","18:03"
"DL","07/07/2021","1506","N3758Y","LAX","18:59"
"DL","07/07/2021","1507","N360NW","LAX","23:06"
"DL","07/07/2021","1586","N353NB","DTW","22:57"
"DL","07/07/2021","1771","N391DN","ATL","00:24"
"DL","07/07/2021","2070","N368NB","MSP","12:43"
"DL","07/07/2021","2107","N129DU","SLC","21:10"
"DL","07/07/2021","2134","N308DN","ATL","13:42"
"DL","07/07/2021","2509","N133DU","DTW","10:57"
"DL","07/07/2021","2779","N308DU","MSP","18:34"
"DL","07/07/2021","2822","N365DN","ATL","22:15"
"DL","07/07/2021","2864","N309DU","JFK","16:05"
"DL","07/07/2021","2874","N122DU","SLC","17:51"
"DL","07/07/2021","2905","N110DU","SEA","23:57"
"DL","07/08/2021","0344","N129DU","BOS","10:12"
"DL","07/08/2021","0346","N307DU","JFK","22:45"
