Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"UA","07/01/2021","0366","N47524","DEN","20:56"
"UA","07/01/2021","0405","N802UA","IAD","13:16"
"UA","07/01/2021","0573","N899UA","ORD","11:37"
"UA","07/01/2021","0676","N11206","EWR","22:13"
"UA","07/01/2021","0688","N77510","ORD","22:38"
"UA","07/01/2021","0758","N848UA","DEN","11:26"
"UA","07/01/2021","1026","N37513","DEN","12:58"
"UA","07/01/2021","1114","N14231","DEN","23:55"
"UA","07/01/2021","1498","N69804","IAH","21:10"
"UA","07/01/2021","1537","N37420","EWR","13:17"
"UA","07/01/2021","1763","N818UA","SFO","18:39"
"UA","07/01/2021","1783","N832UA","SFO","14:47"
"UA","07/01/2021","1858","N13716","IAD","19:48"
"UA","07/01/2021","2001","N893UA","IAH","19:10"
"UA","07/01/2021","2095","N411UA","IAH","15:20"
"UA","07/01/2021","2231","N428UA","ORD","09:45"
"UA","07/01/2021","2291","N846UA","SFO","23:52"
"UA","07/01/2021","2310","N469UA","IAH","10:43"
"UA","07/01/2021","2316","N24715","EWR","11:12"
"UA","07/01/2021","2377","N27511","DEN","16:28"
"UA","07/02/2021","0366","N37514","DEN","20:56"
"UA","07/02/2021","0405","N851UA","IAD","13:16"
"UA","07/02/2021","0573","N821UA","ORD","11:34"
"UA","07/02/2021","0676","N12221","EWR","22:13"
"UA","07/02/2021","0688","N33203","ORD","22:38"
"UA","07/02/2021","1026","N37528","DEN","12:58"
"UA","07/02/2021","1114","N37274","DEN","23:55"
"UA","07/02/2021","1437","N871UA","IAH","17:15"
"UA","07/02/2021","1498","N68801","IAH","21:10"
"UA","07/02/2021","1763","N839UA","SFO","18:39"
"UA","07/02/2021","1783","N846UA","SFO","14:47"
"UA","07/02/2021","1858","N21723","IAD","19:48"
"UA","07/02/2021","2001","N447UA","IAH","19:10"
"UA","07/02/2021","2095","N427UA","IAH","15:20"
"UA","07/02/2021","2231","N824UA","ORD","09:45"
"UA","07/02/2021","2291","N839UA","SFO","23:52"
"UA","07/02/2021","2310","N876UA","IAH","10:43"
"UA","07/02/2021","2316","N15712","EWR","11:12"
"UA","07/02/2021","2377","N37523","DEN","16:28"
"UA","07/03/2021","0366","N73299","DEN","20:56"
"UA","07/03/2021","0573","N851UA","ORD","11:34"
"UA","07/03/2021","0676","N24224","EWR","22:58"
"UA","07/03/2021","0688","N73275","ORD","22:38"
"UA","07/03/2021","1026","N75428","DEN","12:58"
"UA","07/03/2021","1437","N814UA","IAH","17:15"
"UA","07/03/2021","1498","N66828","IAH","21:10"
"UA","07/03/2021","1763","N872UA","SFO","18:39"
"UA","07/03/2021","1858","N77510","IAD","19:48"
"UA","07/03/2021","2001","N880UA","IAH","19:10"
"UA","07/03/2021","2095","N1902U","IAH","15:20"
"UA","07/03/2021","2231","N811UA","ORD","09:45"
"UA","07/03/2021","2291","N839UA","SFO","23:52"
"UA","07/03/2021","2310","N874UA","IAH","10:43"
"UA","07/03/2021","2316","N37471","EWR","11:12"
"UA","07/03/2021","2377","N17529","DEN","16:28"
"UA","07/04/2021","0366","N37510","DEN","20:56"
"UA","07/04/2021","0405","N4888U","IAD","13:16"
"UA","07/04/2021","0573","N23707","ORD","11:30"
"UA","07/04/2021","0676","N37277","EWR","22:13"
"UA","07/04/2021","0688","N87527","ORD","22:38"
"UA","07/04/2021","1026","N37508","DEN","12:58"
"UA","07/04/2021","1114","N77261","DEN","23:55"
"UA","07/04/2021","1437","N816UA","IAH","17:15"
"UA","07/04/2021","1498","N63820","IAH","21:10"
"UA","07/04/2021","1763","N872UA","SFO","18:39"
"UA","07/04/2021","1858","N39728","IAD","19:48"
"UA","07/04/2021","2001","N463UA","IAH","19:10"
"UA","07/04/2021","2095","N451UA","IAH","15:20"
"UA","07/04/2021","2231","N418UA","ORD","09:45"
"UA","07/04/2021","2310","N847UA","IAH","10:43"
"UA","07/04/2021","2316","N23721","EWR","11:12"
"UA","07/04/2021","2377","N37521","DEN","16:28"
"UA","07/05/2021","0366","N37521","DEN","20:56"
"UA","07/05/2021","0405","N851UA","IAD","13:16"
"UA","07/05/2021","0573","N814UA","ORD","11:34"
"UA","07/05/2021","0676","N12221","EWR","22:13"
"UA","07/05/2021","0688","N77535","ORD","22:38"
"UA","07/05/2021","1026","N37523","DEN","12:58"
"UA","07/05/2021","1114","N33284","DEN","23:55"
"UA","07/05/2021","1437","N826UA","IAH","17:15"
"UA","07/05/2021","1498","N68822","IAH","21:10"
"UA","07/05/2021","1537","N37468","EWR","13:17"
"UA","07/05/2021","1763","N852UA","SFO","18:39"
"UA","07/05/2021","1783","N872UA","SFO","14:47"
"UA","07/05/2021","1858","N23707","IAD","19:48"
"UA","07/05/2021","2001","N839UA","IAH","19:10"
"UA","07/05/2021","2095","N420UA","IAH","15:20"
"UA","07/05/2021","2231","N824UA","ORD","09:45"
"UA","07/05/2021","2291","N485UA","SFO","23:52"
"UA","07/05/2021","2310","N880UA","IAH","10:43"
"UA","07/05/2021","2316","N13750","EWR","11:12"
"UA","07/05/2021","2377","N27519","DEN","16:28"
"UA","07/06/2021","0366","N37513","DEN","20:56"
"UA","07/06/2021","0405","N814UA","IAD","13:16"
"UA","07/06/2021","0573","N472UA","ORD","11:34"
"UA","07/06/2021","0676","N26208","EWR","22:13"
"UA","07/06/2021","0688","N77538","ORD","22:38"
"UA","07/06/2021","1026","N27519","DEN","12:58"
"UA","07/06/2021","1114","N77295","DEN","23:55"
"UA","07/06/2021","1437","N875UA","IAH","17:15"
"UA","07/06/2021","1498","N62895","IAH","21:10"
"UA","07/06/2021","1537","N66848","EWR","13:17"
"UA","07/06/2021","1763","N852UA","SFO","18:39"
"UA","07/06/2021","1783","N816UA","SFO","14:47"
"UA","07/06/2021","1858","N27734","IAD","19:48"
"UA","07/06/2021","2001","N889UA","IAH","19:10"
"UA","07/06/2021","2095","N447UA","IAH","15:20"
"UA","07/06/2021","2231","N824UA","ORD","09:45"
"UA","07/06/2021","2310","N818UA","IAH","10:43"
"UA","07/06/2021","2316","N26208","EWR","11:12"
"UA","07/06/2021","2377","N27526","DEN","16:28"
"UA","07/07/2021","0366","N37516","DEN","20:56"
"UA","07/07/2021","0405","N817UA","IAD","13:16"
"UA","07/07/2021","0573","N832UA","ORD","11:34"
"UA","07/07/2021","0676","N73299","EWR","22:13"
"UA","07/07/2021","0688","N33286","ORD","22:38"
"UA","07/07/2021","1026","N37527","DEN","12:58"
"UA","07/07/2021","1114","N37273","DEN","23:55"
"UA","07/07/2021","1437","N829UA","IAH","17:15"
"UA","07/07/2021","1498","N68842","IAH","21:10"
"UA","07/07/2021","1537","N39416","EWR","13:17"
"UA","07/07/2021","1763","N878UA","SFO","18:39"
"UA","07/07/2021","1783","N890UA","SFO","14:47"
"UA","07/07/2021","1858","N27734","IAD","19:48"
"UA","07/07/2021","2001","N872UA","IAH","19:10"
"UA","07/07/2021","2095","N411UA","IAH","15:20"
"UA","07/07/2021","2231","N824UA","ORD","09:45"
"UA","07/07/2021","2291","N876UA","SFO","23:52"
"UA","07/07/2021","2310","N822UA","IAH","10:43"
"UA","07/07/2021","2316","N16709","EWR","11:12"
"UA","07/07/2021","2377","N47524","DEN","16:28"
"UA","07/08/2021","0366","N27526","DEN","20:56"
"UA","07/08/2021","0405","N832UA","IAD","13:16"
"UA","07/08/2021","0573","N826UA","ORD","11:34"
"UA","07/08/2021","0676","N12225","EWR","22:13"
"UA","07/08/2021","0688","N68802","ORD","22:38"
"UA","07/08/2021","1026","N37516","DEN","12:58"
"UA","07/08/2021","1114","N33284","DEN","23:55"
"UA","07/08/2021","1437","N881UA","IAH","17:15"
"UA","07/08/2021","1498","N38473","IAH","21:10"
"UA","07/08/2021","1537","N37462","EWR","13:17"
"UA","07/08/2021","1763","N897UA","SFO","18:39"
"UA","07/08/2021","1783","N876UA","SFO","14:47"
"UA","07/08/2021","1858","N27734","IAD","19:48"
"UA","07/08/2021","2001","N483UA","IAH","19:10"
"UA","07/08/2021","2095","N411UA","IAH","15:20"
"UA","07/08/2021","2231","N892UA","ORD","09:45"
"UA","07/08/2021","2291","N414UA","SFO","23:52"
"UA","07/08/2021","2310","N4888U","IAH","10:43"
"UA","07/08/2021","2316","N23707","EWR","11:12"
"UA","07/08/2021","2377","N27526","DEN","16:28"
"UA","07/09/2021","0366","N27519","DEN","20:56"
"UA","07/09/2021","0405","N826UA","IAD","13:16"
"UA","07/09/2021","0573","N871UA","ORD","11:34"
"UA","07/09/2021","0676","N77295","EWR","22:13"
"UA","07/09/2021","0688","N62896","ORD","22:38"
"UA","07/09/2021","1026","N37518","DEN","12:58"
"UA","07/09/2021","1114","N73275","DEN","23:55"
"UA","07/09/2021","1437","N464UA","IAH","17:15"
"UA","07/09/2021","1498","N47414","IAH","21:10"
"UA","07/09/2021","1763","N882UA","SFO","18:39"
"UA","07/09/2021","1783","N897UA","SFO","14:47"
"UA","07/09/2021","1858","N14704","IAD","19:48"
"UA","07/09/2021","2001","N446UA","IAH","19:10"
"UA","07/09/2021","2095","N415UA","IAH","15:20"
"UA","07/09/2021","2231","N853UA","ORD","09:45"
"UA","07/09/2021","2291","N818UA","SFO","23:52"
"UA","07/09/2021","2310","N845UA","IAH","10:43"
"UA","07/09/2021","2316","","EWR","11:12"
"UA","07/09/2021","2377","N47524","DEN","16:28"
"UA","07/10/2021","0366","N28478","DEN","20:56"
"UA","07/10/2021","0573","N826UA","ORD","11:34"
"UA","07/10/2021","0676","N73275","EWR","22:58"
"UA","07/10/2021","0688","N37253","ORD","22:38"
"UA","07/10/2021","1026","N75432","DEN","12:58"
"UA","07/10/2021","1114","N76503","DEN","23:55"
"UA","07/10/2021","1437","N895UA","IAH","17:15"
"UA","07/10/2021","1498","N37422","IAH","21:10"
"UA","07/10/2021","1763","N4888U","SFO","18:39"
"UA","07/10/2021","1858","N77530","IAD","19:48"
"UA","07/10/2021","2001","N462UA","IAH","19:10"
"UA","07/10/2021","2095","N462UA","IAH","15:20"
"UA","07/10/2021","2231","N408UA","ORD","09:45"
