Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"AA","07/01/2021","0640","N315SD","MIA","00:28"
"AA","07/01/2021","0657","N874NN","CLT","22:23"
"AA","07/01/2021","1099","N572UW","CLT","09:14"
"AA","07/01/2021","1272","N9017P","MIA","22:50"
"AA","07/01/2021","1421","N342RX","MIA","16:11"
"AA","07/01/2021","1425","N981AN","DFW","23:09"
"AA","07/01/2021","2213","N907NN","CLT","15:25"
"AA","07/01/2021","2228","N730US","CLT","18:20"
"AA","07/02/2021","0640","N324SH","MIA","00:28"
"AA","07/02/2021","0657","N907AN","CLT","22:23"
"AA","07/02/2021","1099","N665AW","CLT","09:14"
"AA","07/02/2021","1272","N310RF","MIA","23:32"
"AA","07/02/2021","1421","N308RD","MIA","16:11"
"AA","07/02/2021","1425","N840NN","DFW","23:09"
"AA","07/02/2021","2213","N833NN","CLT","15:35"
"AA","07/02/2021","2228","N738US","CLT","18:20"
"AA","07/03/2021","0640","N800NN","MIA","00:28"
"AA","07/03/2021","0657","N806NN","CLT","22:29"
"AA","07/03/2021","1099","N542UW","CLT","09:14"
"AA","07/03/2021","1272","N321RL","MIA","23:32"
"AA","07/03/2021","1425","N826NN","DFW","23:09"
"AA","07/04/2021","0640","N328RR","MIA","00:28"
"AA","07/04/2021","0657","N945AN","CLT","22:23"
"AA","07/04/2021","1272","N724UW","MIA","22:50"
"AA","07/04/2021","1421","N316SE","MIA","16:11"
"AA","07/04/2021","1425","N912NN","DFW","23:09"
"AA","07/04/2021","2213","N972AN","CLT","15:35"
"AA","07/05/2021","0640","N339SU","MIA","00:28"
"AA","07/05/2021","0657","N896NN","CLT","22:23"
"AA","07/05/2021","1099","N119US","CLT","09:14"
"AA","07/05/2021","1272","N338ST","MIA","23:32"
"AA","07/05/2021","1421","N315SD","MIA","16:11"
"AA","07/05/2021","1425","N872NN","DFW","23:09"
"AA","07/05/2021","2213","N881NN","CLT","15:35"
"AA","07/05/2021","2228","N766US","CLT","18:20"
"AA","07/06/2021","0640","N323SG","MIA","00:28"
"AA","07/06/2021","0657","N869NN","CLT","22:23"
"AA","07/06/2021","1099","N103US","CLT","09:14"
"AA","07/06/2021","1272","N336SR","MIA","23:32"
"AA","07/06/2021","1421","N324SH","MIA","16:11"
"AA","07/06/2021","1425","N814NN","DFW","23:09"
"AA","07/06/2021","2213","N994NN","CLT","15:35"
"AA","07/06/2021","2228","N751UW","CLT","18:20"
"AA","07/07/2021","0640","N336RU","MIA","00:28"
"AA","07/07/2021","0657","N929NN","CLT","22:23"
"AA","07/07/2021","1099","N650AW","CLT","09:14"
"AA","07/07/2021","1272","N9012","MIA","22:50"
"AA","07/07/2021","1421","N324RN","MIA","16:11"
"AA","07/07/2021","1425","N983NN","DFW","23:09"
"AA","07/07/2021","2213","N805NN","CLT","15:35"
"AA","07/07/2021","2228","N769US","CLT","18:20"
"AA","07/08/2021","0640","N328RR","MIA","00:28"
"AA","07/08/2021","0657","N883NN","CLT","22:23"
"AA","07/08/2021","1099","N647AW","CLT","09:14"
"AA","07/08/2021","1272","N9022G","MIA","22:50"
"AA","07/08/2021","1421","N335SN","MIA","16:11"
"AA","07/08/2021","1425","N820NN","DFW","23:09"
"AA","07/08/2021","2213","N906NN","CLT","15:35"
"AA","07/08/2021","2228","N700UW","CLT","18:20"
"AA","07/09/2021","0640","N335SN","MIA","00:28"
"AA","07/09/2021","0657","N949NN","CLT","22:23"
"AA","07/09/2021","1099","N647AW","CLT","09:14"
"AA","07/09/2021","1272","N326SJ","MIA","23:32"
"AA","07/09/2021","1421","N318SF","MIA","16:11"
"AA","07/09/2021","1425","N924NN","DFW","23:09"
"AA","07/09/2021","2213","N980NN","CLT","15:35"
"AA","07/09/2021","2228","N812AW","CLT","18:20"
"AA","07/10/2021","0640","N306RC","MIA","00:28"
"AA","07/10/2021","0657","N853NN","CLT","22:29"
"AA","07/10/2021","1099","N737US","CLT","09:14"
"AA","07/10/2021","1272","N315SD","MIA","23:32"
"AA","07/10/2021","1425","N305NX","DFW","23:09"
"AA","07/11/2021","0640","N316SE","MIA","00:28"
"AA","07/11/2021","0657","N907AN","CLT","22:23"
"AA","07/11/2021","1099","N752US","CLT","09:14"
"AA","07/11/2021","1272","N714US","MIA","22:50"
"AA","07/11/2021","1421","N316SE","MIA","16:11"
"AA","07/11/2021","1425","N974AN","DFW","23:09"
"AA","07/11/2021","2213","N961NN","CLT","15:35"
"AA","07/11/2021","2228","N808AW","CLT","18:20"
"AA","07/12/2021","0640","N306RC","MIA","00:28"
"AA","07/12/2021","0657","N951NN","CLT","22:23"
"AA","07/12/2021","1099","N657AW","CLT","09:14"
"AA","07/12/2021","1272","N338ST","MIA","23:32"
"AA","07/12/2021","1421","N329SL","MIA","16:11"
"AA","07/12/2021","1425","N981AN","DFW","23:09"
"AA","07/12/2021","2213","N301NW","CLT","15:35"
"AA","07/12/2021","2228","N733UW","CLT","18:20"
"AA","07/13/2021","0640","N326RP","MIA","00:28"
"AA","07/13/2021","0657","N968NN","CLT","22:23"
"AA","07/13/2021","1099","N103US","CLT","09:14"
"AA","07/13/2021","1272","N302SS","MIA","23:32"
"AA","07/13/2021","1421","N326RP","MIA","16:11"
"AA","07/13/2021","1425","N914NN","DFW","23:09"
"AA","07/13/2021","2213","N908NN","CLT","15:35"
"AA","07/13/2021","2228","N702UW","CLT","18:20"
"AA","07/14/2021","0640","N335SN","MIA","00:28"
"AA","07/14/2021","0657","N836NN","CLT","22:23"
"AA","07/14/2021","1099","N655AW","CLT","09:14"
"AA","07/14/2021","1272","N721UW","MIA","22:50"
"AA","07/14/2021","1421","N327SK","MIA","16:11"
"AA","07/14/2021","1425","N902NN","DFW","23:09"
"AA","07/14/2021","2213","N337PJ","CLT","15:35"
