Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"DL","07/01/2021","1135","N839DN","ATL","23:59"
"DL","07/01/2021","1194","N373NW","ATL","18:04"
"DL","07/01/2021","1779","N373NW","ATL","11:05"
"DL","07/01/2021","2149","N889DN","MSP","23:43"
"DL","07/01/2021","2568","N369NB","DTW","23:30"
"DL","07/01/2021","2818","N336NW","ATL","14:49"
"DL","07/01/2021","2820","N383DN","ATL","21:12"
"DL","07/02/2021","1135","N836DN","ATL","23:59"
"DL","07/02/2021","1194","N325US","ATL","18:04"
"DL","07/02/2021","1779","N309US","ATL","11:05"
"DL","07/02/2021","2149","N910DU","MSP","23:43"
"DL","07/02/2021","2568","N333NB","DTW","23:30"
"DL","07/02/2021","2818","N326US","ATL","14:49"
"DL","07/02/2021","2820","N396DA","ATL","21:12"
"DL","07/03/2021","1135","N912DU","ATL","23:59"
"DL","07/03/2021","1779","N309US","ATL","11:05"
"DL","07/03/2021","2149","N863DN","MSP","23:43"
"DL","07/03/2021","2568","N369NB","DTW","23:30"
"DL","07/03/2021","2818","N338NW","ATL","14:49"
"DL","07/03/2021","2820","N3773D","ATL","20:15"
"DL","07/04/2021","1135","N855DN","ATL","23:59"
"DL","07/04/2021","1779","N376NW","ATL","11:05"
"DL","07/04/2021","2149","N900DU","MSP","23:43"
"DL","07/04/2021","2568","N326NB","DTW","23:30"
"DL","07/04/2021","2818","N334NW","ATL","14:49"
"DL","07/04/2021","2820","N3768","ATL","20:15"
"DL","07/05/2021","1135","N922DZ","ATL","23:59"
"DL","07/05/2021","1194","N367NW","ATL","18:04"
"DL","07/05/2021","1779","N367NW","ATL","11:05"
"DL","07/05/2021","2149","N930DZ","MSP","23:43"
"DL","07/05/2021","2568","N366NB","DTW","23:30"
"DL","07/05/2021","2818","N309US","ATL","14:49"
"DL","07/05/2021","2820","N3751B","ATL","21:12"
"DL","07/06/2021","1135","N841DN","ATL","23:59"
"DL","07/06/2021","1779","N372NW","ATL","11:05"
"DL","07/06/2021","2149","N116DN","MSP","23:43"
"DL","07/06/2021","2568","N113DX","DTW","23:30"
"DL","07/06/2021","2818","N358NW","ATL","14:49"
"DL","07/06/2021","2820","N3742C","ATL","20:15"
"DL","07/07/2021","1135","N890DN","ATL","23:59"
"DL","07/07/2021","1194","N329NW","ATL","18:01"
"DL","07/07/2021","1779","N367NW","ATL","10:52"
"DL","07/07/2021","2149","N822DN","MSP","23:37"
"DL","07/07/2021","2568","N357DN","DTW","00:26"
"DL","07/07/2021","2818","N3730B","ATL","15:45"
"DL","07/07/2021","2820","N330DX","ATL","22:01"
"DL","07/08/2021","1135","N870DN","ATL","23:59"
