Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"UA","07/01/2021","0444","N24202","IAD","19:09"
"UA","07/01/2021","1544","N76519","IAD","12:26"
"UA","07/01/2021","1887","N77430","DEN","23:35"
"UA","07/02/2021","0444","N37263","IAD","19:09"
"UA","07/02/2021","1887","N68811","DEN","23:35"
"UA","07/03/2021","0444","N26210","IAD","19:09"
"UA","07/03/2021","1887","N67827","DEN","23:41"
"UA","07/04/2021","0444","N18223","IAD","19:09"
"UA","07/04/2021","1887","N75432","DEN","23:35"
"UA","07/05/2021","0444","N73251","IAD","19:09"
"UA","07/05/2021","1544","N76288","IAD","12:26"
"UA","07/05/2021","1887","N62892","DEN","23:35"
"UA","07/06/2021","0444","N37274","IAD","19:09"
"UA","07/06/2021","1544","N37274","IAD","12:26"
"UA","07/06/2021","1887","N69824","DEN","23:35"
"UA","07/07/2021","0444","N14237","IAD","19:09"
"UA","07/07/2021","1544","N429UA","IAD","12:25"
"UA","07/07/2021","1887","N38451","DEN","23:35"
"UA","07/08/2021","0444","N26215","IAD","19:09"
"UA","07/08/2021","1544","N454UA","IAD","12:25"
"UA","07/08/2021","1887","N68843","DEN","23:37"
"UA","07/09/2021","0444","N37287","IAD","19:09"
"UA","07/09/2021","1887","N63899","DEN","23:35"
"UA","07/10/2021","0444","N26210","IAD","19:09"
"UA","07/10/2021","1887","N69824","DEN","23:41"
"UA","07/11/2021","0444","N12225","IAD","19:09"
"UA","07/11/2021","1887","N69824","DEN","23:35"
"UA","07/12/2021","0444","N17233","IAD","19:09"
"UA","07/12/2021","1544","N76504","IAD","12:26"
"UA","07/12/2021","1887","N63890","DEN","23:35"
"UA","07/13/2021","0444","N17229","IAD","19:09"
"UA","07/13/2021","1544","N33266","IAD","12:26"
"UA","07/13/2021","1887","N39463","DEN","23:35"
"UA","07/14/2021","0444","N33264","IAD","19:09"
"UA","07/14/2021","1544","N421UA","IAD","12:25"
"UA","07/14/2021","1887","N39463","DEN","23:35"
"UA","07/15/2021","0444","N76505","IAD","19:09"
"UA","07/15/2021","1544","N404UA","IAD","12:25"
"UA","07/15/2021","1887","N69826","DEN","23:35"
"UA","07/16/2021","0444","N33209","IAD","19:09"
"UA","07/16/2021","1887","N38424","DEN","23:35"
"UA","07/17/2021","0444","N17245","IAD","19:09"
"UA","07/17/2021","1887","N66893","DEN","23:41"
"UA","07/18/2021","0444","N17245","IAD","19:09"
"UA","07/18/2021","1887","N39461","DEN","23:41"
"UA","07/19/2021","0444","N17245","IAD","19:09"
"UA","07/19/2021","1544","N17245","IAD","12:26"
"UA","07/19/2021","1887","N37420","DEN","23:35"
"UA","07/20/2021","0444","N37287","IAD","19:09"
"UA","07/20/2021","1544","N35236","IAD","12:26"
"UA","07/20/2021","1887","N66828","DEN","23:35"
"UA","07/21/2021","0444","N37267","IAD","19:09"
"UA","07/21/2021","1544","N406UA","IAD","12:25"
"UA","07/21/2021","1887","N75429","DEN","23:35"
"UA","07/22/2021","0444","N79521","IAD","19:09"
"UA","07/22/2021","1544","N471UA","IAD","12:25"
"UA","07/22/2021","1887","N75433","DEN","23:35"
"UA","07/23/2021","0444","N77535","IAD","19:09"
"UA","07/23/2021","1887","N75436","DEN","23:35"
"UA","07/24/2021","0444","N12216","IAD","19:09"
"UA","07/24/2021","1887","N75436","DEN","23:41"
"UA","07/25/2021","0444","N26232","IAD","19:09"
"UA","07/25/2021","1887","N34455","DEN","23:35"
"UA","07/26/2021","0444","N17245","IAD","19:09"
"UA","07/26/2021","1544","N73276","IAD","12:26"
"UA","07/26/2021","1887","N38443","DEN","23:35"
"UA","07/27/2021","0444","N79541","IAD","19:09"
"UA","07/27/2021","1544","N14230","IAD","12:26"
"UA","07/27/2021","1887","N34455","DEN","23:35"
"UA","07/28/2021","0444","N54241","IAD","19:09"
"UA","07/28/2021","1544","N461UA","IAD","12:25"
"UA","07/28/2021","1887","N37420","DEN","23:35"
"UA","07/29/2021","0444","N38446","IAD","19:09"
"UA","07/29/2021","1544","N409UA","IAD","12:25"
"UA","07/29/2021","1887","N66837","DEN","23:35"
"UA","07/30/2021","0444","N37273","IAD","19:09"
"UA","07/30/2021","1887","N75426","DEN","23:35"
"UA","07/31/2021","0444","N33209","IAD","19:09"
"UA","07/31/2021","1887","N36469","DEN","23:41"

