Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"UA","07/01/2021","0261","N16701","EWR","06:55"
"UA","07/01/2021","0793","N21723","ORD","13:00"
"UA","07/01/2021","1142","N77520","ORD","16:55"
"UA","07/01/2021","1269","N16732","IAH","16:58"
"UA","07/01/2021","1833","N12216","DEN","16:49"
"UA","07/01/2021","2411","N834UA","EWR","10:15"
"UA","07/02/2021","0261","N14731","EWR","06:55"
"UA","07/02/2021","0793","N418UA","ORD","13:01"
"UA","07/02/2021","1142","N14230","ORD","16:55"
"UA","07/02/2021","1269","N882UA","IAH","16:58"
"UA","07/02/2021","1653","N24706","EWR","10:45"
"UA","07/02/2021","1833","N469UA","DEN","16:49"
"UA","07/02/2021","1912","N832UA","SFO","18:00"
"UA","07/02/2021","2411","N76502","EWR","14:00"
"UA","07/03/2021","0261","N13718","EWR","06:55"
"UA","07/03/2021","1653","N27733","EWR","10:45"
"UA","07/03/2021","1833","N66893","DEN","16:49"
"UA","07/04/2021","0261","N54711","EWR","06:55"
"UA","07/04/2021","1269","N13716","IAH","16:58"
"UA","07/04/2021","1653","N13718","EWR","10:45"
"UA","07/04/2021","1833","N66841","DEN","16:49"
"UA","07/04/2021","1912","N422UA","SFO","18:00"
"UA","07/04/2021","2411","N76515","EWR","14:00"
"UA","07/05/2021","0261","N16709","EWR","06:55"
"UA","07/05/2021","0793","N25705","ORD","13:00"
"UA","07/05/2021","1142","N77535","ORD","16:55"
"UA","07/05/2021","1269","N892UA","IAH","16:58"
"UA","07/05/2021","1653","N54711","EWR","10:45"
"UA","07/05/2021","1833","N18243","DEN","16:49"
"UA","07/05/2021","1912","N874UA","SFO","18:00"
"UA","07/05/2021","2411","N822UA","EWR","14:00"
"UA","07/06/2021","0261","N27733","EWR","06:55"
"UA","07/06/2021","0793","N21723","ORD","13:00"
"UA","07/06/2021","1142","N62896","ORD","16:55"
"UA","07/06/2021","1269","N422UA","IAH","16:58"
"UA","07/06/2021","1653","N33714","EWR","10:45"
"UA","07/06/2021","1833","N36207","DEN","16:49"
"UA","07/06/2021","2411","N893UA","EWR","14:00"
"UA","07/07/2021","0261","","EWR","06:55"
"UA","07/07/2021","0793","N39728","ORD","13:00"
"UA","07/07/2021","1142","N76523","ORD","16:55"
"UA","07/07/2021","1269","N4888U","IAH","16:58"
"UA","07/07/2021","1653","N13750","EWR","10:45"
"UA","07/07/2021","1833","N76265","DEN","16:49"
"UA","07/07/2021","1912","N852UA","SFO","18:00"
"UA","07/07/2021","2411","N4901U","EWR","14:00"
"UA","07/08/2021","0261","N33714","EWR","06:55"
"UA","07/08/2021","0793","N12754","ORD","13:00"
"UA","07/08/2021","1142","N76523","ORD","16:55"
"UA","07/08/2021","1269","N14731","IAH","16:58"
"UA","07/08/2021","1653","","EWR","10:45"
"UA","07/08/2021","1833","N17229","DEN","16:49"
"UA","07/08/2021","2411","N416UA","EWR","14:00"
"UA","07/09/2021","0261","N15710","EWR","06:55"
"UA","07/09/2021","0793","N443UA","ORD","13:01"
"UA","07/09/2021","1142","N76523","ORD","16:55"
"UA","07/09/2021","1269","N819UA","IAH","16:58"
"UA","07/09/2021","1653","N17719","EWR","10:45"
"UA","07/09/2021","1833","N24211","DEN","16:49"
"UA","07/09/2021","1912","N829UA","SFO","18:00"
"UA","07/09/2021","2411","","EWR","14:00"
"UA","07/10/2021","0261","N17719","EWR","06:55"
"UA","07/10/2021","1653","N23707","EWR","10:45"
"UA","07/10/2021","1833","N69813","DEN","16:49"
"UA","07/11/2021","0261","N24706","EWR","06:55"
"UA","07/11/2021","1142","N18220","ORD","16:55"
"UA","07/11/2021","1269","N24736","IAH","16:58"
"UA","07/11/2021","1653","N27733","EWR","10:45"
"UA","07/11/2021","1833","N62849","DEN","16:49"
"UA","07/11/2021","1912","N818UA","SFO","18:00"
"UA","07/12/2021","0261","N16701","EWR","06:55"
"UA","07/12/2021","0793","N17730","ORD","13:00"
"UA","07/12/2021","1142","N76516","ORD","16:55"
"UA","07/12/2021","1269","N851UA","IAH","16:58"
"UA","07/12/2021","1653","","EWR","10:45"
"UA","07/12/2021","1833","N33284","DEN","16:49"
"UA","07/12/2021","1912","N813UA","SFO","18:00"
"UA","07/12/2021","2411","","EWR","14:00"
"UA","07/13/2021","0261","N27733","EWR","06:55"
"UA","07/13/2021","0793","N13718","ORD","13:00"
"UA","07/13/2021","1142","N76516","ORD","16:55"
"UA","07/13/2021","1269","N880UA","IAH","16:58"
"UA","07/13/2021","1653","N15751","EWR","10:45"
"UA","07/13/2021","1833","N17245","DEN","16:49"
"UA","07/13/2021","2411","N825UA","EWR","14:00"
"UA","07/14/2021","0261","N15710","EWR","06:55"
"UA","07/14/2021","0793","N13750","ORD","13:00"
"UA","07/14/2021","1142","N33284","ORD","16:55"
"UA","07/14/2021","1269","N416UA","IAH","16:58"
"UA","07/14/2021","1653","N24715","EWR","10:45"
"UA","07/14/2021","1833","N77530","DEN","16:49"
"UA","07/14/2021","1912","N897UA","SFO","18:00"
"UA","07/14/2021","2411","N835UA","EWR","14:00"
"UA","07/15/2021","0261","N24736","EWR","06:55"
"UA","07/15/2021","0793","N15710","ORD","13:00"
"UA","07/15/2021","1142","N14230","ORD","16:55"
"UA","07/15/2021","1269","N23708","IAH","16:58"
"UA","07/15/2021","1653","N12754","EWR","10:45"
"UA","07/15/2021","1833","N76526","DEN","16:49"
"UA","07/15/2021","2411","N470UA","EWR","14:00"
"UA","07/16/2021","0261","N24702","EWR","06:55"
"UA","07/16/2021","0793","N423UA","ORD","13:01"
"UA","07/16/2021","1142","N14230","ORD","16:55"
"UA","07/16/2021","1269","N893UA","IAH","16:58"
"UA","07/16/2021","1653","N23707","EWR","10:45"
"UA","07/16/2021","1833","N17229","DEN","16:49"
"UA","07/16/2021","1912","N835UA","SFO","18:00"
"UA","07/16/2021","2411","N851UA","EWR","14:00"
"UA","07/17/2021","0261","N24715","EWR","06:55"
"UA","07/17/2021","1653","","EWR","10:45"
"UA","07/17/2021","1833","N75428","DEN","16:49"
"UA","07/18/2021","0261","N24729","EWR","06:55"
"UA","07/18/2021","1269","N16732","IAH","16:58"
"UA","07/18/2021","1653","","EWR","10:45"
"UA","07/18/2021","1833","N68891","DEN","16:49"
"UA","07/18/2021","1912","N463UA","SFO","18:00"
"UA","07/19/2021","0261","N15751","EWR","06:55"
"UA","07/19/2021","0793","N27722","ORD","13:00"
"UA","07/19/2021","1142","N76533","ORD","16:55"
"UA","07/19/2021","1269","N882UA","IAH","16:58"
"UA","07/19/2021","1653","N13720","EWR","10:45"
