Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"AA","07/01/2021","0627","N991NN","CLT","07:21"
"AA","07/01/2021","1049","N9016","CLT","10:00"
"AA","07/01/2021","1063","N900UW","LAX","08:00"
"AA","07/01/2021","1100","N901AA","DFW","15:37"
"AA","07/01/2021","1103","N903AA","DFW","09:39"
"AA","07/01/2021","1104","N835NN","ORD","10:20"
"AA","07/01/2021","1116","N992AN","LAX","19:35"
"AA","07/01/2021","1118","N148AN","DFW","11:46"
"AA","07/01/2021","1169","N357PV","DFW","13:33"
"AA","07/01/2021","1427","N744P","ORD","17:36"
"AA","07/01/2021","1442","N744P","ORD","12:10"
"AA","07/01/2021","1443","N755US","ORD","15:55"
"AA","07/01/2021","1862","N9025B","RDU","06:15"
"AA","07/01/2021","1928","N815NN","CLT","05:30"
"AA","07/01/2021","2182","N197UW","PHX","08:25"
"AA","07/01/2021","2238","N604AW","DFW","19:27"
"AA","07/01/2021","2244","N960AN","DFW","17:21"
"AA","07/01/2021","2583","N808NN","DFW","07:00"
"AA","07/01/2021","2787","N167US","DFW","05:32"
"AA","07/01/2021","2831","N932NN","MIA","06:15"
"AA","07/02/2021","0627","N890NN","CLT","07:21"
"AA","07/02/2021","1049","N655AW","CLT","10:00"
"AA","07/02/2021","1063","N144AN","LAX","08:00"
"AA","07/02/2021","1100","N177US","DFW","15:37"
"AA","07/02/2021","1103","N103US","DFW","09:37"
"AA","07/02/2021","1104","N805NN","ORD","10:20"
"AA","07/02/2021","1116","N919NN","LAX","19:35"
"AA","07/02/2021","1118","N151UW","DFW","11:46"
"AA","07/02/2021","1169","N870NN","DFW","13:33"
"AA","07/02/2021","1427","N834AW","ORD","17:36"
"AA","07/02/2021","1442","N834AW","ORD","12:10"
"AA","07/02/2021","1443","N803NN","ORD","15:55"
"AA","07/02/2021","1862","N9023N","RDU","06:15"
"AA","07/02/2021","1928","N989NN","CLT","05:45"
"AA","07/02/2021","2182","N920US","PHX","08:25"
"AA","07/02/2021","2238","N604AW","DFW","19:27"
"AA","07/02/2021","2244","N879NN","DFW","17:21"
"AA","07/02/2021","2583","N963NN","DFW","07:00"
"AA","07/02/2021","2787","N930AU","DFW","05:30"
"AA","07/02/2021","2831","N932NN","MIA","06:30"
"AA","07/03/2021","0627","N863NN","CLT","07:21"
"AA","07/03/2021","1049","N816AW","CLT","10:00"
"AA","07/03/2021","1063","N158AN","LAX","08:00"
"AA","07/03/2021","1100","N129AA","DFW","15:37"
"AA","07/03/2021","1103","N126UW","DFW","09:37"
"AA","07/03/2021","1104","N979AN","ORD","10:20"
"AA","07/03/2021","1116","N990AN","LAX","19:35"
"AA","07/03/2021","1118","N560UW","DFW","11:46"
"AA","07/03/2021","1169","N944AN","DFW","13:33"
"AA","07/03/2021","1442","N702UW","ORD","12:10"
"AA","07/03/2021","1862","N8009T","RDU","06:15"
"AA","07/03/2021","1928","N956AN","CLT","05:45"
"AA","07/03/2021","2182","N545UW","PHX","08:25"
"AA","07/03/2021","2238","N649AW","DFW","19:27"
"AA","07/03/2021","2244","N907NN","DFW","17:26"
"AA","07/03/2021","2583","N878NN","DFW","07:00"
"AA","07/03/2021","2787","N134AN","DFW","05:30"
"AA","07/03/2021","2831","N338ST","MIA","06:30"
"AA","07/04/2021","0627","N920NN","CLT","07:21"
"AA","07/04/2021","1049","N723UW","CLT","10:00"
"AA","07/04/2021","1063","N131NN","LAX","08:00"
"AA","07/04/2021","1100","N187US","DFW","15:37"
"AA","07/04/2021","1118","N560UW","DFW","11:46"
"AA","07/04/2021","1442","N755US","ORD","12:10"
"AA","07/04/2021","1928","N857NN","CLT","05:45"
"AA","07/04/2021","2182","N198UW","PHX","08:25"
"AA","07/04/2021","2244","N872NN","DFW","17:21"
"AA","07/04/2021","2583","N963NN","DFW","07:00"
"AA","07/04/2021","2787","N124AA","DFW","05:47"
"AA","07/04/2021","2831","N324SH","MIA","06:02"
"AA","07/05/2021","0627","N924AN","CLT","07:21"
"AA","07/05/2021","1049","N650AW","CLT","10:00"
"AA","07/05/2021","1063","N136AN","LAX","08:00"
"AA","07/05/2021","1100","N902AA","DFW","16:01"
"AA","07/05/2021","1103","N659AW","DFW","09:37"
"AA","07/05/2021","1104","N979AN","ORD","10:20"
"AA","07/05/2021","1116","N358PW","LAX","19:35"
"AA","07/05/2021","1118","N579UW","DFW","11:46"
"AA","07/05/2021","1442","N769US","ORD","12:10"
"AA","07/05/2021","1443","N832AW","ORD","15:55"
"AA","07/05/2021","1862","N8009T","RDU","06:15"
"AA","07/05/2021","1928","N957AN","CLT","05:45"
"AA","07/05/2021","2182","N344PP","PHX","08:25"
"AA","07/05/2021","2238","N663AW","DFW","19:27"
"AA","07/05/2021","2244","N990AN","DFW","17:21"
"AA","07/05/2021","2583","N970AN","DFW","07:00"
"AA","07/05/2021","2787","N130AN","DFW","05:30"
"AA","07/05/2021","2831","N336SR","MIA","06:30"
"AA","07/06/2021","0627","N935NN","CLT","07:21"
"AA","07/06/2021","1049","N601AW","CLT","10:00"
"AA","07/06/2021","1063","N165NN","LAX","08:00"
"AA","07/06/2021","1100","N932AM","DFW","15:37"
"AA","07/06/2021","1103","N508AY","DFW","09:37"
"AA","07/06/2021","1104","N813NN","ORD","10:20"
"AA","07/06/2021","1116","N890NN","LAX","19:35"
"AA","07/06/2021","1118","N567UW","DFW","11:46"
"AA","07/06/2021","1169","N961NN","DFW","13:33"
"AA","07/06/2021","1427","N829AW","ORD","17:36"
"AA","07/06/2021","1442","N829AW","ORD","12:10"
"AA","07/06/2021","1443","N837AW","ORD","15:55"
"AA","07/06/2021","1862","N9016","RDU","06:15"
"AA","07/06/2021","2182","N554UW","PHX","08:25"
"AA","07/06/2021","2238","N121UW","DFW","19:27"
"AA","07/06/2021","2244","N829NN","DFW","17:21"
"AA","07/06/2021","2583","N868NN","DFW","07:00"
"AA","07/06/2021","2787","N910AU","DFW","05:30"
"AA","07/06/2021","2831","N350RV","MIA","06:30"
"AA","07/07/2021","0627","N991NN","CLT","07:21"
"AA","07/07/2021","1049","N119US","CLT","10:00"
"AA","07/07/2021","1063","N165NN","LAX","08:00"
"AA","07/07/2021","1100","N998AN","DFW","15:37"
"AA","07/07/2021","1103","N579UW","DFW","09:37"
"AA","07/07/2021","1116","N936NN","LAX","19:35"
"AA","07/07/2021","1118","N507AY","DFW","11:46"
"AA","07/07/2021","1427","N832AW","ORD","17:36"
"AA","07/07/2021","1442","N815AW","ORD","12:10"
"AA","07/07/2021","1443","N815AW","ORD","15:55"
"AA","07/07/2021","1862","N5007E","RDU","06:15"
"AA","07/07/2021","1928","N808NN","CLT","05:45"
"AA","07/07/2021","2182","N575UW","PHX","08:25"
"AA","07/07/2021","2238","N679AW","DFW","19:27"
"AA","07/07/2021","2244","N901NN","DFW","17:21"
"AA","07/07/2021","2583","N943AN","DFW","07:00"
"AA","07/07/2021","2787","N133AN","DFW","05:30"
"AA","07/07/2021","2831","N335RT","MIA","06:30"
"AA","07/08/2021","0627","N969NN","CLT","07:21"
"AA","07/08/2021","1049","N661AW","CLT","10:00"
"AA","07/08/2021","1063","N434AN","LAX","08:00"
"AA","07/08/2021","1100","N149AN","DFW","15:37"
"AA","07/08/2021","1103","N604AW","DFW","09:37"
"AA","07/08/2021","1104","N981AN","ORD","10:20"
"AA","07/08/2021","1116","N945NN","LAX","19:35"
"AA","07/08/2021","1118","N177US","DFW","11:46"
"AA","07/08/2021","1427","N804AW","ORD","17:36"
"AA","07/08/2021","1442","N826AW","ORD","12:10"
"AA","07/08/2021","1443","N819AW","ORD","15:55"
"AA","07/08/2021","1862","N9016","RDU","06:15"
"AA","07/08/2021","1928","N875NN","CLT","05:45"
"AA","07/08/2021","2182","N154UW","PHX","08:25"
"AA","07/08/2021","2238","N649AW","DFW","19:27"
"AA","07/08/2021","2244","N922AN","DFW","17:21"
"AA","07/08/2021","2583","N961NN","DFW","07:00"
"AA","07/08/2021","2787","N177US","DFW","05:30"
"AA","07/08/2021","2831","N876NN","MIA","06:30"
"AA","07/09/2021","0627","N355PU","CLT","07:21"
"AA","07/09/2021","1049","N673AW","CLT","10:00"
"AA","07/09/2021","1063","N136AN","LAX","08:00"
"AA","07/09/2021","1100","N931AM","DFW","15:37"
"AA","07/09/2021","1103","N112US","DFW","09:37"
"AA","07/09/2021","1104","N864NN","ORD","10:20"
"AA","07/09/2021","1116","N337PJ","LAX","19:35"
"AA","07/09/2021","1118","N180US","DFW","11:46"
"AA","07/09/2021","1427","N804AW","ORD","17:36"
"AA","07/09/2021","1442","N823AW","ORD","12:10"
"AA","07/09/2021","1443","N161UW","ORD","15:55"
"AA","07/09/2021","1862","N93003","RDU","06:15"
"AA","07/09/2021","1928","N924AN","CLT","05:45"
"AA","07/09/2021","2182","N199UW","PHX","08:25"
"AA","07/09/2021","2238","N655AW","DFW","19:27"
"AA","07/09/2021","2244","N960NN","DFW","17:21"
"AA","07/09/2021","2583","N922AN","DFW","07:00"
"AA","07/09/2021","2787","N989AU","DFW","05:30"
"AA","07/09/2021","2831","N968NN","MIA","06:30"
