Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"DL","07/01/2021","0338","N873DN","SLC","19:20"
"DL","07/01/2021","0348","N822DX","MSP","13:45"
"DL","07/01/2021","0491","N816DN","LAX","06:54"
"DL","07/01/2021","0532","N886DN","SLC","11:25"
"DL","07/01/2021","0555","N376DN","LGA","06:00"
"DL","07/01/2021","0569","N334DN","JFK","06:20"
"DL","07/01/2021","0573","N868DN","DTW","21:25"
"DL","07/01/2021","0676","N926DZ","SEA","08:55"
"DL","07/01/2021","0770","N891DN","SLC","07:25"
"DL","07/01/2021","0800","N854DN","LAX","11:24"
"DL","07/01/2021","0810","N816DN","LAX","19:54"
"DL","07/01/2021","0854","N339NB","RDU","17:31"
"DL","07/01/2021","1060","N398DA","CVG","16:36"
"DL","07/01/2021","1107","N670DN","ATL","18:10"
"DL","07/01/2021","1246","N369DN","LGA","15:31"
"DL","07/01/2021","1265","N1604R","ATL","20:44"
"DL","07/01/2021","1319","N921DU","MSP","08:00"
"DL","07/01/2021","1405","N103DY","LGA","19:59"
"DL","07/01/2021","1417","N380DA","BOS","11:11"
"DL","07/01/2021","1474","N370DN","BOS","18:20"
"DL","07/01/2021","1533","N582NW","ATL","11:11"
"DL","07/01/2021","1544","N670DN","ATL","06:05"
"DL","07/01/2021","1551","N670DN","ATL","12:15"
"DL","07/01/2021","1553","N660DL","ATL","19:36"
"DL","07/01/2021","1559","N861DN","JFK","08:30"
"DL","07/01/2021","1580","N676DL","ATL","10:10"
"DL","07/01/2021","1588","N675DL","ATL","14:35"
"DL","07/01/2021","1592","N334DN","JFK","14:39"
"DL","07/01/2021","1599","N684DA","DTW","06:15"
"DL","07/01/2021","1602","N6706Q","ATL","07:00"
"DL","07/01/2021","1669","N3754A","BOS","07:15"
"DL","07/01/2021","1677","N847DN","SEA","18:28"
"DL","07/01/2021","1689","N869DN","LAX","15:49"
"DL","07/01/2021","2027","N591NW","DTW","08:10"
"DL","07/01/2021","2048","N120DN","DTW","16:40"
"DL","07/01/2021","2058","N339NB","RDU","11:03"
"DL","07/01/2021","2071","N844DN","MSP","17:52"
"DL","07/01/2021","2081","N395DZ","DTW","14:22"
"DL","07/01/2021","2131","N396DN","LGA","10:54"
"DL","07/01/2021","2132","N103DY","JFK","11:18"
"DL","07/01/2021","2168","N596NW","DTW","12:42"
"DL","07/01/2021","2176","N697DL","MSP","15:54"
"DL","07/01/2021","2177","N860NW","SLC","16:10"
"DL","07/01/2021","2245","N584NW","ATL","08:00"
"DL","07/01/2021","2282","N175DN","ATL","09:00"
"DL","07/01/2021","2300","N375DN","JFK","19:59"
"DL","07/01/2021","2303","N660DL","ATL","13:32"
"DL","07/01/2021","2431","N830DN","CVG","07:15"
"DL","07/01/2021","2523","N319NB","RDU","06:00"
"DL","07/01/2021","2538","N538US","DTW","18:50"
"DL","07/01/2021","2552","N302DN","MSP","06:00"
"DL","07/01/2021","2567","N554NW","ATL","15:50"
"DL","07/02/2021","0338","N879DN","SLC","19:20"
"DL","07/02/2021","0348","N820DX","MSP","13:45"
"DL","07/02/2021","0491","N857DZ","LAX","06:54"
"DL","07/02/2021","0532","N907DN","SLC","11:25"
"DL","07/02/2021","0555","N339DN","LGA","06:00"
"DL","07/02/2021","0569","N334DN","JFK","06:20"
"DL","07/02/2021","0573","N927DZ","DTW","21:25"
"DL","07/02/2021","0676","N901DN","SEA","08:55"
"DL","07/02/2021","0770","N873DN","SLC","07:25"
"DL","07/02/2021","0800","N811DZ","LAX","11:24"
"DL","07/02/2021","0810","N857DZ","LAX","19:54"
"DL","07/02/2021","0854","N319NB","RDU","17:31"
"DL","07/02/2021","1060","N3765","CVG","16:36"
"DL","07/02/2021","1107","N540US","ATL","18:10"
"DL","07/02/2021","1246","N351DN","LGA","15:31"
"DL","07/02/2021","1265","N178DZ","ATL","20:44"
"DL","07/02/2021","1319","N852DN","MSP","08:00"
"DL","07/02/2021","1405","N375DN","LGA","19:59"
"DL","07/02/2021","1417","N392DA","BOS","11:11"
"DL","07/02/2021","1474","N309DN","BOS","18:20"
"DL","07/02/2021","1533","N591NW","ATL","11:11"
"DL","07/02/2021","1544","N550NW","ATL","06:05"
"DL","07/02/2021","1551","N550NW","ATL","12:15"
"DL","07/02/2021","1553","N674DL","ATL","19:36"
"DL","07/02/2021","1559","N917DU","JFK","08:30"
"DL","07/02/2021","1580","N197DN","ATL","10:10"
"DL","07/02/2021","1588","N670DN","ATL","14:35"
"DL","07/02/2021","1592","N334DN","JFK","14:39"
"DL","07/02/2021","1599","N676DL","DTW","06:15"
"DL","07/02/2021","1602","N684DA","ATL","07:00"
"DL","07/02/2021","1669","N3755D","BOS","07:15"
"DL","07/02/2021","1677","N865DN","SEA","18:28"
"DL","07/02/2021","1689","N902DN","LAX","15:49"
"DL","07/02/2021","2027","N588NW","DTW","08:10"
"DL","07/02/2021","2058","N319NB","RDU","11:03"
"DL","07/02/2021","2071","N848DN","MSP","17:52"
"DL","07/02/2021","2081","N357DN","DTW","14:22"
"DL","07/02/2021","2131","N396DN","LGA","10:54"
"DL","07/02/2021","2132","N375DN","JFK","11:18"
"DL","07/02/2021","2168","N595NW","DTW","12:42"
"DL","07/02/2021","2176","N690DL","MSP","15:54"
"DL","07/02/2021","2177","N859NW","SLC","16:10"
"DL","07/02/2021","2245","N589NW","ATL","08:00"
"DL","07/02/2021","2282","N171DN","ATL","09:00"
"DL","07/02/2021","2300","N328DN","JFK","19:59"
