Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"AA","07/01/2021","0473","N987AN","CLT","19:32"
"AA","07/01/2021","0577","N932AM","DFW","21:59"
"AA","07/01/2021","0670","N973AN","ORD","18:51"
"AA","07/01/2021","0850","N943NN","LAX","18:13"
"AA","07/01/2021","0869","N833NN","CLT","21:49"
"AA","07/01/2021","0897","N904AA","LAX","13:46"
"AA","07/01/2021","0903","N156UW","LAX","23:20"
"AA","07/01/2021","1094","N930AU","DFW","15:47"
"AA","07/01/2021","1217","N190UW","DFW","20:12"
"AA","07/01/2021","1309","N807AW","PHX","16:17"
"AA","07/01/2021","1313","N521UW","PHL","11:03"
"AA","07/01/2021","1316","N967AN","CLT","10:51"
"AA","07/01/2021","1320","N509AY","DFW","08:12"
"AA","07/01/2021","1321","N179UW","DFW","13:43"
"AA","07/01/2021","1322","N916US","DFW","17:43"
"AA","07/01/2021","1328","N912UY","CLT","08:59"
"AA","07/01/2021","1329","N198UW","PHX","20:12"
"AA","07/01/2021","1332","N151AN","PHX","12:39"
"AA","07/01/2021","1379","N580UW","LAX","16:46"
"AA","07/01/2021","1387","N850NN","ORD","22:38"
"AA","07/01/2021","1475","N983NN","CLT","13:14"
"AA","07/01/2021","1713","N118NN","PHL","12:30"
"AA","07/01/2021","2191","N947AN","MIA","01:02"
"AA","07/01/2021","2218","N980UY","DFW","07:08"
"AA","07/01/2021","2315","N519UW","PHX","22:55"
"AA","07/01/2021","2357","N161AA","DFW","09:55"
"AA","07/01/2021","2361","N998AN","ORD","13:51"
"AA","07/01/2021","2363","N906AA","ORD","16:56"
"AA","07/01/2021","2367","N324RN","MIA","11:59"
"AA","07/01/2021","2368","N191UW","ORD","09:57"
"AA","07/01/2021","2372","N305NX","CLT","15:00"
"AA","07/01/2021","2516","N539UW","PHL","20:59"
"AA","07/02/2021","0473","N816NN","CLT","19:34"
"AA","07/02/2021","0577","N161UW","DFW","21:59"
"AA","07/02/2021","0662","N913NN","DFW","23:35"
"AA","07/02/2021","0670","N959AN","ORD","18:51"
"AA","07/02/2021","0850","N894NN","LAX","18:13"
"AA","07/02/2021","0869","N942NN","CLT","21:49"
"AA","07/02/2021","0897","N970NN","LAX","13:52"
"AA","07/02/2021","0903","N854NN","LAX","23:50"
"AA","07/02/2021","1094","N179UW","DFW","15:47"
"AA","07/02/2021","1217","N174US","DFW","20:12"
"AA","07/02/2021","1320","N174US","DFW","08:12"
"AA","07/02/2021","1321","N997AA","DFW","13:43"
"AA","07/02/2021","1322","N126AN","DFW","17:43"
"AA","07/02/2021","1328","N586UW","CLT","08:59"
"AA","07/02/2021","1329","N150UW","PHX","20:12"
"AA","07/02/2021","1332","N929AA","PHX","12:39"
"AA","07/02/2021","1379","N154UW","LAX","16:46"
"AA","07/02/2021","1387","N927NN","ORD","22:33"
"AA","07/02/2021","1475","N858NN","CLT","13:10"
"AA","07/02/2021","1713","N906AA","PHL","12:30"
"AA","07/02/2021","2142","N900UW","DFW","11:55"
"AA","07/02/2021","2191","N929NN","MIA","01:02"
"AA","07/02/2021","2218","N926UW","DFW","07:04"
"AA","07/02/2021","2315","N194UW","PHX","22:55"
"AA","07/02/2021","2357","N174US","DFW","09:55"
"AA","07/02/2021","2361","N158AN","ORD","13:51"
"AA","07/02/2021","2363","N163AA","ORD","16:56"
"AA","07/02/2021","2367","N327SK","MIA","11:14"
"AA","07/02/2021","2368","N191UW","ORD","09:57"
"AA","07/02/2021","2372","N956AN","CLT","15:00"
"AA","07/02/2021","2516","N199UW","PHL","20:59"
"AA","07/02/2021","2859","N199UW","PHL","11:03"
"AA","07/02/2021","2923","N806AW","PHX","16:17"
"AA","07/03/2021","0473","N316RK","CLT","19:34"
"AA","07/03/2021","0577","N167AN","DFW","21:59"
"AA","07/03/2021","0662","N854NN","DFW","23:35"
"AA","07/03/2021","0670","N575UW","ORD","19:25"
"AA","07/03/2021","0869","N908NN","CLT","21:49"
"AA","07/03/2021","0897","N855NN","LAX","13:52"
"AA","07/03/2021","0903","N925NN","LAX","23:50"
"AA","07/03/2021","1094","N990AU","DFW","15:47"
"AA","07/03/2021","1217","N161UW","DFW","20:12"
"AA","07/03/2021","1316","N956AN","CLT","10:51"
"AA","07/03/2021","1320","N163US","DFW","08:12"
"AA","07/03/2021","1321","N604AW","DFW","13:43"
"AA","07/03/2021","1322","N187US","DFW","17:43"
"AA","07/03/2021","1328","N552UW","CLT","08:59"
"AA","07/03/2021","1329","N913US","PHX","20:12"
"AA","07/03/2021","1332","N159AN","PHX","12:39"
"AA","07/03/2021","1379","N970UY","LAX","16:46"
"AA","07/03/2021","1475","N949NN","CLT","13:13"
"AA","07/03/2021","2142","N927UW","DFW","11:55"
"AA","07/03/2021","2191","N923AN","MIA","01:02"
"AA","07/03/2021","2218","N557UW","DFW","07:04"
"AA","07/03/2021","2357","N926UW","DFW","09:55"
"AA","07/03/2021","2361","N933AM","ORD","13:51"
"AA","07/03/2021","2363","N805NN","ORD","16:56"
"AA","07/03/2021","2367","N308RD","MIA","11:14"
"AA","07/03/2021","2368","N916US","ORD","09:57"
"AA","07/03/2021","2372","N314PD","CLT","15:00"
"AA","07/03/2021","2516","N979UY","PHL","21:37"
"AA","07/03/2021","2859","N145AN","PHL","11:03"
"AA","07/03/2021","2923","N807AW","PHX","16:17"
"AA","07/04/2021","0577","N172US","DFW","21:59"
"AA","07/04/2021","0670","N976NN","ORD","18:51"
"AA","07/04/2021","0850","N864NN","LAX","18:13"
"AA","07/04/2021","0869","N881NN","CLT","21:49"
"AA","07/04/2021","0903","N922AN","LAX","23:50"
"AA","07/04/2021","1094","N928AM","DFW","15:47"
"AA","07/04/2021","1217","N914UY","DFW","20:12"
"AA","07/04/2021","1316","N918US","CLT","10:51"
"AA","07/04/2021","1321","N507AY","DFW","13:43"
"AA","07/04/2021","1322","N912UY","DFW","17:43"
"AA","07/04/2021","1332","N981UY","PHX","16:08"
"AA","07/04/2021","1379","N925UY","LAX","16:46"
"AA","07/04/2021","1475","N876NN","CLT","13:10"
"AA","07/04/2021","2142","N124AA","DFW","11:55"
"AA","07/04/2021","2191","N855NN","MIA","01:02"
"AA","07/04/2021","2357","N132AN","DFW","09:55"
"AA","07/04/2021","2361","N979AN","ORD","13:51"
"AA","07/04/2021","2363","N165NN","ORD","16:56"
"AA","07/04/2021","2367","N324RN","MIA","11:14"
"AA","07/04/2021","2516","N972UY","PHL","21:37"
"AA","07/05/2021","0473","N987NN","CLT","19:34"
"AA","07/05/2021","0577","N166NN","DFW","21:59"
"AA","07/05/2021","0662","N940AN","DFW","23:35"
"AA","07/05/2021","0670","N829NN","ORD","18:51"
"AA","07/05/2021","0850","N939NN","LAX","18:13"
"AA","07/05/2021","0869","N994NN","CLT","21:49"
"AA","07/05/2021","0897","N200NV","LAX","13:52"
"AA","07/05/2021","0903","N355PU","LAX","23:50"
"AA","07/05/2021","1094","N910AU","DFW","15:47"
"AA","07/05/2021","1217","N180US","DFW","20:12"
"AA","07/05/2021","1316","N913NN","CLT","10:51"
"AA","07/05/2021","1321","N934AA","DFW","13:43"
"AA","07/05/2021","1322","N196UW","DFW","17:43"
"AA","07/05/2021","1328","N582UW","CLT","08:59"
"AA","07/05/2021","1329","N519UW","PHX","20:12"
"AA","07/05/2021","1332","N150NN","PHX","12:44"
"AA","07/05/2021","1379","N536UW","LAX","16:46"
"AA","07/05/2021","1387","N979AN","ORD","22:33"
"AA","07/05/2021","1475","N949NN","CLT","13:10"
"AA","07/05/2021","1713","N981AN","PHL","12:30"
"AA","07/05/2021","2142","N507AY","DFW","11:55"
"AA","07/05/2021","2191","N857NN","MIA","01:02"
"AA","07/05/2021","2315","N155UW","PHX","22:55"
"AA","07/05/2021","2357","N563UW","DFW","09:55"
"AA","07/05/2021","2361","N153AN","ORD","13:51"
"AA","07/05/2021","2363","N132AN","ORD","16:56"
"AA","07/05/2021","2367","N339SU","MIA","11:14"
"AA","07/05/2021","2368","N183UW","ORD","09:57"
"AA","07/05/2021","2372","N849NN","CLT","15:00"
"AA","07/05/2021","2516","N154UW","PHL","20:59"
"AA","07/05/2021","2859","N987AN","PHL","11:03"
"AA","07/06/2021","0473","N877NN","CLT","19:34"
"AA","07/06/2021","0577","N152AA","DFW","21:59"
"AA","07/06/2021","0662","N853NN","DFW","23:35"
"AA","07/06/2021","0670","N931NN","ORD","18:51"
"AA","07/06/2021","0869","N977NN","CLT","21:49"
"AA","07/06/2021","0897","N317PG","LAX","13:52"
"AA","07/06/2021","0903","N978NN","LAX","23:50"
"AA","07/06/2021","1094","N157AA","DFW","15:47"
"AA","07/06/2021","1217","N970UY","DFW","20:12"
"AA","07/06/2021","1316","N948AN","CLT","10:51"
"AA","07/06/2021","1320","N150UW","DFW","08:12"
"AA","07/06/2021","1321","N907AA","DFW","13:43"
"AA","07/06/2021","1322","N916US","DFW","17:43"
"AA","07/06/2021","1328","N162UW","CLT","08:59"
"AA","07/06/2021","1329","N199UW","PHX","20:12"
"AA","07/06/2021","1332","N989AU","PHX","12:39"
"AA","07/06/2021","1379","N539UW","LAX","16:46"
"AA","07/06/2021","1387","N956AN","ORD","22:33"
"AA","07/06/2021","2142","N154AA","DFW","11:55"
"AA","07/06/2021","2191","N837NN","MIA","01:02"
"AA","07/06/2021","2218","N521UW","DFW","07:04"
"AA","07/06/2021","2315","N982VJ","PHX","22:55"
"AA","07/06/2021","2357","N545UW","DFW","09:55"
"AA","07/06/2021","2361","N928AM","ORD","13:51"
"AA","07/06/2021","2363","N986AN","ORD","16:56"
"AA","07/06/2021","2367","N918NN","MIA","11:14"
"AA","07/06/2021","2368","N913US","ORD","09:57"
"AA","07/06/2021","2516","N576UW","PHL","20:59"
"AA","07/06/2021","2859","N995NN","PHL","11:03"
"AA","07/06/2021","2923","N763US","PHX","16:17"
"AA","07/07/2021","0473","N923AN","CLT","19:34"
"AA","07/07/2021","0577","N989AU","DFW","21:59"
"AA","07/07/2021","0662","N970AN","DFW","23:35"
"AA","07/07/2021","0670","N996NN","ORD","18:51"
"AA","07/07/2021","0850","N306NY","LAX","18:13"
"AA","07/07/2021","0869","N342PM","CLT","21:49"
"AA","07/07/2021","0897","N338PK","LAX","13:52"
"AA","07/07/2021","0903","N893NN","LAX","23:50"
"AA","07/07/2021","1094","N150NN","DFW","15:47"
"AA","07/07/2021","1217","N507AY","DFW","20:12"
"AA","07/07/2021","1316","N959AN","CLT","10:51"
"AA","07/07/2021","1320","N587UW","DFW","08:12"
"AA","07/07/2021","1321","N904AA","DFW","13:43"
"AA","07/07/2021","1322","N549UW","DFW","17:43"
"AA","07/07/2021","1328","N975UY","CLT","08:59"
"AA","07/07/2021","1329","N186US","PHX","20:12"
"AA","07/07/2021","1332","N128AN","PHX","12:39"
"AA","07/07/2021","1379","N165US","LAX","16:46"
"AA","07/07/2021","1387","N986NN","ORD","22:33"
"AA","07/07/2021","1475","N809NN","CLT","13:10"
"AA","07/07/2021","2142","N901AA","DFW","11:55"
"AA","07/07/2021","2191","N949AN","MIA","01:02"
"AA","07/07/2021","2218","N540UW","DFW","07:04"
"AA","07/07/2021","2315","N542UW","PHX","22:55"
"AA","07/07/2021","2357","N926UW","DFW","09:55"
"AA","07/07/2021","2361","N932AM","ORD","13:51"
"AA","07/07/2021","2363","N163AA","ORD","16:56"
"AA","07/07/2021","2367","N316RK","MIA","11:14"
"AA","07/07/2021","2368","N563UW","ORD","09:57"
"AA","07/07/2021","2372","N934NN","CLT","15:00"
"AA","07/07/2021","2516","N572UW","PHL","20:59"
"AA","07/07/2021","2859","N987NN","PHL","11:03"
"AA","07/07/2021","2923","N833AW","PHX","16:17"
"AA","07/08/2021","0473","N972AN","CLT","19:34"
"AA","07/08/2021","0577","N155NN","DFW","21:59"
"AA","07/08/2021","0662","N964AN","DFW","23:35"
"AA","07/08/2021","0670","N917NN","ORD","18:51"
"AA","07/08/2021","0850","N957NN","LAX","18:13"
"AA","07/08/2021","0869","N980NN","CLT","21:49"
"AA","07/08/2021","0897","N956NN","LAX","13:52"
"AA","07/08/2021","0903","N955NN","LAX","23:50"
"AA","07/08/2021","1094","N155NN","DFW","15:47"
"AA","07/08/2021","1217","N970UY","DFW","20:12"
"AA","07/08/2021","1316","N947AN","CLT","10:51"
"AA","07/08/2021","1320","N519UW","DFW","08:12"
"AA","07/08/2021","1321","N932AM","DFW","13:43"
"AA","07/08/2021","1322","N179UW","DFW","17:43"
"AA","07/08/2021","1328","N150UW","CLT","08:59"
