Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"DL","07/01/2021","0451","N366DX","ATL","22:11"
"DL","07/01/2021","0970","N832MH","JFK","10:25"
"DL","07/01/2021","0973","N345DN","ATL","10:45"
"DL","07/01/2021","0974","N3747D","LGA","10:01"
"DL","07/01/2021","0979","N110DX","ATL","15:00"
"DL","07/01/2021","0982","N398DN","ATL","12:16"
"DL","07/01/2021","1137","N3764D","SLC","09:47"
"DL","07/01/2021","1232","N690DL","MSP","22:48"
"DL","07/01/2021","1251","N114DN","DTW","22:38"
"DL","07/01/2021","1258","N875DN","MSP","19:49"
"DL","07/01/2021","1286","N109DN","MSP","12:27"
"DL","07/01/2021","1404","N371DN","ATL","21:07"
"DL","07/01/2021","1595","N124DU","SLC","11:35"
"DL","07/01/2021","1596","N853DN","SLC","22:53"
"DL","07/01/2021","1600","N845MH","ATL","09:20"
"DL","07/01/2021","1683","N907DN","DTW","17:39"
"DL","07/01/2021","1698","N840MH","ATL","23:48"
"DL","07/01/2021","2065","N139DU","SEA","22:45"
"DL","07/01/2021","2084","N341DN","DTW","13:31"
"DL","07/01/2021","2103","N878DN","CVG","13:34"
"DL","07/01/2021","2147","N366NW","MSP","07:30"
"DL","07/01/2021","2154","N341NW","MSP","16:49"
"DL","07/01/2021","2280","N130DU","LAX","13:32"
"DL","07/01/2021","2310","N107DN","LAX","23:20"
"DL","07/01/2021","2383","N120DU","SLC","15:44"
"DL","07/01/2021","2407","N849DN","MSP","10:24"
"DL","07/01/2021","2487","N138DU","SLC","19:31"
"DL","07/01/2021","2515","N357DN","DTW","10:06"
"DL","07/01/2021","2539","N344DN","ATL","17:39"
"DL","07/01/2021","2583","N135DQ","SLC","17:15"
"DL","07/02/2021","0451","N109DN","ATL","22:11"
"DL","07/02/2021","0970","N832MH","JFK","10:25"
"DL","07/02/2021","0973","N398DN","ATL","10:45"
"DL","07/02/2021","0974","N3769L","LGA","10:01"
"DL","07/02/2021","0979","N392DN","ATL","15:00"
"DL","07/02/2021","0982","N370DN","ATL","12:16"
"DL","07/02/2021","1137","N3737C","SLC","09:47"
"DL","07/02/2021","1232","N697DL","MSP","22:48"
"DL","07/02/2021","1251","N114DN","DTW","22:38"
"DL","07/02/2021","1258","N916DU","MSP","19:49"
"DL","07/02/2021","1286","N349DX","MSP","12:27"
"DL","07/02/2021","1404","N370DN","ATL","21:07"
"DL","07/02/2021","1595","N135DQ","SLC","11:35"
"DL","07/02/2021","1596","N837DN","SLC","22:53"
"DL","07/02/2021","1600","N825MH","ATL","09:20"
"DL","07/02/2021","1683","N868DN","DTW","17:39"
"DL","07/02/2021","1698","N839MH","ATL","23:48"
"DL","07/02/2021","2065","N141DU","SEA","22:45"
"DL","07/02/2021","2084","N353DN","DTW","13:31"
"DL","07/02/2021","2103","N897DN","CVG","13:34"
"DL","07/02/2021","2147","N361NW","MSP","07:30"
"DL","07/02/2021","2154","N353NW","MSP","16:49"
"DL","07/02/2021","2280","N112DU","LAX","13:32"
"DL","07/02/2021","2310","N365DN","LAX","23:20"
"DL","07/02/2021","2383","N114DU","SLC","15:44"
"DL","07/02/2021","2407","N839DN","MSP","10:24"
"DL","07/02/2021","2487","N108DQ","SLC","19:31"
"DL","07/02/2021","2515","N330DX","DTW","10:06"
"DL","07/02/2021","2539","N355DN","ATL","17:39"
"DL","07/02/2021","2583","N107DU","SLC","17:15"
"DL","07/03/2021","0451","N355DN","ATL","22:11"
"DL","07/03/2021","0970","N833MH","JFK","10:25"
"DL","07/03/2021","0973","N306DN","ATL","10:45"
"DL","07/03/2021","0974","N3764D","LGA","10:01"
"DL","07/03/2021","0979","N113DX","ATL","15:00"
"DL","07/03/2021","0982","N309DN","ATL","12:16"
"DL","07/03/2021","1137","N3735D","SLC","09:47"
"DL","07/03/2021","1232","N899DN","MSP","22:48"
"DL","07/03/2021","1251","N311DN","DTW","22:38"
"DL","07/03/2021","1258","N6714Q","MSP","19:49"
"DL","07/03/2021","1286","N913DU","MSP","12:28"
