Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"DL","07/01/2021","0448","N327DN","ATL","08:38"
"DL","07/01/2021","0662","N140DU","MSP","17:41"
"DL","07/01/2021","1021","N389DN","SLC","18:10"
"DL","07/01/2021","1041","N351NW","LAX","14:28"
"DL","07/01/2021","1054","N303DU","DTW","10:00"
"DL","07/01/2021","1093","N126DU","LGA","15:35"
"DL","07/01/2021","1097","N369NW","SLC","13:41"
"DL","07/01/2021","1103","N369NW","SLC","21:17"
"DL","07/01/2021","1134","N136DQ","LGA","09:58"
"DL","07/01/2021","1138","N103DU","LGA","22:52"
"DL","07/01/2021","1226","N119DN","ATL","23:59"
"DL","07/01/2021","1238","N119DN","ATL","17:20"
"DL","07/01/2021","1240","N348NW","ATL","10:50"
"DL","07/01/2021","1330","N140DU","MSP","10:00"
"DL","07/01/2021","1519","N351NW","LAX","23:05"
"DL","07/01/2021","1780","N309DN","ATL","12:44"
"DL","07/01/2021","2069","N369NB","DTW","14:53"
"DL","07/01/2021","2106","N108DN","ATL","20:16"
"DL","07/01/2021","2121","N340NW","DTW","22:57"
"DL","07/01/2021","2169","N135DQ","SLC","11:39"
"DL","07/01/2021","2205","N318DX","MSP","15:26"
"DL","07/01/2021","2250","N136DQ","MSP","20:38"
"DL","07/01/2021","2268","N304DU","DTW","17:18"
"DL","07/01/2021","2270","N301DU","MSP","23:06"
"DL","07/01/2021","2338","N116DN","ATL","21:40"
"DL","07/01/2021","2373","N353NB","SLC","00:17"
"DL","07/01/2021","2508","N328DN","ATL","15:28"
"DL","07/02/2021","0448","N344DN","ATL","08:38"
"DL","07/02/2021","0662","N116DU","MSP","17:41"
"DL","07/02/2021","1021","N348DN","SLC","18:10"
"DL","07/02/2021","1041","N340NW","LAX","14:28"
"DL","07/02/2021","1054","N303DU","DTW","10:00"
"DL","07/02/2021","1093","N103DU","LGA","15:35"
"DL","07/02/2021","1097","N355NW","SLC","13:41"
"DL","07/02/2021","1103","N335NW","SLC","21:17"
"DL","07/02/2021","1134","N126DU","LGA","09:58"
"DL","07/02/2021","1138","N140DU","LGA","22:52"
"DL","07/02/2021","1226","N367DN","ATL","23:59"
"DL","07/02/2021","1238","N386DN","ATL","17:20"
"DL","07/02/2021","1240","N340DN","ATL","10:50"
"DL","07/02/2021","1330","N140DU","MSP","10:00"
"DL","07/02/2021","1519","N340NW","LAX","23:05"
"DL","07/02/2021","1780","N331DN","ATL","12:44"
"DL","07/02/2021","2069","N333NB","DTW","14:53"
"DL","07/02/2021","2106","N314DN","ATL","20:16"
"DL","07/02/2021","2121","N369NW","DTW","22:57"
"DL","07/02/2021","2169","N353NB","SLC","11:39"
"DL","07/02/2021","2205","N387DN","MSP","15:26"
