Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"UA","07/01/2021","0212","N54711","IAD","19:37"
"UA","07/01/2021","0283","N881UA","DEN","10:41"
"UA","07/01/2021","0286","N76502","DEN","18:37"
"UA","07/01/2021","0337","N66897","DEN","16:27"
"UA","07/01/2021","0736","N62889","IAH","21:25"
"UA","07/01/2021","1038","N834UA","EWR","20:53"
"UA","07/01/2021","1437","N33266","ORD","09:36"
"UA","07/01/2021","1891","N13718","EWR","10:34"
"UA","07/01/2021","1898","N839UA","DEN","12:40"
"UA","07/01/2021","2215","N470UA","DEN","21:10"
"UA","07/02/2021","0212","N16701","IAD","19:37"
"UA","07/02/2021","0283","N426UA","DEN","10:41"
"UA","07/02/2021","0286","N27213","DEN","18:37"
"UA","07/02/2021","0337","N62884","DEN","16:27"
"UA","07/02/2021","0736","N78501","IAH","21:25"
"UA","07/02/2021","1038","N829UA","EWR","20:53"
"UA","07/02/2021","1891","N23708","EWR","10:34"
"UA","07/02/2021","1898","N852UA","DEN","12:40"
"UA","07/02/2021","2215","N468UA","DEN","21:10"
"UA","07/03/2021","0212","N851UA","IAD","19:37"
"UA","07/03/2021","0283","N875UA","DEN","10:41"
"UA","07/03/2021","0286","N73270","DEN","18:37"
"UA","07/03/2021","0337","N34222","DEN","16:27"
"UA","07/03/2021","0736","N76504","IAH","21:25"
"UA","07/03/2021","1038","N878UA","EWR","20:53"
"UA","07/03/2021","1891","N15710","EWR","10:34"
"UA","07/03/2021","1898","N894UA","DEN","12:40"
"UA","07/03/2021","2215","N464UA","DEN","21:10"
"UA","07/04/2021","0212","N23707","IAD","19:37"
"UA","07/04/2021","0283","N401UA","DEN","10:41"
"UA","07/04/2021","0286","N14240","DEN","18:37"
"UA","07/04/2021","0736","N26215","IAH","21:25"
"UA","07/04/2021","1038","N811UA","EWR","20:53"
"UA","07/04/2021","1891","N421UA","EWR","10:34"
"UA","07/04/2021","1898","N852UA","DEN","12:40"
"UA","07/04/2021","2215","N454UA","DEN","21:10"
"UA","07/05/2021","0212","N27734","IAD","19:37"
"UA","07/05/2021","0283","N836UA","DEN","10:41"
"UA","07/05/2021","0286","N76269","DEN","18:37"
"UA","07/05/2021","0337","N75436","DEN","16:27"
"UA","07/05/2021","0736","N27239","IAH","21:25"
"UA","07/05/2021","1038","N822UA","EWR","20:53"
"UA","07/05/2021","1891","N23708","EWR","10:34"
"UA","07/05/2021","1898","N820UA","DEN","12:40"
"UA","07/05/2021","2215","N38451","DEN","21:10"
"UA","07/06/2021","0212","N54711","IAD","19:37"
"UA","07/06/2021","0283","N898UA","DEN","10:41"
"UA","07/06/2021","0286","N37298","DEN","18:37"
"UA","07/06/2021","0337","N37419","DEN","16:27"
"UA","07/06/2021","0736","N14237","IAH","21:25"
"UA","07/06/2021","1038","N893UA","EWR","20:53"
"UA","07/06/2021","1891","N68805","EWR","10:34"
"UA","07/06/2021","1898","N882UA","DEN","12:40"
"UA","07/06/2021","2215","N68452","DEN","21:10"
"UA","07/07/2021","0212","N23721","IAD","19:37"
"UA","07/07/2021","0283","N847UA","DEN","10:41"
"UA","07/07/2021","0286","N13248","DEN","18:37"
"UA","07/07/2021","0337","N37471","DEN","16:27"
"UA","07/07/2021","0736","N35236","IAH","21:25"
"UA","07/07/2021","1038","N468UA","EWR","20:53"
"UA","07/07/2021","1891","","EWR","10:34"
"UA","07/07/2021","1898","N410UA","DEN","12:40"
