Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"AA","07/01/2021","0002","N112AN","LAX","16:47"
"AA","07/01/2021","0016","N113AN","SFO","21:54"
"AA","07/01/2021","0028","N112AN","LAX","07:59"
"AA","07/01/2021","0032","N102NN","LAX","22:15"
"AA","07/01/2021","0118","N108NN","LAX","15:44"
"AA","07/01/2021","0184","N109NN","LAX","23:13"
"AA","07/01/2021","0234","N116AN","SFO","15:48"
"AA","07/01/2021","0238","N105NN","LAX","18:48"
"AA","07/01/2021","0274","N104NN","LAX","20:47"
"AA","07/01/2021","0276","N117AN","SFO","07:30"
"AA","07/01/2021","0465","N944AN","AUS","10:53"
"AA","07/01/2021","0476","N9029F","STT","17:15"
"AA","07/01/2021","0571","N729AN","MIA","23:02"
"AA","07/01/2021","0771","N772AN","MIA","20:34"
"AA","07/01/2021","0813","N922NN","FLL","15:07"
"AA","07/01/2021","1092","N944AN","AUS","20:42"
"AA","07/01/2021","1199","N794AN","MIA","17:21"
"AA","07/01/2021","1208","N773AN","MIA","13:32"
"AA","07/01/2021","1357","N719AN","MIA","23:59"
"AA","07/01/2021","1376","N9002U","JAC","17:29"
"AA","07/01/2021","1388","N983AN","PHX","21:15"
"AA","07/01/2021","1466","N722AN","MIA","12:00"
"AA","07/01/2021","1467","N944AN","DCA","22:19"
"AA","07/01/2021","1727","N346PR","CLT","22:19"
"AA","07/01/2021","1766","N856NN","ORD","20:44"
"AA","07/01/2021","2038","N854NN","CLT","19:59"
"AA","07/01/2021","2246","N895NN","CLT","17:00"
"AA","07/01/2021","2292","N948NN","DFW","21:59"
"AA","07/01/2021","2338","N884NN","CLT","10:01"
"AA","07/01/2021","2651","N922NN","PHX","06:30"
"AA","07/01/2021","2710","N740UW","DCA","16:25"
"AA","07/01/2021","2906","N783AN","MIA","15:01"
"AA","07/02/2021","0002","N101NN","LAX","16:47"
"AA","07/02/2021","0016","N104NN","SFO","21:54"
"AA","07/02/2021","0028","N101NN","LAX","07:59"
"AA","07/02/2021","0032","N117AN","LAX","22:15"
"AA","07/02/2021","0118","N105NN","LAX","15:44"
"AA","07/02/2021","0184","N102NN","LAX","23:13"
"AA","07/02/2021","0234","N116AN","SFO","15:48"
"AA","07/02/2021","0238","N108NN","LAX","18:48"
"AA","07/02/2021","0274","N109NN","LAX","20:47"
"AA","07/02/2021","0276","N116AN","SFO","07:30"
"AA","07/02/2021","0465","N902NN","AUS","10:53"
"AA","07/02/2021","0476","N9006","STT","17:15"
"AA","07/02/2021","0571","N730AN","MIA","23:02"
"AA","07/02/2021","0771","N780AN","MIA","20:34"
"AA","07/02/2021","0813","N869NN","FLL","15:07"
"AA","07/02/2021","0976","N106NN","SNA","06:00"
"AA","07/02/2021","1092","N902NN","AUS","20:42"
"AA","07/02/2021","1199","N772AN","MIA","17:21"
"AA","07/02/2021","1208","N762AN","MIA","13:32"
"AA","07/02/2021","1357","N717AN","MIA","23:59"
"AA","07/02/2021","1376","N9012","JAC","17:29"
"AA","07/02/2021","1388","N823NN","PHX","21:15"
"AA","07/02/2021","1466","N730AN","MIA","12:00"
"AA","07/02/2021","1467","N988NN","DCA","22:17"
"AA","07/02/2021","1727","N971NN","CLT","22:19"
"AA","07/02/2021","1766","N979NN","ORD","20:44"
"AA","07/02/2021","2038","N815NN","CLT","19:59"
"AA","07/02/2021","2246","N989NN","CLT","17:00"
"AA","07/02/2021","2292","N956NN","DFW","21:59"
"AA","07/02/2021","2338","N914NN","CLT","10:01"
"AA","07/02/2021","2651","N862NN","PHX","06:30"
"AA","07/02/2021","2710","N709UW","DCA","16:25"
"AA","07/02/2021","2906","N767AJ","MIA","15:01"
"AA","07/03/2021","0002","N113AN","LAX","16:47"
"AA","07/03/2021","0016","N109NN","SFO","21:54"
"AA","07/03/2021","0028","N108NN","LAX","07:59"
"AA","07/03/2021","0032","N116AN","LAX","22:15"
"AA","07/03/2021","0118","N108NN","LAX","15:44"
"AA","07/03/2021","0184","N117AN","LAX","23:13"
"AA","07/03/2021","0234","N112AN","SFO","15:48"
"AA","07/03/2021","0238","N105NN","LAX","18:48"
"AA","07/03/2021","0274","N106NN","LAX","20:47"
"AA","07/03/2021","0276","N112AN","SFO","07:30"
"AA","07/03/2021","0476","N5007E","STT","17:15"
"AA","07/03/2021","0571","N722AN","MIA","23:02"
"AA","07/03/2021","0771","N776AN","MIA","20:34"
"AA","07/03/2021","0896","N880NN","FLL","15:07"
"AA","07/03/2021","0976","N104NN","SNA","06:00"
"AA","07/03/2021","1199","N788AN","MIA","17:21"
"AA","07/03/2021","1208","N752AN","MIA","13:32"
"AA","07/03/2021","1357","N726AN","MIA","23:59"
"AA","07/03/2021","1466","N722AN","MIA","12:00"
"AA","07/03/2021","1467","N973NN","DCA","22:17"
"AA","07/03/2021","1727","N914NN","CLT","22:19"
"AA","07/03/2021","1766","N865NN","ORD","20:44"
"AA","07/03/2021","2038","N874NN","CLT","19:59"
"AA","07/03/2021","2246","N309PC","CLT","17:00"
"AA","07/03/2021","2292","N861NN","DFW","21:59"
"AA","07/03/2021","2338","N830NN","CLT","10:01"
"AA","07/03/2021","2710","N703UW","DCA","16:25"
"AA","07/03/2021","2906","N772AN","MIA","15:01"
"AA","07/04/2021","0002","N103NN","LAX","16:47"
"AA","07/04/2021","0028","N112AN","LAX","07:59"
"AA","07/04/2021","0118","N105NN","LAX","15:44"
"AA","07/04/2021","0234","N101NN","SFO","15:48"
"AA","07/04/2021","0238","N102NN","LAX","18:48"
"AA","07/04/2021","0274","N117AN","LAX","20:47"
"AA","07/04/2021","0276","N104NN","SFO","07:30"
"AA","07/04/2021","0476","N9010R","STT","17:15"
"AA","07/04/2021","0571","N717AN","MIA","23:02"
"AA","07/04/2021","0771","N796AN","MIA","20:34"
"AA","07/04/2021","0813","N962NN","FLL","15:07"
"AA","07/04/2021","1199","N774AN","MIA","17:21"
"AA","07/04/2021","1208","N767AJ","MIA","13:32"
"AA","07/04/2021","1357","N728AN","MIA","23:59"
"AA","07/04/2021","1376","N9017P","JAC","17:29"
"AA","07/04/2021","1388","N818NN","PHX","21:15"
"AA","07/04/2021","1466","N732AN","MIA","12:00"
"AA","07/04/2021","1467","N983AN","DCA","22:12"
"AA","07/04/2021","1727","N976AN","CLT","22:19"
"AA","07/04/2021","1766","N890NN","ORD","22:44"
"AA","07/04/2021","2038","N811NN","CLT","19:59"
"AA","07/04/2021","2246","N891NN","CLT","17:00"
"AA","07/04/2021","2292","N896NN","DFW","21:59"
"AA","07/04/2021","2710","N709UW","DCA","16:25"
"AA","07/04/2021","2906","N791AN","MIA","15:01"
"AA","07/05/2021","0002","N105NN","LAX","16:47"
"AA","07/05/2021","0016","N108NN","SFO","21:54"
"AA","07/05/2021","0028","N105NN","LAX","07:59"
"AA","07/05/2021","0032","N104NN","LAX","22:15"
"AA","07/05/2021","0118","N109NN","LAX","15:44"
"AA","07/05/2021","0184","N116AN","LAX","23:13"
"AA","07/05/2021","0234","N113AN","SFO","15:48"
"AA","07/05/2021","0238","N106NN","LAX","18:48"
"AA","07/05/2021","0274","N102NN","LAX","20:47"
"AA","07/05/2021","0276","N113AN","SFO","07:30"
"AA","07/05/2021","0465","N882NN","AUS","10:53"
"AA","07/05/2021","0476","N9022G","STT","17:15"
"AA","07/05/2021","0571","N729AN","MIA","23:02"
"AA","07/05/2021","0771","N771AN","MIA","20:34"
"AA","07/05/2021","0813","N938AN","FLL","15:07"
"AA","07/05/2021","0976","N101NN","SNA","06:00"
"AA","07/05/2021","1092","N923NN","AUS","20:42"
"AA","07/05/2021","1199","N768AA","MIA","17:21"
"AA","07/05/2021","1208","N774AN","MIA","13:32"
"AA","07/05/2021","1357","N736AT","MIA","23:59"
"AA","07/05/2021","1376","N93003","JAC","17:29"
"AA","07/05/2021","1388","N844NN","PHX","21:15"
"AA","07/05/2021","1466","N729AN","MIA","12:00"
"AA","07/05/2021","1467","N940NN","DCA","22:17"
"AA","07/05/2021","1727","N949NN","CLT","22:19"
"AA","07/05/2021","1766","N974AN","ORD","20:44"
"AA","07/05/2021","2038","N944AN","CLT","19:59"
"AA","07/05/2021","2246","N989AN","CLT","17:00"
"AA","07/05/2021","2292","N357PV","DFW","21:59"
"AA","07/05/2021","2338","N923NN","CLT","10:01"
"AA","07/05/2021","2651","N938AN","PHX","06:30"
"AA","07/05/2021","2710","N703UW","DCA","16:25"
"AA","07/05/2021","2906","N765AN","MIA","15:01"
"AA","07/06/2021","0002","N103NN","LAX","16:47"
"AA","07/06/2021","0016","N102NN","SFO","21:54"
"AA","07/06/2021","0028","N109NN","LAX","07:59"
"AA","07/06/2021","0032","N113AN","LAX","22:15"
"AA","07/06/2021","0118","N109NN","LAX","15:44"
"AA","07/06/2021","0184","N106NN","LAX","23:13"
"AA","07/06/2021","0234","N112AN","SFO","15:48"
"AA","07/06/2021","0238","N116AN","LAX","18:48"
"AA","07/06/2021","0274","N104NN","LAX","20:47"
"AA","07/06/2021","0276","N105NN","SFO","07:30"
"AA","07/06/2021","0476","N9006","STT","17:15"
"AA","07/06/2021","0571","N725AN","MIA","23:02"
"AA","07/06/2021","0771","N766AN","MIA","20:34"
"AA","07/06/2021","0813","N941NN","FLL","15:07"
"AA","07/06/2021","0976","N117AN","SNA","06:00"
"AA","07/06/2021","1199","N792AN","MIA","17:21"
"AA","07/06/2021","1208","N788AN","MIA","13:32"
"AA","07/06/2021","1357","N727AN","MIA","23:59"
"AA","07/06/2021","1376","N9004F","JAC","17:29"
"AA","07/06/2021","1388","N847NN","PHX","21:15"
"AA","07/06/2021","1466","N725AN","MIA","12:00"
"AA","07/06/2021","1467","N874NN","DCA","22:17"
"AA","07/06/2021","1727","N314PD","CLT","22:19"
"AA","07/06/2021","1766","N923NN","ORD","20:44"
"AA","07/06/2021","2038","N819NN","CLT","19:59"
"AA","07/06/2021","2292","N337PJ","DFW","21:59"
"AA","07/06/2021","2338","N839NN","CLT","10:01"
"AA","07/06/2021","2651","N958NN","PHX","06:30"
"AA","07/06/2021","2710","N702UW","DCA","16:25"
"AA","07/06/2021","2906","N768AA","MIA","15:01"
"AA","07/07/2021","0002","N101NN","LAX","16:47"
"AA","07/07/2021","0016","N106NN","SFO","21:54"
"AA","07/07/2021","0028","N117AN","LAX","07:59"
"AA","07/07/2021","0032","N105NN","LAX","22:15"
"AA","07/07/2021","0118","N109NN","LAX","15:44"
"AA","07/07/2021","0184","N103NN","LAX","23:13"
"AA","07/07/2021","0234","N112AN","SFO","15:48"
"AA","07/07/2021","0238","N102NN","LAX","18:48"
"AA","07/07/2021","0274","N113AN","LAX","20:47"
"AA","07/07/2021","0276","N101NN","SFO","07:30"
"AA","07/07/2021","0465","N972AN","AUS","10:53"
"AA","07/07/2021","0476","N4005X","STT","17:15"
"AA","07/07/2021","0571","N735AT","MIA","23:02"
"AA","07/07/2021","0771","N754AN","MIA","20:34"
"AA","07/07/2021","0813","N972NN","FLL","15:07"
"AA","07/07/2021","0976","N112AN","SNA","06:00"
"AA","07/07/2021","1092","N812NN","AUS","20:42"
"AA","07/07/2021","1199","N762AN","MIA","17:21"
"AA","07/07/2021","1208","N772AN","MIA","13:32"
"AA","07/07/2021","1357","N717AN","MIA","23:59"
"AA","07/07/2021","1376","N9019F","JAC","17:29"
"AA","07/07/2021","1388","N962NN","PHX","21:15"
"AA","07/07/2021","1466","N719AN","MIA","12:00"
"AA","07/07/2021","1467","N870NN","DCA","22:17"
"AA","07/07/2021","1727","N948NN","CLT","22:19"
"AA","07/07/2021","1766","N919NN","ORD","20:44"
"AA","07/07/2021","2038","N808NN","CLT","19:59"
"AA","07/07/2021","2246","N967AN","CLT","17:00"
"AA","07/07/2021","2292","N984NN","DFW","21:59"
"AA","07/07/2021","2338","N960AN","CLT","10:01"
"AA","07/07/2021","2651","N908NN","PHX","06:30"
"AA","07/07/2021","2710","N717UW","DCA","16:25"
"AA","07/07/2021","2906","N773AN","MIA","15:01"
"AA","07/08/2021","0002","N116AN","LAX","16:47"
"AA","07/08/2021","0016","N113AN","SFO","21:54"
"AA","07/08/2021","0028","N112AN","LAX","07:59"
