Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"DL","07/01/2021","0300","N723TW","SFO","07:14"
"DL","07/01/2021","0310","N820NW","SFO","15:35"
"DL","07/01/2021","0324","N1200K","LAX","15:34"
"DL","07/01/2021","0327","N717TW","SEA","20:36"
"DL","07/01/2021","0328","N175DZ","LAX","06:30"
"DL","07/01/2021","0392","N831MH","LAX","17:45"
"DL","07/01/2021","0397","N306DU","AUS","17:16"
"DL","07/01/2021","0416","N806NW","ATL","14:36"
"DL","07/01/2021","0428","N838MH","SAN","22:06"
"DL","07/01/2021","0461","N858DZ","ATL","12:00"
"DL","07/01/2021","0559","N342NB","TPA","14:44"
"DL","07/01/2021","0569","N334DN","MCO","09:03"
"DL","07/01/2021","0639","N171DZ","SJU","17:26"
"DL","07/01/2021","0657","N705TW","SAN","06:11"
"DL","07/01/2021","0693","N723TW","SEA","15:39"
"DL","07/01/2021","0735","N839MH","LAX","22:57"
"DL","07/01/2021","0752","N624AG","LAS","19:00"
"DL","07/01/2021","0772","N706TW","SLC","16:29"
"DL","07/01/2021","0782","N831DN","SEA","00:23"
"DL","07/01/2021","0789","N908DN","SLC","00:42"
"DL","07/01/2021","0795","N710TW","PHX","20:32"
"DL","07/01/2021","0875","N832MH","DEN","17:45"
"DL","07/01/2021","0897","N393DA","BZN","20:44"
"DL","07/01/2021","1023","N368DN","FLL","09:41"
"DL","07/01/2021","1034","N349NW","MIA","23:15"
"DL","07/01/2021","1083","N308DU","AUS","00:37"
"DL","07/01/2021","1095","N721TW","SFO","00:59"
"DL","07/01/2021","1131","N172DZ","LAX","01:07"
"DL","07/01/2021","1166","N307DU","AUS","12:10"
"DL","07/01/2021","1322","N705TW","LAS","15:02"
"DL","07/01/2021","1327","N359NW","MIA","18:45"
"DL","07/01/2021","1373","N342NB","TPA","23:16"
"DL","07/01/2021","1379","N363NW","FLL","00:13"
"DL","07/01/2021","1463","N188DN","SLC","20:31"
"DL","07/01/2021","1471","N843DN","LAS","06:57"
"DL","07/01/2021","1559","N861DN","MCO","11:12"
"DL","07/01/2021","1567","N6705Y","STT","22:56"
"DL","07/01/2021","1592","N334DN","MCO","17:39"
"DL","07/01/2021","1631","N351DN","FLL","18:39"
"DL","07/01/2021","1716","N872DN","SEA","06:08"
"DL","07/01/2021","1722","N727TW","SFO","20:44"
"DL","07/01/2021","1728","N376DA","RSW","22:49"
"DL","07/01/2021","1731","N813DN","FLL","15:39"
"DL","07/01/2021","1750","N3734B","MIA","10:25"
"DL","07/01/2021","1795","N363NW","MIA","15:34"
"DL","07/01/2021","1853","N898DN","SJU","22:20"
"DL","07/01/2021","1854","N1201P","SJU","09:55"
"DL","07/01/2021","2111","N352NW","TPA","10:04"
"DL","07/01/2021","2132","N103DY","MCO","14:05"
"DL","07/01/2021","2161","N377DE","ATL","21:22"
"DL","07/01/2021","2209","N824DN","ATL","23:15"
"DL","07/01/2021","2237","N3742C","ATL","18:22"
"DL","07/01/2021","2300","N375DN","MCO","22:57"
"DL","07/01/2021","2335","N844MH","LAX","19:59"
"DL","07/01/2021","2379","N808DN","SLC","06:02"
"DL","07/01/2021","2462","N304DU","DTW","22:56"
"DL","07/01/2021","2521","N831MH","LAX","08:30"
"DL","07/01/2021","2551","N706TW","PHX","06:35"
"DL","07/01/2021","2872","N305DU","PBI","16:14"
"DL","07/01/2021","8799","N370NW","MSP","14:18"
"DL","07/02/2021","0300","N703TW","SFO","07:14"
"DL","07/02/2021","0310","N722TW","SFO","15:35"
"DL","07/02/2021","0324","N181DN","LAX","15:34"
"DL","07/02/2021","0327","N705TW","SEA","20:36"
"DL","07/02/2021","0328","N16065","LAX","06:30"
"DL","07/02/2021","0392","N828MH","LAX","17:45"
"DL","07/02/2021","0397","N304DU","AUS","17:16"
"DL","07/02/2021","0416","N807NW","ATL","14:36"
"DL","07/02/2021","0428","N833MH","SAN","22:06"
"DL","07/02/2021","0461","N918DU","ATL","12:00"
"DL","07/02/2021","0559","N371NW","TPA","14:16"
"DL","07/02/2021","0569","N334DN","MCO","09:03"
"DL","07/02/2021","0639","N188DN","SJU","17:26"
"DL","07/02/2021","0657","N707TW","SAN","06:11"
"DL","07/02/2021","0693","N703TW","SEA","15:39"
"DL","07/02/2021","0735","N831MH","LAX","22:57"
"DL","07/02/2021","0752","N721TW","LAS","19:00"
"DL","07/02/2021","0772","N175DN","SLC","16:29"
"DL","07/02/2021","0782","N870DN","SEA","00:23"
"DL","07/02/2021","0789","N893DN","SLC","00:42"
"DL","07/02/2021","0790","N1200K","ANC","09:30"
"DL","07/02/2021","0795","N710TW","PHX","20:32"
"DL","07/02/2021","0875","N832MH","DEN","17:45"
"DL","07/02/2021","0897","N377DE","BZN","20:44"
"DL","07/02/2021","1023","N310DN","FLL","09:41"
"DL","07/02/2021","1034","N361NW","MIA","23:15"
"DL","07/02/2021","1083","N301DU","AUS","00:37"
"DL","07/02/2021","1095","N727TW","SFO","00:59"
"DL","07/02/2021","1131","N175DZ","LAX","01:07"
"DL","07/02/2021","1166","N306DU","AUS","12:10"
"DL","07/02/2021","1322","N707TW","LAS","15:02"
"DL","07/02/2021","1327","N342NW","MIA","18:45"
"DL","07/02/2021","1373","N342NB","TPA","22:58"
"DL","07/02/2021","1379","N352NW","FLL","00:13"
"DL","07/02/2021","1463","N172DZ","SLC","20:30"
"DL","07/02/2021","1471","N858DZ","LAS","06:57"
"DL","07/02/2021","1559","N917DU","MCO","11:12"
"DL","07/02/2021","1567","N900PC","STT","22:56"
"DL","07/02/2021","1592","N334DN","MCO","17:39"
"DL","07/02/2021","1631","N301DV","FLL","18:39"
"DL","07/02/2021","1716","N853DN","SEA","06:08"
"DL","07/02/2021","1722","N717TW","SFO","20:44"
"DL","07/02/2021","1728","N391DA","RSW","22:49"
"DL","07/02/2021","1731","N872DN","FLL","15:39"
"DL","07/02/2021","1750","N3742C","MIA","10:25"
"DL","07/02/2021","1795","N352NW","MIA","15:34"
"DL","07/02/2021","1853","N917DU","SJU","22:20"
"DL","07/02/2021","1854","N171DZ","SJU","09:55"
"DL","07/02/2021","2111","N359NW","TPA","10:04"
"DL","07/02/2021","2132","N375DN","MCO","14:05"
"DL","07/02/2021","2161","N376DA","ATL","21:22"
"DL","07/02/2021","2209","N817DN","ATL","23:15"
"DL","07/02/2021","2237","N384DA","ATL","18:22"
"DL","07/02/2021","2300","N328DN","MCO","22:57"
"DL","07/02/2021","2335","N843MH","LAX","19:59"
"DL","07/02/2021","2379","N816DN","SLC","06:02"
"DL","07/02/2021","2462","N308DU","DTW","22:56"
"DL","07/02/2021","2521","N832MH","LAX","08:30"
"DL","07/02/2021","2551","N698DL","PHX","06:35"
"DL","07/02/2021","2872","N308DU","PBI","16:14"
"DL","07/02/2021","8788","N1604R","ATL","10:33"
"DL","07/03/2021","0300","N703TW","SFO","07:14"
"DL","07/03/2021","0310","N721TW","SFO","15:35"
"DL","07/03/2021","0324","N1201P","LAX","15:34"
"DL","07/03/2021","0327","N707TW","SEA","20:36"
"DL","07/03/2021","0328","N182DN","LAX","06:30"
"DL","07/03/2021","0392","N199DN","LAX","17:45"
"DL","07/03/2021","0397","N308DU","AUS","18:26"
"DL","07/03/2021","0416","N801NW","ATL","14:36"
"DL","07/03/2021","0428","N832MH","SAN","22:06"
"DL","07/03/2021","0461","N851DN","ATL","12:00"
"DL","07/03/2021","0559","N320US","TPA","14:16"
"DL","07/03/2021","0569","N334DN","MCO","09:03"
"DL","07/03/2021","0639","N174DZ","SJU","17:26"
"DL","07/03/2021","0657","N722TW","SAN","06:11"
"DL","07/03/2021","0693","N706TW","SEA","15:39"
"DL","07/03/2021","0735","N844MH","LAX","21:40"
"DL","07/03/2021","0752","N727TW","LAS","19:00"
"DL","07/03/2021","0772","N624AG","SLC","16:29"
"DL","07/03/2021","0789","N891DN","SLC","00:42"
"DL","07/03/2021","0790","N173DZ","ANC","09:30"
"DL","07/03/2021","0795","N710TW","PHX","20:32"
"DL","07/03/2021","0875","N833MH","DEN","17:45"
"DL","07/03/2021","0897","N384DA","BZN","21:24"
"DL","07/03/2021","1023","N104DN","FLL","09:41"
"DL","07/03/2021","1034","N368NW","MIA","23:15"
"DL","07/03/2021","1131","N16065","LAX","01:07"
"DL","07/03/2021","1166","N309DU","AUS","12:10"
"DL","07/03/2021","1322","N722TW","LAS","15:02"
