Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"UA","07/01/2021","0514","N686UA","LAX","15:53"
"UA","07/01/2021","0516","N671UA","LAX","22:53"
"UA","07/01/2021","0520","N667UA","SFO","17:39"
"UA","07/01/2021","0522","N684UA","SFO","22:04"
"UA","07/02/2021","0514","N667UA","LAX","15:53"
"UA","07/02/2021","0516","N670UA","LAX","22:53"
"UA","07/02/2021","0520","N673UA","SFO","17:39"
"UA","07/02/2021","0522","N671UA","SFO","22:04"
"UA","07/03/2021","0514","N673UA","LAX","15:53"
"UA","07/03/2021","0516","N684UA","LAX","22:53"
"UA","07/03/2021","0520","N677UA","SFO","17:39"
"UA","07/03/2021","0522","N670UA","SFO","22:04"
"UA","07/04/2021","0514","N677UA","LAX","15:53"
"UA","07/04/2021","0520","N667UA","SFO","17:39"
"UA","07/05/2021","0514","N686UA","LAX","15:53"
"UA","07/05/2021","0516","N667UA","LAX","22:53"
"UA","07/05/2021","0520","N665UA","SFO","17:39"
"UA","07/05/2021","0522","N677UA","SFO","22:04"
"UA","07/06/2021","0514","N665UA","LAX","15:53"
"UA","07/06/2021","0516","N673UA","LAX","22:53"
"UA","07/06/2021","0520","N652UA","SFO","17:39"
"UA","07/06/2021","0522","N667UA","SFO","22:04"
"UA","07/07/2021","0514","N652UA","LAX","15:53"
"UA","07/07/2021","0516","N675UA","LAX","22:53"
"UA","07/07/2021","0520","N674UA","SFO","17:39"
"UA","07/07/2021","0522","N677UA","SFO","22:04"
"UA","07/08/2021","0514","N674UA","LAX","15:53"
"UA","07/08/2021","0516","N677UA","LAX","22:53"
"UA","07/08/2021","0520","N669UA","SFO","17:39"
"UA","07/08/2021","0522","N675UA","SFO","22:04"
"UA","07/09/2021","0514","N674UA","LAX","15:53"
"UA","07/09/2021","0516","N652UA","LAX","22:53"
"UA","07/09/2021","0520","","SFO","17:39"
"UA","07/09/2021","0522","N677UA","SFO","22:04"
"UA","07/10/2021","0514","N674UA","LAX","15:53"
"UA","07/10/2021","0516","N677UA","LAX","22:53"
"UA","07/10/2021","0520","N652UA","SFO","17:39"
"UA","07/10/2021","0522","N667UA","SFO","22:04"
"UA","07/11/2021","0514","N677UA","LAX","15:53"
"UA","07/11/2021","0516","N670UA","LAX","22:53"
"UA","07/11/2021","0520","","SFO","17:39"
"UA","07/11/2021","0522","N667UA","SFO","22:04"
"UA","07/12/2021","0514","","LAX","15:53"
"UA","07/12/2021","0516","N652UA","LAX","22:53"
"UA","07/12/2021","0520","N669UA","SFO","17:39"
"UA","07/12/2021","0522","N670UA","SFO","22:04"
"UA","07/13/2021","0514","N670UA","LAX","15:53"
"UA","07/13/2021","0516","N669UA","LAX","22:53"
"UA","07/13/2021","0520","N677UA","SFO","17:39"
"UA","07/13/2021","0522","N652UA","SFO","22:04"
"UA","07/14/2021","0514","N677UA","LAX","15:53"
"UA","07/14/2021","0516","N685UA","LAX","22:53"
"UA","07/14/2021","0520","N671UA","SFO","17:39"
"UA","07/14/2021","0522","N669UA","SFO","22:04"
"UA","07/15/2021","0514","N671UA","LAX","15:53"
"UA","07/15/2021","0516","N652UA","LAX","22:53"
"UA","07/15/2021","0520","N667UA","SFO","17:39"
"UA","07/15/2021","0522","N685UA","SFO","22:04"
"UA","07/16/2021","0514","N667UA","LAX","15:53"
"UA","07/16/2021","0516","N677UA","LAX","22:53"
"UA","07/16/2021","0520","N684UA","SFO","17:39"
"UA","07/16/2021","0522","N652UA","SFO","22:04"
"UA","07/17/2021","0514","N684UA","LAX","15:53"
"UA","07/17/2021","0516","N652UA","LAX","22:53"
"UA","07/17/2021","0520","N686UA","SFO","17:39"
"UA","07/17/2021","0522","N669UA","SFO","22:04"
"UA","07/18/2021","0514","N686UA","LAX","15:53"
"UA","07/18/2021","0516","N669UA","LAX","22:53"
"UA","07/18/2021","0520","N667UA","SFO","17:39"
"UA","07/18/2021","0522","N652UA","SFO","22:04"
"UA","07/19/2021","0514","N667UA","LAX","15:53"
"UA","07/19/2021","0516","N652UA","LAX","22:53"
"UA","07/19/2021","0520","N665UA","SFO","17:39"
"UA","07/19/2021","0522","N669UA","SFO","22:04"
"UA","07/20/2021","0514","N57852","LAX","15:53"
"UA","07/20/2021","0516","N652UA","LAX","22:53"
"UA","07/20/2021","0520","N670UA","SFO","17:39"
"UA","07/20/2021","0522","N669UA","SFO","22:04"
"UA","07/21/2021","0514","N669UA","LAX","15:53"
"UA","07/21/2021","0516","N672UA","LAX","22:53"
"UA","07/21/2021","0520","N677UA","SFO","17:39"
"UA","07/21/2021","0522","N652UA","SFO","22:04"
"UA","07/22/2021","0514","N652UA","LAX","15:53"
"UA","07/22/2021","0516","N653UA","LAX","22:53"
"UA","07/22/2021","0520","N670UA","SFO","17:39"
"UA","07/22/2021","0522","N677UA","SFO","22:04"
"UA","07/23/2021","0514","N670UA","LAX","15:53"
"UA","07/23/2021","0516","N685UA","LAX","22:53"
"UA","07/23/2021","0520","N672UA","SFO","17:39"
"UA","07/23/2021","0522","N653UA","SFO","22:04"
"UA","07/24/2021","0514","N672UA","LAX","15:53"
"UA","07/24/2021","0516","N664UA","LAX","22:53"
"UA","07/24/2021","0520","N671UA","SFO","17:39"
"UA","07/24/2021","0522","N685UA","SFO","22:04"
"UA","07/25/2021","0514","N671UA","LAX","15:53"
"UA","07/25/2021","0516","N665UA","LAX","22:53"
"UA","07/25/2021","0520","N677UA","SFO","17:39"
"UA","07/25/2021","0522","N664UA","SFO","22:04"
"UA","07/26/2021","0514","N677UA","LAX","15:53"
"UA","07/26/2021","0516","N665UA","LAX","22:53"
"UA","07/26/2021","0520","N672UA","SFO","17:39"
"UA","07/26/2021","0522","N674UA","SFO","22:04"
"UA","07/27/2021","0514","N672UA","LAX","15:53"
"UA","07/27/2021","0516","N653UA","LAX","22:53"
"UA","07/27/2021","0520","N664UA","SFO","17:39"
"UA","07/27/2021","0522","N665UA","SFO","22:04"
"UA","07/28/2021","0514","N664UA","LAX","15:53"
"UA","07/28/2021","0516","N674UA","LAX","22:53"
"UA","07/28/2021","0520","N672UA","SFO","17:39"
"UA","07/28/2021","0522","N665UA","SFO","22:04"
"UA","07/29/2021","0514","N670UA","LAX","15:53"
"UA","07/29/2021","0516","N675UA","LAX","22:53"
"UA","07/29/2021","0520","N669UA","SFO","17:39"
"UA","07/29/2021","0522","N674UA","SFO","22:04"
"UA","07/30/2021","0514","N669UA","LAX","15:53"
"UA","07/30/2021","0516","N674UA","LAX","22:53"
"UA","07/30/2021","0520","N671UA","SFO","17:39"
"UA","07/30/2021","0522","N675UA","SFO","22:04"
"UA","07/31/2021","0514","","LAX","15:53"
"UA","07/31/2021","0516","N658UA","LAX","22:53"
"UA","07/31/2021","0520","","SFO","17:39"
"UA","07/31/2021","0522","N670UA","SFO","22:04"

