Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"AA","07/01/2021","0001","N109NN","JFK","11:10"
"AA","07/01/2021","0003","N101NN","JFK","15:27"
"AA","07/01/2021","0014","N418AN","OGG","07:01"
"AA","07/01/2021","0058","N413AN","KOA","22:48"
"AA","07/01/2021","0117","N105NN","JFK","23:18"
"AA","07/01/2021","0144","N428AA","HNL","08:29"
"AA","07/01/2021","0162","N431AN","HNL","21:34"
"AA","07/01/2021","0171","N104NN","JFK","09:01"
"AA","07/01/2021","0212","N404AN","OGG","20:57"
"AA","07/01/2021","0254","N409AA","OGG","23:08"
"AA","07/01/2021","0255","N102NN","JFK","12:32"
"AA","07/01/2021","0266","N412UW","LIH","23:06"
"AA","07/01/2021","0284","N416AN","HNL","23:58"
"AA","07/01/2021","0298","N421UW","HNL","07:26"
"AA","07/01/2021","0302","N112AN","JFK","21:46"
"AA","07/01/2021","0306","N108NN","JFK","20:06"
"AA","07/01/2021","0311","N156UW","PHX","17:00"
"AA","07/01/2021","0338","N407AN","BOS","19:54"
"AA","07/01/2021","0352","N163US","CLT","17:00"
"AA","07/01/2021","0374","N829AN","ORD","23:42"
"AA","07/01/2021","0455","N981UY","CLT","11:48"
"AA","07/01/2021","0481","N128AN","PHL","16:18"
"AA","07/01/2021","0496","N769US","RDU","08:19"
"AA","07/01/2021","0524","N943NN","DFW","08:12"
"AA","07/01/2021","0539","N963NN","AUS","15:06"
"AA","07/01/2021","0566","N536UW","PHL","13:38"
"AA","07/01/2021","0582","N149AN","PHL","08:42"
"AA","07/01/2021","0650","N170US","PHX","18:40"
"AA","07/01/2021","0659","N953NN","IND","10:53"
"AA","07/01/2021","0669","N904AA","ORD","09:22"
"AA","07/01/2021","0726","N121AN","PHL","18:37"
"AA","07/01/2021","0788","N122NN","DFW","16:45"
"AA","07/01/2021","0794","N916US","DEN","16:07"
"AA","07/01/2021","0820","N854NN","PHX","20:29"
"AA","07/01/2021","0850","N943NN","DEN","20:31"
"AA","07/01/2021","0867","N839AW","DEN","08:51"
"AA","07/01/2021","0880","N919US","MCO","12:31"
"AA","07/01/2021","0899","N669AW","PHX","14:55"
"AA","07/01/2021","0914","N129AA","ORD","15:46"
"AA","07/01/2021","0966","N421UW","DFW","13:44"
"AA","07/01/2021","0969","N166NN","DFW","18:11"
"AA","07/01/2021","0971","N151UW","DFW","10:29"
"AA","07/01/2021","0990","N773XF","ATL","20:25"
"AA","07/01/2021","1029","N338PK","ORD","14:12"
"AA","07/01/2021","1061","N750AN","MIA","23:40"
"AA","07/01/2021","1063","N900UW","BNA","10:34"
"AA","07/01/2021","1078","N136AN","DFW","20:20"
"AA","07/01/2021","1085","N718AN","DFW","11:45"
"AA","07/01/2021","1086","N301PA","AUS","19:35"
"AA","07/01/2021","1113","N149AN","FLL","21:46"
"AA","07/01/2021","1116","N992AN","BNA","21:56"
"AA","07/01/2021","1146","N171US","DFW","15:44"
"AA","07/01/2021","1160","N156UW","PHX","12:19"
"AA","07/01/2021","1228","N723AN","MIA","11:03"
"AA","07/01/2021","1274","N731AN","MIA","13:08"
"AA","07/01/2021","1275","N315PE","DCA","11:19"
"AA","07/01/2021","1311","N122US","PHX","07:38"
"AA","07/01/2021","1364","N920US","CLT","13:21"
"AA","07/01/2021","1375","N428AA","ORD","17:45"
"AA","07/01/2021","1379","N580UW","DEN","19:05"
"AA","07/01/2021","1423","N427AN","BOS","22:29"
"AA","07/01/2021","1454","N717AN","MIA","18:07"
"AA","07/01/2021","1476","N120EE","IAH","20:16"
"AA","07/01/2021","1480","N425AN","HNL","16:27"
"AA","07/01/2021","1637","N885NN","AUS","20:32"
"AA","07/01/2021","1673","N943NN","SLC","13:48"
"AA","07/01/2021","1674","N162UW","CLT","09:32"
"AA","07/01/2021","1721","N194UW","CLT","22:14"
"AA","07/01/2021","1775","N415AN","DCA","21:00"
"AA","07/01/2021","1870","N120EE","FLL","11:24"
"AA","07/01/2021","1997","N127AA","PHL","21:25"
"AA","07/01/2021","2125","N196UW","LAS","21:28"
"AA","07/01/2021","2221","N885NN","ORD","12:22"
"AA","07/01/2021","2254","N585UW","DFW","23:56"
"AA","07/01/2021","2265","N167AN","LAS","19:48"
"AA","07/01/2021","2283","N727AN","MIA","16:10"
"AA","07/01/2021","2289","N725AN","MIA","21:45"
