Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"DL","07/01/2021","0302","N181DN","JFK","09:50"
"DL","07/01/2021","0309","N828MH","JFK","18:58"
"DL","07/01/2021","0312","N374DA","BOS","10:35"
"DL","07/01/2021","0313","N175DZ","JFK","20:34"
"DL","07/01/2021","0317","N539US","DCA","19:53"
"DL","07/01/2021","0322","N774DE","SEA","19:59"
"DL","07/01/2021","0326","N172DZ","JFK","15:05"
"DL","07/01/2021","0331","N181DN","HNL","05:02"
"DL","07/01/2021","0335","N544US","ATL","16:49"
"DL","07/01/2021","0345","N593NW","ATL","10:35"
"DL","07/01/2021","0353","N3746H","BOS","19:12"
"DL","07/01/2021","0363","N830MH","ATL","22:20"
"DL","07/01/2021","0365","N594NW","ATL","14:35"
"DL","07/01/2021","0403","N130DU","IAH","09:00"
"DL","07/01/2021","0405","N137DU","IAH","17:00"
"DL","07/01/2021","0430","N881DN","SEA","09:55"
"DL","07/01/2021","0437","N591NW","DTW","14:10"
"DL","07/01/2021","0438","N3747D","MEM","20:47"
"DL","07/01/2021","0445","N379DA","AUS","20:11"
"DL","07/01/2021","0458","N3732J","BOS","21:20"
"DL","07/01/2021","0491","N816DN","MCO","09:10"
"DL","07/01/2021","0495","N585NW","HNL","20:59"
"DL","07/01/2021","0509","N545US","KOA","06:25"
"DL","07/01/2021","0515","N584NW","ATL","12:40"
"DL","07/01/2021","0516","N592NW","ATL","11:33"
"DL","07/01/2021","0523","N365DN","ATL","19:24"
"DL","07/01/2021","0663","N594NW","HNL","06:00"
"DL","07/01/2021","0675","N3754A","BOS","14:30"
"DL","07/01/2021","0677","N326DN","DEN","07:25"
"DL","07/01/2021","0696","N374DA","SLC","22:20"
"DL","07/01/2021","0703","N839MH","JFK","12:50"
"DL","07/01/2021","0714","N548US","OGG","06:46"
"DL","07/01/2021","0739","N548US","HNL","15:40"
"DL","07/01/2021","0757","N540US","LIH","05:00"
"DL","07/01/2021","0763","N382DA","RDU","19:35"
"DL","07/01/2021","0793","N113DX","DTW","12:40"
"DL","07/01/2021","0800","N854DN","MCO","13:35"
"DL","07/01/2021","0810","N816DN","MCO","22:01"
"DL","07/01/2021","0823","N593NW","ATL","23:15"
"DL","07/01/2021","0842","N37700","TPA","21:05"
"DL","07/01/2021","0879","N547US","DTW","17:45"
"DL","07/01/2021","0932","N6714Q","DTW","22:30"
"DL","07/01/2021","0936","N380DN","MSP","10:06"
"DL","07/01/2021","0938","N387DN","ATL","00:21"
"DL","07/01/2021","0952","N351NW","DFW","17:00"
"DL","07/01/2021","0954","N351NW","DFW","08:17"
"DL","07/01/2021","0966","N3748Y","AUS","16:53"
"DL","07/01/2021","0967","N105DX","DTW","20:36"
"DL","07/01/2021","0978","N3752","BNA","20:22"
"DL","07/01/2021","0994","N381DN","BNA","09:40"
"DL","07/01/2021","0995","N380DN","MSP","20:18"
"DL","07/01/2021","0999","N307DX","MSY","08:25"
"DL","07/01/2021","1013","N397DN","SLC","16:25"
"DL","07/01/2021","1029","N122DN","CVG","08:00"
"DL","07/01/2021","1087","N1201P","JFK","17:33"
"DL","07/01/2021","1117","N333DX","SLC","09:45"
"DL","07/01/2021","1120","N302DN","MSP","11:35"
"DL","07/01/2021","1165","N112DN","AUS","08:38"
"DL","07/01/2021","1222","N3760C","TPA","09:50"
"DL","07/01/2021","1247","N3765","FLL","10:20"
"DL","07/01/2021","1292","N546US","OGG","05:16"
"DL","07/01/2021","1297","N377DA","MCI","08:40"
"DL","07/01/2021","1688","N125DU","SAT","07:25"
"DL","07/01/2021","1689","N869DN","MCO","18:05"
"DL","07/01/2021","1699","N391DA","RDU","09:20"
"DL","07/01/2021","1733","N375DA","LAS","07:15"
"DL","07/01/2021","1742","N390DA","SEA","16:12"
"DL","07/01/2021","1756","N590NW","MSP","13:09"
"DL","07/01/2021","2091","N3738B","SEA","14:07"
"DL","07/01/2021","2101","N3735D","SEA","18:27"
"DL","07/01/2021","2119","N774DE","SEA","12:29"
"DL","07/01/2021","2186","N831MH","JFK","22:30"
"DL","07/01/2021","2210","N372DN","MSP","17:25"
"DL","07/01/2021","2261","N120DU","DEN","18:25"
"DL","07/01/2021","2275","N902DN","SEA","22:48"
"DL","07/01/2021","2292","N3752","IND","08:30"
"DL","07/01/2021","2312","N112DU","SAT","16:14"
"DL","07/01/2021","2331","N917DU","MSY","21:30"
"DL","07/01/2021","2390","N586NW","ATL","18:08"
"DL","07/01/2021","2410","N584NW","MSP","23:15"
"DL","07/01/2021","2473","N891DN","SLC","12:27"
"DL","07/01/2021","2474","N107DN","SLC","18:35"
"DL","07/01/2021","2503","N679DA","SLC","07:55"
"DL","07/01/2021","2528","N546US","DTW","11:00"
"DL","07/01/2021","2639","N375DA","LAS","11:53"
"DL","07/01/2021","2703","N874DN","SLC","23:56"
"DL","07/01/2021","2750","N376DN","ATL","15:37"
"DL","07/02/2021","0302","N843MH","JFK","09:50"
"DL","07/02/2021","0309","N16065","JFK","18:58"
"DL","07/02/2021","0312","N379DA","BOS","10:35"
"DL","07/02/2021","0313","N199DN","JFK","20:34"
"DL","07/02/2021","0317","N545US","DCA","19:53"
"DL","07/02/2021","0322","N378DA","SEA","19:59"
"DL","07/02/2021","0326","N175DZ","JFK","15:05"
"DL","07/02/2021","0331","N593NW","HNL","05:00"
"DL","07/02/2021","0335","N549US","ATL","16:49"
"DL","07/02/2021","0345","N586NW","ATL","10:35"
"DL","07/02/2021","0353","N380DA","BOS","19:12"
"DL","07/02/2021","0363","N830MH","ATL","22:20"
"DL","07/02/2021","0365","N593NW","ATL","14:35"
"DL","07/02/2021","0403","N112DU","IAH","09:00"
"DL","07/02/2021","0405","N121DU","IAH","17:00"
"DL","07/02/2021","0430","N886DN","SEA","09:55"
"DL","07/02/2021","0437","N588NW","DTW","14:10"
"DL","07/02/2021","0445","N382DA","AUS","20:11"
"DL","07/02/2021","0458","N3760C","BOS","21:20"
"DL","07/02/2021","0491","N857DZ","MCO","09:10"
"DL","07/02/2021","0495","N585NW","HNL","20:59"
"DL","07/02/2021","0509","N543US","KOA","06:25"
"DL","07/02/2021","0515","N589NW","ATL","12:40"
"DL","07/02/2021","0516","N584NW","ATL","11:33"
"DL","07/02/2021","0523","N363DN","ATL","19:24"
"DL","07/02/2021","0675","N3755D","BOS","14:30"
"DL","07/02/2021","0677","N371DN","DEN","07:25"
"DL","07/02/2021","0696","N3744F","SLC","22:20"
"DL","07/02/2021","0703","N831MH","JFK","12:50"
"DL","07/02/2021","0714","N544US","OGG","06:46"
"DL","07/02/2021","0739","N544US","HNL","15:40"
"DL","07/02/2021","0757","N538US","LIH","05:00"
"DL","07/02/2021","0793","N332DN","DTW","12:40"
"DL","07/02/2021","0800","N811DZ","MCO","13:35"
"DL","07/02/2021","0810","N857DZ","MCO","22:01"
"DL","07/02/2021","0823","N586NW","ATL","23:15"
"DL","07/02/2021","0879","N541US","DTW","17:45"
"DL","07/02/2021","0932","N6715C","DTW","22:30"
"DL","07/02/2021","0936","N389DN","MSP","10:06"
"DL","07/02/2021","0938","N116DN","ATL","00:21"
"DL","07/02/2021","0952","N340NW","DFW","17:00"
"DL","07/02/2021","0954","N340NW","DFW","08:17"
"DL","07/02/2021","0966","N374DA","AUS","16:53"
"DL","07/02/2021","0967","N360DN","DTW","20:36"
"DL","07/02/2021","0978","N3743H","BNA","20:22"
"DL","07/02/2021","0994","N3756","BNA","09:40"
"DL","07/02/2021","0995","N389DN","MSP","20:18"
"DL","07/02/2021","0999","N376DN","MSY","08:25"
"DL","07/02/2021","1013","N119DN","SLC","16:25"
"DL","07/02/2021","1029","N380DN","CVG","08:00"
"DL","07/02/2021","1087","N1604R","JFK","17:33"
"DL","07/02/2021","1117","N361DN","SLC","09:45"
"DL","07/02/2021","1120","N369DN","MSP","11:35"
"DL","07/02/2021","1165","N372DN","AUS","08:38"
"DL","07/02/2021","1222","N3743H","TPA","09:50"
"DL","07/02/2021","1247","N391DA","FLL","10:20"
"DL","07/02/2021","1292","N537US","OGG","05:16"
"DL","07/02/2021","1297","N3735D","MCI","08:40"
"DL","07/02/2021","1688","N133DU","SAT","07:25"
"DL","07/02/2021","1689","N902DN","MCO","18:05"
"DL","07/02/2021","1699","N397DA","RDU","09:20"
"DL","07/02/2021","1733","N382DA","LAS","07:15"
"DL","07/02/2021","1742","N3752","SEA","16:12"
"DL","07/02/2021","1756","N587NW","MSP","13:09"
"DL","07/02/2021","2091","N3746H","SEA","14:07"
"DL","07/02/2021","2101","N774DE","SEA","18:27"
"DL","07/02/2021","2119","N378DA","SEA","12:29"
"DL","07/02/2021","2186","N832MH","JFK","22:30"
"DL","07/02/2021","2210","N391DN","MSP","17:25"
"DL","07/02/2021","2261","N114DU","DEN","18:25"
"DL","07/02/2021","2275","N849DN","SEA","22:48"
"DL","07/02/2021","2292","N3747D","IND","08:30"
"DL","07/02/2021","2312","N117DU","SAT","16:14"
"DL","07/02/2021","2331","N890DN","MSY","21:30"
"DL","07/02/2021","2390","N594NW","ATL","18:08"
"DL","07/02/2021","2410","N589NW","MSP","23:15"
"DL","07/02/2021","2473","N893DN","SLC","12:27"
"DL","07/02/2021","2474","N365DN","SLC","18:35"
"DL","07/02/2021","2503","N668DN","SLC","07:55"
"DL","07/02/2021","2528","N537US","DTW","11:00"
"DL","07/02/2021","2639","N382DA","LAS","11:53"
"DL","07/02/2021","2703","N801DZ","SLC","23:56"
"DL","07/02/2021","2750","N339DN","ATL","15:37"
"DL","07/02/2021","2798","N3746H","ANC","05:41"
"DL","07/03/2021","0309","N838MH","JFK","18:58"
"DL","07/03/2021","0312","N380DA","BOS","10:35"
