Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"UA","07/01/2021","0211","N77537","BOS","09:11"
"UA","07/01/2021","0243","N37462","IAH","08:35"
"UA","07/01/2021","0285","N77431","DEN","15:08"
"UA","07/01/2021","0289","N69806","DEN","20:43"
"UA","07/01/2021","0466","N13110","LIH","21:15"
"UA","07/01/2021","0482","N78509","OGG","17:42"
"UA","07/01/2021","0490","N68891","ORD","13:11"
"UA","07/01/2021","0515","N677UA","JFK","12:00"
"UA","07/01/2021","0517","N667UA","JFK","22:00"
"UA","07/01/2021","0534","N2747U","HNL","06:15"
"UA","07/01/2021","0552","N464UA","SFO","11:58"
"UA","07/01/2021","0554","N14001","EWR","11:15"
"UA","07/01/2021","0592","N57870","ORD","17:46"
"UA","07/01/2021","0632","N37522","IAD","12:38"
"UA","07/01/2021","0667","N24202","IAD","10:55"
"UA","07/01/2021","0706","N27509","OGG","21:12"
"UA","07/01/2021","0717","N39475","BOS","20:45"
"UA","07/01/2021","0723","N451UA","BWI","08:53"
"UA","07/01/2021","0744","N671UA","EWR","12:45"
"UA","07/01/2021","0751","N20904","EWR","17:35"
"UA","07/01/2021","0759","N417UA","ORD","09:28"
"UA","07/01/2021","1044","N57864","ORD","20:30"
"UA","07/01/2021","1093","N37507","DEN","09:11"
"UA","07/01/2021","1110","N37507","OGG","07:32"
"UA","07/01/2021","1143","N69813","DEN","22:08"
"UA","07/01/2021","1147","N77537","KOA","06:00"
"UA","07/01/2021","1205","N56859","KOA","21:11"
"UA","07/01/2021","1221","N75853","HNL","16:57"
"UA","07/01/2021","1231","N57868","HNL","20:42"
"UA","07/01/2021","1238","N69824","MCO","21:12"
"UA","07/01/2021","1294","N812UA","JAC","17:31"
"UA","07/01/2021","1432","N38417","IAH","18:51"
"UA","07/01/2021","1482","N63820","ORD","23:28"
"UA","07/01/2021","1499","N812UA","SFO","07:37"
"UA","07/01/2021","1534","N37507","IAH","17:58"
"UA","07/01/2021","1559","N69840","DEN","17:23"
"UA","07/01/2021","1616","N57863","DEN","12:32"
"UA","07/01/2021","1626","N77295","IAH","19:53"
"UA","07/01/2021","1636","N57111","HNL","23:27"
"UA","07/01/2021","1647","N27964","IAH","10:53"
"UA","07/01/2021","1706","N38417","ITO","06:55"
"UA","07/01/2021","1777","N879UA","IAH","16:28"
"UA","07/01/2021","1894","N76522","IAH","21:01"
"UA","07/01/2021","1977","N76528","CLE","09:06"
"UA","07/01/2021","2008","N77871","ORD","11:29"
"UA","07/01/2021","2114","N68452","SFO","15:39"
"UA","07/01/2021","2159","N69847","SFO","19:57"
"UA","07/01/2021","2168","N422UA","LAS","07:34"
"UA","07/01/2021","2224","N78524","IAH","13:15"
"UA","07/01/2021","2276","N19951","IAD","19:59"
"UA","07/01/2021","2279","N419UA","SEA","11:21"
"UA","07/01/2021","2387","N57864","MCO","09:05"
"UA","07/01/2021","2406","N36469","ORD","14:55"
"UA","07/01/2021","2617","N846UA","SFO","09:57"
"UA","07/01/2021","2642","N818UA","SFO","23:59"
"UA","07/01/2021","2649","N77014","ORD","22:17"
"UA","07/01/2021","2652","N48127","EWR","21:25"
"UA","07/02/2021","0211","N36472","BOS","09:11"
"UA","07/02/2021","0243","N63820","IAH","08:35"
"UA","07/02/2021","0285","N27509","DEN","15:08"
"UA","07/02/2021","0289","N66837","DEN","20:43"
"UA","07/02/2021","0466","N57111","LIH","21:15"
"UA","07/02/2021","0482","N78524","OGG","17:42"
"UA","07/02/2021","0490","N68802","ORD","13:11"
"UA","07/02/2021","0515","N684UA","JFK","12:00"
"UA","07/02/2021","0517","N673UA","JFK","22:00"
"UA","07/02/2021","0534","N2748U","HNL","06:15"
"UA","07/02/2021","0552","N404UA","SFO","11:58"
"UA","07/02/2021","0554","N12012","EWR","11:15"
"UA","07/02/2021","0592","N56859","ORD","17:46"
"UA","07/02/2021","0632","N53441","IAD","12:38"
"UA","07/02/2021","0667","N410UA","IAD","10:57"
"UA","07/02/2021","0706","N37507","OGG","21:12"
"UA","07/02/2021","0717","N69806","BOS","21:02"
"UA","07/02/2021","0723","N401UA","BWI","08:53"
"UA","07/02/2021","0744","N670UA","EWR","12:45"
"UA","07/02/2021","0751","N16009","EWR","17:45"
"UA","07/02/2021","0759","N485UA","ORD","09:28"
"UA","07/02/2021","1044","N75854","ORD","20:30"
"UA","07/02/2021","1093","N37521","DEN","09:11"
"UA","07/02/2021","1110","N17529","OGG","07:32"
"UA","07/02/2021","1143","N27509","DEN","22:08"
"UA","07/02/2021","1147","N87531","KOA","06:00"
"UA","07/02/2021","1205","N57870","KOA","21:11"
"UA","07/02/2021","1221","N75853","HNL","16:57"
"UA","07/02/2021","1231","N77871","HNL","20:52"
"UA","07/02/2021","1238","N68817","MCO","21:12"
"UA","07/02/2021","1294","N881UA","JAC","17:31"
"UA","07/02/2021","1432","N37427","IAH","18:51"
"UA","07/02/2021","1482","N68880","ORD","23:28"
"UA","07/02/2021","1499","N872UA","SFO","07:37"
"UA","07/02/2021","1534","N17529","IAH","17:58"
"UA","07/02/2021","1559","N37437","DEN","17:23"
"UA","07/02/2021","1571","N41135","EWR","23:36"
"UA","07/02/2021","1616","N57863","DEN","12:32"
"UA","07/02/2021","1626","N14242","IAH","19:53"
"UA","07/02/2021","1636","N2142U","HNL","23:15"
"UA","07/02/2021","1647","N24973","IAH","10:53"
"UA","07/02/2021","1706","N37466","ITO","06:51"
"UA","07/02/2021","1777","N466UA","IAH","16:28"
"UA","07/02/2021","1894","N77510","IAH","21:01"
"UA","07/02/2021","1977","N79521","CLE","09:06"
"UA","07/02/2021","2008","N74856","ORD","11:29"
"UA","07/02/2021","2114","N27477","SFO","15:39"
"UA","07/02/2021","2159","N68843","SFO","19:57"
"UA","07/02/2021","2168","N444UA","LAS","07:34"
"UA","07/02/2021","2224","N37522","IAH","13:15"
"UA","07/02/2021","2276","N45905","IAD","19:59"
"UA","07/02/2021","2279","N76529","SEA","11:21"
"UA","07/02/2021","2387","N75854","MCO","09:05"
"UA","07/02/2021","2406","N75435","ORD","14:55"
"UA","07/02/2021","2617","N13227","SFO","09:57"
"UA","07/02/2021","2642","N832UA","SFO","23:57"
"UA","07/02/2021","2649","N45956","ORD","22:17"
"UA","07/02/2021","2652","N67134","EWR","21:25"
"UA","07/03/2021","0211","N36476","BOS","09:11"
"UA","07/03/2021","0243","N66803","IAH","08:35"
"UA","07/03/2021","0285","N37525","DEN","14:43"
"UA","07/03/2021","0289","N38479","DEN","20:43"
"UA","07/03/2021","0466","N57111","LIH","21:15"
"UA","07/03/2021","0482","N78509","OGG","17:42"
"UA","07/03/2021","0490","N61886","ORD","13:01"
