Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"UA","07/01/2021","0446","N27526","EWR","11:45"
"UA","07/01/2021","0454","N26215","EWR","15:00"
"UA","07/01/2021","0470","N87512","SFO","09:45"
"UA","07/01/2021","0662","N66897","DEN","10:45"
"UA","07/01/2021","0674","N67812","ORD","10:00"
"UA","07/01/2021","0678","N17139","EWR","11:15"
"UA","07/01/2021","0689","N14115","EWR","13:00"
"UA","07/01/2021","0693","N47505","IAH","20:45"
"UA","07/01/2021","0695","N12125","SFO","18:00"
"UA","07/01/2021","0774","N47517","IAH","14:10"
"UA","07/01/2021","1238","N69824","LAX","19:15"
"UA","07/01/2021","1257","N28457","IAD","18:45"
"UA","07/01/2021","1422","N19117","EWR","14:00"
"UA","07/01/2021","1500","N29907","ORD","14:08"
"UA","07/01/2021","1517","N38473","EWR","09:00"
"UA","07/01/2021","1592","N47524","DEN","08:45"
"UA","07/01/2021","1602","N57852","DEN","16:30"
"UA","07/01/2021","1606","N75854","IAD","07:30"
"UA","07/01/2021","1641","N37530","IAH","17:15"
"UA","07/01/2021","1715","N68453","ORD","12:45"
"UA","07/01/2021","1739","N12221","CLE","12:15"
"UA","07/01/2021","1765","N33294","EWR","19:00"
"UA","07/01/2021","1796","N64844","DEN","14:45"
"UA","07/01/2021","1828","N75858","ORD","16:45"
"UA","07/01/2021","2012","N37419","IAH","07:20"
"UA","07/01/2021","2072","N69840","DEN","13:15"
"UA","07/01/2021","2379","N75854","IAD","14:30"
"UA","07/01/2021","2387","N57864","LAX","07:10"
"UA","07/01/2021","2390","N75858","ORD","08:00"
"UA","07/01/2021","2399","N18220","IAH","09:30"
"UA","07/01/2021","2425","N69804","IAH","16:15"
"UA","07/01/2021","2630","N35271","EWR","07:00"
"UA","07/01/2021","2636","N38443","IAH","11:55"
"UA","07/02/2021","0446","N14106","EWR","12:00"
"UA","07/02/2021","0454","N13110","EWR","15:00"
"UA","07/02/2021","0470","N28457","SFO","09:45"
"UA","07/02/2021","0662","N78540","DEN","10:45"
"UA","07/02/2021","0674","N37470","ORD","10:00"
"UA","07/02/2021","0678","N19117","EWR","11:15"
"UA","07/02/2021","0689","N17105","EWR","13:00"
"UA","07/02/2021","0693","N13110","IAH","20:45"
"UA","07/02/2021","0695","N17105","SFO","18:00"
"UA","07/02/2021","0774","N37513","IAH","14:10"
"UA","07/02/2021","1238","N68817","LAX","19:15"
"UA","07/02/2021","1257","N63820","IAD","18:45"
"UA","07/02/2021","1422","N38424","EWR","14:00"
"UA","07/02/2021","1500","N2341U","ORD","14:08"
"UA","07/02/2021","1517","N75429","EWR","09:00"
"UA","07/02/2021","1592","N47517","DEN","08:45"
"UA","07/02/2021","1602","N57857","DEN","16:30"
"UA","07/02/2021","1606","N57864","IAD","07:30"
"UA","07/02/2021","1641","N62895","IAH","17:15"
"UA","07/02/2021","1715","N67827","ORD","12:45"
"UA","07/02/2021","1739","N35236","CLE","12:15"
"UA","07/02/2021","1765","N77295","EWR","19:00"
"UA","07/02/2021","1796","N67812","DEN","14:45"
"UA","07/02/2021","1828","N28478","ORD","16:45"
"UA","07/02/2021","2012","N37516","IAH","07:20"
"UA","07/02/2021","2072","N37437","DEN","13:15"
"UA","07/02/2021","2379","N57864","IAD","14:30"
"UA","07/02/2021","2387","N75854","LAX","07:10"
"UA","07/02/2021","2390","N68802","ORD","08:00"
"UA","07/02/2021","2399","N37263","IAH","09:30"
"UA","07/02/2021","2425","N27519","IAH","15:45"
"UA","07/02/2021","2630","N14249","EWR","07:00"
"UA","07/02/2021","2636","N62892","IAH","11:55"
"UA","07/03/2021","0446","N2140U","EWR","12:00"
"UA","07/03/2021","0454","N67134","EWR","15:00"
"UA","07/03/2021","0470","N76503","SFO","09:45"
"UA","07/03/2021","0662","N77431","DEN","10:45"
"UA","07/03/2021","0674","N57868","ORD","10:00"
"UA","07/03/2021","0678","","EWR","10:40"
"UA","07/03/2021","0689","N27511","EWR","13:00"
"UA","07/03/2021","0693","N27511","IAH","20:45"
"UA","07/03/2021","0695","N48127","SFO","18:00"
"UA","07/03/2021","0774","N37518","IAH","14:10"
"UA","07/03/2021","1238","N69813","LAX","19:15"
"UA","07/03/2021","1257","N66803","IAD","18:45"
"UA","07/03/2021","1422","N64809","EWR","14:00"
"UA","07/03/2021","1500","N2645U","ORD","14:08"
"UA","07/03/2021","1517","N77518","EWR","09:15"
"UA","07/03/2021","1592","N37513","DEN","08:45"
"UA","07/03/2021","1602","N75854","DEN","16:30"
"UA","07/03/2021","1606","N57870","IAD","07:30"
"UA","07/03/2021","1641","N37518","IAH","17:15"
"UA","07/03/2021","1715","N38417","ORD","12:45"
"UA","07/03/2021","1739","N33289","CLE","12:15"
"UA","07/03/2021","1765","N37253","EWR","19:00"
"UA","07/03/2021","1796","N77536","DEN","14:45"
"UA","07/03/2021","1828","N68821","ORD","16:45"
"UA","07/03/2021","2012","N47517","IAH","07:20"
