Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"DL","07/01/2021","0548","N103DU","LGA","16:00"
"DL","07/01/2021","0559","N342NB","JFK","11:55"
"DL","07/01/2021","0765","N3773D","CVG","11:09"
"DL","07/01/2021","0842","N37700","LAX","19:04"
"DL","07/01/2021","0956","N874DN","SLC","18:30"
"DL","07/01/2021","1175","N581NW","ATL","08:00"
"DL","07/01/2021","1222","N3760C","LAX","07:51"
"DL","07/01/2021","1224","N549US","DTW","06:00"
"DL","07/01/2021","1361","N322DN","MSP","07:25"
"DL","07/01/2021","1373","N342NB","JFK","20:21"
"DL","07/01/2021","1416","N385DZ","MSP","18:12"
"DL","07/01/2021","1461","N374NW","BOS","19:49"
"DL","07/01/2021","1476","N319NB","RDU","12:55"
"DL","07/01/2021","1500","N192DN","ATL","17:23"
"DL","07/01/2021","1532","N6707A","ATL","12:45"
"DL","07/01/2021","1535","N374NW","BOS","11:25"
"DL","07/01/2021","1541","N550NW","ATL","07:00"
"DL","07/01/2021","1603","N907DN","DTW","10:53"
"DL","07/01/2021","1609","N694DL","ATL","18:27"
"DL","07/01/2021","1769","N339DN","MSP","14:26"
"DL","07/01/2021","2020","N683DA","ATL","19:51"
"DL","07/01/2021","2056","N892DN","ATL","13:48"
"DL","07/01/2021","2072","N342NW","LGA","12:00"
"DL","07/01/2021","2092","N684DA","DTW","14:10"
"DL","07/01/2021","2111","N352NW","JFK","07:20"
"DL","07/01/2021","2116","N103DU","LGA","07:00"
"DL","07/01/2021","2201","N378DN","DTW","19:59"
"DL","07/01/2021","2230","N884DN","DTW","17:53"
"DL","07/01/2021","2288","N6705Y","ATL","06:00"
"DL","07/01/2021","2355","N685DA","ATL","11:01"
"DL","07/01/2021","2401","N3765","CVG","20:05"
"DL","07/01/2021","2524","N676DL","ATL","15:47"
"DL","07/01/2021","2596","N900PC","ATL","09:58"
"DL","07/01/2021","2613","N3743H","SEA","09:15"
"DL","07/02/2021","0548","N102DU","LGA","16:00"
"DL","07/02/2021","0559","N371NW","JFK","11:25"
"DL","07/02/2021","0765","N373DA","CVG","11:09"
"DL","07/02/2021","0956","N801DZ","SLC","18:30"
"DL","07/02/2021","1175","N592NW","ATL","08:00"
"DL","07/02/2021","1222","N3743H","LAX","07:51"
"DL","07/02/2021","1224","N671DN","DTW","06:00"
"DL","07/02/2021","1361","N349DX","MSP","07:25"
"DL","07/02/2021","1373","N342NB","JFK","19:58"
"DL","07/02/2021","1416","N320DN","MSP","18:12"
"DL","07/02/2021","1461","N349NW","BOS","19:49"
"DL","07/02/2021","1476","N339NB","RDU","12:55"
"DL","07/02/2021","1500","N675DL","ATL","17:23"
"DL","07/02/2021","1532","N684DA","ATL","12:45"
"DL","07/02/2021","1535","N349NW","BOS","11:25"
"DL","07/02/2021","1541","N556NW","ATL","07:00"
"DL","07/02/2021","1603","N868DN","DTW","10:53"
"DL","07/02/2021","1609","N696DL","ATL","18:27"
"DL","07/02/2021","1769","N350DN","MSP","14:26"
"DL","07/02/2021","2020","N659DL","ATL","19:51"
"DL","07/02/2021","2056","N914DU","ATL","13:48"
"DL","07/02/2021","2072","N368NW","LGA","12:00"
"DL","07/02/2021","2092","N676DL","DTW","14:10"
"DL","07/02/2021","2111","N359NW","JFK","07:20"
"DL","07/02/2021","2116","N102DU","LGA","07:00"
"DL","07/02/2021","2230","N827DN","DTW","17:53"
"DL","07/02/2021","2288","N553NW","ATL","06:00"
"DL","07/02/2021","2355","N6710E","ATL","11:01"
"DL","07/02/2021","2401","N391DA","CVG","20:05"
"DL","07/02/2021","2524","N658DL","ATL","15:47"
"DL","07/02/2021","2596","N6707A","ATL","09:58"
"DL","07/02/2021","2613","N37700","SEA","09:15"
"DL","07/03/2021","0548","N102DU","LGA","16:00"
"DL","07/03/2021","0559","N320US","JFK","11:25"
"DL","07/03/2021","0765","N3751B","CVG","11:09"
"DL","07/03/2021","0956","N906DN","SLC","18:50"
"DL","07/03/2021","1175","N584NW","ATL","08:00"
"DL","07/03/2021","1222","N37700","LAX","07:51"
"DL","07/03/2021","1224","N307DX","DTW","06:00"
"DL","07/03/2021","1361","N122DN","MSP","07:25"
"DL","07/03/2021","1373","N342NB","JFK","19:58"
"DL","07/03/2021","1416","N385DZ","MSP","18:12"
"DL","07/03/2021","1461","N352NW","BOS","19:49"
"DL","07/03/2021","1476","N319NB","RDU","12:55"
"DL","07/03/2021","1500","N671DN","ATL","17:23"
"DL","07/03/2021","1532","N542US","ATL","12:45"
"DL","07/03/2021","1535","N352NW","BOS","11:25"
"DL","07/03/2021","1541","N556NW","ATL","07:00"
"DL","07/03/2021","1603","N861DN","DTW","10:53"
"DL","07/03/2021","1609","N365DN","ATL","18:27"
"DL","07/03/2021","1769","N105DX","MSP","14:26"
"DL","07/03/2021","2056","N895DN","ATL","13:48"
"DL","07/03/2021","2072","N368NW","LGA","12:00"
"DL","07/03/2021","2092","N867DN","DTW","14:10"
"DL","07/03/2021","2111","N342NW","JFK","07:20"
"DL","07/03/2021","2116","N102DU","LGA","07:00"
"DL","07/03/2021","2230","N801DZ","DTW","17:53"
"DL","07/03/2021","2288","N686DA","ATL","06:00"
"DL","07/03/2021","2355","N693DL","ATL","11:01"
"DL","07/03/2021","2401","N397DA","CVG","20:05"
"DL","07/03/2021","2524","N659DL","ATL","15:47"
"DL","07/03/2021","2596","N659DL","ATL","09:58"
"DL","07/03/2021","2613","N398DA","SEA","09:15"
"DL","07/04/2021","0548","N105DU","LGA","16:00"
"DL","07/04/2021","0559","N319NB","JFK","11:55"
"DL","07/04/2021","0765","N776DE","CVG","11:09"
"DL","07/04/2021","0956","N837DN","SLC","18:50"
"DL","07/04/2021","1175","N595NW","ATL","08:00"
"DL","07/04/2021","1222","N398DA","LAX","07:51"
"DL","07/04/2021","1224","N330DX","DTW","06:00"
"DL","07/04/2021","1361","N325DN","MSP","07:25"
"DL","07/04/2021","1373","N319NB","JFK","20:21"
"DL","07/04/2021","1416","N382DN","MSP","18:12"
"DL","07/04/2021","1461","N321US","BOS","19:49"
"DL","07/04/2021","1476","N368NB","RDU","12:55"
"DL","07/04/2021","1500","N673DL","ATL","17:23"
"DL","07/04/2021","1532","N6709","ATL","12:45"
"DL","07/04/2021","1535","N321US","BOS","11:25"
"DL","07/04/2021","1541","N553NW","ATL","07:00"
"DL","07/04/2021","1603","N837DN","DTW","10:53"
"DL","07/04/2021","1609","N670DN","ATL","18:47"
"DL","07/04/2021","1769","N326DN","MSP","14:26"
"DL","07/04/2021","2056","N876DN","ATL","13:48"
"DL","07/04/2021","2072","N370NW","LGA","12:00"
"DL","07/04/2021","2092","N867DN","DTW","14:10"
"DL","07/04/2021","2111","N325US","JFK","07:20"
"DL","07/04/2021","2116","N105DU","LGA","07:00"
"DL","07/04/2021","2230","N885DN","DTW","17:53"
"DL","07/04/2021","2288","N829DN","ATL","06:00"
"DL","07/04/2021","2355","N690DL","ATL","11:01"
"DL","07/04/2021","2401","N3733Z","CVG","20:05"
"DL","07/04/2021","2524","N674DL","ATL","15:47"
"DL","07/04/2021","2596","N660DL","ATL","09:58"
"DL","07/04/2021","2613","N3765","SEA","09:15"
"DL","07/05/2021","0548","N118DU","LGA","16:00"
"DL","07/05/2021","0559","N349NW","JFK","11:25"
"DL","07/05/2021","0765","N397DA","CVG","11:09"
"DL","07/05/2021","0956","N884DN","SLC","18:30"
"DL","07/05/2021","1175","N587NW","ATL","08:00"
"DL","07/05/2021","1222","N3765","LAX","07:51"
"DL","07/05/2021","1224","N378DN","DTW","06:00"
"DL","07/05/2021","1361","N354DN","MSP","07:25"
"DL","07/05/2021","1373","N319NB","JFK","19:58"
"DL","07/05/2021","1416","N112DN","MSP","18:12"
"DL","07/05/2021","1461","N354NW","BOS","19:49"
"DL","07/05/2021","1476","N339NB","RDU","12:55"
"DL","07/05/2021","1500","N6711M","ATL","17:23"
"DL","07/05/2021","1532","N175DN","ATL","12:45"
"DL","07/05/2021","1535","N354NW","BOS","11:25"
"DL","07/05/2021","1541","N659DL","ATL","07:00"
"DL","07/05/2021","1603","N884DN","DTW","10:53"
"DL","07/05/2021","1609","N676DL","ATL","18:27"
"DL","07/05/2021","1769","N361DN","MSP","14:26"
"DL","07/05/2021","2056","N842DN","ATL","13:48"
"DL","07/05/2021","2072","N359NW","LGA","12:00"
"DL","07/05/2021","2092","N688DL","DTW","14:10"
"DL","07/05/2021","2111","N339NW","JFK","07:20"
"DL","07/05/2021","2116","N118DU","LGA","07:00"
"DL","07/05/2021","2230","N926DZ","DTW","17:53"
"DL","07/05/2021","2288","N864DN","ATL","06:00"
"DL","07/05/2021","2355","N554NW","ATL","11:01"
"DL","07/05/2021","2401","N3741S","CVG","20:05"
"DL","07/05/2021","2524","N697DL","ATL","15:47"
"DL","07/05/2021","2596","N675DL","ATL","09:58"
"DL","07/05/2021","2613","N385DN","SEA","09:15"
"DL","07/06/2021","0548","N116DU","LGA","16:00"
"DL","07/06/2021","0559","N339NB","JFK","11:55"
"DL","07/06/2021","0765","N3741S","CVG","11:09"
"DL","07/06/2021","0956","N827DN","SLC","18:30"
"DL","07/06/2021","1175","N584NW","ATL","08:00"
"DL","07/06/2021","1222","N774DE","LAX","07:51"
"DL","07/06/2021","1224","N384DN","DTW","06:00"
"DL","07/06/2021","1361","N373DX","MSP","07:25"
"DL","07/06/2021","1373","N339NB","JFK","20:21"
"DL","07/06/2021","1416","N112DN","MSP","18:12"
"DL","07/06/2021","1461","N354NW","BOS","19:49"
"DL","07/06/2021","1476","N342NB","RDU","12:55"
"DL","07/06/2021","1500","N696DL","ATL","17:23"
"DL","07/06/2021","1532","N555NW","ATL","12:45"
"DL","07/06/2021","1535","N354NW","BOS","11:25"
"DL","07/06/2021","1541","N553NW","ATL","07:00"
"DL","07/06/2021","1603","N391DN","DTW","10:53"
"DL","07/06/2021","1609","N554NW","ATL","18:27"
"DL","07/06/2021","1769","N922DZ","MSP","14:26"
"DL","07/06/2021","2056","N870DN","ATL","13:48"
"DL","07/06/2021","2072","N359NW","LGA","12:00"
"DL","07/06/2021","2092","N6713Y","DTW","14:10"
"DL","07/06/2021","2111","N347NW","JFK","07:20"
"DL","07/06/2021","2116","N116DU","LGA","07:00"
"DL","07/06/2021","2230","N832DN","DTW","17:53"
"DL","07/06/2021","2288","N696DL","ATL","06:00"
"DL","07/06/2021","2355","N693DL","ATL","11:01"
"DL","07/06/2021","2401","N3754A","CVG","20:05"
"DL","07/06/2021","2524","N6709","ATL","15:47"
"DL","07/06/2021","2596","N6709","ATL","09:58"
"DL","07/06/2021","2613","N379DA","SEA","09:15"
"DL","07/07/2021","0548","N108DQ","LGA","17:05"
"DL","07/07/2021","0559","N339NW","JFK","11:30"
"DL","07/07/2021","0765","N3759","CVG","17:41"
"DL","07/07/2021","0956","N880DN","SLC","18:45"
"DL","07/07/2021","1175","N697DL","ATL","08:05"
"DL","07/07/2021","1222","N3759","LAX","07:44"
"DL","07/07/2021","1224","N333DX","DTW","06:00"
"DL","07/07/2021","1373","N339NB","JFK","19:59"
"DL","07/07/2021","1416","N819DX","MSP","18:07"
"DL","07/07/2021","1461","N378NW","BOS","19:20"
"DL","07/07/2021","1476","N336NB","RDU","13:11"
"DL","07/07/2021","1500","N693DL","ATL","17:03"
"DL","07/07/2021","1532","N693DL","ATL","12:22"
"DL","07/07/2021","1535","N349NW","BOS","11:24"
"DL","07/07/2021","1541","N347DN","ATL","07:00"
"DL","07/07/2021","1603","N335DN","DTW","10:39"
"DL","07/07/2021","1609","N688DL","ATL","18:15"
"DL","07/07/2021","1769","N886DN","MSP","13:05"
"DL","07/07/2021","2020","N668DN","ATL","19:41"
"DL","07/07/2021","2056","N304DN","ATL","13:40"
"DL","07/07/2021","2072","N319NB","LGA","12:45"
