Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"AA","07/01/2021","1186","N851NN","CLT","23:59"
"AA","07/01/2021","1560","N772XF","PHX","22:02"
"AA","07/01/2021","1578","N808NN","DFW","21:43"
"AA","07/01/2021","1756","N854NN","PHX","14:59"
"AA","07/01/2021","2041","N949AN","CLT","21:59"
"AA","07/01/2021","2084","N957AN","CLT","12:51"
"AA","07/01/2021","2203","N981AN","DFW","13:51"
"AA","07/01/2021","2381","N834AW","ORD","20:51"
"AA","07/01/2021","2406","N803AW","DFW","18:05"
"AA","07/01/2021","2806","N926NN","DFW","23:40"
"AA","07/01/2021","2885","N819NN","CLT","16:32"
"AA","07/02/2021","1186","N987NN","CLT","23:59"
"AA","07/02/2021","1560","N772XF","PHX","22:02"
"AA","07/02/2021","1578","N314PD","DFW","21:43"
"AA","07/02/2021","1756","N507AY","PHX","15:04"
"AA","07/02/2021","2041","N850NN","CLT","21:59"
"AA","07/02/2021","2084","N973NN","CLT","12:51"
"AA","07/02/2021","2203","N913NN","DFW","13:51"
"AA","07/02/2021","2381","N702UW","ORD","20:41"
"AA","07/02/2021","2406","N903NN","DFW","18:05"
"AA","07/02/2021","2806","N339PL","DFW","23:40"
"AA","07/02/2021","2885","N987AN","CLT","16:32"
"AA","07/03/2021","1578","N881NN","DFW","21:43"
"AA","07/03/2021","1756","N981UY","PHX","15:04"
"AA","07/03/2021","2041","N897NN","CLT","21:59"
"AA","07/03/2021","2084","N352PS","CLT","12:51"
"AA","07/03/2021","2203","N339PL","DFW","13:51"
"AA","07/03/2021","2381","N755US","ORD","17:25"
"AA","07/03/2021","2593","N879NN","DFW","10:01"
"AA","07/03/2021","2806","N923NN","DFW","23:40"
"AA","07/03/2021","2885","N917NN","CLT","18:28"
"AA","07/04/2021","1578","N947NN","DFW","21:43"
"AA","07/04/2021","1756","N154UW","PHX","15:04"
"AA","07/04/2021","2041","N346PR","CLT","21:59"
"AA","07/04/2021","2084","N901NN","CLT","12:51"
"AA","07/04/2021","2203","N315PE","DFW","13:51"
"AA","07/04/2021","2381","N769US","ORD","17:25"
"AA","07/04/2021","2406","N816NN","DFW","18:05"
"AA","07/04/2021","2885","N979NN","CLT","16:32"
"AA","07/05/2021","1186","N925NN","CLT","23:59"
"AA","07/05/2021","1560","N829AW","PHX","22:02"
"AA","07/05/2021","1756","N519UW","PHX","15:04"
"AA","07/05/2021","2041","N858NN","CLT","21:59"
"AA","07/05/2021","2084","N972AN","CLT","12:51"
"AA","07/05/2021","2203","N886NN","DFW","13:51"
"AA","07/05/2021","2381","N827AW","ORD","20:41"
"AA","07/05/2021","2406","N960NN","DFW","18:05"
"AA","07/05/2021","2806","N836NN","DFW","23:40"
"AA","07/05/2021","2885","N819NN","CLT","16:32"
"AA","07/06/2021","1186","N884NN","CLT","23:59"
"AA","07/06/2021","1560","N772XF","PHX","22:02"
"AA","07/06/2021","1756","N972UY","PHX","15:04"
"AA","07/06/2021","2041","N805NN","CLT","21:59"
"AA","07/06/2021","2084","N925NN","CLT","12:51"
"AA","07/06/2021","2203","N844NN","DFW","13:51"
"AA","07/06/2021","2381","N815AW","ORD","20:41"
"AA","07/06/2021","2406","N980AN","DFW","18:05"
"AA","07/06/2021","2593","N832NN","DFW","10:01"
"AA","07/06/2021","2885","N884NN","CLT","16:32"
"AA","07/07/2021","1186","N845NN","CLT","23:59"
"AA","07/07/2021","1560","N839AW","PHX","22:02"
"AA","07/07/2021","1756","N539UW","PHX","15:04"
"AA","07/07/2021","2041","N831NN","CLT","21:59"
"AA","07/07/2021","2084","N991NN","CLT","12:51"
"AA","07/07/2021","2203","N947NN","DFW","13:51"
"AA","07/07/2021","2381","N826AW","ORD","20:41"
"AA","07/07/2021","2406","N937NN","DFW","18:05"
"AA","07/07/2021","2593","N989AN","DFW","10:01"
"AA","07/07/2021","2806","N901NN","DFW","23:40"
"AA","07/07/2021","2885","N968NN","CLT","16:32"
"AA","07/08/2021","1186","N912NN","CLT","23:59"
"AA","07/08/2021","1560","N831AW","PHX","22:02"
"AA","07/08/2021","1756","N194UW","PHX","15:04"
"AA","07/08/2021","2041","N809NN","CLT","21:59"
"AA","07/08/2021","2084","N850NN","CLT","12:51"
"AA","07/08/2021","2203","N973AN","DFW","13:51"
"AA","07/08/2021","2381","N177XF","ORD","20:41"
"AA","07/08/2021","2406","N989AN","DFW","18:05"
"AA","07/08/2021","2593","N996NN","DFW","10:01"
"AA","07/08/2021","2806","N805NN","DFW","23:40"
"AA","07/08/2021","2885","N859NN","CLT","16:32"
"AA","07/09/2021","1186","N926NN","CLT","23:59"
"AA","07/09/2021","1560","N749US","PHX","22:01"
"AA","07/09/2021","1756","N539UW","PHX","15:04"
"AA","07/09/2021","2041","N865NN","CLT","21:59"
"AA","07/09/2021","2084","N959NN","CLT","12:51"
"AA","07/09/2021","2203","N875NN","DFW","13:51"
"AA","07/09/2021","2381","N117UW","ORD","20:41"
"AA","07/09/2021","2406","N862NN","DFW","18:05"
"AA","07/09/2021","2593","N955AN","DFW","10:01"
"AA","07/09/2021","2806","N909NN","DFW","23:40"
"AA","07/09/2021","2885","N903NN","CLT","16:32"
"AA","07/10/2021","1560","N749US","PHX","22:02"
"AA","07/10/2021","1756","N981UY","PHX","15:04"
"AA","07/10/2021","2041","N868NN","CLT","21:59"
"AA","07/10/2021","2084","N950NN","CLT","12:51"
"AA","07/10/2021","2203","N856NN","DFW","13:51"
"AA","07/10/2021","2381","N770UW","ORD","22:15"
"AA","07/10/2021","2593","N956NN","DFW","10:01"
"AA","07/10/2021","2806","N992AN","DFW","23:40"
"AA","07/10/2021","2885","N902NN","CLT","18:28"
"AA","07/11/2021","1186","N903NN","CLT","23:59"
"AA","07/11/2021","1560","N762US","PHX","22:02"
"AA","07/11/2021","1756","N199UW","PHX","15:04"
"AA","07/11/2021","2041","N818NN","CLT","21:59"
"AA","07/11/2021","2084","N895NN","CLT","12:51"
"AA","07/11/2021","2203","N819NN","DFW","13:51"
"AA","07/11/2021","2381","N9013A","ORD","20:41"
"AA","07/11/2021","2406","N969NN","DFW","18:05"
"AA","07/11/2021","2593","N800NN","DFW","10:01"
"AA","07/11/2021","2806","N899NN","DFW","23:40"
"AA","07/11/2021","2885","N933NN","CLT","16:32"
"AA","07/12/2021","1186","N811NN","CLT","23:59"
"AA","07/12/2021","1560","N819AW","PHX","22:02"
"AA","07/12/2021","1756","N575UW","PHX","15:04"
"AA","07/12/2021","2041","N881NN","CLT","21:59"
"AA","07/12/2021","2084","N965AN","CLT","12:51"
"AA","07/12/2021","2203","N865NN","DFW","13:51"
"AA","07/12/2021","2381","N806AW","ORD","20:41"
"AA","07/12/2021","2406","N964AN","DFW","18:05"
"AA","07/12/2021","2593","N992AN","DFW","10:01"
"AA","07/12/2021","2806","N942NN","DFW","23:40"
"AA","07/12/2021","2885","N875NN","CLT","16:32"
"AA","07/13/2021","1186","N899NN","CLT","23:59"
"AA","07/13/2021","1560","N762US","PHX","22:02"
"AA","07/13/2021","1756","N989AU","PHX","15:04"
"AA","07/13/2021","2041","N935NN","CLT","21:59"
"AA","07/13/2021","2084","N811NN","CLT","12:51"
"AA","07/13/2021","2203","N955NN","DFW","13:51"
"AA","07/13/2021","2381","N177XF","ORD","20:41"
"AA","07/13/2021","2406","N854NN","DFW","18:05"
"AA","07/13/2021","2593","N862NN","DFW","10:01"
"AA","07/13/2021","2806","N916NN","DFW","23:40"
"AA","07/13/2021","2885","N965AN","CLT","16:32"
"AA","07/14/2021","1186","N945AN","CLT","23:59"
"AA","07/14/2021","1560","N740UW","PHX","22:02"
"AA","07/14/2021","1578","N355PU","DFW","21:43"
"AA","07/14/2021","1756","N156UW","PHX","15:04"
"AA","07/14/2021","2041","N923NN","CLT","21:59"
"AA","07/14/2021","2084","N899NN","CLT","12:51"
"AA","07/14/2021","2203","N996NN","DFW","13:51"
"AA","07/14/2021","2381","N9011P","ORD","20:41"
"AA","07/14/2021","2406","N972NN","DFW","18:05"
"AA","07/14/2021","2593","N981NN","DFW","10:01"
"AA","07/14/2021","2806","N342PM","DFW","23:40"
"AA","07/14/2021","2885","N968NN","CLT","16:32"
"AA","07/15/2021","1186","N907AN","CLT","23:59"
"AA","07/15/2021","1560","N192UW","PHX","22:02"
"AA","07/15/2021","1578","N996NN","DFW","21:43"
"AA","07/15/2021","1756","N535UW","PHX","15:04"
"AA","07/15/2021","2041","N992AN","CLT","21:59"
"AA","07/15/2021","2084","N945AN","CLT","12:51"
"AA","07/15/2021","2203","N150UW","DFW","13:51"
"AA","07/15/2021","2381","N9002U","ORD","20:41"
"AA","07/15/2021","2406","N982AN","DFW","18:05"
"AA","07/15/2021","2593","N980AN","DFW","10:01"
"AA","07/15/2021","2806","N800NN","DFW","23:40"
"AA","07/15/2021","2885","N978NN","CLT","16:32"
"AA","07/16/2021","1186","N969NN","CLT","23:59"
"AA","07/16/2021","1560","N837AW","PHX","22:02"
"AA","07/16/2021","1578","N987AN","DFW","21:43"
"AA","07/16/2021","1756","N177US","PHX","15:04"
"AA","07/16/2021","2041","N973AN","CLT","21:59"
"AA","07/16/2021","2084","N920NN","CLT","12:51"
"AA","07/16/2021","2203","N924NN","DFW","13:51"
"AA","07/16/2021","2381","N753US","ORD","20:41"
"AA","07/16/2021","2406","N931NN","DFW","18:05"
"AA","07/16/2021","2593","N950NN","DFW","10:01"
"AA","07/16/2021","2806","N887NN","DFW","23:40"
"AA","07/16/2021","2885","N838NN","CLT","16:32"
"AA","07/17/2021","1560","N826AW","PHX","22:02"
"AA","07/17/2021","1578","N878NN","DFW","21:43"
"AA","07/17/2021","1756","N972UY","PHX","15:04"
"AA","07/17/2021","2041","N840NN","CLT","21:59"
"AA","07/17/2021","2084","N868NN","CLT","12:51"
"AA","07/17/2021","2203","N813NN","DFW","13:51"
"AA","07/17/2021","2381","N764US","ORD","22:15"
"AA","07/17/2021","2593","N873NN","DFW","10:01"
"AA","07/17/2021","2806","N994NN","DFW","23:40"
"AA","07/17/2021","2885","N895NN","CLT","18:28"
"AA","07/18/2021","1186","N946AN","CLT","23:59"
"AA","07/18/2021","1560","N834AW","PHX","22:02"
"AA","07/18/2021","1578","N878NN","DFW","21:43"
"AA","07/18/2021","1756","N154UW","PHX","15:04"
"AA","07/18/2021","2041","N949AN","CLT","21:59"
"AA","07/18/2021","2084","N309PC","CLT","12:51"
"AA","07/18/2021","2203","N358PW","DFW","13:51"
"AA","07/18/2021","2381","N8027D","ORD","20:41"
"AA","07/18/2021","2406","N976NN","DFW","18:05"
