Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"UA","07/01/2021","0459","N466UA","DEN","12:49"
"UA","07/01/2021","0575","N61886","IAH","19:16"
"UA","07/01/2021","0637","N454UA","DEN","20:54"
"UA","07/01/2021","0783","N39415","ORD","21:25"
"UA","07/01/2021","1113","N34460","ORD","14:21"
"UA","07/01/2021","1962","N880UA","ORD","16:51"
"UA","07/02/2021","0459","N1902U","DEN","12:49"
"UA","07/02/2021","0575","N38459","IAH","19:16"
"UA","07/02/2021","0634","N454UA","ORD","10:35"
"UA","07/02/2021","0637","N826UA","DEN","20:54"
"UA","07/02/2021","0781","N14237","ORD","08:55"
"UA","07/02/2021","0783","N28478","ORD","21:25"
"UA","07/02/2021","1113","N445UA","ORD","14:21"
"UA","07/02/2021","1962","N802UA","ORD","16:51"
"UA","07/03/2021","0459","N469UA","DEN","12:49"
"UA","07/03/2021","0575","N75428","IAH","19:16"
"UA","07/03/2021","0634","N418UA","ORD","10:35"
"UA","07/03/2021","0637","N427UA","DEN","20:54"
"UA","07/03/2021","0781","N33209","ORD","08:55"
"UA","07/03/2021","0783","N75433","ORD","21:37"
"UA","07/03/2021","1962","N816UA","ORD","16:51"
"UA","07/04/2021","0459","N420UA","DEN","12:49"
"UA","07/04/2021","0575","N462UA","IAH","19:16"
"UA","07/04/2021","0634","N16732","ORD","10:35"
"UA","07/04/2021","0637","N472UA","DEN","20:54"
"UA","07/04/2021","0781","N33264","ORD","08:55"
"UA","07/04/2021","0783","N62895","ORD","21:25"
"UA","07/04/2021","1962","N882UA","ORD","16:51"
"UA","07/05/2021","0459","N75432","DEN","13:21"
"UA","07/05/2021","0575","N63890","IAH","19:16"
"UA","07/05/2021","0634","N4888U","ORD","10:35"
"UA","07/05/2021","0637","N879UA","DEN","20:54"
"UA","07/05/2021","0781","N17244","ORD","08:55"
"UA","07/05/2021","0783","N69888","ORD","21:25"
"UA","07/05/2021","1113","N468UA","ORD","14:21"
"UA","07/05/2021","1962","N813UA","ORD","16:51"
"UA","07/06/2021","0459","N411UA","DEN","12:49"
"UA","07/06/2021","0575","N66814","IAH","19:16"
"UA","07/06/2021","0634","N879UA","ORD","10:35"
"UA","07/06/2021","0637","N812UA","DEN","20:54"
"UA","07/06/2021","0781","N77520","ORD","08:55"
"UA","07/06/2021","0783","N69819","ORD","21:25"
"UA","07/06/2021","1113","N417UA","ORD","14:21"
