Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"DL","07/01/2021","0684","N372NW","SLC","12:48"
"DL","07/01/2021","0766","N321DH","ATL","19:58"
"DL","07/01/2021","0898","N123DQ","SEA","17:24"
"DL","07/01/2021","1116","N134DU","SEA","00:01"
"DL","07/01/2021","1268","N326DN","MSP","17:24"
"DL","07/01/2021","1332","N306DN","ATL","17:56"
"DL","07/01/2021","1347","N350NA","ATL","09:16"
"DL","07/01/2021","1374","N373NW","ATL","23:40"
"DL","07/01/2021","1466","N343NW","ATL","16:01"
"DL","07/01/2021","1528","N370NB","SLC","00:39"
"DL","07/01/2021","1655","N129DU","SEA","13:06"
"DL","07/01/2021","1725","N329NW","ATL","11:14"
"DL","07/01/2021","1792","N121DZ","ATL","13:17"
"DL","07/01/2021","2445","N355NW","SLC","18:20"
"DL","07/01/2021","2451","N327DN","ATL","21:51"
"DL","07/02/2021","0684","N335NW","SLC","12:48"
"DL","07/02/2021","0766","N111DC","ATL","19:58"
"DL","07/02/2021","0898","N122DU","SEA","17:24"
"DL","07/02/2021","1116","N138DU","SEA","00:01"
"DL","07/02/2021","1268","N325DN","MSP","17:24"
"DL","07/02/2021","1332","N107DN","ATL","17:56"
"DL","07/02/2021","1347","N347NW","ATL","09:16"
"DL","07/02/2021","1374","N326US","ATL","23:40"
"DL","07/02/2021","1466","N373NW","ATL","16:01"
"DL","07/02/2021","1528","N357NB","SLC","00:39"
"DL","07/02/2021","1655","N115DU","SEA","13:06"
"DL","07/02/2021","1725","N348NW","ATL","11:14"
"DL","07/02/2021","1792","N329DN","ATL","13:17"
"DL","07/02/2021","2445","N372NW","SLC","18:20"
"DL","07/02/2021","2451","N102DN","ATL","21:51"
"DL","07/03/2021","0684","N375NC","SLC","12:48"
"DL","07/03/2021","0766","N321DH","ATL","19:58"
"DL","07/03/2021","1116","N138DU","SEA","00:01"
"DL","07/03/2021","1332","N107DN","ATL","17:56"
"DL","07/03/2021","1347","N363NW","ATL","09:16"
"DL","07/03/2021","1374","N350NA","ATL","23:40"
"DL","07/03/2021","1466","N341NW","ATL","16:01"
"DL","07/03/2021","1528","N325NB","SLC","00:39"
"DL","07/03/2021","1655","N122DU","SEA","13:06"
"DL","07/03/2021","1725","N108DN","ATL","11:04"
"DL","07/03/2021","1792","N111DC","ATL","13:17"
"DL","07/04/2021","0684","N372NW","SLC","12:48"
"DL","07/04/2021","0766","N332DN","ATL","19:58"
"DL","07/04/2021","1116","N134DU","SEA","00:01"
"DL","07/04/2021","1332","N304DN","ATL","17:56"
"DL","07/04/2021","1347","N363NW","ATL","09:16"
"DL","07/04/2021","1374","N334NW","ATL","23:40"
"DL","07/04/2021","1466","N348NW","ATL","16:01"
"DL","07/04/2021","1528","N325NB","SLC","00:39"
"DL","07/04/2021","1655","N135DQ","SEA","13:06"
"DL","07/04/2021","1725","N323DN","ATL","11:04"
"DL","07/04/2021","1792","N364DX","ATL","13:17"
"DL","07/05/2021","0684","N369NW","SLC","12:48"
"DL","07/05/2021","0766","N304DN","ATL","19:58"
"DL","07/05/2021","0898","N108DQ","SEA","17:24"
"DL","07/05/2021","1116","N136DQ","SEA","00:01"
"DL","07/05/2021","1268","N351DN","MSP","17:24"
"DL","07/05/2021","1332","N393DN","ATL","17:56"
"DL","07/05/2021","1347","N329NW","ATL","09:16"
"DL","07/05/2021","1374","N367NW","ATL","23:40"
"DL","07/05/2021","1466","N334NW","ATL","16:01"
"DL","07/05/2021","1528","N365NB","SLC","00:39"
"DL","07/05/2021","1655","N138DU","SEA","13:06"
"DL","07/05/2021","1725","N363NW","ATL","11:14"
"DL","07/05/2021","1792","N114DN","ATL","13:17"
"DL","07/05/2021","2445","N345DN","SLC","18:20"
"DL","07/05/2021","2451","N370DN","ATL","21:51"
"DL","07/06/2021","0684","N340NW","SLC","12:48"
"DL","07/06/2021","0766","N342NW","ATL","19:58"
"DL","07/06/2021","1116","N120DU","SEA","00:05"
"DL","07/06/2021","1188","N131DU","LGA","22:04"
"DL","07/06/2021","1268","N344DN","MSP","17:24"
"DL","07/06/2021","1332","N102DN","ATL","17:56"
"DL","07/06/2021","1347","N353NW","ATL","09:16"
"DL","07/06/2021","1374","N353DN","ATL","23:40"
"DL","07/06/2021","1466","N333NW","ATL","16:01"
"DL","07/06/2021","1528","N340NW","SLC","00:39"
"DL","07/06/2021","1655","N132DU","SEA","13:06"
"DL","07/06/2021","1725","N373NW","ATL","11:14"
"DL","07/06/2021","1792","N356DN","ATL","13:17"
"DL","07/06/2021","2445","N113DQ","SLC","18:10"
"DL","07/06/2021","2451","N319US","ATL","21:51"
"DL","07/07/2021","0684","N679DA","SLC","12:32"
"DL","07/07/2021","0766","N377NW","ATL","19:58"
"DL","07/07/2021","1116","N117DU","SEA","23:55"
"DL","07/07/2021","1268","N333NW","MSP","17:44"
"DL","07/07/2021","1332","N550NW","ATL","17:47"
"DL","07/07/2021","1347","N331NW","ATL","09:16"
"DL","07/07/2021","1374","N353DN","ATL","23:59"
"DL","07/07/2021","1466","N387DN","ATL","15:37"
"DL","07/07/2021","1528","N368NW","SLC","00:55"
"DL","07/07/2021","1655","N132DU","SEA","13:06"
"DL","07/07/2021","1725","N350NA","ATL","11:10"
"DL","07/07/2021","1792","N699DL","ATL","13:12"
"DL","07/07/2021","2212","N107DU","LGA","15:33"
"DL","07/07/2021","2445","N348NW","SLC","18:26"
"DL","07/07/2021","2451","N370NW","ATL","21:57"
"DL","07/07/2021","2527","N107DU","LGA","08:50"
"DL","07/07/2021","2752","N118DU","LGA","20:22"
"DL","07/08/2021","0684","N679DA","SLC","12:32"
"DL","07/08/2021","0766","N337NW","ATL","19:58"
"DL","07/08/2021","0898","N125DU","SEA","17:25"
"DL","07/08/2021","1116","N131DU","SEA","23:55"
"DL","07/08/2021","1268","N369NW","MSP","17:44"
"DL","07/08/2021","1332","N674DL","ATL","17:47"
"DL","07/08/2021","1347","N329NW","ATL","09:16"
"DL","07/08/2021","1374","N110DX","ATL","23:59"
"DL","07/08/2021","1466","N373DX","ATL","15:37"
