Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"AA","07/01/2021","1643","N835AW","DFW","17:49"
"AA","07/01/2021","2070","N660AW","PHL","15:21"
"AA","07/01/2021","2330","N654AW","CLT","22:53"
"AA","07/01/2021","2681","N181UW","CLT","13:12"
"AA","07/02/2021","1643","N838AW","DFW","17:49"
"AA","07/02/2021","2070","N104UW","PHL","15:20"
"AA","07/02/2021","2330","N157UW","CLT","22:53"
"AA","07/02/2021","2681","N108UW","CLT","13:12"
"AA","07/03/2021","1291","N823AW","ORD","15:28"
"AA","07/03/2021","1643","N651AW","DFW","17:37"
"AA","07/03/2021","2330","N124US","CLT","22:55"
"AA","07/03/2021","2681","N124US","CLT","13:49"
"AA","07/04/2021","1643","N737US","DFW","15:53"
"AA","07/04/2021","2330","N601AW","CLT","22:53"
"AA","07/04/2021","2681","N809AW","CLT","13:54"
"AA","07/05/2021","1643","N744P","DFW","17:49"
"AA","07/05/2021","2070","N122US","PHL","15:20"
"AA","07/05/2021","2330","N127UW","CLT","22:53"
"AA","07/05/2021","2681","N103US","CLT","13:12"
"AA","07/06/2021","1643","N804AW","DFW","17:49"
"AA","07/06/2021","2330","N123UW","CLT","22:53"
"AA","07/06/2021","2681","N769US","CLT","13:54"
"AA","07/07/2021","1643","N748UW","DFW","17:49"
"AA","07/07/2021","2330","N108UW","CLT","22:53"
"AA","07/07/2021","2681","N814AW","CLT","13:54"
"AA","07/08/2021","1643","N825AW","DFW","17:49"
"AA","07/08/2021","2330","N107US","CLT","22:53"
"AA","07/08/2021","2681","N824AW","CLT","13:54"
"AA","07/09/2021","1643","N809AW","DFW","17:49"
"AA","07/09/2021","2330","N661AW","CLT","22:53"
"AA","07/09/2021","2681","N700UW","CLT","13:54"
"AA","07/10/2021","1291","N750UW","ORD","15:28"
"AA","07/10/2021","1643","N102UW","DFW","17:37"
"AA","07/10/2021","2330","N119US","CLT","22:55"
"AA","07/10/2021","2681","N647AW","CLT","13:49"
"AA","07/11/2021","1643","N821AW","DFW","17:49"
"AA","07/11/2021","2330","N673AW","CLT","22:53"
"AA","07/11/2021","2681","N803AW","CLT","13:54"
"AA","07/12/2021","1643","N804AW","DFW","17:49"
"AA","07/12/2021","2330","N673AW","CLT","22:53"
"AA","07/12/2021","2681","N770UW","CLT","13:54"
"AA","07/13/2021","1643","N828AW","DFW","17:49"
"AA","07/13/2021","2330","N665AW","CLT","22:53"
"AA","07/13/2021","2681","N823AW","CLT","13:54"
"AA","07/14/2021","1643","N769US","DFW","17:49"
"AA","07/14/2021","2330","N673AW","CLT","22:53"
"AA","07/14/2021","2681","N717UW","CLT","13:54"
"AA","07/15/2021","1643","N769US","DFW","17:49"
"AA","07/15/2021","2330","N103US","CLT","22:53"
"AA","07/15/2021","2681","N753US","CLT","13:54"
"AA","07/16/2021","1643","N834AW","DFW","17:49"
"AA","07/16/2021","2330","N659AW","CLT","22:53"
"AA","07/16/2021","2681","N711UW","CLT","13:54"
"AA","07/17/2021","1291","N828AW","ORD","15:28"
"AA","07/17/2021","1643","N112US","DFW","17:37"
"AA","07/17/2021","2330","N661AW","CLT","22:55"
"AA","07/17/2021","2681","N104UW","CLT","13:49"
"AA","07/18/2021","1643","N748UW","DFW","17:49"
"AA","07/18/2021","2330","N655AW","CLT","22:53"
"AA","07/18/2021","2681","N773XF","CLT","13:54"
"AA","07/19/2021","1643","N754UW","DFW","17:49"
