Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"DL","07/01/2021","0669","N326US","ATL","21:09"
"DL","07/01/2021","1587","N334NW","ATL","13:52"
"DL","07/02/2021","0669","N338NW","ATL","21:09"
"DL","07/02/2021","1587","N364NW","ATL","13:52"
"DL","07/03/2021","0669","N334NW","ATL","21:09"
"DL","07/03/2021","1402","N318NB","MSP","13:42"
"DL","07/03/2021","1587","N331NW","ATL","13:52"
"DL","07/04/2021","0669","N309US","ATL","21:09"
"DL","07/04/2021","1402","N317NB","MSP","13:42"
"DL","07/04/2021","1587","N338NW","ATL","13:52"
"DL","07/05/2021","0669","N337NW","ATL","21:09"
"DL","07/05/2021","1587","N370NW","ATL","13:52"
"DL","07/06/2021","1587","N377NW","ATL","18:34"
"DL","07/07/2021","1402","N320US","MSP","14:01"
"DL","07/07/2021","1587","N342NW","ATL","18:38"
"DL","07/08/2021","0669","N334NW","ATL","22:26"
"DL","07/08/2021","1587","N342NW","ATL","13:57"
"DL","07/09/2021","0669","N344NW","ATL","22:26"
"DL","07/09/2021","1587","N366NW","ATL","13:57"
"DL","07/10/2021","0669","N345NW","ATL","22:26"
"DL","07/10/2021","1402","N362NW","MSP","14:01"
"DL","07/10/2021","1587","N344NW","ATL","13:57"
"DL","07/10/2021","2417","N978AT","DTW","16:40"
"DL","07/11/2021","0669","N355NW","ATL","22:26"
"DL","07/11/2021","1402","N333NB","MSP","13:47"
"DL","07/11/2021","1587","N342NW","ATL","13:57"
"DL","07/12/2021","0669","N350NA","ATL","22:26"
"DL","07/12/2021","1587","N359NW","ATL","13:57"
"DL","07/13/2021","1587","N319US","ATL","18:38"
"DL","07/14/2021","1402","N360NW","MSP","14:01"
"DL","07/14/2021","1587","N363NW","ATL","18:38"
"DL","07/15/2021","0669","N377NW","ATL","22:26"
"DL","07/15/2021","1587","N345NW","ATL","13:57"
"DL","07/16/2021","0669","N329NW","ATL","22:26"
"DL","07/16/2021","1587","N312US","ATL","13:57"
"DL","07/17/2021","0669","N319US","ATL","22:26"
"DL","07/17/2021","1402","N342NW","MSP","14:01"
"DL","07/17/2021","1587","N329NW","ATL","13:57"
"DL","07/17/2021","2417","N981AT","DTW","16:40"
"DL","07/18/2021","0669","N343NW","ATL","22:26"
"DL","07/18/2021","1402","N320NB","MSP","13:47"
"DL","07/18/2021","1587","N349NW","ATL","13:57"
"DL","07/19/2021","0669","N366NW","ATL","22:26"
"DL","07/19/2021","1587","N309US","ATL","13:57"
"DL","07/20/2021","1587","N351NW","ATL","18:38"
"DL","07/21/2021","1402","N329NW","MSP","14:01"
"DL","07/21/2021","1587","N375NC","ATL","18:38"
"DL","07/22/2021","0669","N362NW","ATL","22:26"
"DL","07/22/2021","1587","N349NW","ATL","13:57"
"DL","07/23/2021","0669","N345NW","ATL","22:26"
"DL","07/23/2021","1587","N309US","ATL","13:57"
"DL","07/24/2021","0669","N353NW","ATL","22:26"
"DL","07/24/2021","1402","N343NW","MSP","14:01"
"DL","07/24/2021","1587","N345NW","ATL","13:57"
"DL","07/24/2021","2417","N954AT","DTW","16:40"
"DL","07/25/2021","0669","N348NW","ATL","22:26"
"DL","07/25/2021","1402","N353NB","MSP","13:47"
"DL","07/25/2021","1587","N363NW","ATL","13:57"
"DL","07/26/2021","0669","N321US","ATL","22:26"
"DL","07/26/2021","1587","N371NW","ATL","13:57"
"DL","07/27/2021","1587","N371NW","ATL","18:38"
"DL","07/28/2021","1402","N368NW","MSP","14:01"
"DL","07/28/2021","1587","N348NW","ATL","18:38"
"DL","07/29/2021","0669","N326US","ATL","22:26"
"DL","07/29/2021","1587","N358NW","ATL","13:57"
"DL","07/30/2021","0669","N331NW","ATL","22:26"
"DL","07/30/2021","1587","N376NW","ATL","13:57"
"DL","07/31/2021","0669","N319US","ATL","22:26"
"DL","07/31/2021","1402","N366NW","MSP","14:01"
"DL","07/31/2021","1587","N376NW","ATL","13:57"
"DL","07/31/2021","2417","N944AT","DTW","16:40"

