Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"UA","07/01/2021","1177","N24212","IAD","19:39"
"UA","07/01/2021","2053","N452UA","DEN","23:34"
"UA","07/02/2021","1177","N37253","IAD","19:39"
"UA","07/02/2021","2053","N464UA","DEN","23:34"
"UA","07/03/2021","1177","N14214","IAD","19:39"
"UA","07/03/2021","2053","N405UA","DEN","23:34"
"UA","07/04/2021","1177","N76288","IAD","19:39"
"UA","07/04/2021","2053","N452UA","DEN","23:34"
"UA","07/05/2021","1177","N76288","IAD","19:39"
"UA","07/05/2021","1764","N421UA","IAD","12:29"
"UA","07/05/2021","2053","N464UA","DEN","23:34"
"UA","07/06/2021","1177","N24224","IAD","19:39"
"UA","07/06/2021","1764","N76288","IAD","12:29"
"UA","07/06/2021","2053","N451UA","DEN","23:34"
"UA","07/07/2021","1177","N14250","IAD","19:39"
"UA","07/07/2021","2053","N451UA","DEN","23:34"
"UA","07/08/2021","1177","N73283","IAD","19:39"
"UA","07/08/2021","2053","N469UA","DEN","23:34"
"UA","07/09/2021","1177","N37263","IAD","19:39"
"UA","07/09/2021","2053","N473UA","DEN","23:34"
"UA","07/10/2021","1177","N12216","IAD","19:39"
"UA","07/10/2021","2053","N473UA","DEN","23:34"
"UA","07/11/2021","1177","N76504","IAD","19:39"
"UA","07/11/2021","2053","N825UA","DEN","23:34"
"UA","07/12/2021","1177","N14230","IAD","19:39"
"UA","07/12/2021","1764","N24212","IAD","12:29"
"UA","07/12/2021","2053","N405UA","DEN","23:34"
"UA","07/13/2021","1177","N13248","IAD","19:39"
"UA","07/13/2021","1764","N423UA","IAD","12:29"
"UA","07/13/2021","2053","N405UA","DEN","23:34"
"UA","07/14/2021","1177","N76505","IAD","19:39"
"UA","07/14/2021","2053","N488UA","DEN","23:34"
"UA","07/15/2021","1177","N33266","IAD","19:39"
"UA","07/15/2021","2053","N488UA","DEN","23:34"
"UA","07/16/2021","1177","N36247","IAD","19:39"
"UA","07/16/2021","2053","N421UA","DEN","23:34"
"UA","07/17/2021","1177","N33262","IAD","19:39"
"UA","07/17/2021","2053","N460UA","DEN","23:34"
"UA","07/18/2021","1177","N26226","IAD","19:39"
"UA","07/18/2021","2053","N423UA","DEN","23:34"
"UA","07/19/2021","1177","N35260","IAD","19:39"
"UA","07/19/2021","1764","N468UA","IAD","12:29"
"UA","07/19/2021","2053","N401UA","DEN","23:34"
"UA","07/20/2021","1177","N38268","IAD","19:39"
"UA","07/20/2021","1764","N404UA","IAD","12:29"
"UA","07/20/2021","2053","N401UA","DEN","23:34"
"UA","07/21/2021","1177","N76519","IAD","19:39"
"UA","07/21/2021","2053","N429UA","DEN","23:34"
"UA","07/22/2021","1177","N27239","IAD","19:39"
"UA","07/22/2021","2053","N473UA","DEN","23:34"
"UA","07/23/2021","1177","N26215","IAD","19:39"
"UA","07/23/2021","2053","N405UA","DEN","23:34"
"UA","07/24/2021","1177","N77261","IAD","19:39"
"UA","07/24/2021","2053","N460UA","DEN","23:34"
"UA","07/25/2021","1177","N81449","IAD","19:39"
"UA","07/25/2021","2053","N447UA","DEN","23:34"
"UA","07/26/2021","1177","N33294","IAD","19:39"
"UA","07/26/2021","1764","N458UA","IAD","12:29"
"UA","07/26/2021","2053","N413UA","DEN","23:34"
"UA","07/27/2021","1177","N33209","IAD","19:39"
"UA","07/27/2021","1764","N449UA","IAD","12:29"
"UA","07/27/2021","2053","N425UA","DEN","23:34"
"UA","07/28/2021","1177","N14235","IAD","19:39"
"UA","07/28/2021","2053","N425UA","DEN","23:34"
"UA","07/29/2021","1177","N24224","IAD","19:39"
"UA","07/29/2021","2053","N468UA","DEN","23:34"
"UA","07/30/2021","1177","N33203","IAD","19:39"
"UA","07/30/2021","2053","N490UA","DEN","23:34"
"UA","07/31/2021","1177","N37263","IAD","19:39"
"UA","07/31/2021","2053","N419UA","DEN","23:34"

