Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"AA","07/01/2021","0313","N196UW","DFW","10:26"
"AA","07/01/2021","0408","N858NN","DFW","12:13"
"AA","07/01/2021","0435","N923AN","ORD","19:31"
"AA","07/01/2021","0559","N970UY","PHX","20:30"
"AA","07/01/2021","0687","N150NN","DFW","20:57"
"AA","07/01/2021","0797","N972NN","CLT","22:04"
"AA","07/01/2021","1152","N996NN","ORD","10:02"
"AA","07/01/2021","1168","N912NN","ORD","17:39"
"AA","07/01/2021","1243","N975UY","DFW","20:00"
"AA","07/01/2021","1244","N871NN","ORD","21:25"
"AA","07/01/2021","1399","N138AN","DFW","21:53"
"AA","07/01/2021","1621","N154AA","PHL","11:32"
"AA","07/01/2021","1740","N913US","CLT","18:38"
"AA","07/01/2021","1939","N138AN","DFW","13:36"
"AA","07/01/2021","1947","N909AM","DFW","08:07"
"AA","07/01/2021","1948","N917NN","DFW","17:52"
"AA","07/01/2021","1949","N948NN","PHX","09:29"
"AA","07/01/2021","1951","N519UW","PHX","16:47"
"AA","07/01/2021","1954","N194UW","CLT","09:28"
"AA","07/01/2021","2568","N136AN","DFW","23:19"
"AA","07/01/2021","2674","N907AN","MIA","21:37"
"AA","07/01/2021","2747","N148AN","DFW","15:43"
"AA","07/01/2021","2757","N942NN","PHX","12:27"
"AA","07/01/2021","2758","N986AN","PHL","21:32"
"AA","07/01/2021","2777","N918US","CLT","12:56"
"AA","07/02/2021","0313","N988AL","DFW","10:26"
"AA","07/02/2021","0408","N939NN","DFW","12:13"
"AA","07/02/2021","0435","N838NN","ORD","19:31"
"AA","07/02/2021","0559","N507AY","PHX","20:14"
"AA","07/02/2021","0687","N122NN","DFW","21:30"
"AA","07/02/2021","0797","N984NN","CLT","22:02"
"AA","07/02/2021","1152","N942AN","ORD","10:02"
"AA","07/02/2021","1168","N865NN","ORD","17:39"
"AA","07/02/2021","1243","N423AN","DFW","20:00"
"AA","07/02/2021","1244","N990AN","ORD","21:25"
"AA","07/02/2021","1399","N138AN","DFW","22:13"
"AA","07/02/2021","1621","N153AN","PHL","11:32"
"AA","07/02/2021","1740","N195UW","CLT","18:38"
"AA","07/02/2021","1939","N134AN","DFW","13:36"
"AA","07/02/2021","1947","N933AM","DFW","08:07"
"AA","07/02/2021","1948","N927NN","DFW","17:52"
"AA","07/02/2021","1949","N949NN","PHX","09:35"
"AA","07/02/2021","1951","N194UW","PHX","16:47"
"AA","07/02/2021","1954","N572UW","CLT","09:28"
"AA","07/02/2021","2568","N126AN","DFW","23:19"
"AA","07/02/2021","2674","N343PN","MIA","21:37"
"AA","07/02/2021","2747","N975UY","DFW","15:43"
"AA","07/02/2021","2757","N908NN","PHX","12:32"
"AA","07/02/2021","2758","N931AM","PHL","21:32"
"AA","07/02/2021","2777","N915US","CLT","12:56"
"AA","07/03/2021","0313","N975UY","DFW","10:26"
"AA","07/03/2021","0408","N924AN","DFW","12:13"
"AA","07/03/2021","0435","N968AN","ORD","19:31"
"AA","07/03/2021","0687","N150NN","DFW","21:30"
"AA","07/03/2021","0797","N830NN","CLT","21:59"
"AA","07/03/2021","1152","N833NN","ORD","10:02"
"AA","07/03/2021","1168","N886NN","ORD","17:39"
"AA","07/03/2021","1243","N162UW","DFW","20:00"
"AA","07/03/2021","1399","N909AM","DFW","22:13"
"AA","07/03/2021","1621","N906AA","PHL","11:32"
"AA","07/03/2021","1740","N919US","CLT","18:38"
"AA","07/03/2021","1939","N151UW","DFW","13:36"
"AA","07/03/2021","1947","N991AU","DFW","08:07"
"AA","07/03/2021","1948","N940AN","DFW","17:52"
"AA","07/03/2021","1949","N947AN","PHX","09:29"
"AA","07/03/2021","1951","N915US","PHX","16:47"
"AA","07/03/2021","1954","N163US","CLT","09:28"
"AA","07/03/2021","2568","N905AU","DFW","23:19"
"AA","07/03/2021","2674","N968NN","MIA","21:37"
"AA","07/03/2021","2747","N180US","DFW","15:43"
"AA","07/03/2021","2757","N922AN","PHX","12:32"
"AA","07/03/2021","2758","N992AU","PHL","21:32"
"AA","07/03/2021","2777","N918US","CLT","12:56"
"AA","07/04/2021","0313","N990AU","DFW","10:26"
"AA","07/04/2021","0408","N963NN","DFW","12:13"
"AA","07/04/2021","0435","N990NN","ORD","19:31"
"AA","07/04/2021","0687","N161AA","DFW","21:30"
"AA","07/04/2021","0797","N947AN","CLT","21:24"
"AA","07/04/2021","1168","N905NN","ORD","17:39"
"AA","07/04/2021","1243","N971UY","DFW","20:00"
"AA","07/04/2021","1939","N119NN","DFW","13:36"
"AA","07/04/2021","1948","N980NN","DFW","17:52"
"AA","07/04/2021","1949","N980NN","PHX","09:29"
"AA","07/04/2021","2674","N994NN","MIA","21:37"
"AA","07/04/2021","2747","N903AA","DFW","16:08"
"AA","07/04/2021","2757","N879NN","PHX","12:32"
"AA","07/04/2021","2758","N930AU","PHL","21:32"
"AA","07/04/2021","2777","N157UW","CLT","12:56"
"AA","07/05/2021","0313","N174US","DFW","10:26"
"AA","07/05/2021","0408","N950NN","DFW","12:13"
"AA","07/05/2021","0435","N918NN","ORD","19:31"
"AA","07/05/2021","0559","N195UW","PHX","20:14"
"AA","07/05/2021","0687","N992AU","DFW","21:30"
"AA","07/05/2021","0797","N884NN","CLT","21:15"
"AA","07/05/2021","1152","N871NN","ORD","10:02"
"AA","07/05/2021","1168","N902NN","ORD","17:39"
"AA","07/05/2021","1243","N979UY","DFW","20:00"
"AA","07/05/2021","1244","N862NN","ORD","21:25"
"AA","07/05/2021","1399","N140AN","DFW","22:13"
"AA","07/05/2021","1621","N908AA","PHL","11:32"
"AA","07/05/2021","1740","N921US","CLT","18:38"
"AA","07/05/2021","1939","N166NN","DFW","13:36"
"AA","07/05/2021","1948","N833NN","DFW","17:52"
"AA","07/05/2021","1949","N960NN","PHX","09:29"
"AA","07/05/2021","1951","N155UW","PHX","16:47"
"AA","07/05/2021","1954","N150UW","CLT","09:28"
"AA","07/05/2021","2568","N133AN","DFW","23:19"
"AA","07/05/2021","2674","N314PD","MIA","21:37"
"AA","07/05/2021","2747","N579UW","DFW","15:43"
"AA","07/05/2021","2757","N977NN","PHX","12:32"
"AA","07/05/2021","2758","N903AA","PHL","21:32"
"AA","07/05/2021","2777","N176UW","CLT","12:56"
"AA","07/06/2021","0313","N170US","DFW","10:26"
"AA","07/06/2021","0408","N802NN","DFW","12:13"
"AA","07/06/2021","0435","N963AN","ORD","19:31"
"AA","07/06/2021","0559","N972UY","PHX","20:14"
"AA","07/06/2021","0687","N130AN","DFW","21:30"
"AA","07/06/2021","0797","N981AN","CLT","22:02"
"AA","07/06/2021","1152","N970NN","ORD","10:02"
"AA","07/06/2021","1168","N929NN","ORD","17:39"
"AA","07/06/2021","1243","N915US","DFW","20:00"
"AA","07/06/2021","1244","N936NN","ORD","21:25"
"AA","07/06/2021","1399","N140AN","DFW","22:13"
"AA","07/06/2021","1621","N138AN","PHL","11:32"
"AA","07/06/2021","1740","N579UW","CLT","18:38"
"AA","07/06/2021","1939","N133AN","DFW","13:36"
"AA","07/06/2021","1949","N200NV","PHX","09:29"
"AA","07/06/2021","1951","N982VJ","PHX","16:47"
"AA","07/06/2021","1954","N975UY","CLT","09:28"
"AA","07/06/2021","2568","N125AA","DFW","23:19"
"AA","07/06/2021","2674","N982AN","MIA","21:37"
"AA","07/06/2021","2747","N545UW","DFW","15:43"
"AA","07/06/2021","2757","N913NN","PHX","12:32"
