Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"DL","07/01/2021","0455","N838MH","ATL","11:52"
"DL","07/01/2021","0568","N375NC","SEA","18:07"
"DL","07/01/2021","0657","N705TW","JFK","20:12"
"DL","07/01/2021","0699","N830MH","JFK","11:20"
"DL","07/01/2021","0701","N375NC","SEA","10:20"
"DL","07/01/2021","0918","N317DN","DTW","22:50"
"DL","07/01/2021","0992","N190DN","ATL","16:54"
"DL","07/01/2021","1195","N317DN","MSP","11:04"
"DL","07/01/2021","1199","N690DL","MSP","13:05"
"DL","07/01/2021","1274","N826MH","MSP","20:38"
"DL","07/01/2021","1364","N355NW","SLC","09:13"
"DL","07/01/2021","1413","N3750D","SEA","14:19"
"DL","07/01/2021","2032","N381DZ","SLC","12:07"
"DL","07/01/2021","2136","N829MH","ATL","21:05"
"DL","07/01/2021","2219","N826MH","DTW","10:12"
"DL","07/01/2021","2246","N3750D","SEA","22:03"
"DL","07/01/2021","2263","N356DN","SLC","23:27"
"DL","07/01/2021","2389","N361DN","SLC","15:55"
"DL","07/01/2021","2491","N113DX","SLC","18:09"
"DL","07/02/2021","0455","N833MH","ATL","11:52"
"DL","07/02/2021","0568","N113DX","SEA","18:07"
"DL","07/02/2021","0657","N707TW","JFK","20:12"
"DL","07/02/2021","0699","N839MH","JFK","11:20"
"DL","07/02/2021","0701","N113DX","SEA","10:20"
"DL","07/02/2021","0918","N120DN","DTW","22:50"
"DL","07/02/2021","0992","N190DN","ATL","16:54"
"DL","07/02/2021","1195","N377DN","MSP","11:04"
"DL","07/02/2021","1199","N697DL","MSP","13:05"
"DL","07/02/2021","1274","N826MH","MSP","20:38"
"DL","07/02/2021","1364","N370NB","SLC","09:13"
"DL","07/02/2021","1413","N3738B","SEA","14:19"
"DL","07/02/2021","2032","N365DN","SLC","12:07"
"DL","07/02/2021","2136","N825MH","ATL","21:05"
"DL","07/02/2021","2219","N826MH","DTW","10:12"
"DL","07/02/2021","2246","N3738B","SEA","22:03"
"DL","07/02/2021","2263","N303DN","SLC","23:27"
"DL","07/02/2021","2389","N395DZ","SLC","15:55"
"DL","07/02/2021","2491","N351NW","SLC","18:09"
"DL","07/03/2021","0455","N837MH","ATL","11:52"
"DL","07/03/2021","0568","N351NW","SEA","18:07"
"DL","07/03/2021","0657","N722TW","JFK","20:12"
"DL","07/03/2021","0699","N832MH","JFK","11:20"
"DL","07/03/2021","0701","N351NW","SEA","10:20"
"DL","07/03/2021","0918","N379DN","DTW","22:50"
"DL","07/03/2021","0992","N172DN","ATL","16:54"
"DL","07/03/2021","1195","N381DZ","MSP","11:04"
"DL","07/03/2021","1199","N658DL","MSP","13:05"
"DL","07/03/2021","1274","N834MH","MSP","20:38"
"DL","07/03/2021","1364","N355NW","SLC","09:13"
"DL","07/03/2021","1413","N3746H","SEA","14:19"
"DL","07/03/2021","2032","N363DN","SLC","12:07"
"DL","07/03/2021","2136","N829MH","ATL","21:05"
"DL","07/03/2021","2219","N834MH","DTW","10:12"
"DL","07/03/2021","2246","N3746H","SEA","22:03"
"DL","07/03/2021","2263","N327DN","SLC","23:27"
"DL","07/03/2021","2389","N114DN","SLC","15:55"
"DL","07/04/2021","0455","N826MH","ATL","11:52"
"DL","07/04/2021","0568","N351NW","SEA","18:07"
"DL","07/04/2021","0657","N717TW","JFK","20:12"
"DL","07/04/2021","0699","N832MH","JFK","11:20"
"DL","07/04/2021","0701","N351NW","SEA","10:20"
"DL","07/04/2021","0918","N371DN","DTW","22:50"
"DL","07/04/2021","0992","N192DN","ATL","16:54"
"DL","07/04/2021","1195","N390DN","MSP","11:04"
"DL","07/04/2021","1199","N686DA","MSP","13:05"
"DL","07/04/2021","1274","N834MH","MSP","20:38"
"DL","07/04/2021","1364","N375NC","SLC","09:13"
"DL","07/04/2021","1413","N377DA","SEA","14:19"
"DL","07/04/2021","2032","N375DN","SLC","12:07"
"DL","07/04/2021","2136","N840MH","ATL","21:05"
"DL","07/04/2021","2219","N834MH","DTW","10:12"
"DL","07/04/2021","2246","N377DA","SEA","22:03"
"DL","07/04/2021","2263","N121DZ","SLC","23:27"
"DL","07/04/2021","2389","N387DN","SLC","15:55"
"DL","07/05/2021","0455","N829MH","ATL","11:52"
"DL","07/05/2021","0568","N351NW","SEA","18:07"
"DL","07/05/2021","0657","N710TW","JFK","20:12"
"DL","07/05/2021","0699","N844MH","JFK","11:20"
"DL","07/05/2021","0701","N351NW","SEA","10:20"
"DL","07/05/2021","0918","N337DN","DTW","22:50"
"DL","07/05/2021","0992","N178DZ","ATL","16:54"
"DL","07/05/2021","1195","N337DN","MSP","11:04"
"DL","07/05/2021","1199","N6714Q","MSP","13:05"
"DL","07/05/2021","1274","N830MH","MSP","20:38"
"DL","07/05/2021","1364","N340NW","SLC","09:13"
"DL","07/05/2021","1413","N3755D","SEA","14:19"
"DL","07/05/2021","2032","N315DN","SLC","12:07"
"DL","07/05/2021","2136","N832MH","ATL","21:05"
"DL","07/05/2021","2219","N830MH","DTW","10:12"
"DL","07/05/2021","2246","N3755D","SEA","22:03"
"DL","07/05/2021","2263","N382DN","SLC","23:27"
"DL","07/05/2021","2389","N120DN","SLC","15:55"
"DL","07/05/2021","2491","N375NC","SLC","18:09"
"DL","07/06/2021","0455","N845MH","ATL","11:52"
"DL","07/06/2021","0568","N375NC","SEA","18:07"
"DL","07/06/2021","0657","N721TW","JFK","20:12"
"DL","07/06/2021","0699","N826MH","JFK","11:20"
"DL","07/06/2021","0701","N375NC","SEA","10:20"
"DL","07/06/2021","0918","N396DN","DTW","22:50"
"DL","07/06/2021","0992","N174DN","ATL","16:54"
"DL","07/06/2021","1195","N396DN","MSP","11:04"
"DL","07/06/2021","1199","N6711M","MSP","13:05"
"DL","07/06/2021","1274","N830MH","MSP","20:38"
"DL","07/06/2021","1364","N348NW","SLC","09:13"
"DL","07/06/2021","1413","N3761R","SEA","14:19"
"DL","07/06/2021","2032","N108DN","SLC","12:07"
"DL","07/06/2021","2136","N840MH","ATL","21:05"
"DL","07/06/2021","2219","N830MH","DTW","10:12"
"DL","07/06/2021","2246","N3761R","SEA","22:03"
"DL","07/06/2021","2263","N338DN","SLC","23:27"
"DL","07/06/2021","2389","N373DX","SLC","15:55"
"DL","07/06/2021","2491","N335NW","SLC","18:09"
"DL","07/06/2021","8785","N594NW","DTW","18:48"
"DL","07/07/2021","0455","N844MH","ATL","11:29"
"DL","07/07/2021","0568","N335NW","SEA","18:07"
"DL","07/07/2021","0657","N707TW","JFK","20:12"
"DL","07/07/2021","0699","N845MH","JFK","11:19"
"DL","07/07/2021","0701","N335NW","SEA","10:10"
"DL","07/07/2021","0922","N660DL","DTW","18:28"
"DL","07/07/2021","0965","N837MH","ATL","09:32"
"DL","07/07/2021","0992","N175DN","ATL","16:54"
"DL","07/07/2021","1195","N389DN","MSP","11:03"
"DL","07/07/2021","1199","N381DZ","MSP","13:05"
"DL","07/07/2021","1274","N589NW","MSP","20:38"
"DL","07/07/2021","1364","N919DU","SLC","08:59"
"DL","07/07/2021","1413","N378DA","SEA","14:24"
"DL","07/07/2021","2032","N914DU","SLC","12:29"
"DL","07/07/2021","2136","N835MH","ATL","21:25"
"DL","07/07/2021","2219","N589NW","DTW","10:11"
"DL","07/07/2021","2246","N389DA","SEA","22:10"
"DL","07/07/2021","2263","N815DN","SLC","23:28"
"DL","07/07/2021","2389","N105DX","SLC","16:05"
"DL","07/07/2021","2491","N340NW","SLC","18:19"
"DL","07/08/2021","0455","N832MH","ATL","11:29"
"DL","07/08/2021","0568","N340NW","SEA","18:07"
"DL","07/08/2021","0657","N707TW","JFK","20:12"
"DL","07/08/2021","0699","N844MH","JFK","11:19"
"DL","07/08/2021","0701","N340NW","SEA","10:10"
"DL","07/08/2021","0922","N6714Q","DTW","18:28"
"DL","07/08/2021","0965","N826MH","ATL","09:32"
"DL","07/08/2021","0992","N179DN","ATL","16:54"
"DL","07/08/2021","1195","N104DN","MSP","11:03"
"DL","07/08/2021","1199","N113DX","MSP","13:05"
"DL","07/08/2021","1274","N591NW","MSP","20:38"
"DL","07/08/2021","1364","N897DN","SLC","08:59"
"DL","07/08/2021","1413","N3761R","SEA","14:24"
"DL","07/08/2021","2032","N859DN","SLC","12:29"
"DL","07/08/2021","2136","N827MH","ATL","21:25"
"DL","07/08/2021","2219","N591NW","DTW","10:11"
"DL","07/08/2021","2246","N398DA","SEA","22:10"
"DL","07/08/2021","2263","N882DN","SLC","23:28"
"DL","07/08/2021","2389","N344DN","SLC","16:05"
"DL","07/08/2021","2491","N368NW","SLC","18:19"
"DL","07/09/2021","0455","N838MH","ATL","11:29"
"DL","07/09/2021","0568","N368NW","SEA","18:07"
"DL","07/09/2021","0657","N717TW","JFK","20:12"
"DL","07/09/2021","0699","N825MH","JFK","11:19"
"DL","07/09/2021","0701","N368NW","SEA","10:10"
"DL","07/09/2021","0922","N692DL","DTW","18:28"
"DL","07/09/2021","0965","N834MH","ATL","09:32"
"DL","07/09/2021","0992","N174DN","ATL","16:54"
"DL","07/09/2021","1195","N367DN","MSP","11:03"
"DL","07/09/2021","1199","N303DN","MSP","13:05"
"DL","07/09/2021","1274","N586NW","MSP","20:38"
"DL","07/09/2021","1364","N889DN","SLC","08:59"
"DL","07/09/2021","1413","N389DA","SEA","14:24"
"DL","07/09/2021","2032","N808DN","SLC","12:29"
"DL","07/09/2021","2136","N827MH","ATL","21:25"
"DL","07/09/2021","2219","N586NW","DTW","10:11"
"DL","07/09/2021","2246","N3761R","SEA","22:10"
"DL","07/09/2021","2263","N837DN","SLC","23:28"
"DL","07/09/2021","2389","N381DZ","SLC","16:05"
"DL","07/09/2021","2491","N352NW","SLC","18:19"
"DL","07/10/2021","0455","N829MH","ATL","11:29"
"DL","07/10/2021","0568","N352NW","SEA","18:07"
"DL","07/10/2021","0657","N723TW","JFK","20:12"
"DL","07/10/2021","0699","N843MH","JFK","11:19"
"DL","07/10/2021","0701","N352NW","SEA","10:10"
"DL","07/10/2021","0922","N376DN","DTW","19:32"
"DL","07/10/2021","0965","N826MH","ATL","09:32"
"DL","07/10/2021","0992","N180DN","ATL","16:54"
"DL","07/10/2021","1195","N314DN","MSP","17:35"
"DL","07/10/2021","1199","N351DN","MSP","13:05"
"DL","07/10/2021","1274","N584NW","MSP","20:38"
"DL","07/10/2021","1364","N815DN","SLC","08:59"
"DL","07/10/2021","1413","N3748Y","SEA","14:24"
"DL","07/10/2021","2032","N864DN","SLC","12:29"
"DL","07/10/2021","2136","N826MH","ATL","21:25"
"DL","07/10/2021","2219","N584NW","DTW","10:11"
"DL","07/10/2021","2246","N389DA","SEA","22:10"
"DL","07/10/2021","2263","N827DN","SLC","23:28"
"DL","07/10/2021","2389","N339DN","SLC","16:05"
"DL","07/11/2021","0455","N830MH","ATL","11:29"
"DL","07/11/2021","0568","N352NW","SEA","18:07"
"DL","07/11/2021","0657","N707TW","JFK","20:12"
"DL","07/11/2021","0699","N825MH","JFK","11:19"
"DL","07/11/2021","0701","N352NW","SEA","10:10"
"DL","07/11/2021","0922","N672DL","DTW","18:28"
"DL","07/11/2021","0965","N832MH","ATL","09:32"
"DL","07/11/2021","0992","N192DN","ATL","16:54"
"DL","07/11/2021","1195","N369DN","MSP","11:03"
"DL","07/11/2021","1199","N347DN","MSP","13:05"
"DL","07/11/2021","1274","N586NW","MSP","20:38"
"DL","07/11/2021","1364","N837DN","SLC","08:59"
"DL","07/11/2021","1413","N3761R","SEA","14:24"
"DL","07/11/2021","2032","N833DN","SLC","12:29"
"DL","07/11/2021","2136","N845MH","ATL","21:25"
"DL","07/11/2021","2219","N586NW","DTW","10:11"
"DL","07/11/2021","2246","N3732J","SEA","22:10"
"DL","07/11/2021","2263","N810DN","SLC","23:28"
"DL","07/11/2021","2389","N363DN","SLC","16:05"
"DL","07/11/2021","2491","N361NW","SLC","18:19"
"DL","07/12/2021","0455","N840MH","ATL","11:29"
"DL","07/12/2021","0568","N361NW","SEA","18:07"
"DL","07/12/2021","0657","N717TW","JFK","20:12"
"DL","07/12/2021","0699","N831MH","JFK","11:19"
"DL","07/12/2021","0701","N361NW","SEA","10:10"
"DL","07/12/2021","0922","N668DN","DTW","18:28"
"DL","07/12/2021","0965","N836MH","ATL","09:32"
"DL","07/12/2021","0992","N178DZ","ATL","16:54"
"DL","07/12/2021","1195","N341DN","MSP","11:03"
"DL","07/12/2021","1199","N364DX","MSP","13:05"
"DL","07/12/2021","1274","N591NW","MSP","20:38"
"DL","07/12/2021","1364","N882DN","SLC","08:59"
"DL","07/12/2021","1413","N389DA","SEA","14:24"
"DL","07/12/2021","2032","N860DN","SLC","12:29"
"DL","07/12/2021","2136","N827MH","ATL","21:25"
"DL","07/12/2021","2219","N591NW","DTW","10:11"
"DL","07/12/2021","2246","N393DA","SEA","22:10"
"DL","07/12/2021","2263","N810DN","SLC","23:28"
"DL","07/12/2021","2389","N929DZ","SLC","16:05"
"DL","07/12/2021","2491","N370NW","SLC","18:19"
"DL","07/13/2021","0455","N829MH","ATL","11:29"
"DL","07/13/2021","0568","N370NW","SEA","18:07"
"DL","07/13/2021","0657","N723TW","JFK","20:12"
"DL","07/13/2021","0699","N840MH","JFK","11:19"
"DL","07/13/2021","0701","N370NW","SEA","10:10"
"DL","07/13/2021","0922","N659DL","DTW","18:28"
"DL","07/13/2021","0965","N845MH","ATL","09:32"
"DL","07/13/2021","0992","N175DN","ATL","16:54"
"DL","07/13/2021","1195","N358DN","MSP","11:03"
"DL","07/13/2021","1199","N301DV","MSP","13:05"
"DL","07/13/2021","1274","N589NW","MSP","20:38"
"DL","07/13/2021","1364","N820DN","SLC","08:59"
"DL","07/13/2021","1413","N372DA","SEA","14:24"
"DL","07/13/2021","2032","N848DN","SLC","12:29"
"DL","07/13/2021","2136","N831MH","ATL","21:25"
"DL","07/13/2021","2219","N589NW","DTW","10:11"
"DL","07/13/2021","2246","N3751B","SEA","22:10"
"DL","07/13/2021","2263","N928DU","SLC","23:28"
"DL","07/13/2021","2389","N325DN","SLC","16:05"
"DL","07/13/2021","2491","N361NW","SLC","18:19"
"DL","07/14/2021","0455","N828MH","ATL","11:29"
"DL","07/14/2021","0568","N361NW","SEA","18:07"
"DL","07/14/2021","0657","N710TW","JFK","20:12"
"DL","07/14/2021","0699","N833MH","JFK","11:19"
"DL","07/14/2021","0701","N361NW","SEA","10:10"
"DL","07/14/2021","0922","N688DL","DTW","18:28"
"DL","07/14/2021","0965","N825MH","ATL","09:32"
"DL","07/14/2021","0992","N171DN","ATL","16:54"
"DL","07/14/2021","1195","N335DN","MSP","11:03"
"DL","07/14/2021","1199","N396DN","MSP","13:05"
"DL","07/14/2021","1274","N584NW","MSP","20:38"
"DL","07/14/2021","1364","N866DN","SLC","08:59"
"DL","07/14/2021","1413","N393DA","SEA","14:24"
"DL","07/14/2021","2032","N930DZ","SLC","12:29"
"DL","07/14/2021","2136","N825MH","ATL","21:25"
"DL","07/14/2021","2219","N584NW","DTW","10:11"
"DL","07/14/2021","2246","N3739P","SEA","22:10"
"DL","07/14/2021","2263","N810DN","SLC","23:28"
"DL","07/14/2021","2389","N319DN","SLC","16:05"
"DL","07/14/2021","2491","N340NW","SLC","18:19"
"DL","07/15/2021","0455","N840MH","ATL","11:29"
"DL","07/15/2021","0568","N340NW","SEA","18:07"
"DL","07/15/2021","0657","N721TW","JFK","20:12"
"DL","07/15/2021","0699","N829MH","JFK","11:19"
"DL","07/15/2021","0701","N340NW","SEA","10:10"
"DL","07/15/2021","0922","N688DL","DTW","18:28"
"DL","07/15/2021","0965","N845MH","ATL","09:32"
"DL","07/15/2021","0992","N174DN","ATL","16:54"
"DL","07/15/2021","1195","N304DN","MSP","11:03"
"DL","07/15/2021","1199","N396DN","MSP","13:05"
"DL","07/15/2021","1274","N596NW","MSP","20:38"
"DL","07/15/2021","1364","N851DN","SLC","08:59"
"DL","07/15/2021","1413","N3751B","SEA","14:24"
"DL","07/15/2021","2032","N899DN","SLC","12:29"
"DL","07/15/2021","2136","N825MH","ATL","21:25"
"DL","07/15/2021","2219","N596NW","DTW","10:11"
"DL","07/15/2021","2246","N393DA","SEA","22:10"
"DL","07/15/2021","2263","N806DN","SLC","23:28"
"DL","07/15/2021","2389","N374DX","SLC","16:05"
"DL","07/15/2021","2491","N335NW","SLC","18:19"
"DL","07/16/2021","0455","N832MH","ATL","11:29"
"DL","07/16/2021","0568","N335NW","SEA","18:07"
"DL","07/16/2021","0657","N717TW","JFK","20:12"
"DL","07/16/2021","0699","N833MH","JFK","11:19"
"DL","07/16/2021","0701","N335NW","SEA","10:10"
"DL","07/16/2021","0922","N6710E","DTW","18:28"
"DL","07/16/2021","0965","N834MH","ATL","09:32"
"DL","07/16/2021","0992","N179DN","ATL","16:54"
"DL","07/16/2021","1195","N365DN","MSP","11:03"
"DL","07/16/2021","1199","N368DN","MSP","13:05"
"DL","07/16/2021","1274","N586NW","MSP","20:38"
"DL","07/16/2021","1364","N848DN","SLC","08:59"
"DL","07/16/2021","1413","N3739P","SEA","14:24"
"DL","07/16/2021","2032","N876DN","SLC","12:29"
"DL","07/16/2021","2136","N845MH","ATL","21:25"
"DL","07/16/2021","2219","N586NW","DTW","10:11"
"DL","07/16/2021","2246","N3767","SEA","22:10"
"DL","07/16/2021","2263","N890DN","SLC","23:28"
"DL","07/16/2021","2389","N101DQ","SLC","16:05"
"DL","07/16/2021","2491","N334NW","SLC","18:19"
"DL","07/17/2021","0455","N837MH","ATL","11:29"
"DL","07/17/2021","0552","N828MH","ATL","19:24"
"DL","07/17/2021","0568","N334NW","SEA","18:07"
"DL","07/17/2021","0657","N706TW","JFK","20:12"
"DL","07/17/2021","0699","N836MH","JFK","11:19"
"DL","07/17/2021","0701","N334NW","SEA","10:10"
"DL","07/17/2021","0922","N357DN","DTW","19:32"
"DL","07/17/2021","0965","N833MH","ATL","09:32"
"DL","07/17/2021","0992","N171DN","ATL","16:54"
"DL","07/17/2021","1195","N108DN","MSP","17:35"
"DL","07/17/2021","1199","N375DN","MSP","13:05"
"DL","07/17/2021","1274","N595NW","MSP","20:38"
"DL","07/17/2021","1364","N104DN","SLC","08:58"
"DL","07/17/2021","1413","N3735D","SEA","14:24"
"DL","07/17/2021","2032","N839DN","SLC","12:29"
"DL","07/17/2021","2136","N833MH","ATL","21:25"
"DL","07/17/2021","2219","N595NW","DTW","10:11"
"DL","07/17/2021","2246","N3739P","SEA","22:10"
"DL","07/17/2021","2263","N840DN","SLC","23:28"
"DL","07/17/2021","2389","N374DX","SLC","16:05"
"DL","07/18/2021","0455","N834MH","ATL","11:29"
"DL","07/18/2021","0552","N845MH","ATL","19:24"
"DL","07/18/2021","0568","N334NW","SEA","18:07"
"DL","07/18/2021","0657","N703TW","JFK","20:12"
"DL","07/18/2021","0699","N837MH","JFK","11:19"
"DL","07/18/2021","0701","N334NW","SEA","10:10"
"DL","07/18/2021","0922","N686DA","DTW","18:28"
"DL","07/18/2021","0965","N844MH","ATL","09:32"
"DL","07/18/2021","0992","N179DN","ATL","16:54"
"DL","07/18/2021","1195","N301DV","MSP","11:03"
"DL","07/18/2021","1199","N122DN","MSP","13:05"
"DL","07/18/2021","1274","N586NW","MSP","20:38"
