Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"UA","07/01/2021","0473","N12218","IAH","15:23"
"UA","07/01/2021","0540","N77530","DEN","21:03"
"UA","07/01/2021","0606","N68817","IAH","21:34"
"UA","07/01/2021","0657","N14230","ORD","18:11"
"UA","07/01/2021","0710","N35260","DEN","16:57"
"UA","07/01/2021","0792","N13750","ORD","15:05"
"UA","07/01/2021","1108","N37516","DEN","12:40"
"UA","07/01/2021","1127","N27213","EWR","11:37"
"UA","07/01/2021","1207","N77536","SFO","10:00"
"UA","07/01/2021","1263","N35236","IAH","18:07"
"UA","07/01/2021","1280","N53441","SFO","17:44"
"UA","07/01/2021","1421","N14231","DEN","14:52"
"UA","07/01/2021","1424","N69810","EWR","22:27"
"UA","07/01/2021","1435","N12238","IAD","12:51"
"UA","07/01/2021","1920","N78540","IAH","08:07"
"UA","07/01/2021","2016","N38446","EWR","20:09"
"UA","07/01/2021","2037","N37252","ORD","11:14"
"UA","07/01/2021","2066","N27520","ORD","09:43"
"UA","07/01/2021","2154","N33266","ORD","22:35"
"UA","07/01/2021","2186","N77261","SFO","12:06"
"UA","07/01/2021","2303","N38454","IAD","20:06"
"UA","07/01/2021","2309","N13227","DEN","09:15"
"UA","07/01/2021","2358","N69847","IAH","10:34"
"UA","07/01/2021","2641","N421UA","SFO","21:20"
"UA","07/02/2021","0473","N73275","IAH","15:23"
"UA","07/02/2021","0540","N34222","DEN","21:03"
"UA","07/02/2021","0606","N37516","IAH","21:34"
"UA","07/02/2021","0657","N33209","ORD","18:11"
"UA","07/02/2021","0710","N11206","DEN","16:57"
"UA","07/02/2021","0792","N17244","ORD","15:05"
"UA","07/02/2021","1108","N47517","DEN","12:40"
"UA","07/02/2021","1127","N24211","EWR","11:37"
"UA","07/02/2021","1207","N839UA","SFO","10:03"
"UA","07/02/2021","1263","N35204","IAH","18:07"
"UA","07/02/2021","1280","N77261","SFO","17:44"
"UA","07/02/2021","1421","N449UA","DEN","14:53"
"UA","07/02/2021","1424","N27421","EWR","22:27"
"UA","07/02/2021","1435","N33286","IAD","12:51"
"UA","07/02/2021","1920","N14214","IAH","08:04"
"UA","07/02/2021","2016","N53442","EWR","20:09"
"UA","07/02/2021","2037","N77510","ORD","11:14"
"UA","07/02/2021","2066","N16234","ORD","09:43"
"UA","07/02/2021","2154","N76529","ORD","22:35"
"UA","07/02/2021","2186","N12218","SFO","12:06"
"UA","07/02/2021","2303","N69810","IAD","20:06"
"UA","07/02/2021","2309","N87527","DEN","09:15"
"UA","07/02/2021","2358","N68807","IAH","10:34"
"UA","07/02/2021","2641","N423UA","SFO","21:20"
"UA","07/03/2021","0473","N77538","IAH","15:23"
"UA","07/03/2021","0540","N76502","DEN","21:03"
"UA","07/03/2021","0606","N37530","IAH","21:34"
"UA","07/03/2021","0657","N69806","ORD","18:11"
"UA","07/03/2021","0710","N63899","DEN","16:57"
"UA","07/03/2021","0792","N68802","ORD","15:05"
"UA","07/03/2021","1108","N37516","DEN","12:40"
"UA","07/03/2021","1127","N37420","EWR","11:37"
"UA","07/03/2021","1207","N872UA","SFO","10:03"
"UA","07/03/2021","1263","N423UA","IAH","18:07"
"UA","07/03/2021","1280","N79541","SFO","18:39"
"UA","07/03/2021","1421","N412UA","DEN","14:53"
"UA","07/03/2021","1435","N76254","IAD","12:51"
