Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"AA","07/01/2021","0305","N318SF","MIA","23:04"
"AA","07/01/2021","0579","N856NN","DFW","09:11"
"AA","07/01/2021","0591","N197UW","ORD","20:26"
"AA","07/01/2021","0710","N968NN","PHX","14:14"
"AA","07/01/2021","0853","N968AN","ORD","18:11"
"AA","07/01/2021","1241","N901AA","DFW","21:30"
"AA","07/01/2021","1314","N869NN","PHX","11:16"
"AA","07/01/2021","1681","N191UW","PHX","22:40"
"AA","07/01/2021","1953","N958NN","CLT","19:12"
"AA","07/01/2021","1987","N146AA","ORD","10:47"
"AA","07/01/2021","1990","N162AA","ORD","15:19"
"AA","07/01/2021","1992","N187US","DFW","14:39"
"AA","07/01/2021","1996","N852NN","DFW","22:55"
"AA","07/01/2021","1998","N198UW","PHL","12:10"
"AA","07/01/2021","2001","N909AM","PHL","22:13"
"AA","07/01/2021","2009","N158AN","DFW","19:23"
"AA","07/01/2021","2394","N129AA","DFW","00:39"
"AA","07/01/2021","2586","N972AN","ORD","21:47"
"AA","07/01/2021","2769","N994AN","DFW","12:54"
"AA","07/01/2021","2775","N551UW","CLT","11:51"
"AA","07/01/2021","2783","N934AA","DFW","17:17"
"AA","07/01/2021","2793","N915US","CLT","20:57"
"AA","07/02/2021","0305","N318SF","MIA","23:34"
"AA","07/02/2021","0579","N959AN","DFW","09:11"
"AA","07/02/2021","0591","N920US","ORD","20:26"
"AA","07/02/2021","0710","N948NN","PHX","14:14"
"AA","07/02/2021","0853","N301PA","ORD","18:11"
"AA","07/02/2021","1241","N129AA","DFW","21:30"
"AA","07/02/2021","1314","N953NN","PHX","11:16"
"AA","07/02/2021","1681","N176UW","PHX","22:40"
"AA","07/02/2021","1953","N923NN","CLT","19:12"
"AA","07/02/2021","1987","N162AA","ORD","10:47"
"AA","07/02/2021","1990","N127AA","ORD","14:43"
"AA","07/02/2021","1992","N551UW","DFW","14:39"
"AA","07/02/2021","1996","N338PK","DFW","22:55"
"AA","07/02/2021","1998","N150UW","PHL","12:10"
