Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"DL","07/01/2021","0305","N3735D","BOS","09:54"
"DL","07/01/2021","0308","N717TW","JFK","10:35"
"DL","07/01/2021","0320","N395DN","BOS","14:17"
"DL","07/01/2021","0334","N589NW","ATL","10:40"
"DL","07/01/2021","0339","N845MH","ATL","20:09"
"DL","07/01/2021","0382","N881DN","LAX","14:00"
"DL","07/01/2021","0383","N3750D","LAX","10:10"
"DL","07/01/2021","0394","N390DA","LAX","20:01"
"DL","07/01/2021","0485","N541US","KOA","05:00"
"DL","07/01/2021","0492","N113DX","SAN","22:10"
"DL","07/01/2021","0534","N774DE","LAX","16:15"
"DL","07/01/2021","0653","N875DN","ANC","10:27"
"DL","07/01/2021","0655","N3730B","BOS","22:15"
"DL","07/01/2021","0676","N926DZ","MCO","11:58"
"DL","07/01/2021","0692","N3738B","RDU","10:19"
"DL","07/01/2021","0701","N375NC","SAN","14:15"
"DL","07/01/2021","0704","N392DA","SAN","10:15"
"DL","07/01/2021","0705","N401DZ","HNL","06:22"
"DL","07/01/2021","0726","N583NW","DTW","10:29"
"DL","07/01/2021","0741","N543US","DTW","14:15"
"DL","07/01/2021","0764","N906DN","ATL","15:34"
"DL","07/01/2021","0781","N835MH","ATL","23:25"
"DL","07/01/2021","0846","N916DU","ATL","21:49"
"DL","07/01/2021","0861","N317NB","BNA","08:55"
"DL","07/01/2021","0867","N811DZ","MSP","10:48"
"DL","07/01/2021","0886","N814DN","CVG","08:50"
"DL","07/01/2021","0890","N890DN","MSP","17:47"
"DL","07/01/2021","0894","N595NW","MSP","13:11"
"DL","07/01/2021","0925","N123DQ","ORD","21:17"
"DL","07/01/2021","0941","N908DN","JFK","12:12"
"DL","07/01/2021","0976","N122DU","ORD","10:07"
"DL","07/01/2021","0985","N139DU","AUS","17:54"
"DL","07/01/2021","0988","N110DU","AUS","08:27"
"DL","07/01/2021","0989","N596NW","DTW","18:40"
"DL","07/01/2021","1005","N359NB","IAD","21:52"
"DL","07/01/2021","1019","N801DZ","MSP","08:30"
"DL","07/01/2021","1057","N927DZ","LAS","18:40"
"DL","07/01/2021","1122","N927DZ","SLC","10:12"
"DL","07/01/2021","1149","N865DN","MSP","23:10"
"DL","07/01/2021","1157","N900DU","ANC","12:20"
"DL","07/01/2021","1216","N872DN","FAI","10:32"
"DL","07/01/2021","1298","N879DN","JFK","22:10"
"DL","07/01/2021","1308","N703TW","JFK","19:30"
"DL","07/01/2021","1354","N543US","OGG","05:35"
"DL","07/01/2021","1358","N872DN","ANC","20:30"
"DL","07/01/2021","1382","N881DN","ANC","05:29"
"DL","07/01/2021","1388","N118DU","PHX","14:17"
"DL","07/01/2021","1413","N3750D","SAN","18:14"
"DL","07/01/2021","1427","N541US","SLC","12:45"
"DL","07/01/2021","1430","N134DU","TUS","16:55"
"DL","07/01/2021","1435","N837DN","SLC","23:56"
"DL","07/01/2021","1439","N3763D","LAS","22:15"
"DL","07/01/2021","1468","N833DN","SLC","16:47"
"DL","07/01/2021","1499","N536US","LIH","06:30"
"DL","07/01/2021","1539","N811DZ","FAI","20:25"
"DL","07/01/2021","1556","N115DU","PHX","22:15"
"DL","07/01/2021","1644","N390DA","LAX","12:01"
"DL","07/01/2021","1655","N129DU","ORD","16:49"
"DL","07/01/2021","1677","N847DN","MCO","21:36"
"DL","07/01/2021","2059","N345NB","PSP","16:49"
"DL","07/01/2021","2061","N134DU","DEN","08:15"
"DL","07/01/2021","2112","N869DN","LAX","22:09"
"DL","07/01/2021","2114","N3754A","LAX","18:14"
"DL","07/01/2021","2115","N901DN","MSP","20:30"
"DL","07/01/2021","2148","N833DN","LAS","09:38"
"DL","07/01/2021","2170","N679DA","SLC","22:15"
"DL","07/01/2021","2181","N902DN","SLC","18:39"
"DL","07/01/2021","2197","N831DN","LAS","14:31"
"DL","07/01/2021","2239","N403DX","HNL","21:28"
"DL","07/01/2021","2260","N819DN","DTW","23:05"
"DL","07/01/2021","2305","N831DN","FAI","06:36"
"DL","07/01/2021","2348","N3763D","SFO","15:00"
"DL","07/01/2021","2353","N864DN","ATL","14:20"
"DL","07/01/2021","2387","N536US","ATL","12:07"
"DL","07/01/2021","2514","N122DU","PHX","18:40"
"DL","07/01/2021","2532","N123DQ","PHX","10:08"
"DL","07/01/2021","2613","N3743H","TPA","12:21"
"DL","07/01/2021","2671","N378DA","GEG","08:42"
"DL","07/01/2021","2701","N392DA","GEG","14:28"
"DL","07/01/2021","2725","N3735D","PDX","14:32"
"DL","07/01/2021","2743","N3763D","PDX","08:20"
"DL","07/01/2021","2763","N774DE","JNU","08:37"
"DL","07/01/2021","2806","N801DZ","ANC","18:24"
"DL","07/01/2021","2808","N915DU","SLC","07:56"
"DL","07/01/2021","2809","N910DU","ANC","15:44"
"DL","07/02/2021","0305","N3738B","BOS","09:54"
"DL","07/02/2021","0308","N705TW","JFK","10:35"
"DL","07/02/2021","0320","N375DA","BOS","14:17"
"DL","07/02/2021","0334","N582NW","ATL","10:40"
"DL","07/02/2021","0339","N827MH","ATL","20:09"
"DL","07/02/2021","0382","N886DN","LAX","14:00"
"DL","07/02/2021","0383","N774DE","LAX","10:10"
"DL","07/02/2021","0394","N3752","LAX","20:01"
"DL","07/02/2021","0485","N548US","KOA","05:00"
"DL","07/02/2021","0492","N351NW","SAN","22:10"
"DL","07/02/2021","0534","N378DA","LAX","16:15"
"DL","07/02/2021","0653","N916DU","ANC","10:27"
"DL","07/02/2021","0655","N395DN","BOS","22:15"
"DL","07/02/2021","0676","N901DN","MCO","11:58"
"DL","07/02/2021","0692","N3746H","RDU","10:19"
"DL","07/02/2021","0701","N113DX","SAN","14:15"
