Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"UA","07/01/2021","0262","N73445","ORD","22:19"
"UA","07/01/2021","0326","N37253","IAD","20:43"
"UA","07/01/2021","0438","N41135","EWR","11:26"
"UA","07/01/2021","0447","N69819","SFO","18:19"
"UA","07/01/2021","0496","N33209","EWR","21:36"
"UA","07/01/2021","0530","N87507","DEN","15:12"
"UA","07/01/2021","0551","N14115","EWR","19:35"
"UA","07/01/2021","0565","N53441","SFO","11:07"
"UA","07/01/2021","0690","N45440","DEN","13:12"
"UA","07/01/2021","0748","N37465","ORD","11:38"
"UA","07/01/2021","1077","N34455","DEN","10:00"
"UA","07/01/2021","1289","N36444","IAH","12:23"
"UA","07/01/2021","1413","N54241","IAH","22:57"
"UA","07/01/2021","1593","N87527","IAH","17:11"
"UA","07/01/2021","1617","N836UA","SFO","15:29"
"UA","07/01/2021","1753","N425UA","LAX","22:02"
"UA","07/01/2021","1757","N39415","ORD","09:52"
"UA","07/01/2021","1788","N76529","IAH","19:16"
"UA","07/01/2021","1823","N872UA","DEN","17:41"
"UA","07/01/2021","2091","N67812","ORD","15:32"
"UA","07/01/2021","2223","N37523","DEN","21:46"
"UA","07/01/2021","2278","N65832","ORD","18:27"
"UA","07/01/2021","2315","N76515","SFO","13:31"
"UA","07/01/2021","2336","N832UA","SFO","20:55"
"UA","07/01/2021","2663","N34222","DEN","23:01"
"UA","07/02/2021","0262","N37462","ORD","22:19"
"UA","07/02/2021","0326","N76288","IAD","20:43"
"UA","07/02/2021","0438","N17133","EWR","11:16"
"UA","07/02/2021","0447","N69819","SFO","18:19"
"UA","07/02/2021","0496","N12225","EWR","21:36"
"UA","07/02/2021","0530","N76269","DEN","15:12"
"UA","07/02/2021","0551","N14115","EWR","19:35"
"UA","07/02/2021","0565","N69819","SFO","11:07"
"UA","07/02/2021","0690","N36444","DEN","13:07"
"UA","07/02/2021","0748","N69818","ORD","11:35"
"UA","07/02/2021","1077","N27511","DEN","10:03"
"UA","07/02/2021","1289","N68811","IAH","12:23"
"UA","07/02/2021","1413","N75425","IAH","22:57"
"UA","07/02/2021","1593","N66814","IAH","17:06"
"UA","07/02/2021","1617","N880UA","SFO","15:29"
"UA","07/02/2021","1753","N405UA","LAX","22:02"
"UA","07/02/2021","1757","N66803","ORD","09:52"
"UA","07/02/2021","1788","N86534","IAH","19:16"
"UA","07/02/2021","1823","N872UA","DEN","17:41"
"UA","07/02/2021","2091","N69816","ORD","15:32"
"UA","07/02/2021","2223","N66831","DEN","21:46"
"UA","07/02/2021","2278","N66803","ORD","18:27"
"UA","07/02/2021","2315","N77537","SFO","13:31"
"UA","07/02/2021","2336","N17229","SFO","20:55"
"UA","07/02/2021","2663","N37525","DEN","23:00"
"UA","07/03/2021","0262","N62896","ORD","22:49"
"UA","07/03/2021","0326","N76288","IAD","20:43"
"UA","07/03/2021","0438","N19117","EWR","11:36"
"UA","07/03/2021","0496","N24211","EWR","21:41"
"UA","07/03/2021","0530","N78511","DEN","15:12"
"UA","07/03/2021","0551","N75861","EWR","19:35"
"UA","07/03/2021","0690","N68801","DEN","13:07"
"UA","07/03/2021","0748","N28457","ORD","11:35"
"UA","07/03/2021","1077","N37508","DEN","10:03"
"UA","07/03/2021","1289","N67827","IAH","12:23"
"UA","07/03/2021","1413","N57439","IAH","22:57"
"UA","07/03/2021","1593","N77258","IAH","17:11"
"UA","07/03/2021","1617","N836UA","SFO","15:59"
