Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"UA","07/01/2021","0493","N77520","ORD","10:00"
"UA","07/01/2021","1109","N24224","IAH","14:00"
"UA","07/01/2021","1229","N14249","IAH","17:00"
"UA","07/01/2021","1291","N37422","IAD","18:50"
"UA","07/01/2021","1513","N472UA","SFO","07:25"
"UA","07/01/2021","1524","N37523","DEN","16:40"
"UA","07/01/2021","1562","N33264","EWR","16:00"
"UA","07/01/2021","1619","N33284","EWR","14:40"
"UA","07/01/2021","1649","N69830","EWR","06:55"
"UA","07/01/2021","2120","N18243","ORD","18:30"
"UA","07/01/2021","2137","N14230","ORD","12:45"
"UA","07/01/2021","2178","N77535","ORD","08:00"
"UA","07/01/2021","2280","N69804","EWR","10:40"
"UA","07/01/2021","2314","N77518","DEN","12:30"
"UA","07/01/2021","2338","N816UA","IAD","07:15"
"UA","07/01/2021","2346","N13720","EWR","13:30"
"UA","07/01/2021","2393","N18223","IAH","07:00"
"UA","07/01/2021","2398","N76288","IAD","14:15"
"UA","07/01/2021","2413","N872UA","DEN","08:45"
"UA","07/01/2021","2439","N73445","ORD","16:45"
"UA","07/01/2021","2476","N75425","EWR","19:40"
"UA","07/02/2021","0493","N17244","ORD","10:00"
"UA","07/02/2021","1109","N86534","IAH","14:00"
"UA","07/02/2021","1229","N14237","IAH","17:00"
"UA","07/02/2021","1291","N78511","IAD","18:45"
"UA","07/02/2021","1513","N429UA","SFO","07:25"
"UA","07/02/2021","1524","N37508","DEN","16:40"
"UA","07/02/2021","1619","N12225","EWR","14:40"
"UA","07/02/2021","1649","N34460","EWR","06:55"
"UA","07/02/2021","2120","N33203","ORD","18:30"
"UA","07/02/2021","2137","N33209","ORD","12:45"
"UA","07/02/2021","2178","N27515","ORD","08:00"
"UA","07/02/2021","2280","N68880","EWR","10:40"
"UA","07/02/2021","2314","N37527","DEN","12:30"
"UA","07/02/2021","2338","N851UA","IAD","07:15"
"UA","07/02/2021","2346","N38451","EWR","13:30"
"UA","07/02/2021","2393","N14228","IAH","07:00"
"UA","07/02/2021","2398","N13716","IAD","14:15"
"UA","07/02/2021","2413","N36447","DEN","08:45"
"UA","07/02/2021","2439","N75429","ORD","16:45"
"UA","07/02/2021","2476","N39463","EWR","19:40"
"UA","07/03/2021","0493","N12216","ORD","10:00"
"UA","07/03/2021","1109","N13110","IAH","14:01"
"UA","07/03/2021","1229","N444UA","IAH","17:00"
"UA","07/03/2021","1291","N37422","IAD","18:45"
