Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"AA","07/01/2021","0436","N979UY","CLT","13:48"
"AA","07/01/2021","0445","N335SN","MIA","11:01"
"AA","07/01/2021","0504","N965AN","DFW","09:30"
"AA","07/01/2021","0753","N576UW","DFW","17:35"
"AA","07/01/2021","0781","N308RD","MIA","06:40"
"AA","07/01/2021","0809","N545UW","PHL","17:17"
"AA","07/01/2021","0818","N855NN","PHX","08:35"
"AA","07/01/2021","0898","N126AN","DFW","19:35"
"AA","07/01/2021","0986","N831AW","AUS","20:35"
"AA","07/01/2021","1022","N868NN","MIA","20:25"
"AA","07/01/2021","1101","N927NN","ORD","16:09"
"AA","07/01/2021","1189","N130AN","DFW","06:00"
"AA","07/01/2021","1271","N160AN","DFW","11:41"
"AA","07/01/2021","1306","N832AW","MIA","08:11"
"AA","07/01/2021","1369","N135NN","DFW","07:30"
"AA","07/01/2021","1426","N124AA","DFW","15:45"
"AA","07/01/2021","1557","N700UW","ORD","08:35"
"AA","07/01/2021","1679","N824AW","DCA","14:10"
"AA","07/01/2021","1686","N830NN","CLT","05:00"
"AA","07/01/2021","1704","N920US","CLT","08:42"
"AA","07/01/2021","1806","N711UW","PHL","07:00"
"AA","07/01/2021","1863","N740UW","DCA","11:50"
"AA","07/01/2021","1901","N828AW","CLT","19:23"
"AA","07/01/2021","1944","N861NN","DCA","19:29"
"AA","07/01/2021","2020","N552UW","CLT","06:06"
"AA","07/01/2021","2032","N157UW","PHL","14:40"
"AA","07/01/2021","2150","N924US","PHX","17:05"
"AA","07/01/2021","2466","N408AN","MIA","13:10"
"AA","07/01/2021","2898","N907NN","CLT","10:16"
"AA","07/01/2021","2908","N119NN","PHL","12:11"
"AA","07/01/2021","2912","N195UW","CLT","11:49"
"AA","07/01/2021","2915","N987AN","CLT","15:30"
"AA","07/01/2021","2920","N947NN","ORD","11:51"
"AA","07/02/2021","0436","N587UW","CLT","13:48"
"AA","07/02/2021","0445","N923AN","MIA","10:58"
"AA","07/02/2021","0504","N314PD","DFW","09:30"
"AA","07/02/2021","0753","N970UY","DFW","17:35"
"AA","07/02/2021","0781","N341RW","MIA","06:40"
"AA","07/02/2021","0809","N932AM","PHL","17:17"
"AA","07/02/2021","0818","N354PT","PHX","08:35"
"AA","07/02/2021","0898","N187US","DFW","19:35"
"AA","07/02/2021","0986","N754UW","AUS","20:45"
"AA","07/02/2021","1022","N929NN","MIA","20:25"
"AA","07/02/2021","1101","N959NN","ORD","16:09"
"AA","07/02/2021","1189","N141NN","DFW","06:00"
"AA","07/02/2021","1271","N148AN","DFW","11:33"
"AA","07/02/2021","1306","N710UW","MIA","08:11"
"AA","07/02/2021","1369","N509AY","DFW","07:30"
"AA","07/02/2021","1426","N167AN","DFW","15:45"
"AA","07/02/2021","1557","N755US","ORD","08:35"
"AA","07/02/2021","1679","N763US","DCA","14:10"
"AA","07/02/2021","1686","N341RW","CLT","05:00"
"AA","07/02/2021","1704","N162UW","CLT","08:42"
"AA","07/02/2021","1806","N738US","PHL","07:00"
"AA","07/02/2021","1863","N711UW","DCA","11:50"
"AA","07/02/2021","1901","N918US","CLT","19:23"
"AA","07/02/2021","1944","N827NN","DCA","19:29"
"AA","07/02/2021","2020","N183UW","CLT","06:06"
"AA","07/02/2021","2032","N521UW","PHL","14:40"
"AA","07/02/2021","2150","N554UW","PHX","17:05"
"AA","07/02/2021","2353","N316PF","DFW","14:00"
"AA","07/02/2021","2466","N341RW","MIA","13:10"
"AA","07/02/2021","2898","N961NN","CLT","10:16"
"AA","07/02/2021","2908","N165NN","PHL","12:11"
"AA","07/02/2021","2912","N183UW","CLT","11:49"
"AA","07/02/2021","2915","N971NN","CLT","15:30"
"AA","07/03/2021","0436","N919US","CLT","13:48"
"AA","07/03/2021","0445","N326SJ","MIA","10:58"
"AA","07/03/2021","0504","N992AN","DFW","09:30"
"AA","07/03/2021","0753","N124AA","DFW","17:35"
"AA","07/03/2021","0781","N962AN","MIA","06:40"
"AA","07/03/2021","0809","N199UW","PHL","17:17"
"AA","07/03/2021","0818","N943AN","PHX","08:35"
"AA","07/03/2021","0898","N126AN","DFW","19:35"
"AA","07/03/2021","1022","N339SU","MIA","20:25"
"AA","07/03/2021","1101","N829NN","ORD","16:09"
"AA","07/03/2021","1189","N161AA","DFW","06:00"
