Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"AA","07/01/2021","0466","N920NN","DFW","05:00"
"AA","07/01/2021","0941","N971NN","DFW","16:40"
"AA","07/01/2021","0942","N903NN","DFW","14:39"
"AA","07/01/2021","1231","N837AW","PHX","09:30"
"AA","07/01/2021","1378","N850NN","ORD","16:06"
"AA","07/01/2021","2335","N342PM","DFW","06:35"
"AA","07/02/2021","0466","N974AN","DFW","05:00"
"AA","07/02/2021","0928","N669AW","DFW","10:44"
"AA","07/02/2021","0941","N892NN","DFW","16:45"
"AA","07/02/2021","0942","N977NN","DFW","14:39"
"AA","07/02/2021","1231","N749US","PHX","09:30"
"AA","07/02/2021","1378","N991NN","ORD","16:06"
"AA","07/02/2021","2335","N903NN","DFW","06:35"
"AA","07/03/2021","0466","N983NN","DFW","05:00"
"AA","07/03/2021","0928","N653AW","DFW","10:43"
"AA","07/03/2021","0941","N301NW","DFW","16:45"
"AA","07/03/2021","2335","N998NN","DFW","06:35"
"AA","07/04/2021","0928","N928AM","DFW","10:43"
"AA","07/04/2021","0941","N825NN","DFW","16:45"
"AA","07/04/2021","0942","N951NN","DFW","14:39"
"AA","07/04/2021","1231","N742PS","PHX","09:30"
"AA","07/04/2021","2027","N870NN","DFW","08:37"
"AA","07/04/2021","2335","N816NN","DFW","06:35"
"AA","07/05/2021","0928","N653AW","DFW","10:44"
"AA","07/05/2021","0941","N916NN","DFW","16:45"
"AA","07/05/2021","0942","N853NN","DFW","14:39"
"AA","07/05/2021","1378","N909NN","ORD","16:06"
"AA","07/05/2021","2055","N840NN","DFW","08:37"
"AA","07/05/2021","2335","N981NN","DFW","06:35"
"AA","07/06/2021","0466","N809NN","DFW","05:00"
"AA","07/06/2021","0928","N111US","DFW","10:43"
"AA","07/06/2021","0941","N964AN","DFW","16:45"
"AA","07/06/2021","0942","N875NN","DFW","14:39"
"AA","07/06/2021","1231","N833AW","PHX","09:30"
"AA","07/06/2021","1378","N922NN","ORD","16:06"
"AA","07/06/2021","2335","N899NN","DFW","06:35"
"AA","07/07/2021","0466","N893NN","DFW","05:00"
"AA","07/07/2021","0928","N127UW","DFW","10:43"
"AA","07/07/2021","0941","N839NN","DFW","16:45"
"AA","07/07/2021","0942","N944AN","DFW","14:39"
"AA","07/07/2021","1231","N810AW","PHX","09:30"
"AA","07/07/2021","1378","N981AN","ORD","16:06"
"AA","07/07/2021","2335","N852NN","DFW","06:35"
"AA","07/08/2021","0466","N895NN","DFW","05:00"
"AA","07/08/2021","0928","N659AW","DFW","10:43"
"AA","07/08/2021","0941","N940AN","DFW","16:45"
"AA","07/08/2021","0942","N968AN","DFW","14:39"
"AA","07/08/2021","1231","N834AW","PHX","09:30"
"AA","07/08/2021","1378","N354PT","ORD","16:06"
"AA","07/08/2021","2335","N924NN","DFW","06:35"
"AA","07/09/2021","0466","N965AN","DFW","05:00"
"AA","07/09/2021","0928","N663AW","DFW","10:44"
"AA","07/09/2021","0941","N860NN","DFW","16:45"
"AA","07/09/2021","0942","N808NN","DFW","14:39"
"AA","07/09/2021","1231","N828AW","PHX","09:30"
"AA","07/09/2021","1378","N972NN","ORD","16:06"
"AA","07/09/2021","2335","N928NN","DFW","06:35"
"AA","07/10/2021","0466","N989AN","DFW","05:00"
"AA","07/10/2021","0928","N112US","DFW","10:43"
"AA","07/10/2021","0941","N944AN","DFW","16:45"
"AA","07/10/2021","0942","N811NN","DFW","14:39"
"AA","07/10/2021","1231","N839AW","PHX","09:30"
"AA","07/10/2021","1378","N882NN","ORD","16:07"
"AA","07/10/2021","2335","N912NN","DFW","06:35"
"AA","07/11/2021","0466","N968AN","DFW","05:00"
