Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"DL","07/01/2021","2307","N356NW","ATL","13:38"
"DL","07/01/2021","2520","N365DN","ATL","06:00"
"DL","07/01/2021","2840","N330NB","SLC","06:00"
"DL","07/02/2021","2307","N344NW","ATL","13:38"
"DL","07/02/2021","2520","N117DX","ATL","06:00"
"DL","07/02/2021","2814","N358NW","MSP","14:40"
"DL","07/02/2021","2840","N352NB","SLC","06:00"
"DL","07/03/2021","2307","N356NW","ATL","13:38"
"DL","07/03/2021","2520","N324DX","ATL","06:00"
"DL","07/03/2021","2814","N122DN","MSP","14:40"
"DL","07/03/2021","2840","N352NB","SLC","06:00"
"DL","07/04/2021","2520","N309DN","ATL","06:00"
"DL","07/04/2021","2840","N357NB","SLC","06:00"
"DL","07/05/2021","2046","N374NW","MSP","14:40"
"DL","07/05/2021","2307","N372NW","ATL","13:38"
"DL","07/05/2021","2520","N372DN","ATL","06:00"
"DL","07/05/2021","2840","N344NB","SLC","06:00"
"DL","07/06/2021","2307","N363NW","ATL","13:38"
"DL","07/06/2021","2520","N341DN","ATL","06:00"
"DL","07/06/2021","2840","N325NB","SLC","06:00"
"DL","07/07/2021","2307","N103DY","ATL","13:35"
"DL","07/07/2021","2520","N308DN","ATL","06:15"
"DL","07/07/2021","2840","N370NB","SLC","05:51"
"DL","07/08/2021","2307","N354DN","ATL","13:35"
"DL","07/08/2021","2520","N103DY","ATL","06:15"
"DL","07/08/2021","2840","N370NB","SLC","05:51"
"DL","07/09/2021","2307","N353DN","ATL","13:35"
"DL","07/09/2021","2520","N354DN","ATL","06:15"
"DL","07/09/2021","2814","N362NW","MSP","14:07"
"DL","07/09/2021","2840","N343NB","SLC","05:51"
"DL","07/10/2021","2307","N112DN","ATL","13:35"
"DL","07/10/2021","2520","N353DN","ATL","06:15"
"DL","07/10/2021","2814","N390DN","MSP","14:07"
"DL","07/10/2021","2840","N348NB","SLC","05:51"
"DL","07/11/2021","2307","N396DN","ATL","13:35"
"DL","07/11/2021","2520","N325DN","ATL","06:15"
"DL","07/11/2021","2814","N360NW","MSP","14:07"
"DL","07/11/2021","2840","N349NB","SLC","05:51"
"DL","07/12/2021","2307","N112DN","ATL","13:35"
"DL","07/12/2021","2520","N317DN","ATL","06:15"
"DL","07/12/2021","2840","N323NB","SLC","05:51"
"DL","07/13/2021","2307","N354DN","ATL","13:35"
"DL","07/13/2021","2520","N112DN","ATL","06:15"
"DL","07/13/2021","2840","N340NB","SLC","05:51"
"DL","07/14/2021","2307","N313DN","ATL","13:35"
"DL","07/14/2021","2520","N337DN","ATL","06:15"
"DL","07/14/2021","2840","N325NB","SLC","05:51"
"DL","07/15/2021","2307","N121DZ","ATL","13:35"
"DL","07/15/2021","2520","N313DN","ATL","06:15"
"DL","07/15/2021","2840","N322NB","SLC","05:51"
"DL","07/16/2021","2307","N337DN","ATL","13:35"
"DL","07/16/2021","2520","N322DN","ATL","06:15"
"DL","07/16/2021","2814","N352NW","MSP","14:07"
"DL","07/16/2021","2840","N368NB","SLC","05:51"
"DL","07/17/2021","2307","N341DN","ATL","13:35"
"DL","07/17/2021","2520","N337DN","ATL","06:15"
"DL","07/17/2021","2814","N336DX","MSP","14:07"
"DL","07/17/2021","2840","N354NB","SLC","05:51"
"DL","07/18/2021","2307","N348DN","ATL","13:35"
"DL","07/18/2021","2520","N314DN","ATL","06:15"
"DL","07/18/2021","2814","N362NW","MSP","14:07"
"DL","07/18/2021","2840","N354NB","SLC","05:51"
"DL","07/19/2021","2307","N354DN","ATL","13:35"
"DL","07/19/2021","2520","N348DN","ATL","06:15"
"DL","07/19/2021","2840","N322NB","SLC","05:51"
"DL","07/20/2021","2307","N104DN","ATL","13:35"
"DL","07/20/2021","2520","N354DN","ATL","06:15"
"DL","07/20/2021","2840","N333NB","SLC","05:51"
"DL","07/21/2021","2307","N354DN","ATL","13:35"
"DL","07/21/2021","2520","N319DN","ATL","06:15"
"DL","07/21/2021","2840","N348NB","SLC","05:51"
