Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"UA","07/01/2021","0381","N835UA","IAH","15:25"
"UA","07/02/2021","0287","N826UA","DEN","07:15"
"UA","07/03/2021","0287","N825UA","DEN","07:15"
"UA","07/04/2021","0287","N820UA","DEN","07:15"
"UA","07/05/2021","0287","N810UA","DEN","07:15"
"UA","07/06/2021","0287","N878UA","DEN","07:15"
"UA","07/07/2021","0287","N405UA","DEN","07:15"
"UA","07/08/2021","0287","N895UA","DEN","07:15"
"UA","07/09/2021","0287","N878UA","DEN","07:15"
"UA","07/10/2021","0287","N848UA","DEN","07:15"
"UA","07/11/2021","0287","N820UA","DEN","07:15"
"UA","07/12/2021","0287","N896UA","DEN","07:15"
"UA","07/13/2021","0287","N824UA","DEN","07:15"
"UA","07/14/2021","0287","N402UA","DEN","07:15"
"UA","07/15/2021","0287","N844UA","DEN","07:15"
"UA","07/16/2021","0287","N4888U","DEN","07:15"
"UA","07/17/2021","0287","N824UA","DEN","07:15"
"UA","07/18/2021","0287","N897UA","DEN","07:15"
"UA","07/19/2021","0287","N891UA","DEN","07:15"
"UA","07/20/2021","0287","N881UA","DEN","07:15"
"UA","07/21/2021","0287","N443UA","DEN","07:15"
"UA","07/22/2021","0287","N827UA","DEN","07:15"
"UA","07/23/2021","0287","N880UA","DEN","07:15"
"UA","07/24/2021","0287","N816UA","DEN","07:15"
"UA","07/25/2021","0287","N817UA","DEN","07:15"
"UA","07/26/2021","0287","N882UA","DEN","07:15"
"UA","07/27/2021","0287","N834UA","DEN","07:15"
"UA","07/28/2021","0287","N811UA","DEN","07:15"
"UA","07/29/2021","0287","N846UA","DEN","07:15"
"UA","07/30/2021","0287","N420UA","DEN","07:15"
"UA","07/31/2021","0287","N831UA","DEN","07:15"
