Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"AA","07/01/2021","0512","N9008U","MIA","21:53"
"AA","07/01/2021","0621","N879NN","PHX","16:41"
"AA","07/01/2021","0709","N9016","CLT","00:24"
"AA","07/01/2021","0763","N702UW","CLT","21:44"
"AA","07/01/2021","0980","N158AN","DFW","13:29"
"AA","07/01/2021","0982","N971AN","DFW","11:48"
"AA","07/01/2021","0990","N773XF","LAX","18:05"
"AA","07/01/2021","1003","N724UW","LGA","19:38"
"AA","07/01/2021","1009","N653AW","PHL","16:13"
"AA","07/01/2021","1051","N971AN","DFW","17:36"
"AA","07/01/2021","1071","N196UW","LAX","06:47"
"AA","07/01/2021","1192","N722US","MIA","15:42"
"AA","07/01/2021","1402","N114UW","CLT","19:37"
"AA","07/01/2021","1860","N834AW","ORD","16:18"
"AA","07/01/2021","2072","N188US","DFW","22:09"
"AA","07/01/2021","2231","N549UW","DFW","10:19"
"AA","07/01/2021","2245","N741UW","MIA","00:24"
"AA","07/01/2021","2290","N992AU","MIA","23:23"
"AA","07/01/2021","2403","N776XF","DFW","20:00"
"AA","07/01/2021","2749","N189UW","DFW","23:57"
"AA","07/01/2021","2779","N9006","ORD","20:03"
"AA","07/02/2021","0314","N124US","CLT","22:10"
"AA","07/02/2021","0512","N338RS","MIA","21:55"
"AA","07/02/2021","0709","N4005X","CLT","00:19"
"AA","07/02/2021","0980","N576UW","DFW","13:25"
"AA","07/02/2021","0982","N901NN","DFW","11:50"
"AA","07/02/2021","0990","N773XF","LAX","18:50"
"AA","07/02/2021","1003","N756US","LGA","19:38"
"AA","07/02/2021","1008","N136AN","DFW","15:50"
"AA","07/02/2021","1009","N663AW","PHL","16:13"
"AA","07/02/2021","1051","N976AN","DFW","17:36"
"AA","07/02/2021","1071","N189UW","LAX","06:47"
"AA","07/02/2021","1192","N8001N","MIA","15:37"
"AA","07/02/2021","1402","N664AW","CLT","19:37"
"AA","07/02/2021","2037","N864NN","PHX","16:38"
"AA","07/02/2021","2072","N539UW","DFW","22:09"
"AA","07/02/2021","2231","N927UW","DFW","10:19"
"AA","07/02/2021","2245","N9017P","MIA","00:21"
"AA","07/02/2021","2290","N152AA","MIA","23:23"
"AA","07/02/2021","2403","N747UW","DFW","20:00"
"AA","07/02/2021","2749","N510UW","DFW","23:57"
"AA","07/02/2021","2779","N9002U","ORD","20:03"
"AA","07/02/2021","2867","N508AY","MIA","19:43"
"AA","07/03/2021","0314","N654AW","CLT","22:50"
"AA","07/03/2021","0404","N327SK","MIA","21:55"
"AA","07/03/2021","0980","N174US","DFW","13:29"
"AA","07/03/2021","0982","N822NN","DFW","11:50"
"AA","07/03/2021","0990","N147AA","LAX","18:50"
"AA","07/03/2021","1003","N833AW","LGA","18:38"
"AA","07/03/2021","1008","N125AA","DFW","15:50"
"AA","07/03/2021","1051","N975AN","DFW","17:36"
"AA","07/03/2021","1071","N970UY","LAX","06:47"
