Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"UA","07/01/2021","0302","N73299","IAH","21:41"
"UA","07/01/2021","0475","N61886","EWR","09:37"
"UA","07/01/2021","0547","N16703","IAD","19:07"
"UA","07/01/2021","0566","N16732","IAH","22:45"
"UA","07/01/2021","0786","N14250","DEN","15:02"
"UA","07/01/2021","1596","N895UA","DEN","23:12"
"UA","07/01/2021","1635","N447UA","ORD","10:26"
"UA","07/01/2021","1862","N447UA","EWR","16:51"
"UA","07/01/2021","2290","N415UA","ORD","16:56"
"UA","07/02/2021","0302","N77525","IAH","21:41"
"UA","07/02/2021","0475","N878UA","EWR","09:37"
"UA","07/02/2021","0547","N16732","IAD","19:07"
"UA","07/02/2021","0566","N24702","IAH","22:45"
"UA","07/02/2021","0786","N66897","DEN","15:02"
"UA","07/02/2021","1596","N490UA","DEN","23:12"
"UA","07/02/2021","1635","N890UA","ORD","10:26"
"UA","07/02/2021","1862","N890UA","EWR","16:51"
"UA","07/02/2021","2290","N27722","ORD","16:56"
"UA","07/03/2021","0302","N36272","IAH","21:41"
"UA","07/03/2021","0475","N896UA","EWR","09:37"
"UA","07/03/2021","0547","N21723","IAD","19:07"
"UA","07/03/2021","0566","N27734","IAH","22:45"
"UA","07/03/2021","0786","N825UA","DEN","15:03"
"UA","07/03/2021","1596","N831UA","DEN","23:12"
"UA","07/03/2021","1862","N896UA","EWR","16:51"
"UA","07/03/2021","2290","N13716","ORD","16:56"
"UA","07/04/2021","0302","N73299","IAH","21:41"
"UA","07/04/2021","0337","N53442","DEN","12:41"
"UA","07/04/2021","0475","N822UA","EWR","09:37"
"UA","07/04/2021","0547","N16732","IAD","19:07"
"UA","07/04/2021","0566","N33714","IAH","22:45"
"UA","07/04/2021","0786","N62884","DEN","15:02"
"UA","07/04/2021","1596","N829UA","DEN","23:12"
"UA","07/04/2021","1862","N822UA","EWR","16:51"
"UA","07/04/2021","2290","N14704","ORD","16:56"
"UA","07/05/2021","0302","N37255","IAH","21:41"
"UA","07/05/2021","0475","N14240","EWR","09:37"
"UA","07/05/2021","0547","N33714","IAD","19:07"
"UA","07/05/2021","0566","N15712","IAH","22:45"
"UA","07/05/2021","0786","N4901U","DEN","15:03"
"UA","07/05/2021","1596","N829UA","DEN","23:12"
"UA","07/05/2021","1635","N844UA","ORD","10:26"
"UA","07/05/2021","1862","N844UA","EWR","16:51"
"UA","07/05/2021","2290","N15712","ORD","16:56"
"UA","07/06/2021","0302","N33203","IAH","21:41"
"UA","07/06/2021","0475","N490UA","EWR","09:37"
"UA","07/06/2021","0547","N15712","IAD","19:07"
"UA","07/06/2021","0566","N15751","IAH","22:45"
"UA","07/06/2021","0786","N12225","DEN","15:02"
"UA","07/06/2021","1596","N424UA","DEN","23:12"
"UA","07/06/2021","1635","N830UA","ORD","10:26"
"UA","07/06/2021","1862","N830UA","EWR","16:51"
"UA","07/06/2021","2290","N15751","ORD","16:56"
"UA","07/07/2021","0302","N16217","IAH","21:41"
"UA","07/07/2021","0475","N420UA","EWR","09:37"
"UA","07/07/2021","0547","N15751","IAD","19:07"
"UA","07/07/2021","0566","N17719","IAH","22:45"
"UA","07/07/2021","0786","N77518","DEN","15:02"
"UA","07/07/2021","1596","N818UA","DEN","23:12"
"UA","07/07/2021","1635","N820UA","ORD","10:26"
"UA","07/07/2021","1862","N820UA","EWR","16:51"
"UA","07/07/2021","2290","N16732","ORD","16:56"
"UA","07/08/2021","0302","N62894","IAH","21:41"
"UA","07/08/2021","0475","N871UA","EWR","09:37"
"UA","07/08/2021","0547","N17719","IAD","19:07"
"UA","07/08/2021","0566","N16732","IAH","22:45"
"UA","07/08/2021","0786","N78506","DEN","15:02"
"UA","07/08/2021","1596","N836UA","DEN","23:12"
"UA","07/08/2021","1635","N404UA","ORD","10:26"
"UA","07/08/2021","1862","","EWR","16:51"
"UA","07/08/2021","2290","N25705","ORD","16:56"
"UA","07/09/2021","0302","N76515","IAH","21:54"
"UA","07/09/2021","0475","N812UA","EWR","09:37"
"UA","07/09/2021","0547","N23707","IAD","19:07"
"UA","07/09/2021","0566","N13716","IAH","22:45"
"UA","07/09/2021","0786","N69840","DEN","15:02"
"UA","07/09/2021","1596","N835UA","DEN","23:12"
"UA","07/09/2021","1635","N874UA","ORD","10:26"
"UA","07/09/2021","1862","N874UA","EWR","16:51"
"UA","07/09/2021","2290","N12754","ORD","16:56"
"UA","07/10/2021","0302","N35260","IAH","21:41"
"UA","07/10/2021","0475","N812UA","EWR","09:37"
"UA","07/10/2021","0547","N14704","IAD","19:07"
"UA","07/10/2021","0566","N16703","IAH","22:45"
"UA","07/10/2021","0786","N820UA","DEN","15:03"
"UA","07/10/2021","1596","N875UA","DEN","23:12"
"UA","07/10/2021","1862","N812UA","EWR","16:51"
"UA","07/10/2021","2290","N54711","ORD","16:56"
"UA","07/11/2021","0302","N76503","IAH","21:41"
"UA","07/11/2021","0337","N66897","DEN","12:41"
"UA","07/11/2021","0475","N822UA","EWR","09:37"
"UA","07/11/2021","0547","N23721","IAD","19:07"
"UA","07/11/2021","0566","N24736","IAH","22:45"
"UA","07/11/2021","0786","N61882","DEN","15:02"
"UA","07/11/2021","1596","N460UA","DEN","23:12"
"UA","07/11/2021","1862","N822UA","EWR","16:51"
"UA","07/11/2021","2290","N14704","ORD","16:56"
"UA","07/12/2021","0302","N35260","IAH","21:41"
"UA","07/12/2021","0475","N879UA","EWR","09:37"
"UA","07/12/2021","0547","N39728","IAD","19:07"
"UA","07/12/2021","0566","N27724","IAH","22:45"
"UA","07/12/2021","0786","N832UA","DEN","15:03"
"UA","07/12/2021","1596","N814UA","DEN","23:12"
"UA","07/12/2021","1635","N445UA","ORD","10:26"
"UA","07/12/2021","1862","N445UA","EWR","16:51"
