Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"AA","07/01/2021","0434","N990NN","CLT","17:39"
"AA","07/01/2021","0465","N944AN","JFK","06:01"
"AA","07/01/2021","0539","N963NN","LAX","14:00"
"AA","07/01/2021","0597","N732US","BOS","07:15"
"AA","07/01/2021","0806","N951NN","DFW","07:24"
"AA","07/01/2021","0885","N812NN","CLT","13:35"
"AA","07/01/2021","0986","N831AW","TPA","16:15"
"AA","07/01/2021","1015","N920NN","LAS","19:30"
"AA","07/01/2021","1041","N959AN","DFW","20:32"
"AA","07/01/2021","1060","N133AN","DFW","18:33"
"AA","07/01/2021","1064","N131NN","DFW","16:38"
"AA","07/01/2021","1065","N930AU","DFW","12:31"
"AA","07/01/2021","1070","N305NX","CLT","09:35"
"AA","07/01/2021","1079","N339PL","ORD","13:11"
"AA","07/01/2021","1083","N847NN","PHX","14:31"
"AA","07/01/2021","1084","N964NN","CLT","08:01"
"AA","07/01/2021","1086","N301PA","LAX","18:30"
"AA","07/01/2021","1092","N944AN","JFK","15:45"
"AA","07/01/2021","1095","N847NN","MCO","10:55"
"AA","07/01/2021","1592","N902NN","LAS","12:40"
"AA","07/01/2021","1593","N710UW","MIA","05:45"
"AA","07/01/2021","1595","N136AN","DFW","08:30"
"AA","07/01/2021","1637","N885NN","LAX","19:27"
"AA","07/01/2021","1638","N339SU","MIA","07:00"
"AA","07/01/2021","1760","N917UY","PHX","18:11"
"AA","07/01/2021","1769","N975UY","DFW","09:24"
"AA","07/01/2021","1861","N938NN","PHX","07:10"
"AA","07/01/2021","2198","N166NN","DFW","14:43"
"AA","07/01/2021","2327","N849NN","ORD","07:45"
"AA","07/01/2021","2469","N823NN","DFW","10:29"
"AA","07/01/2021","2549","N181UW","CLT","06:03"
"AA","07/01/2021","2563","N876NN","DFW","05:00"
"AA","07/01/2021","2774","N653AW","PHL","08:10"
"AA","07/01/2021","2869","N127AA","LAX","07:00"
"AA","07/01/2021","2913","N820NN","DFW","06:30"
"AA","07/02/2021","0434","N962NN","CLT","17:39"
"AA","07/02/2021","0465","N902NN","JFK","06:04"
"AA","07/02/2021","0539","N934NN","LAX","14:28"
"AA","07/02/2021","0597","N831AW","BOS","07:16"
"AA","07/02/2021","0806","N338PK","DFW","07:30"
"AA","07/02/2021","0885","N928NN","CLT","13:35"
"AA","07/02/2021","0986","N754UW","TPA","16:15"
"AA","07/02/2021","1015","N973AN","LAS","19:26"
"AA","07/02/2021","1041","N200NV","DFW","20:32"
"AA","07/02/2021","1060","N908AA","DFW","18:33"
"AA","07/02/2021","1064","N132AN","DFW","16:38"
"AA","07/02/2021","1065","N148AN","DFW","12:31"
"AA","07/02/2021","1070","N984NN","CLT","09:35"
"AA","07/02/2021","1079","N920NN","ORD","13:11"
"AA","07/02/2021","1083","N969NN","PHX","14:31"
"AA","07/02/2021","1084","N904NN","CLT","08:04"
"AA","07/02/2021","1086","N855NN","LAX","18:19"
"AA","07/02/2021","1092","N902NN","JFK","15:45"
"AA","07/02/2021","1095","N855NN","MCO","10:55"
"AA","07/02/2021","1592","N921NN","LAS","12:20"
"AA","07/02/2021","1593","N741UW","MIA","05:45"
"AA","07/02/2021","1595","N192UW","DFW","08:30"
"AA","07/02/2021","1637","N976NN","LAX","19:27"
"AA","07/02/2021","1638","N310RF","MIA","06:45"
"AA","07/02/2021","1760","N176UW","PHX","18:11"
"AA","07/02/2021","1769","N583UW","DFW","09:30"
"AA","07/02/2021","1861","N835NN","PHX","07:05"
"AA","07/02/2021","2198","N132AN","DFW","14:43"
"AA","07/02/2021","2327","N971AN","ORD","08:05"
"AA","07/02/2021","2469","N917NN","DFW","10:29"
"AA","07/02/2021","2549","N587UW","CLT","06:03"
"AA","07/02/2021","2563","N837NN","DFW","05:00"
"AA","07/02/2021","2774","N104UW","PHL","08:06"
"AA","07/02/2021","2869","N128AN","LAX","06:19"
"AA","07/03/2021","0539","N854NN","LAX","14:28"
"AA","07/03/2021","0806","N912NN","DFW","07:30"
"AA","07/03/2021","0885","N987AN","CLT","13:35"
"AA","07/03/2021","1015","N976NN","LAS","19:26"
"AA","07/03/2021","1041","N904NN","DFW","20:32"
"AA","07/03/2021","1060","N956AN","DFW","18:33"
"AA","07/03/2021","1064","N119NN","DFW","16:38"
"AA","07/03/2021","1065","N411AN","DFW","12:31"
"AA","07/03/2021","1070","N991AN","CLT","09:35"
"AA","07/03/2021","1079","N965AN","ORD","13:11"
"AA","07/03/2021","1083","N355PU","PHX","14:31"
"AA","07/03/2021","1084","N877NN","CLT","08:04"
"AA","07/03/2021","1086","N925NN","LAX","18:19"
"AA","07/03/2021","1095","N925NN","MCO","10:55"
"AA","07/03/2021","1592","N853NN","LAS","12:20"
"AA","07/03/2021","1593","N813NN","MIA","05:45"
"AA","07/03/2021","1595","N411AN","DFW","08:30"
