Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"DL","07/01/2021","0397","N306DU","JFK","12:15"
"DL","07/01/2021","0445","N379DA","LAX","18:58"
"DL","07/01/2021","0697","N387DN","ATL","17:54"
"DL","07/01/2021","0711","N124DU","SLC","07:58"
"DL","07/01/2021","0745","N386DN","ATL","19:44"
"DL","07/01/2021","0758","N121DU","SLC","19:40"
"DL","07/01/2021","0966","N3748Y","LAX","15:39"
"DL","07/01/2021","0985","N139DU","SEA","15:30"
"DL","07/01/2021","0988","N110DU","SEA","06:05"
"DL","07/01/2021","1036","N303DN","ATL","12:59"
"DL","07/01/2021","1083","N308DU","JFK","19:35"
"DL","07/01/2021","1098","N356DN","ATL","10:53"
"DL","07/01/2021","1101","N119DU","BOS","18:59"
"DL","07/01/2021","1165","N112DN","LAX","07:27"
"DL","07/01/2021","1166","N307DU","JFK","07:20"
"DL","07/01/2021","1223","N326NB","RDU","17:15"
"DL","07/01/2021","1239","N121DZ","ATL","08:00"
"DL","07/01/2021","1252","N311DN","ATL","06:00"
"DL","07/01/2021","1663","N121DU","DTW","11:22"
"DL","07/01/2021","1707","N110DU","DTW","17:07"
"DL","07/01/2021","1748","N326NB","DTW","05:38"
"DL","07/01/2021","1762","N323DN","ATL","07:00"
"DL","07/01/2021","2009","N302DU","MSP","06:00"
"DL","07/01/2021","2054","N114DU","SLC","12:05"
"DL","07/01/2021","2066","N307DU","MSP","17:30"
"DL","07/01/2021","2070","N116DU","MSP","14:10"
"DL","07/01/2021","2134","N371DN","ATL","15:56"
"DL","07/02/2021","0397","N304DU","JFK","12:15"
"DL","07/02/2021","0445","N382DA","LAX","18:58"
"DL","07/02/2021","0697","N397DN","ATL","17:54"
"DL","07/02/2021","0711","N129DU","SLC","07:58"
"DL","07/02/2021","0745","N333DX","ATL","19:44"
"DL","07/02/2021","0758","N119DU","SLC","19:40"
"DL","07/02/2021","0966","N374DA","LAX","15:39"
"DL","07/02/2021","0985","N141DU","SEA","15:30"
"DL","07/02/2021","0988","N127DU","SEA","06:05"
"DL","07/02/2021","1036","N384DN","ATL","12:59"
"DL","07/02/2021","1083","N301DU","JFK","19:35"
"DL","07/02/2021","1098","N107DN","ATL","10:53"
"DL","07/02/2021","1101","N130DU","BOS","18:59"
"DL","07/02/2021","1165","N372DN","LAX","07:27"
"DL","07/02/2021","1166","N306DU","JFK","07:20"
"DL","07/02/2021","1223","N320NB","RDU","17:15"
"DL","07/02/2021","1239","N391DN","ATL","08:00"
"DL","07/02/2021","1252","N367DN","ATL","06:00"
"DL","07/02/2021","1663","N119DU","DTW","11:22"
"DL","07/02/2021","1707","N127DU","DTW","17:07"
"DL","07/02/2021","1748","N320NB","DTW","05:38"
"DL","07/02/2021","1762","N319DN","ATL","07:00"
"DL","07/02/2021","2009","N307DU","MSP","06:00"
"DL","07/02/2021","2054","N125DU","SLC","12:05"
"DL","07/02/2021","2066","N306DU","MSP","17:30"
"DL","07/02/2021","2070","N321US","MSP","14:10"
"DL","07/02/2021","2134","N102DN","ATL","15:56"
"DL","07/03/2021","0397","N308DU","JFK","13:20"
"DL","07/03/2021","0445","N361DN","LAX","19:50"
"DL","07/03/2021","0697","N304DN","ATL","17:54"
"DL","07/03/2021","0711","N115DU","SLC","07:58"
"DL","07/03/2021","0745","N351DN","ATL","19:44"
"DL","07/03/2021","0758","N130DU","SLC","19:40"
"DL","07/03/2021","0966","N378DA","LAX","15:39"
"DL","07/03/2021","0985","N108DQ","SEA","15:30"
"DL","07/03/2021","0988","N110DU","SEA","06:05"
"DL","07/03/2021","1036","N121DZ","ATL","12:59"
"DL","07/03/2021","1098","N365DN","ATL","10:53"
"DL","07/03/2021","1101","N137DU","BOS","18:59"
"DL","07/03/2021","1165","N118DY","LAX","07:27"
"DL","07/03/2021","1166","N309DU","JFK","07:20"
"DL","07/03/2021","1223","N320NB","RDU","17:15"
"DL","07/03/2021","1239","N391DN","ATL","08:00"
"DL","07/03/2021","1252","N356DN","ATL","06:00"
"DL","07/03/2021","1663","N130DU","DTW","11:22"
"DL","07/03/2021","1707","N110DU","DTW","17:07"
"DL","07/03/2021","1748","N329NB","DTW","05:38"
"DL","07/03/2021","1762","N322DN","ATL","07:00"
"DL","07/03/2021","2009","N304DU","MSP","06:00"
"DL","07/03/2021","2054","N133DU","SLC","12:05"
"DL","07/03/2021","2070","N131DU","MSP","14:10"
"DL","07/03/2021","2134","N347DN","ATL","15:56"
"DL","07/04/2021","0397","N305DU","JFK","13:20"
"DL","07/04/2021","0697","N394DX","ATL","17:54"
"DL","07/04/2021","0711","N122DU","SLC","07:58"
"DL","07/04/2021","0745","N340DN","ATL","19:44"
"DL","07/04/2021","0758","N137DU","SLC","19:40"
"DL","07/04/2021","0966","N3755D","LAX","15:39"
"DL","07/04/2021","0985","N120DU","SEA","15:30"
"DL","07/04/2021","0988","N117DU","SEA","06:05"
"DL","07/04/2021","1036","N319DN","ATL","12:59"
"DL","07/04/2021","1098","N344DN","ATL","10:53"
"DL","07/04/2021","1101","N129DU","BOS","18:59"
"DL","07/04/2021","1165","N303DN","LAX","07:27"
"DL","07/04/2021","1166","N308DU","JFK","07:20"
"DL","07/04/2021","1223","N318NB","RDU","17:15"
"DL","07/04/2021","1239","N377DN","ATL","08:00"
"DL","07/04/2021","1252","N391DN","ATL","06:00"
"DL","07/04/2021","1663","N137DU","DTW","11:22"
"DL","07/04/2021","1707","N117DU","DTW","17:07"
"DL","07/04/2021","1748","N329NB","DTW","05:38"
"DL","07/04/2021","1762","N356DN","ATL","07:00"
"DL","07/04/2021","2009","N303DU","MSP","06:00"
"DL","07/04/2021","2054","N121DU","SLC","12:05"
"DL","07/04/2021","2070","N103DU","MSP","14:10"
"DL","07/04/2021","2134","N351DN","ATL","15:56"
"DL","07/05/2021","0397","N301DU","JFK","12:15"
"DL","07/05/2021","0445","N37700","LAX","18:58"
"DL","07/05/2021","0697","N342DN","ATL","17:54"
"DL","07/05/2021","0711","N135DQ","SLC","07:58"
"DL","07/05/2021","0745","N324DX","ATL","19:44"
"DL","07/05/2021","0758","N129DU","SLC","19:40"
"DL","07/05/2021","0966","N3732J","LAX","15:39"
"DL","07/05/2021","0985","N120DU","SEA","15:30"
"DL","07/05/2021","0988","N133DU","SEA","06:05"
"DL","07/05/2021","1036","N338DN","ATL","12:59"
"DL","07/05/2021","1083","N307DU","JFK","19:35"
"DL","07/05/2021","1098","N102DN","ATL","10:53"
"DL","07/05/2021","1101","N119DU","BOS","18:59"
"DL","07/05/2021","1165","N116DN","LAX","07:27"
"DL","07/05/2021","1166","N302DU","JFK","07:20"
"DL","07/05/2021","1223","N329NB","RDU","17:15"
"DL","07/05/2021","1239","N374DX","ATL","08:00"
"DL","07/05/2021","1252","N110DX","ATL","06:00"
"DL","07/05/2021","1663","N129DU","DTW","11:22"
"DL","07/05/2021","1707","N133DU","DTW","17:07"
"DL","07/05/2021","1748","N333NB","DTW","05:38"
"DL","07/05/2021","1762","N377DN","ATL","07:00"
"DL","07/05/2021","2009","N305DU","MSP","06:00"
"DL","07/05/2021","2054","N123DQ","SLC","12:05"
"DL","07/05/2021","2066","N302DU","MSP","17:30"
"DL","07/05/2021","2070","N113DQ","MSP","14:10"
"DL","07/05/2021","2134","N378DN","ATL","15:56"
"DL","07/06/2021","0397","N319NB","JFK","13:20"
"DL","07/06/2021","0445","N3765","LAX","18:58"
"DL","07/06/2021","0697","N103DY","ATL","17:54"
"DL","07/06/2021","0711","N138DU","SLC","07:58"
"DL","07/06/2021","0745","N314DN","ATL","19:44"
"DL","07/06/2021","0758","N114DU","SLC","19:40"
"DL","07/06/2021","0966","N3732J","LAX","15:39"
"DL","07/06/2021","0985","N117DU","SEA","15:30"
"DL","07/06/2021","0988","N124DU","SEA","06:05"
"DL","07/06/2021","1036","N310DN","ATL","12:59"
"DL","07/06/2021","1098","N366DX","ATL","10:53"
"DL","07/06/2021","1101","N103DU","BOS","18:59"
"DL","07/06/2021","1165","N121DZ","LAX","07:27"
"DL","07/06/2021","1166","N301DU","JFK","07:20"
"DL","07/06/2021","1223","N326NB","RDU","17:15"
"DL","07/06/2021","1239","N365DN","ATL","08:00"
"DL","07/06/2021","1252","N362DN","ATL","06:00"
"DL","07/06/2021","1663","N309DU","DTW","11:22"
"DL","07/06/2021","1707","N124DU","DTW","17:07"
"DL","07/06/2021","1748","N333NB","DTW","05:38"
"DL","07/06/2021","1762","N374DX","ATL","07:00"
"DL","07/06/2021","2009","N303DU","MSP","06:00"
"DL","07/06/2021","2054","N119DU","SLC","12:05"
"DL","07/06/2021","2066","N301DU","MSP","17:30"
"DL","07/06/2021","2070","N303DU","MSP","14:10"
"DL","07/06/2021","2134","N334DN","ATL","15:56"
"DL","07/07/2021","0397","N302DU","JFK","12:45"
"DL","07/07/2021","0445","N3758Y","LAX","19:59"
"DL","07/07/2021","0697","N337DN","ATL","16:52"
"DL","07/07/2021","0711","N124DU","SLC","08:00"
"DL","07/07/2021","0758","N122DU","SLC","18:50"
"DL","07/07/2021","0966","N360NW","LAX","15:41"
"DL","07/07/2021","0988","N134DU","SEA","06:25"
