Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"UA","07/01/2021","0208","N878UA","ORD","09:00"
"UA","07/01/2021","0216","N37513","IAH","14:15"
"UA","07/01/2021","0237","N24736","IAH","07:45"
"UA","07/01/2021","0245","N411UA","IAH","16:10"
"UA","07/01/2021","0255","N899UA","IAD","12:30"
"UA","07/01/2021","0271","N24715","EWR","12:05"
"UA","07/01/2021","0288","N428UA","ORD","10:30"
"UA","07/01/2021","0414","N848UA","IAH","12:15"
"UA","07/01/2021","0455","N818UA","SFO","19:30"
"UA","07/01/2021","0456","N469UA","DEN","11:28"
"UA","07/01/2021","0595","N45440","DEN","09:08"
"UA","07/01/2021","0644","N27511","DEN","17:27"
"UA","07/01/2021","0654","N13248","IAD","05:22"
"UA","07/01/2021","0790","N802UA","ORD","14:10"
"UA","07/01/2021","1262","N832UA","SFO","16:28"
"UA","07/01/2021","1670","N37420","EWR","14:15"
"UA","07/01/2021","1690","N66893","DEN","05:55"
"UA","07/01/2021","2123","N421UA","SFO","07:25"
"UA","07/01/2021","2196","N853UA","IAH","10:00"
"UA","07/01/2021","2455","N33286","EWR","07:45"
"UA","07/02/2021","0208","N77510","ORD","07:00"
"UA","07/02/2021","0216","N37528","IAH","14:15"
"UA","07/02/2021","0237","N11206","IAH","07:45"
"UA","07/02/2021","0245","N427UA","IAH","16:10"
"UA","07/02/2021","0255","N821UA","IAD","12:30"
"UA","07/02/2021","0271","N15712","EWR","12:15"
"UA","07/02/2021","0288","N824UA","ORD","10:30"
"UA","07/02/2021","0455","N839UA","SFO","19:30"
"UA","07/02/2021","0456","N876UA","DEN","11:28"
"UA","07/02/2021","0595","N69804","DEN","09:08"
"UA","07/02/2021","0630","N871UA","IAH","18:00"
"UA","07/02/2021","0644","N37523","DEN","17:27"
"UA","07/02/2021","0654","N13716","IAD","05:30"
"UA","07/02/2021","0790","N851UA","ORD","14:10"
"UA","07/02/2021","1262","N846UA","SFO","16:10"
"UA","07/02/2021","1690","N47524","DEN","05:55"
"UA","07/02/2021","2123","N846UA","SFO","06:46"
"UA","07/02/2021","2196","N893UA","IAH","10:00"
"UA","07/02/2021","2455","N14231","EWR","07:45"
"UA","07/03/2021","0208","N33203","ORD","07:00"
"UA","07/03/2021","0216","N75428","IAH","14:15"
"UA","07/03/2021","0237","N37274","IAH","07:45"
"UA","07/03/2021","0245","N1902U","IAH","16:10"
"UA","07/03/2021","0255","N851UA","IAD","12:30"
"UA","07/03/2021","0271","N37471","EWR","12:15"
"UA","07/03/2021","0288","N811UA","ORD","10:30"
"UA","07/03/2021","0455","N872UA","SFO","19:21"
"UA","07/03/2021","0456","N874UA","DEN","11:28"
"UA","07/03/2021","0595","N68801","DEN","09:08"
"UA","07/03/2021","0630","N814UA","IAH","18:00"
"UA","07/03/2021","0644","N17529","DEN","17:27"
"UA","07/03/2021","0654","N21723","IAD","05:30"
"UA","07/03/2021","1690","N37514","DEN","05:55"
"UA","07/03/2021","2123","N839UA","SFO","07:25"
"UA","07/03/2021","2196","N447UA","IAH","10:00"
"UA","07/03/2021","2455","N12221","EWR","07:45"
"UA","07/04/2021","0208","N73275","ORD","07:00"
"UA","07/04/2021","0216","N37508","IAH","14:15"
"UA","07/04/2021","0237","N73299","IAH","07:45"
"UA","07/04/2021","0245","N451UA","IAH","16:10"
"UA","07/04/2021","0255","N23707","IAD","12:30"
"UA","07/04/2021","0271","N23721","EWR","12:15"
"UA","07/04/2021","0288","N418UA","ORD","10:30"
"UA","07/04/2021","0456","N847UA","DEN","11:28"
"UA","07/04/2021","0595","N66828","DEN","09:08"
"UA","07/04/2021","0630","N816UA","IAH","18:00"
"UA","07/04/2021","0644","N37521","DEN","17:27"
"UA","07/04/2021","0654","N77510","IAD","05:30"
"UA","07/04/2021","0790","N4888U","ORD","14:10"
"UA","07/04/2021","2123","N839UA","SFO","07:25"
"UA","07/04/2021","2196","N880UA","IAH","10:00"
"UA","07/04/2021","2455","N24224","EWR","07:45"
"UA","07/05/2021","0208","N87527","ORD","07:00"
"UA","07/05/2021","0216","N37523","IAH","14:15"
"UA","07/05/2021","0237","N37277","IAH","07:45"
"UA","07/05/2021","0245","N420UA","IAH","16:10"
"UA","07/05/2021","0255","N814UA","IAD","12:30"
"UA","07/05/2021","0271","N13750","EWR","12:15"
"UA","07/05/2021","0288","N824UA","ORD","10:30"
"UA","07/05/2021","0455","N852UA","SFO","19:30"
"UA","07/05/2021","0456","N880UA","DEN","11:28"
"UA","07/05/2021","0595","N63820","DEN","09:08"
"UA","07/05/2021","0630","N826UA","IAH","18:00"
"UA","07/05/2021","0644","N27519","DEN","17:27"
"UA","07/05/2021","0654","N39728","IAD","05:30"
"UA","07/05/2021","0790","N851UA","ORD","14:10"
"UA","07/05/2021","1262","N872UA","SFO","16:10"
"UA","07/05/2021","1670","N37468","EWR","14:15"
"UA","07/05/2021","1690","N37510","DEN","05:55"
"UA","07/05/2021","2123","N872UA","SFO","06:46"
"UA","07/05/2021","2196","N463UA","IAH","10:00"
"UA","07/05/2021","2455","N77261","EWR","07:45"
"UA","07/06/2021","0208","N77535","ORD","07:00"
"UA","07/06/2021","0216","N27519","IAH","14:15"
"UA","07/06/2021","0237","N33284","IAH","07:45"
"UA","07/06/2021","0245","N447UA","IAH","16:10"
"UA","07/06/2021","0255","N472UA","IAD","12:30"
"UA","07/06/2021","0271","N26208","EWR","12:15"
"UA","07/06/2021","0288","N824UA","ORD","10:30"
"UA","07/06/2021","0456","N818UA","DEN","11:28"
"UA","07/06/2021","0595","N68822","DEN","09:08"
"UA","07/06/2021","0630","N875UA","IAH","18:00"
"UA","07/06/2021","0644","N27526","DEN","17:27"
"UA","07/06/2021","0654","N23707","IAD","05:30"
"UA","07/06/2021","0790","N814UA","ORD","14:10"
"UA","07/06/2021","1262","N816UA","SFO","16:10"
"UA","07/06/2021","1670","N66848","EWR","14:15"
"UA","07/06/2021","1690","N37521","DEN","05:47"
"UA","07/06/2021","2123","N485UA","SFO","07:25"
"UA","07/06/2021","2196","N839UA","IAH","10:00"
"UA","07/06/2021","2455","N12221","EWR","07:45"
"UA","07/07/2021","0208","N77538","ORD","07:00"
"UA","07/07/2021","0216","N37527","IAH","14:15"
"UA","07/07/2021","0237","N77295","IAH","07:45"
"UA","07/07/2021","0245","N411UA","IAH","16:10"
"UA","07/07/2021","0255","N832UA","IAD","12:30"
"UA","07/07/2021","0271","N16709","EWR","12:15"
"UA","07/07/2021","0288","N824UA","ORD","10:30"
"UA","07/07/2021","0455","N878UA","SFO","19:30"
"UA","07/07/2021","0456","N822UA","DEN","11:28"
"UA","07/07/2021","0595","N62895","DEN","09:08"
"UA","07/07/2021","0630","N829UA","IAH","18:00"
"UA","07/07/2021","0644","N47524","DEN","17:27"
"UA","07/07/2021","0654","N27734","IAD","05:30"
"UA","07/07/2021","0790","N817UA","ORD","14:10"
"UA","07/07/2021","1262","N890UA","SFO","16:10"
"UA","07/07/2021","1670","N39416","EWR","14:15"
"UA","07/07/2021","1690","N37513","DEN","05:55"
"UA","07/07/2021","2123","N852UA","SFO","07:25"
"UA","07/07/2021","2196","N889UA","IAH","10:00"
"UA","07/07/2021","2455","N26208","EWR","07:45"
"UA","07/08/2021","0208","N33286","ORD","07:00"
"UA","07/08/2021","0216","N37516","IAH","14:15"
"UA","07/08/2021","0237","N73299","IAH","07:45"
"UA","07/08/2021","0245","N411UA","IAH","16:10"
"UA","07/08/2021","0255","N826UA","IAD","12:30"
"UA","07/08/2021","0271","","EWR","12:15"
"UA","07/08/2021","0288","N892UA","ORD","10:30"
"UA","07/08/2021","0455","N897UA","SFO","19:30"
"UA","07/08/2021","0456","N4888U","DEN","11:28"
"UA","07/08/2021","0595","N68842","DEN","09:08"
"UA","07/08/2021","0630","N881UA","IAH","18:00"
"UA","07/08/2021","0644","N27526","DEN","17:27"
"UA","07/08/2021","0654","N27734","IAD","05:30"
"UA","07/08/2021","0790","N832UA","ORD","14:10"
"UA","07/08/2021","1262","N876UA","SFO","16:10"
"UA","07/08/2021","1670","N37462","EWR","14:15"
"UA","07/08/2021","1690","N37516","DEN","05:55"
"UA","07/08/2021","2123","N876UA","SFO","06:46"
"UA","07/08/2021","2196","N872UA","IAH","10:00"
"UA","07/08/2021","2455","N37273","EWR","07:45"
"UA","07/09/2021","0208","N68802","ORD","07:00"
"UA","07/09/2021","0216","N37518","IAH","14:15"
"UA","07/09/2021","0237","N12225","IAH","07:45"
"UA","07/09/2021","0245","N415UA","IAH","16:10"
"UA","07/09/2021","0255","N871UA","IAD","12:30"
"UA","07/09/2021","0271","","EWR","12:15"
"UA","07/09/2021","0288","N853UA","ORD","10:30"
"UA","07/09/2021","0455","N882UA","SFO","19:30"
"UA","07/09/2021","0456","N845UA","DEN","11:28"
"UA","07/09/2021","0595","N38473","DEN","09:08"
"UA","07/09/2021","0630","N464UA","IAH","18:00"
"UA","07/09/2021","0644","N47524","DEN","17:27"
"UA","07/09/2021","0654","N23707","IAD","05:30"
"UA","07/09/2021","0790","N826UA","ORD","14:10"
"UA","07/09/2021","1262","N897UA","SFO","16:10"
"UA","07/09/2021","1690","N27526","DEN","05:55"
"UA","07/09/2021","2123","N414UA","SFO","06:46"
"UA","07/09/2021","2196","N483UA","IAH","10:00"
