Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"AA","07/01/2021","0489","N5007E","MIA","07:45"
"AA","07/01/2021","1099","N572UW","CLT","09:59"
"AA","07/01/2021","1421","N342RX","MIA","17:02"
"AA","07/01/2021","1690","N991AN","CLT","05:55"
"AA","07/01/2021","2213","N907NN","CLT","16:57"
"AA","07/01/2021","2228","N730US","CLT","19:00"
"AA","07/01/2021","2729","N984NN","DFW","07:00"
"AA","07/01/2021","2742","N323SG","MIA","06:15"
"AA","07/02/2021","0489","N9017P","MIA","07:45"
"AA","07/02/2021","1099","N665AW","CLT","09:59"
"AA","07/02/2021","1421","N308RD","MIA","17:02"
"AA","07/02/2021","1690","N874NN","CLT","05:55"
"AA","07/02/2021","2213","N833NN","CLT","16:56"
"AA","07/02/2021","2228","N738US","CLT","19:00"
"AA","07/02/2021","2729","N981AN","DFW","07:00"
"AA","07/02/2021","2742","N315SD","MIA","06:15"
"AA","07/03/2021","0489","N324SH","MIA","07:36"
"AA","07/03/2021","1099","N542UW","CLT","10:04"
"AA","07/03/2021","1690","N907AN","CLT","05:55"
"AA","07/03/2021","2729","N840NN","DFW","07:00"
"AA","07/03/2021","2742","N310RF","MIA","06:15"
"AA","07/04/2021","0489","N321RL","MIA","07:36"
"AA","07/04/2021","1421","N316SE","MIA","17:02"
"AA","07/04/2021","1690","N806NN","CLT","05:55"
"AA","07/04/2021","2213","N972AN","CLT","16:56"
"AA","07/04/2021","2729","N826NN","DFW","07:00"
"AA","07/04/2021","2742","N800NN","MIA","06:15"
"AA","07/05/2021","0489","N724UW","MIA","07:45"
"AA","07/05/2021","1099","N119US","CLT","09:59"
"AA","07/05/2021","1421","N315SD","MIA","17:02"
"AA","07/05/2021","1690","N945AN","CLT","05:55"
"AA","07/05/2021","2213","N881NN","CLT","16:56"
"AA","07/05/2021","2228","N766US","CLT","19:00"
"AA","07/05/2021","2729","N912NN","DFW","07:00"
"AA","07/05/2021","2742","N328RR","MIA","06:15"
"AA","07/06/2021","0489","N339SU","MIA","07:36"
"AA","07/06/2021","1099","N103US","CLT","09:59"
"AA","07/06/2021","1421","N324SH","MIA","17:02"
"AA","07/06/2021","1690","N896NN","CLT","05:55"
"AA","07/06/2021","2213","N994NN","CLT","16:56"
"AA","07/06/2021","2228","N751UW","CLT","19:00"
"AA","07/06/2021","2729","N872NN","DFW","07:00"
"AA","07/06/2021","2742","N338ST","MIA","06:15"
"AA","07/07/2021","0489","N336SR","MIA","07:36"
"AA","07/07/2021","1099","N650AW","CLT","09:59"
"AA","07/07/2021","1421","N324RN","MIA","17:02"
"AA","07/07/2021","1690","N869NN","CLT","05:55"
"AA","07/07/2021","2213","N805NN","CLT","16:56"
"AA","07/07/2021","2228","N769US","CLT","19:00"
"AA","07/07/2021","2729","N814NN","DFW","07:00"
"AA","07/07/2021","2742","N323SG","MIA","06:15"
"AA","07/08/2021","0489","N9012","MIA","07:45"
"AA","07/08/2021","1099","N647AW","CLT","09:59"
"AA","07/08/2021","1421","N335SN","MIA","17:02"
"AA","07/08/2021","1690","N929NN","CLT","05:55"
"AA","07/08/2021","2213","N906NN","CLT","16:56"
"AA","07/08/2021","2228","N700UW","CLT","19:00"
"AA","07/08/2021","2729","N983NN","DFW","07:00"
"AA","07/08/2021","2742","N336RU","MIA","06:15"
"AA","07/09/2021","0489","N9022G","MIA","07:45"
"AA","07/09/2021","1099","N647AW","CLT","09:59"
"AA","07/09/2021","1421","N318SF","MIA","17:02"
"AA","07/09/2021","1690","N883NN","CLT","05:55"
"AA","07/09/2021","2213","N980NN","CLT","16:56"
"AA","07/09/2021","2228","N812AW","CLT","19:00"
"AA","07/09/2021","2729","N820NN","DFW","07:00"
"AA","07/09/2021","2742","N328RR","MIA","06:15"
"AA","07/10/2021","0489","N326SJ","MIA","07:36"
"AA","07/10/2021","1099","N737US","CLT","09:59"
"AA","07/10/2021","1690","N949NN","CLT","05:55"
"AA","07/10/2021","2729","N924NN","DFW","07:00"
"AA","07/10/2021","2742","N335SN","MIA","06:15"
"AA","07/11/2021","0489","N315SD","MIA","07:36"
"AA","07/11/2021","1099","N752US","CLT","09:59"
"AA","07/11/2021","1421","N316SE","MIA","17:02"
"AA","07/11/2021","1690","N853NN","CLT","05:55"
"AA","07/11/2021","2213","N961NN","CLT","16:56"
"AA","07/11/2021","2228","N808AW","CLT","19:00"
"AA","07/11/2021","2729","N305NX","DFW","07:00"
"AA","07/11/2021","2742","N306RC","MIA","06:15"
"AA","07/12/2021","0489","N714US","MIA","07:45"
"AA","07/12/2021","1099","N657AW","CLT","09:59"
"AA","07/12/2021","1421","N329SL","MIA","17:02"
"AA","07/12/2021","1690","N974AN","CLT","05:55"
"AA","07/12/2021","2213","N301NW","CLT","16:56"
"AA","07/12/2021","2228","N733UW","CLT","19:00"
"AA","07/12/2021","2729","N907AN","DFW","07:00"
"AA","07/12/2021","2742","N316SE","MIA","06:15"
"AA","07/13/2021","0489","N306RC","MIA","07:36"
"AA","07/13/2021","1099","N103US","CLT","09:59"
"AA","07/13/2021","1421","N326RP","MIA","17:02"
"AA","07/13/2021","1690","N981AN","CLT","05:55"
"AA","07/13/2021","2213","N908NN","CLT","16:56"
"AA","07/13/2021","2228","N702UW","CLT","19:00"
"AA","07/13/2021","2729","N951NN","DFW","07:00"
"AA","07/13/2021","2742","N338ST","MIA","06:15"
"AA","07/14/2021","0489","N302SS","MIA","07:36"
