Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"DL","07/01/2021","1198","N912DU","ATL","06:00"
"DL","07/01/2021","1482","N373NW","ATL","18:59"
"DL","07/01/2021","1547","N373NW","ATL","12:00"
"DL","07/01/2021","1624","N849DN","MSP","05:40"
"DL","07/01/2021","2135","N3767","ATL","07:45"
"DL","07/01/2021","2482","N329NB","DTW","06:04"
"DL","07/01/2021","2818","N336NW","ATL","15:45"
"DL","07/02/2021","1198","N889DN","ATL","06:00"
"DL","07/02/2021","1482","N325US","ATL","18:59"
"DL","07/02/2021","1547","N309US","ATL","12:00"
"DL","07/02/2021","1624","N839DN","MSP","05:40"
"DL","07/02/2021","2135","N383DN","ATL","07:45"
"DL","07/02/2021","2482","N369NB","DTW","06:04"
"DL","07/02/2021","2818","N326US","ATL","15:45"
"DL","07/03/2021","1198","N910DU","ATL","06:00"
"DL","07/03/2021","1547","N309US","ATL","12:00"
"DL","07/03/2021","1624","N836DN","MSP","05:40"
"DL","07/03/2021","2135","N396DA","ATL","07:45"
"DL","07/03/2021","2482","N333NB","DTW","06:04"
"DL","07/03/2021","2818","N338NW","ATL","15:45"
"DL","07/04/2021","1198","N863DN","ATL","06:00"
"DL","07/04/2021","1547","N376NW","ATL","12:00"
"DL","07/04/2021","1624","N912DU","MSP","05:40"
"DL","07/04/2021","2135","N3773D","ATL","07:45"
"DL","07/04/2021","2482","N369NB","DTW","06:04"
"DL","07/04/2021","2818","N334NW","ATL","15:45"
"DL","07/05/2021","1198","N900DU","ATL","06:00"
"DL","07/05/2021","1482","N367NW","ATL","18:59"
"DL","07/05/2021","1547","N367NW","ATL","12:00"
"DL","07/05/2021","1624","N855DN","MSP","05:40"
"DL","07/05/2021","2135","N3768","ATL","07:45"
"DL","07/05/2021","2482","N326NB","DTW","06:04"
"DL","07/05/2021","2818","N309US","ATL","15:45"
"DL","07/06/2021","1198","N930DZ","ATL","06:00"
"DL","07/06/2021","1547","N372NW","ATL","12:00"
"DL","07/06/2021","1624","N922DZ","MSP","05:40"
"DL","07/06/2021","2135","N3751B","ATL","07:45"
"DL","07/06/2021","2482","N366NB","DTW","06:04"
"DL","07/06/2021","2818","N358NW","ATL","17:00"
"DL","07/07/2021","1198","N116DN","ATL","06:00"
"DL","07/07/2021","1482","N329NW","ATL","19:01"
"DL","07/07/2021","1547","N367NW","ATL","11:52"
"DL","07/07/2021","1624","N841DN","MSP","06:20"
"DL","07/07/2021","2135","N3742C","ATL","07:35"
"DL","07/07/2021","2482","N113DX","DTW","06:00"
"DL","07/07/2021","2818","N3730B","ATL","16:45"
"DL","07/08/2021","1198","N330DX","ATL","06:00"
"DL","07/08/2021","1482","N320US","ATL","19:01"
"DL","07/08/2021","1547","N358NW","ATL","11:52"
"DL","07/08/2021","1624","N890DN","MSP","06:20"
"DL","07/08/2021","2135","N822DN","ATL","07:35"
"DL","07/08/2021","2482","N357DN","DTW","06:00"
"DL","07/08/2021","2818","N3738B","ATL","16:45"
"DL","07/09/2021","1198","N103DY","ATL","06:00"
"DL","07/09/2021","1482","N363NW","ATL","19:01"
"DL","07/09/2021","1547","N377NW","ATL","11:52"
"DL","07/09/2021","1624","N870DN","MSP","06:20"
"DL","07/09/2021","2135","N886DN","ATL","07:35"
"DL","07/09/2021","2482","N336DX","DTW","06:00"
"DL","07/09/2021","2818","N385DN","ATL","16:45"
"DL","07/10/2021","1198","N311DN","ATL","06:00"
"DL","07/10/2021","1547","N309US","ATL","11:52"
"DL","07/10/2021","1624","N807DN","MSP","06:20"
"DL","07/10/2021","2135","N816DN","ATL","07:35"
"DL","07/10/2021","2482","N398DN","DTW","06:00"
"DL","07/10/2021","2818","N921DU","ATL","16:45"
"DL","07/11/2021","1198","N352DN","ATL","06:00"
"DL","07/11/2021","1482","N369NW","ATL","19:01"
"DL","07/11/2021","1547","N369NW","ATL","11:52"
"DL","07/11/2021","1624","N882DN","MSP","06:20"
"DL","07/11/2021","2135","N802DN","ATL","07:35"
"DL","07/11/2021","2482","N372DN","DTW","06:00"
"DL","07/11/2021","2818","N775DE","ATL","16:45"
"DL","07/12/2021","1198","N389DN","ATL","06:00"
"DL","07/12/2021","1482","N362NW","ATL","19:01"
"DL","07/12/2021","1547","N369NW","ATL","11:52"
"DL","07/12/2021","1624","N881DN","MSP","06:20"
"DL","07/12/2021","2135","N869DN","ATL","07:35"
"DL","07/12/2021","2482","N336DX","DTW","06:00"
"DL","07/12/2021","2818","N394DA","ATL","16:45"
