Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"UA","07/01/2021","0364","N39423","DEN","08:00"
"UA","07/01/2021","1700","N76519","IAD","14:00"
"UA","07/01/2021","2339","N16703","IAD","07:45"
"UA","07/02/2021","0364","N77430","DEN","08:00"
"UA","07/02/2021","2339","N24202","IAD","07:45"
"UA","07/03/2021","0364","N68811","DEN","08:00"
"UA","07/03/2021","2339","N37263","IAD","07:45"
"UA","07/04/2021","0364","N67827","DEN","08:00"
"UA","07/04/2021","2339","N26210","IAD","07:45"
"UA","07/05/2021","0364","N75432","DEN","08:00"
"UA","07/05/2021","1700","N76288","IAD","14:00"
"UA","07/05/2021","2339","N18223","IAD","07:45"
"UA","07/06/2021","0364","N62892","DEN","08:00"
"UA","07/06/2021","1700","N37274","IAD","14:00"
"UA","07/06/2021","2339","N73251","IAD","07:45"
"UA","07/07/2021","0364","N69824","DEN","08:00"
"UA","07/07/2021","1700","N429UA","IAD","14:00"
"UA","07/07/2021","2339","N37274","IAD","07:45"
"UA","07/08/2021","0364","N38451","DEN","08:00"
"UA","07/08/2021","1700","N454UA","IAD","14:00"
"UA","07/08/2021","2339","N14237","IAD","07:45"
"UA","07/09/2021","0364","N68843","DEN","08:00"
"UA","07/09/2021","2339","N26215","IAD","07:45"
"UA","07/10/2021","0364","N63899","DEN","08:00"
"UA","07/10/2021","2339","N37287","IAD","07:45"
"UA","07/11/2021","0364","N69824","DEN","08:00"
"UA","07/11/2021","2339","N26210","IAD","07:45"
"UA","07/12/2021","0364","N69824","DEN","08:00"
"UA","07/12/2021","1700","N76504","IAD","14:00"
"UA","07/12/2021","2339","N12225","IAD","07:45"
"UA","07/13/2021","0364","N63890","DEN","08:00"
"UA","07/13/2021","1700","N33266","IAD","14:00"
"UA","07/13/2021","2339","N17233","IAD","07:45"
"UA","07/14/2021","0364","N39463","DEN","08:00"
"UA","07/14/2021","1700","N421UA","IAD","14:00"
"UA","07/14/2021","2339","N17229","IAD","07:45"
"UA","07/15/2021","0364","N39463","DEN","08:00"
"UA","07/15/2021","1700","N404UA","IAD","14:00"
"UA","07/15/2021","2339","N33264","IAD","07:45"
"UA","07/16/2021","0364","N69826","DEN","08:00"
"UA","07/16/2021","2339","N76505","IAD","07:45"
"UA","07/17/2021","0364","N38424","DEN","08:00"
"UA","07/17/2021","2339","N33209","IAD","07:45"
"UA","07/18/2021","0364","N66893","DEN","08:00"
"UA","07/18/2021","2339","N17245","IAD","07:45"
"UA","07/19/2021","0364","N39461","DEN","08:00"
"UA","07/19/2021","1700","N17245","IAD","14:00"
"UA","07/19/2021","2339","N17245","IAD","07:45"
"UA","07/20/2021","0364","N37420","DEN","08:00"
"UA","07/20/2021","1700","N35236","IAD","14:00"
"UA","07/20/2021","2339","N17245","IAD","07:45"
"UA","07/21/2021","0364","N66828","DEN","08:00"
"UA","07/21/2021","1700","N406UA","IAD","14:00"
"UA","07/21/2021","2339","N37287","IAD","07:45"
"UA","07/22/2021","0364","N75429","DEN","08:00"
"UA","07/22/2021","1700","N471UA","IAD","14:00"
"UA","07/22/2021","2339","N37267","IAD","07:45"
"UA","07/23/2021","0364","N75433","DEN","08:00"
"UA","07/23/2021","2339","N79521","IAD","07:45"
"UA","07/24/2021","0364","N75436","DEN","08:00"
"UA","07/24/2021","2339","N77535","IAD","07:45"
"UA","07/25/2021","0364","N75436","DEN","08:00"
"UA","07/25/2021","2339","N12216","IAD","07:45"
"UA","07/26/2021","0364","N34455","DEN","08:00"
"UA","07/26/2021","1700","N73276","IAD","14:00"
"UA","07/26/2021","2339","N26232","IAD","07:45"
"UA","07/27/2021","0364","N38443","DEN","08:00"
"UA","07/27/2021","1700","N14230","IAD","14:00"
"UA","07/27/2021","2339","N17245","IAD","07:45"
"UA","07/28/2021","0364","N34455","DEN","08:00"
"UA","07/28/2021","1700","N461UA","IAD","14:00"
"UA","07/28/2021","2339","N79541","IAD","07:45"
"UA","07/29/2021","0364","N37420","DEN","08:00"
"UA","07/29/2021","1700","N409UA","IAD","14:00"
"UA","07/29/2021","2339","N54241","IAD","07:45"
"UA","07/30/2021","0364","N66837","DEN","08:00"
"UA","07/30/2021","2339","N38446","IAD","07:45"
"UA","07/31/2021","0364","N75426","DEN","08:00"
"UA","07/31/2021","2339","N37273","IAD","07:45"
