Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"AA","07/01/2021","0447","N963NN","LAX","22:18"
"AA","07/01/2021","0526","N890NN","CLT","23:35"
"AA","07/01/2021","0572","N9016","CLT","09:14"
"AA","07/01/2021","1076","N989NN","DFW","21:21"
"AA","07/01/2021","1100","N901AA","DFW","14:47"
"AA","07/01/2021","1103","N903AA","DFW","08:49"
"AA","07/01/2021","1104","N835NN","ORD","09:27"
"AA","07/01/2021","1118","N148AN","DFW","10:54"
"AA","07/01/2021","1169","N357PV","DFW","12:36"
"AA","07/01/2021","1292","N144AN","LAX","06:04"
"AA","07/01/2021","1427","N744P","ORD","16:56"
"AA","07/01/2021","1442","N744P","ORD","11:20"
"AA","07/01/2021","1443","N755US","ORD","15:05"
"AA","07/01/2021","2183","N920US","PHX","22:46"
"AA","07/01/2021","2232","N992AN","CLT","18:17"
"AA","07/01/2021","2238","N604AW","DFW","18:38"
"AA","07/01/2021","2244","N960AN","DFW","16:31"
"AA","07/01/2021","2307","N9023N","RDU","21:15"
"AA","07/01/2021","2332","N930AU","DFW","22:55"
"AA","07/01/2021","2833","N932NN","MIA","22:37"
"AA","07/02/2021","0447","N863NN","LAX","22:11"
"AA","07/02/2021","0526","N956AN","CLT","23:35"
"AA","07/02/2021","0572","N655AW","CLT","09:14"
"AA","07/02/2021","1076","N878NN","DFW","21:25"
"AA","07/02/2021","1100","N177US","DFW","14:47"
"AA","07/02/2021","1103","N103US","DFW","08:51"
"AA","07/02/2021","1104","N805NN","ORD","09:27"
"AA","07/02/2021","1118","N151UW","DFW","10:54"
"AA","07/02/2021","1169","N870NN","DFW","12:36"
"AA","07/02/2021","1292","N158AN","LAX","06:04"
"AA","07/02/2021","1427","N834AW","ORD","16:56"
"AA","07/02/2021","1442","N834AW","ORD","11:20"
"AA","07/02/2021","1443","N803NN","ORD","15:05"
"AA","07/02/2021","2183","N545UW","PHX","22:46"
"AA","07/02/2021","2232","N919NN","CLT","18:22"
"AA","07/02/2021","2238","N604AW","DFW","18:38"
"AA","07/02/2021","2244","N879NN","DFW","16:31"
"AA","07/02/2021","2307","N8009T","RDU","21:25"
"AA","07/02/2021","2332","N134AN","DFW","22:55"
"AA","07/02/2021","2833","N338ST","MIA","22:34"
"AA","07/03/2021","0447","N920NN","LAX","22:11"
"AA","07/03/2021","0526","N857NN","CLT","23:35"
"AA","07/03/2021","0572","N816AW","CLT","09:14"
"AA","07/03/2021","1076","N963NN","DFW","21:25"
"AA","07/03/2021","1100","N129AA","DFW","14:47"
"AA","07/03/2021","1103","N126UW","DFW","08:51"
"AA","07/03/2021","1104","N979AN","ORD","09:27"
