Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"DL","07/01/2021","0381","N381DN","LAX","00:30"
"DL","07/01/2021","0386","N3752","LAX","17:02"
"DL","07/01/2021","1037","N345NB","SEA","00:15"
"DL","07/01/2021","1331","N888DU","ATL","18:39"
"DL","07/01/2021","1395","N3756","SLC","00:58"
"DL","07/01/2021","1454","N344NB","SLC","18:04"
"DL","07/01/2021","1729","N919DU","ATL","16:33"
"DL","07/01/2021","1739","N835DN","ATL","22:38"
"DL","07/01/2021","2014","N948AT","DTW","16:41"
"DL","07/01/2021","2384","N905DN","ATL","14:34"
"DL","07/01/2021","2424","N354NW","MSP","17:23"
"DL","07/01/2021","2577","N943AT","DTW","13:26"
"DL","07/01/2021","2585","N965AT","DTW","21:51"
"DL","07/01/2021","2589","N940AT","DTW","09:41"
"DL","07/01/2021","2844","N842DN","ATL","10:28"
"DL","07/01/2021","2851","N802DN","ATL","20:51"
"DL","07/01/2021","2852","N863DN","ATL","08:19"
"DL","07/01/2021","2853","N904DN","ATL","12:04"
"DL","07/02/2021","0386","N3743H","LAX","17:02"
"DL","07/02/2021","1037","N359NB","SEA","00:15"
"DL","07/02/2021","1331","N863DN","ATL","18:39"
"DL","07/02/2021","1395","N3748Y","SLC","00:58"
"DL","07/02/2021","1454","N365NB","SLC","18:04"
"DL","07/02/2021","1729","N807DN","ATL","16:33"
"DL","07/02/2021","1739","N822DN","ATL","22:38"
"DL","07/02/2021","2014","N970AT","DTW","16:41"
"DL","07/02/2021","2384","N828DN","ATL","14:34"
"DL","07/02/2021","2424","N375NC","MSP","17:23"
"DL","07/02/2021","2577","N932AT","DTW","13:26"
"DL","07/02/2021","2585","N997AT","DTW","21:51"
"DL","07/02/2021","2589","N965AT","DTW","09:41"
"DL","07/02/2021","2844","N856DN","ATL","10:28"
"DL","07/02/2021","2851","N854DN","ATL","20:51"
"DL","07/02/2021","2852","N866DN","ATL","08:19"
"DL","07/02/2021","2853","N919DU","ATL","12:04"
"DL","07/03/2021","0386","N37700","LAX","17:02"
"DL","07/03/2021","1037","N355NB","SEA","00:15"
"DL","07/03/2021","1395","N3769L","SLC","00:58"
"DL","07/03/2021","1454","N353NB","SLC","18:04"
"DL","07/03/2021","1729","N809DN","ATL","16:33"
"DL","07/03/2021","1739","N880DN","ATL","22:38"
"DL","07/03/2021","2014","N982AT","DTW","16:41"
"DL","07/03/2021","2384","N803DN","ATL","14:34"
"DL","07/03/2021","2577","N921AT","DTW","13:26"
"DL","07/03/2021","2585","N921AT","DTW","21:51"
"DL","07/03/2021","2589","N997AT","DTW","09:41"
"DL","07/03/2021","2844","N850DN","ATL","10:28"
"DL","07/03/2021","2851","N925DZ","ATL","20:51"
"DL","07/03/2021","2852","N884DN","ATL","08:19"
"DL","07/03/2021","2853","N865DN","ATL","12:04"
"DL","07/04/2021","0386","N380DA","LAX","17:02"
"DL","07/04/2021","1037","N359NB","SEA","00:15"
"DL","07/04/2021","1395","N3735D","SLC","00:58"
"DL","07/04/2021","1729","N863DN","ATL","16:33"
"DL","07/04/2021","1739","N850DN","ATL","22:38"
"DL","07/04/2021","2014","N926AT","DTW","16:41"
"DL","07/04/2021","2384","N905DN","ATL","14:34"
"DL","07/04/2021","2577","N896AT","DTW","13:26"
"DL","07/04/2021","2585","N896AT","DTW","21:51"
"DL","07/04/2021","2589","N921AT","DTW","09:41"
"DL","07/04/2021","2844","N859DN","ATL","10:28"
"DL","07/04/2021","2851","N921DU","ATL","20:51"
"DL","07/04/2021","2852","N865DN","ATL","08:19"
"DL","07/04/2021","2853","N903DN","ATL","12:04"
"DL","07/05/2021","0386","N3765","LAX","17:02"
"DL","07/05/2021","1037","N355NB","SEA","00:15"
"DL","07/05/2021","1331","N925DZ","ATL","18:39"
"DL","07/05/2021","1395","N3737C","SLC","00:58"
"DL","07/05/2021","1454","N363NB","SLC","18:04"
"DL","07/05/2021","1729","N863DN","ATL","16:33"
"DL","07/05/2021","1739","N863DN","ATL","22:38"
"DL","07/05/2021","2014","N943AT","DTW","16:41"
"DL","07/05/2021","2384","N892DN","ATL","14:34"
"DL","07/05/2021","2424","N320US","MSP","17:23"
"DL","07/05/2021","2577","N928AT","DTW","13:26"
"DL","07/05/2021","2585","N927AT","DTW","21:51"
"DL","07/05/2021","2589","N896AT","DTW","09:41"
"DL","07/05/2021","2844","N877DN","ATL","10:28"
"DL","07/05/2021","2851","N914DU","ATL","20:51"
"DL","07/05/2021","2852","N916DU","ATL","08:19"
"DL","07/05/2021","2853","N887DN","ATL","12:04"
"DL","07/06/2021","0381","N374DA","LAX","00:30"
"DL","07/06/2021","0386","N774DE","LAX","17:02"
"DL","07/06/2021","1037","N355NB","SEA","00:15"
"DL","07/06/2021","1331","N907DN","ATL","18:39"
"DL","07/06/2021","1395","N372DA","SLC","22:06"
"DL","07/06/2021","1729","N856DN","ATL","16:33"
"DL","07/06/2021","1739","N904DN","ATL","22:38"
"DL","07/06/2021","2014","N893AT","DTW","16:41"
"DL","07/06/2021","2384","N833DN","ATL","14:34"
"DL","07/06/2021","2424","N345NW","MSP","17:23"
"DL","07/06/2021","2577","N998AT","DTW","13:26"
"DL","07/06/2021","2585","N952AT","DTW","21:51"
"DL","07/06/2021","2589","N927AT","DTW","09:41"
"DL","07/06/2021","2844","N889DN","ATL","10:28"
"DL","07/06/2021","2851","N921DU","ATL","20:51"
"DL","07/06/2021","2852","N886DN","ATL","08:19"
"DL","07/06/2021","2853","N916DU","ATL","12:04"
"DL","07/07/2021","0381","N3752","LAX","00:35"
"DL","07/07/2021","0386","N3765","LAX","17:11"
"DL","07/07/2021","1037","N355NB","SEA","00:15"
"DL","07/07/2021","1331","N924DZ","ATL","18:22"
"DL","07/07/2021","1395","N379DA","SLC","21:56"
"DL","07/07/2021","1729","N3740C","ATL","16:46"
"DL","07/07/2021","1739","N835DN","ATL","22:57"
"DL","07/07/2021","2014","N366NB","DTW","16:24"
"DL","07/07/2021","2384","N330DX","ATL","14:49"
"DL","07/07/2021","2424","N374NW","MSP","17:26"
"DL","07/07/2021","2577","N940AT","DTW","13:18"
"DL","07/07/2021","2585","N896AT","DTW","21:41"
"DL","07/07/2021","2587","N896AT","DTW","07:45"
"DL","07/07/2021","2589","N952AT","DTW","09:36"
"DL","07/07/2021","2844","N315DN","ATL","10:35"
"DL","07/07/2021","2851","N830DN","ATL","20:51"
"DL","07/07/2021","2852","N820DN","ATL","08:14"
"DL","07/07/2021","2853","N391DA","ATL","12:44"
"DL","07/08/2021","0381","N379DA","LAX","00:35"
"DL","07/08/2021","0386","N3758Y","LAX","17:11"
"DL","07/08/2021","1037","N355NB","SEA","00:15"
"DL","07/08/2021","1331","N877DN","ATL","18:22"
"DL","07/08/2021","1395","N3752","SLC","00:58"
"DL","07/08/2021","1454","N349NB","SLC","18:04"
"DL","07/08/2021","1729","N3767","ATL","16:46"
"DL","07/08/2021","1739","N822DN","ATL","22:57"
"DL","07/08/2021","2014","N352NB","DTW","16:24"
"DL","07/08/2021","2384","N372DN","ATL","14:49"
"DL","07/08/2021","2424","N366NW","MSP","17:26"
"DL","07/08/2021","2577","N939AT","DTW","13:18"
"DL","07/08/2021","2585","N924AT","DTW","21:41"
"DL","07/08/2021","2587","N927AT","DTW","07:45"
"DL","07/08/2021","2589","N896AT","DTW","09:36"
"DL","07/08/2021","2844","N374DX","ATL","10:35"
"DL","07/08/2021","2851","N902DN","ATL","20:51"
"DL","07/08/2021","2852","N840DN","ATL","08:14"
"DL","07/08/2021","2853","N385DN","ATL","12:44"
"DL","07/09/2021","0381","N3732J","LAX","00:35"
"DL","07/09/2021","0386","N3735D","LAX","17:11"
"DL","07/09/2021","1037","N355NB","SEA","00:15"
"DL","07/09/2021","1331","N807DN","ATL","18:22"
"DL","07/09/2021","1395","N3768","SLC","00:58"
"DL","07/09/2021","1454","N349NB","SLC","18:04"
"DL","07/09/2021","1729","N3740C","ATL","16:46"
"DL","07/09/2021","1739","N818DA","ATL","22:57"
"DL","07/09/2021","2014","N318NB","DTW","16:24"
"DL","07/09/2021","2384","N311DN","ATL","14:49"
"DL","07/09/2021","2424","N309US","MSP","17:26"
"DL","07/09/2021","2577","N977AT","DTW","13:18"
"DL","07/09/2021","2585","N979AT","DTW","21:41"
"DL","07/09/2021","2587","N978AT","DTW","07:45"
"DL","07/09/2021","2589","N326NB","DTW","09:36"
"DL","07/09/2021","2844","N110DX","ATL","10:35"
"DL","07/09/2021","2851","N805DN","ATL","20:51"
"DL","07/09/2021","2852","N909DN","ATL","08:14"
"DL","07/09/2021","2853","N3734B","ATL","12:44"
"DL","07/10/2021","0381","N393DA","LAX","00:35"
"DL","07/10/2021","0386","N3732J","LAX","17:11"
"DL","07/10/2021","1037","N365NB","SEA","00:15"
"DL","07/10/2021","1331","N860DN","ATL","18:22"
"DL","07/10/2021","1395","N381DN","SLC","00:58"
"DL","07/10/2021","1454","N806DN","SLC","18:01"
"DL","07/10/2021","1729","N342NW","ATL","16:45"
"DL","07/10/2021","2014","N996AT","DTW","16:26"
"DL","07/10/2021","2384","N306DN","ATL","14:49"
"DL","07/10/2021","2577","N991AT","DTW","13:18"
"DL","07/10/2021","2585","N978AT","DTW","21:41"
"DL","07/10/2021","2589","N979AT","DTW","09:36"
"DL","07/10/2021","2844","N121DZ","ATL","10:35"
"DL","07/10/2021","2851","N866DN","ATL","20:51"
"DL","07/10/2021","2852","N842DN","ATL","08:14"
"DL","07/10/2021","2853","N373DA","ATL","12:44"
"DL","07/11/2021","0381","N3736C","LAX","00:35"
"DL","07/11/2021","0386","N3765","LAX","17:11"
"DL","07/11/2021","1037","N355NB","SEA","00:15"
"DL","07/11/2021","1331","N842DN","ATL","18:22"
"DL","07/11/2021","1395","N3764D","SLC","00:58"
"DL","07/11/2021","1454","N325NB","SLC","18:04"
"DL","07/11/2021","1729","N3745B","ATL","16:46"
"DL","07/11/2021","1739","N878DN","ATL","22:57"
"DL","07/11/2021","2014","N348NB","DTW","16:24"
"DL","07/11/2021","2384","N389DN","ATL","14:49"
"DL","07/11/2021","2424","N374NW","MSP","17:26"
"DL","07/11/2021","2577","N953AT","DTW","13:18"
"DL","07/11/2021","2585","N979AT","DTW","21:41"
"DL","07/11/2021","2587","N996AT","DTW","07:45"
"DL","07/11/2021","2589","N949AT","DTW","09:36"
"DL","07/11/2021","2844","N393DN","ATL","10:35"
"DL","07/11/2021","2851","N907DN","ATL","20:51"
"DL","07/11/2021","2852","N877DN","ATL","08:14"
"DL","07/11/2021","2853","N391DA","ATL","12:44"
"DL","07/12/2021","0381","N3738B","LAX","00:35"
"DL","07/12/2021","0386","N371DA","LAX","17:11"
"DL","07/12/2021","1037","N355NB","SEA","00:15"
"DL","07/12/2021","1331","N868DN","ATL","18:22"
"DL","07/12/2021","1395","N383DN","SLC","00:58"
"DL","07/12/2021","1454","N321NB","SLC","18:04"
"DL","07/12/2021","1729","N385DN","ATL","16:46"
"DL","07/12/2021","1739","N843DN","ATL","22:57"
"DL","07/12/2021","2014","N341NB","DTW","16:24"
"DL","07/12/2021","2384","N339DN","ATL","14:49"
"DL","07/12/2021","2424","N372NW","MSP","17:26"
"DL","07/12/2021","2577","N340NW","DTW","13:18"
"DL","07/12/2021","2585","N946AT","DTW","21:41"
"DL","07/12/2021","2587","N998AT","DTW","07:45"
"DL","07/12/2021","2589","N979AT","DTW","09:36"
"DL","07/12/2021","2844","N372DN","ATL","10:35"
"DL","07/12/2021","2851","N840DN","ATL","20:51"
"DL","07/12/2021","2852","N812DN","ATL","08:14"
"DL","07/12/2021","2853","N776DE","ATL","12:44"
"DL","07/13/2021","0381","N3760C","LAX","00:35"
"DL","07/13/2021","0386","N3772H","LAX","17:11"
"DL","07/13/2021","1037","N354NB","SEA","00:15"
"DL","07/13/2021","1331","N887DN","ATL","18:22"
"DL","07/13/2021","1395","N3750D","SLC","21:56"
"DL","07/13/2021","1729","N3746H","ATL","16:46"
"DL","07/13/2021","1739","N859DN","ATL","22:57"
"DL","07/13/2021","2014","N369NB","DTW","16:24"
"DL","07/13/2021","2384","N388DN","ATL","14:49"
"DL","07/13/2021","2424","N360NW","MSP","17:26"
"DL","07/13/2021","2577","N946AT","DTW","13:18"
"DL","07/13/2021","2585","N717JL","DTW","21:41"
"DL","07/13/2021","2587","N998AT","DTW","07:45"
"DL","07/13/2021","2589","N946AT","DTW","09:36"
"DL","07/13/2021","2844","N353DN","ATL","10:35"
"DL","07/13/2021","2851","N833DN","ATL","20:51"
"DL","07/13/2021","2852","N862DN","ATL","08:14"
"DL","07/13/2021","2853","N373DA","ATL","12:44"
"DL","07/14/2021","0381","N3732J","LAX","00:35"
"DL","07/14/2021","0386","N3737C","LAX","17:11"
"DL","07/14/2021","1037","N336NB","SEA","00:15"
"DL","07/14/2021","1331","N850DN","ATL","18:22"
"DL","07/14/2021","1395","N3736C","SLC","21:56"
"DL","07/14/2021","1729","N385DN","ATL","16:46"
"DL","07/14/2021","1739","N856DN","ATL","22:57"
"DL","07/14/2021","2014","N337NB","DTW","16:24"
"DL","07/14/2021","2384","N364DX","ATL","14:49"
"DL","07/14/2021","2424","N353NW","MSP","17:26"
"DL","07/14/2021","2577","N893AT","DTW","13:18"
"DL","07/14/2021","2585","N981AT","DTW","21:41"
"DL","07/14/2021","2587","N971AT","DTW","07:45"
"DL","07/14/2021","2589","N952AT","DTW","09:36"
"DL","07/14/2021","2844","N372DN","ATL","10:35"
"DL","07/14/2021","2851","N911DQ","ATL","20:51"
"DL","07/14/2021","2852","N874DN","ATL","08:14"
"DL","07/14/2021","2853","N3766","ATL","12:44"
"DL","07/15/2021","0381","N3736C","LAX","00:35"
"DL","07/15/2021","0386","N3761R","LAX","17:11"
"DL","07/15/2021","1037","N333NB","SEA","00:15"
"DL","07/15/2021","1331","N890DN","ATL","18:22"
"DL","07/15/2021","1395","N3757D","SLC","00:58"
"DL","07/15/2021","1454","N322NB","SLC","18:04"
"DL","07/15/2021","1729","N380DA","ATL","16:46"
"DL","07/15/2021","1739","N830DN","ATL","22:57"
"DL","07/15/2021","2014","N343NB","DTW","16:24"
"DL","07/15/2021","2384","N354DN","ATL","14:49"
"DL","07/15/2021","2424","N356NW","MSP","17:26"
"DL","07/15/2021","2577","N347NW","DTW","13:18"
"DL","07/15/2021","2585","N989AT","DTW","21:41"
"DL","07/15/2021","2587","N971AT","DTW","07:45"
"DL","07/15/2021","2589","N977AT","DTW","09:36"
"DL","07/15/2021","2844","N303DN","ATL","10:35"
"DL","07/15/2021","2851","N898DN","ATL","20:51"
"DL","07/15/2021","2852","N918DU","ATL","08:14"
"DL","07/15/2021","2853","N3749D","ATL","12:44"
"DL","07/16/2021","0381","N395DN","LAX","00:35"
"DL","07/16/2021","0386","N389DA","LAX","17:11"
"DL","07/16/2021","1037","N359NB","SEA","00:15"
"DL","07/16/2021","1331","N898DN","ATL","18:22"
"DL","07/16/2021","1395","N776DE","SLC","00:58"
"DL","07/16/2021","1454","N322NB","SLC","18:04"
"DL","07/16/2021","1729","N3746H","ATL","16:46"
