Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"UA","07/01/2021","0390","N14731","EWR","20:38"
"UA","07/01/2021","0714","N834UA","EWR","09:14"
"UA","07/01/2021","0771","N12216","DEN","13:56"
"UA","07/01/2021","1098","N77520","ORD","16:00"
"UA","07/01/2021","1469","N16732","IAH","16:13"
"UA","07/01/2021","1744","N21723","ORD","12:15"
"UA","07/02/2021","0381","N24706","EWR","09:14"
"UA","07/02/2021","0390","N13718","EWR","20:38"
"UA","07/02/2021","0714","N76502","EWR","12:23"
"UA","07/02/2021","0771","N469UA","DEN","13:35"
"UA","07/02/2021","1098","N14230","ORD","16:00"
"UA","07/02/2021","1469","N882UA","IAH","16:16"
"UA","07/02/2021","1744","N418UA","ORD","12:15"
"UA","07/02/2021","1830","N832UA","SFO","17:04"
"UA","07/03/2021","0381","N27733","EWR","09:14"
"UA","07/03/2021","0390","N54711","EWR","20:38"
"UA","07/03/2021","0771","N66893","DEN","13:42"
"UA","07/04/2021","0381","N13718","EWR","09:14"
"UA","07/04/2021","0390","N16709","EWR","20:38"
"UA","07/04/2021","0714","N76515","EWR","12:23"
"UA","07/04/2021","0771","N66841","DEN","14:20"
"UA","07/04/2021","1469","N13716","IAH","16:13"
"UA","07/04/2021","1830","N422UA","SFO","17:04"
"UA","07/05/2021","0381","N54711","EWR","09:14"
"UA","07/05/2021","0390","N27733","EWR","20:38"
"UA","07/05/2021","0714","N822UA","EWR","12:23"
"UA","07/05/2021","0771","N18243","DEN","13:35"
"UA","07/05/2021","1098","N77535","ORD","16:00"
"UA","07/05/2021","1469","N892UA","IAH","16:16"
"UA","07/05/2021","1744","N25705","ORD","12:15"
"UA","07/05/2021","1830","N874UA","SFO","17:04"
"UA","07/06/2021","0381","N33714","EWR","09:14"
"UA","07/06/2021","0390","","EWR","20:38"
"UA","07/06/2021","0714","N893UA","EWR","12:23"
"UA","07/06/2021","0771","N36207","DEN","13:35"
"UA","07/06/2021","1098","N62896","ORD","16:00"
"UA","07/06/2021","1469","N422UA","IAH","16:16"
"UA","07/06/2021","1744","N21723","ORD","12:15"
"UA","07/07/2021","0381","N13750","EWR","09:14"
"UA","07/07/2021","0390","N33714","EWR","20:38"
"UA","07/07/2021","0714","N4901U","EWR","12:23"
"UA","07/07/2021","0771","N76265","DEN","13:35"
"UA","07/07/2021","1098","N76523","ORD","16:00"
"UA","07/07/2021","1469","N4888U","IAH","16:16"
"UA","07/07/2021","1744","N39728","ORD","12:15"
"UA","07/07/2021","1830","N852UA","SFO","17:04"
"UA","07/08/2021","0381","N15710","EWR","09:14"
"UA","07/08/2021","0390","","EWR","20:38"
"UA","07/08/2021","0714","N416UA","EWR","12:23"
"UA","07/08/2021","0771","N17229","DEN","13:35"
"UA","07/08/2021","1098","N76523","ORD","16:00"
"UA","07/08/2021","1469","N14731","IAH","16:13"
"UA","07/08/2021","1744","N12754","ORD","12:15"
"UA","07/09/2021","0381","","EWR","09:14"
"UA","07/09/2021","0390","N17719","EWR","20:38"
"UA","07/09/2021","0714","","EWR","12:23"
"UA","07/09/2021","0771","N24211","DEN","14:48"
"UA","07/09/2021","1098","N76523","ORD","16:00"
"UA","07/09/2021","1469","N819UA","IAH","16:16"
"UA","07/09/2021","1744","N443UA","ORD","12:15"
"UA","07/09/2021","1830","N829UA","SFO","17:04"
"UA","07/10/2021","0381","N23707","EWR","09:14"
"UA","07/10/2021","0390","N24706","EWR","20:38"
"UA","07/10/2021","0771","N69813","DEN","13:42"
"UA","07/11/2021","0381","N27733","EWR","09:14"
"UA","07/11/2021","0390","N16701","EWR","20:38"
"UA","07/11/2021","0771","N62849","DEN","14:20"
"UA","07/11/2021","1098","N18220","ORD","16:00"
"UA","07/11/2021","1469","N24736","IAH","16:13"
"UA","07/11/2021","1830","N818UA","SFO","17:04"
"UA","07/12/2021","0381","N27733","EWR","09:14"
"UA","07/12/2021","0390","","EWR","20:38"
"UA","07/12/2021","0714","","EWR","12:23"
"UA","07/12/2021","0771","N33284","DEN","13:35"
"UA","07/12/2021","1098","N76516","ORD","16:00"
"UA","07/12/2021","1469","N851UA","IAH","16:16"
"UA","07/12/2021","1744","N17730","ORD","12:15"
"UA","07/12/2021","1830","N813UA","SFO","17:04"
"UA","07/13/2021","0381","N15751","EWR","09:14"
"UA","07/13/2021","0390","N15710","EWR","20:38"
"UA","07/13/2021","0714","N825UA","EWR","12:23"
"UA","07/13/2021","0771","N17245","DEN","13:35"
"UA","07/13/2021","1098","N76516","ORD","16:00"
"UA","07/13/2021","1469","N880UA","IAH","16:16"
"UA","07/13/2021","1744","N13718","ORD","12:15"
"UA","07/14/2021","0381","N24715","EWR","09:14"
"UA","07/14/2021","0390","N24736","EWR","20:38"
"UA","07/14/2021","0714","N835UA","EWR","12:23"
"UA","07/14/2021","0771","N77530","DEN","13:35"
"UA","07/14/2021","1098","N33284","ORD","16:00"
"UA","07/14/2021","1469","N416UA","IAH","16:16"
"UA","07/14/2021","1744","N13750","ORD","12:15"
"UA","07/14/2021","1830","N897UA","SFO","17:04"
"UA","07/15/2021","0381","N12754","EWR","09:14"
"UA","07/15/2021","0390","N24702","EWR","20:38"
"UA","07/15/2021","0714","N899UA","EWR","12:23"
"UA","07/15/2021","0771","N76526","DEN","13:35"
"UA","07/15/2021","1098","N14230","ORD","16:00"
"UA","07/15/2021","1469","N23708","IAH","16:13"
"UA","07/15/2021","1744","N15710","ORD","12:15"
"UA","07/16/2021","0381","N23707","EWR","09:14"
"UA","07/16/2021","0390","N24715","EWR","20:38"
"UA","07/16/2021","0714","N851UA","EWR","12:23"
"UA","07/16/2021","0771","N17229","DEN","13:35"
"UA","07/16/2021","1098","N14230","ORD","16:00"
"UA","07/16/2021","1469","N893UA","IAH","16:16"
"UA","07/16/2021","1744","N423UA","ORD","12:15"
"UA","07/16/2021","1830","N835UA","SFO","17:04"
"UA","07/17/2021","0381","N24729","EWR","09:14"
"UA","07/17/2021","0390","","EWR","20:38"
"UA","07/17/2021","0771","N75428","DEN","13:42"
"UA","07/18/2021","0381","","EWR","09:14"
"UA","07/18/2021","0390","N15751","EWR","20:38"
"UA","07/18/2021","0771","N68891","DEN","14:20"
"UA","07/18/2021","1469","N16732","IAH","16:13"
"UA","07/18/2021","1830","N463UA","SFO","17:04"
"UA","07/19/2021","0381","N13720","EWR","09:14"
"UA","07/19/2021","0390","N24702","EWR","20:38"
"UA","07/19/2021","0714","N462UA","EWR","12:23"
"UA","07/19/2021","0771","N78285","DEN","13:35"
"UA","07/19/2021","1098","N76533","ORD","16:00"
"UA","07/19/2021","1469","N882UA","IAH","16:16"
"UA","07/19/2021","1744","N27722","ORD","12:15"
"UA","07/19/2021","1830","N820UA","SFO","17:04"
"UA","07/20/2021","0381","N13750","EWR","09:14"
"UA","07/20/2021","0390","N13720","EWR","20:38"
"UA","07/20/2021","0714","N412UA","EWR","12:23"
"UA","07/20/2021","0771","N76526","DEN","13:35"
"UA","07/20/2021","1098","N76533","ORD","16:00"
"UA","07/20/2021","1469","N835UA","IAH","16:16"
"UA","07/20/2021","1744","N12754","ORD","12:15"
"UA","07/21/2021","0381","N24715","EWR","09:14"
"UA","07/21/2021","0390","","EWR","20:38"
"UA","07/21/2021","0714","N813UA","EWR","12:23"
"UA","07/21/2021","0771","N12218","DEN","13:35"
"UA","07/21/2021","1098","N73283","ORD","16:00"
"UA","07/21/2021","1469","N820UA","IAH","16:16"
"UA","07/21/2021","1744","N16703","ORD","12:15"
"UA","07/21/2021","1830","N892UA","SFO","17:04"
"UA","07/22/2021","0381","N14214","EWR","09:14"
"UA","07/22/2021","0390","N24715","EWR","20:38"
"UA","07/22/2021","0714","N456UA","EWR","12:23"
"UA","07/22/2021","0771","N37274","DEN","13:35"
"UA","07/22/2021","1098","N73276","ORD","16:00"
"UA","07/22/2021","1469","N14731","IAH","16:13"
"UA","07/22/2021","1744","N17752","ORD","12:15"
"UA","07/23/2021","0381","N13750","EWR","09:14"
"UA","07/23/2021","0390","N16732","EWR","20:38"
"UA","07/23/2021","0714","N871UA","EWR","12:23"
"UA","07/23/2021","0771","N37298","DEN","13:35"
"UA","07/23/2021","1098","N35236","ORD","16:00"
"UA","07/23/2021","1469","N851UA","IAH","16:16"
"UA","07/23/2021","1744","N425UA","ORD","12:15"
"UA","07/23/2021","1830","N891UA","SFO","17:04"
"UA","07/24/2021","0381","N76504","EWR","09:14"
"UA","07/24/2021","0390","N27724","EWR","20:38"
"UA","07/24/2021","0771","N36444","DEN","13:42"
"UA","07/25/2021","0381","N68891","EWR","09:14"
"UA","07/25/2021","0390","N24702","EWR","20:38"
"UA","07/25/2021","0771","N68817","DEN","14:20"
"UA","07/25/2021","1098","N12225","ORD","16:00"
"UA","07/25/2021","1469","N13716","IAH","16:13"
"UA","07/25/2021","1830","N812UA","SFO","17:04"
"UA","07/26/2021","0381","N33266","EWR","09:14"
"UA","07/26/2021","0390","N16703","EWR","20:38"
"UA","07/26/2021","0714","N845UA","EWR","12:23"
"UA","07/26/2021","0771","N26215","DEN","13:35"
"UA","07/26/2021","1098","N37277","ORD","16:00"
"UA","07/26/2021","1469","N827UA","IAH","16:16"
"UA","07/26/2021","1744","N24715","ORD","12:15"
"UA","07/26/2021","1830","N825UA","SFO","17:04"
"UA","07/27/2021","0381","N24729","EWR","09:14"
"UA","07/27/2021","0390","N24702","EWR","20:38"
"UA","07/27/2021","0714","N414UA","EWR","12:23"
"UA","07/27/2021","0771","N76519","DEN","13:35"
"UA","07/27/2021","1098","N36272","ORD","16:00"
"UA","07/27/2021","1469","N77510","IAH","16:16"
"UA","07/27/2021","1744","N17719","ORD","12:15"
"UA","07/28/2021","0381","N16709","EWR","09:14"
"UA","07/28/2021","0390","N15710","EWR","20:38"
"UA","07/28/2021","0714","N457UA","EWR","12:23"
"UA","07/28/2021","0771","N16217","DEN","13:35"
"UA","07/28/2021","1098","N36272","ORD","16:00"
