Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"AA","07/01/2021","0500","N806NN","MIA","00:45"
"AA","07/01/2021","0527","N554UW","PHX","08:55"
"AA","07/01/2021","0573","N983NN","CLT","06:55"
"AA","07/01/2021","0794","N916US","LAX","14:40"
"AA","07/01/2021","0850","N943NN","LAX","19:03"
"AA","07/01/2021","0867","N839AW","LAX","07:15"
"AA","07/01/2021","1067","N931AM","DFW","06:00"
"AA","07/01/2021","1094","N930AU","DFW","16:37"
"AA","07/01/2021","1222","N980UY","DFW","08:00"
"AA","07/01/2021","1309","N807AW","PHX","17:16"
"AA","07/01/2021","1313","N521UW","PHL","11:58"
"AA","07/01/2021","1316","N967AN","CLT","11:49"
"AA","07/01/2021","1317","N987AN","ORD","20:22"
"AA","07/01/2021","1320","N509AY","DFW","09:02"
"AA","07/01/2021","1321","N179UW","DFW","14:44"
"AA","07/01/2021","1322","N170US","DFW","18:33"
"AA","07/01/2021","1328","N912UY","CLT","09:56"
"AA","07/01/2021","1332","N151AN","PHX","13:34"
"AA","07/01/2021","1379","N580UW","LAX","17:37"
"AA","07/01/2021","1404","N925UY","PHX","06:05"
"AA","07/01/2021","1475","N983NN","CLT","14:04"
"AA","07/01/2021","1654","N945AN","CLT","00:53"
"AA","07/01/2021","1713","N118NN","PHL","13:30"
"AA","07/01/2021","2235","N973AN","DFW","19:55"
"AA","07/01/2021","2357","N161AA","DFW","10:45"
"AA","07/01/2021","2361","N998AN","ORD","14:41"
"AA","07/01/2021","2363","N906AA","ORD","17:50"
"AA","07/01/2021","2367","N324RN","MIA","13:20"
"AA","07/01/2021","2368","N191UW","ORD","11:15"
"AA","07/01/2021","2372","N305NX","CLT","15:56"
"AA","07/01/2021","2580","N583UW","DFW","07:00"
"AA","07/01/2021","2672","N904AA","PHL","07:00"
"AA","07/01/2021","2771","N927NN","ORD","06:19"
"AA","07/02/2021","0527","N539UW","PHX","08:55"
"AA","07/02/2021","0573","N850NN","CLT","06:55"
"AA","07/02/2021","0794","N970NN","LAX","14:42"
"AA","07/02/2021","0850","N894NN","LAX","19:03"
"AA","07/02/2021","0867","N156UW","LAX","08:50"
"AA","07/02/2021","1067","N150NN","DFW","06:00"
"AA","07/02/2021","1094","N179UW","DFW","16:42"
"AA","07/02/2021","1222","N926UW","DFW","08:00"
"AA","07/02/2021","1317","N816NN","ORD","20:28"
"AA","07/02/2021","1320","N174US","DFW","09:02"
"AA","07/02/2021","1321","N997AA","DFW","14:44"
"AA","07/02/2021","1322","N126AN","DFW","18:36"
"AA","07/02/2021","1328","N586UW","CLT","09:56"
"AA","07/02/2021","1332","N929AA","PHX","13:34"
"AA","07/02/2021","1379","N154UW","LAX","17:37"
"AA","07/02/2021","1404","N198UW","PHX","06:10"
"AA","07/02/2021","1475","N858NN","CLT","14:04"
"AA","07/02/2021","1654","N833NN","CLT","00:53"
"AA","07/02/2021","1713","N906AA","PHL","13:30"
"AA","07/02/2021","2142","N900UW","DFW","12:50"
"AA","07/02/2021","2235","N959AN","DFW","19:55"
"AA","07/02/2021","2357","N174US","DFW","10:45"
"AA","07/02/2021","2361","N158AN","ORD","14:41"
"AA","07/02/2021","2363","N163AA","ORD","17:50"
"AA","07/02/2021","2367","N327SK","MIA","13:55"
"AA","07/02/2021","2368","N191UW","ORD","12:06"
"AA","07/02/2021","2372","N956AN","CLT","15:56"
"AA","07/02/2021","2580","N519UW","DFW","07:00"
"AA","07/02/2021","2672","N932AM","PHL","07:20"
"AA","07/02/2021","2771","N947AN","ORD","06:19"
"AA","07/02/2021","2859","N199UW","PHL","11:58"
"AA","07/02/2021","2923","N806AW","PHX","17:05"
"AA","07/03/2021","0500","N942NN","MIA","00:45"
"AA","07/03/2021","0527","N557UW","PHX","08:55"
"AA","07/03/2021","0573","N913NN","CLT","06:55"
"AA","07/03/2021","0794","N855NN","LAX","14:42"
"AA","07/03/2021","0867","N854NN","LAX","06:00"
"AA","07/03/2021","1067","N161UW","DFW","06:00"
"AA","07/03/2021","1094","N990AU","DFW","16:42"
"AA","07/03/2021","1222","N194UW","DFW","08:00"
"AA","07/03/2021","1316","N956AN","CLT","11:44"
"AA","07/03/2021","1320","N552UW","DFW","09:02"
"AA","07/03/2021","1321","N604AW","DFW","14:44"
"AA","07/03/2021","1322","N187US","DFW","18:36"
"AA","07/03/2021","1328","N916US","CLT","09:56"
"AA","07/03/2021","1332","N159AN","PHX","13:34"
"AA","07/03/2021","1379","N970UY","LAX","17:37"
"AA","07/03/2021","1404","N150UW","PHX","06:10"
"AA","07/03/2021","1475","N314PD","CLT","14:04"
"AA","07/03/2021","1654","N927NN","CLT","00:53"
"AA","07/03/2021","2142","N161UW","DFW","12:50"
"AA","07/03/2021","2235","N805NN","DFW","19:55"
"AA","07/03/2021","2357","N926UW","DFW","10:45"
"AA","07/03/2021","2361","N933AM","ORD","14:41"
"AA","07/03/2021","2367","N308RD","MIA","13:55"
"AA","07/03/2021","2368","N927UW","ORD","12:06"
"AA","07/03/2021","2372","N949NN","CLT","15:56"
"AA","07/03/2021","2580","N174US","DFW","07:00"
"AA","07/03/2021","2672","N199UW","PHL","07:20"
"AA","07/03/2021","2771","N929NN","ORD","06:19"
"AA","07/03/2021","2859","N145AN","PHL","11:58"
"AA","07/04/2021","0500","N854NN","MIA","00:45"
"AA","07/04/2021","0527","N979UY","PHX","08:55"
"AA","07/04/2021","0573","N908NN","CLT","06:55"
"AA","07/04/2021","0850","N864NN","LAX","19:03"
"AA","07/04/2021","0867","N925NN","LAX","06:00"
"AA","07/04/2021","1067","N167AN","DFW","07:00"
"AA","07/04/2021","1094","N928AM","DFW","16:42"
"AA","07/04/2021","1316","N913US","CLT","11:44"
"AA","07/04/2021","1317","N979AN","ORD","15:00"
"AA","07/04/2021","1320","N575UW","DFW","09:02"
