Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"DL","07/01/2021","0677","N326DN","LAX","06:01"
"DL","07/01/2021","0723","N398DN","ATL","13:36"
"DL","07/01/2021","0785","N3764D","LGA","11:01"
"DL","07/01/2021","0875","N832MH","JFK","11:50"
"DL","07/01/2021","0991","N341DN","DTW","14:51"
"DL","07/01/2021","0993","N138DU","SLC","07:50"
"DL","07/01/2021","1001","N838MH","ATL","06:00"
"DL","07/01/2021","1007","N3747D","SLC","10:56"
"DL","07/01/2021","1221","N345DN","ATL","12:05"
"DL","07/01/2021","1491","N110DX","ATL","16:20"
"DL","07/01/2021","1595","N124DU","SLC","12:45"
"DL","07/01/2021","1598","N845MH","ATL","10:45"
"DL","07/01/2021","1605","N114DN","DTW","00:35"
"DL","07/01/2021","1619","N907DN","CVG","18:59"
"DL","07/01/2021","1674","N344DN","ATL","18:59"
"DL","07/01/2021","2008","N109DN","MSP","13:48"
"DL","07/01/2021","2061","N134DU","SEA","06:15"
"DL","07/01/2021","2074","N357DN","DTW","11:27"
"DL","07/01/2021","2089","N330DX","ATL","07:00"
"DL","07/01/2021","2261","N120DU","LAX","16:59"
"DL","07/01/2021","2325","N130DU","SLC","14:42"
"DL","07/01/2021","2429","N341NW","MSP","17:47"
"DL","07/01/2021","2458","N878DN","MSP","15:14"
"DL","07/01/2021","2468","N366NW","MSP","08:50"
"DL","07/01/2021","2504","N697DL","MSP","06:00"
"DL","07/01/2021","2513","N927DZ","SLC","06:00"
"DL","07/01/2021","2525","N356DN","ATL","01:09"
"DL","07/01/2021","2544","N849DN","MSP","11:44"
"DL","07/01/2021","2553","N806DN","DTW","06:05"
"DL","07/01/2021","2583","N135DQ","SLC","18:25"
"DL","07/02/2021","0677","N371DN","LAX","06:01"
"DL","07/02/2021","0723","N370DN","ATL","13:36"
"DL","07/02/2021","0785","N3737C","LGA","11:01"
"DL","07/02/2021","0875","N832MH","JFK","11:50"
"DL","07/02/2021","0991","N353DN","DTW","14:51"
"DL","07/02/2021","0993","N139DU","SLC","07:50"
"DL","07/02/2021","1001","N840MH","ATL","06:00"
"DL","07/02/2021","1007","N3769L","SLC","10:56"
"DL","07/02/2021","1221","N398DN","ATL","12:05"
"DL","07/02/2021","1491","N392DN","ATL","16:20"
"DL","07/02/2021","1595","N135DQ","SLC","12:45"
"DL","07/02/2021","1598","N825MH","ATL","10:45"
"DL","07/02/2021","1605","N114DN","DTW","00:35"
"DL","07/02/2021","1619","N868DN","CVG","18:59"
"DL","07/02/2021","1674","N355DN","ATL","18:59"
"DL","07/02/2021","2008","N349DX","MSP","13:48"
"DL","07/02/2021","2061","N138DU","SEA","06:15"
"DL","07/02/2021","2074","N330DX","DTW","11:27"
"DL","07/02/2021","2089","N366DX","ATL","07:00"
"DL","07/02/2021","2261","N114DU","LAX","16:59"
"DL","07/02/2021","2325","N112DU","SLC","14:42"
"DL","07/02/2021","2429","N353NW","MSP","17:47"
"DL","07/02/2021","2458","N897DN","MSP","15:14"
"DL","07/02/2021","2468","N361NW","MSP","08:50"
"DL","07/02/2021","2504","N690DL","MSP","06:00"
"DL","07/02/2021","2513","N853DN","SLC","06:00"
"DL","07/02/2021","2525","N107DN","ATL","01:09"
"DL","07/02/2021","2544","N839DN","MSP","11:44"
"DL","07/02/2021","2553","N875DN","DTW","06:05"
"DL","07/02/2021","2583","N107DU","SLC","18:25"
"DL","07/03/2021","0677","N370DN","LAX","06:01"
"DL","07/03/2021","0723","N309DN","ATL","13:36"
"DL","07/03/2021","0785","N3764D","LGA","11:01"
"DL","07/03/2021","0875","N833MH","JFK","11:50"
