Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"UA","07/01/2021","0220","N77518","SLC","20:20"
"UA","07/01/2021","0229","N48127","EWR","11:30"
"UA","07/01/2021","0242","N814UA","PDX","08:01"
"UA","07/01/2021","0259","N37516","MCO","18:01"
"UA","07/01/2021","0260","N875UA","DSM","17:55"
"UA","07/01/2021","0272","N61887","RNO","19:46"
"UA","07/01/2021","0275","N68842","BOS","16:00"
"UA","07/01/2021","0278","N831UA","JAX","18:15"
"UA","07/01/2021","0280","N17233","ANC","11:25"
"UA","07/01/2021","0283","N881UA","DFW","07:50"
"UA","07/01/2021","0285","N77431","LAX","13:50"
"UA","07/01/2021","0286","N76502","DFW","15:40"
"UA","07/01/2021","0289","N69806","LAX","19:25"
"UA","07/01/2021","0292","N77431","MCI","20:55"
"UA","07/01/2021","0296","N483UA","PIT","10:54"
"UA","07/01/2021","0299","N67846","LAS","15:41"
"UA","07/01/2021","0309","N824UA","PHX","13:25"
"UA","07/01/2021","0310","N33203","SLC","12:00"
"UA","07/01/2021","0313","N654UA","IAH","13:40"
"UA","07/01/2021","0320","N36472","BOS","13:55"
"UA","07/01/2021","0321","N826UA","ABQ","19:25"
"UA","07/01/2021","0324","N448UA","FSD","20:55"
"UA","07/01/2021","0325","N417UA","RDM","19:41"
"UA","07/01/2021","0327","N37470","MCO","15:55"
"UA","07/01/2021","0337","N66897","DFW","13:35"
"UA","07/01/2021","0339","N78506","SAV","10:01"
"UA","07/01/2021","0351","N469UA","PDX","15:52"
"UA","07/01/2021","0360","N483UA","JAC","19:29"
"UA","07/01/2021","0361","N16217","BOS","08:10"
"UA","07/01/2021","0366","N47524","AUS","17:51"
"UA","07/01/2021","0367","N27239","BOI","19:45"
"UA","07/01/2021","0368","N27205","LAS","13:30"
"UA","07/01/2021","0369","N68880","SMF","11:15"
"UA","07/01/2021","0370","N33284","TPA","08:05"
"UA","07/01/2021","0371","N57855","IAH","17:56"
"UA","07/01/2021","0373","N63820","LAS","11:40"
"UA","07/01/2021","0377","N37525","ORD","20:58"
"UA","07/01/2021","0384","N78009","HNL","11:35"
"UA","07/01/2021","0388","N880UA","SBA","19:40"
"UA","07/01/2021","0392","N852UA","COS","19:41"
"UA","07/01/2021","0393","N66837","PDX","19:29"
"UA","07/01/2021","0395","N77430","FCA","11:25"
"UA","07/01/2021","0397","N17229","CLE","18:00"
"UA","07/01/2021","0403","N57857","SFO","19:45"
"UA","07/01/2021","0404","N426UA","SNA","13:45"
"UA","07/01/2021","0406","N460UA","LGA","15:40"
"UA","07/01/2021","0412","N37521","SMF","19:45"
"UA","07/01/2021","0415","N77518","FLL","15:55"
"UA","07/01/2021","0416","N37527","ORD","08:15"
"UA","07/01/2021","0419","N75425","SFO","07:50"
"UA","07/01/2021","0425","N64844","MCO","08:05"
"UA","07/01/2021","0432","N37518","MCI","17:59"
"UA","07/01/2021","0441","N36444","OMA","18:01"
"UA","07/01/2021","0443","N26902","ORD","17:50"
"UA","07/01/2021","0451","N57852","ORD","19:45"
"UA","07/01/2021","0458","N836UA","ICT","21:00"
"UA","07/01/2021","0459","N466UA","MSP","10:02"
"UA","07/01/2021","0461","N37510","IAD","13:50"
"UA","07/01/2021","0464","N39423","PDX","11:30"
"UA","07/01/2021","0465","N68801","BIL","19:30"
"UA","07/01/2021","0467","N470UA","JAC","08:05"
"UA","07/01/2021","0478","N77867","ORD","15:30"
"UA","07/01/2021","0480","N485UA","LGA","09:55"
"UA","07/01/2021","0483","N426UA","CID","20:50"
"UA","07/01/2021","0484","N77536","ORF","17:55"
"UA","07/01/2021","0488","N73283","PHX","07:56"
"UA","07/01/2021","0489","N34455","IAH","15:40"
"UA","07/01/2021","0497","N820UA","BOI","11:45"
"UA","07/01/2021","0498","N452UA","JAC","12:30"
"UA","07/01/2021","0499","N812UA","JAC","13:55"
"UA","07/01/2021","0502","N37528","GEG","11:30"
"UA","07/01/2021","0507","N37528","PHL","18:00"
"UA","07/01/2021","0530","N87507","SEA","13:25"
"UA","07/01/2021","0532","N87507","ORD","06:15"
"UA","07/01/2021","0535","N37255","MSO","11:40"
"UA","07/01/2021","0538","N37290","SMF","16:00"
"UA","07/01/2021","0540","N77530","SAN","19:46"
"UA","07/01/2021","0548","N895UA","FAT","11:26"
"UA","07/01/2021","0555","N69813","SAT","13:25"
"UA","07/01/2021","0560","N37508","IAD","11:15"
"UA","07/01/2021","0562","N76269","SNA","19:25"
"UA","07/01/2021","0564","N73283","COS","14:10"
"UA","07/01/2021","0570","N67846","MCI","10:00"
"UA","07/01/2021","0571","N470UA","RAP","13:30"
"UA","07/01/2021","0577","N66893","GEG","19:55"
"UA","07/01/2021","0586","N457UA","MCI","13:45"
"UA","07/01/2021","0589","N473UA","RIC","17:55"
"UA","07/01/2021","0594","N485UA","PHX","19:35"
"UA","07/01/2021","0626","N73283","MSY","18:00"
"UA","07/01/2021","0627","N27515","EWR","07:50"
"UA","07/01/2021","0637","N454UA","MSP","18:01"
"UA","07/01/2021","0649","N468UA","ONT","11:43"
"UA","07/01/2021","0655","N37298","LAS","19:46"
"UA","07/01/2021","0671","N37504","BZN","11:55"
"UA","07/01/2021","0672","N410UA","IAD","15:50"
"UA","07/01/2021","0690","N45440","SEA","11:26"
"UA","07/01/2021","0696","N34222","FCA","19:55"
"UA","07/01/2021","0699","N57855","IAH","10:00"
"UA","07/01/2021","0703","N831UA","BIL","11:35"
"UA","07/01/2021","0709","N27515","TPA","18:01"
"UA","07/01/2021","0710","N35260","SAN","15:45"
"UA","07/01/2021","0716","N461UA","PHX","21:10"
"UA","07/01/2021","0726","N457UA","RAP","19:31"
"UA","07/01/2021","0735","N69847","SFO","15:48"
"UA","07/01/2021","0749","N14106","EWR","13:50"
"UA","07/01/2021","0755","N57852","MCO","09:48"
"UA","07/01/2021","0756","N69806","OMA","14:00"
"UA","07/01/2021","0758","N848UA","AUS","08:24"
"UA","07/01/2021","0763","N37422","ORD","09:45"
"UA","07/01/2021","0764","N37504","BOS","18:04"
"UA","07/01/2021","0771","N12216","BNA","10:24"
"UA","07/01/2021","0778","N66897","BZN","19:50"
"UA","07/01/2021","0786","N14250","ATL","10:05"
"UA","07/01/2021","1005","N76529","LAS","08:20"
"UA","07/01/2021","1026","N37513","AUS","09:55"
"UA","07/01/2021","1068","N836UA","SFO","09:48"
"UA","07/01/2021","1077","N34455","SEA","08:07"
"UA","07/01/2021","1093","N37507","LAX","07:50"
"UA","07/01/2021","1103","N77542","BOS","10:00"
"UA","07/01/2021","1105","N875UA","TVC","10:30"
"UA","07/01/2021","1108","N37516","SAN","11:28"
"UA","07/01/2021","1114","N14231","AUS","20:50"
"UA","07/01/2021","1117","N68823","EWR","16:05"
"UA","07/01/2021","1131","N37290","SAT","09:46"
"UA","07/01/2021","1143","N69813","LAX","20:50"
"UA","07/01/2021","1182","N872UA","COS","11:38"
"UA","07/01/2021","1199","N889UA","IND","17:55"
"UA","07/01/2021","1211","N468UA","PIT","17:51"
"UA","07/01/2021","1225","N1902U","PDX","21:00"
"UA","07/01/2021","1239","N424UA","GRR","18:02"
"UA","07/01/2021","1259","N75861","ORD","13:25"
"UA","07/01/2021","1401","N453UA","MSN","17:56"
"UA","07/01/2021","1415","N76504","IAH","05:20"
"UA","07/01/2021","1417","N820UA","RDU","17:51"
"UA","07/01/2021","1418","N462UA","MIA","09:45"
"UA","07/01/2021","1421","N14231","SAN","13:40"
"UA","07/01/2021","1436","N27511","SAT","20:53"
"UA","07/01/2021","1463","N889UA","SNA","11:30"
"UA","07/01/2021","1478","N881UA","SFO","13:31"
"UA","07/01/2021","1485","N814UA","EUG","19:31"
"UA","07/01/2021","1522","N17229","PSP","11:35"
"UA","07/01/2021","1533","N406UA","CVG","18:11"
"UA","07/01/2021","1542","N839UA","LAS","21:00"
"UA","07/01/2021","1554","N898UA","LGA","17:45"
"UA","07/01/2021","1559","N69840","LAX","16:05"
"UA","07/01/2021","1561","N75429","SFO","11:19"
"UA","07/01/2021","1568","N64844","SAT","18:06"
"UA","07/01/2021","1580","N66831","BOS","23:59"
"UA","07/01/2021","1581","N57863","IAD","18:14"
"UA","07/01/2021","1596","N895UA","ATL","18:15"
"UA","07/01/2021","1616","N57863","LAX","11:15"
"UA","07/01/2021","1645","N26910","IAH","12:00"
"UA","07/01/2021","1662","N68843","CLE","10:05"
"UA","07/01/2021","1663","N37530","IAD","23:55"
"UA","07/01/2021","1683","N78540","MCO","13:45"
"UA","07/01/2021","1729","N659UA","EWR","09:49"
"UA","07/01/2021","1736","N37018","OGG","11:45"
"UA","07/01/2021","1758","N644UA","KOA","11:50"
"UA","07/01/2021","1767","N891UA","DCA","09:45"
"UA","07/01/2021","1779","N14250","ANC","19:30"
"UA","07/01/2021","1801","N658UA","HNL","13:45"
"UA","07/01/2021","1808","N641UA","OGG","14:10"
"UA","07/01/2021","1823","N872UA","SEA","15:55"
"UA","07/01/2021","1839","N12221","MSO","19:30"
"UA","07/01/2021","1864","N77867","IAH","07:50"
