Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
DL,7/1/2021,421,N126DU,LGA,7:00
DL,7/1/2021,448,N327DN,ATL,10:00
DL,7/1/2021,522,N135DQ,SLC,12:49
DL,7/1/2021,671,N303DU,DTW,11:11
DL,7/1/2021,830,N102DU,LGA,12:00
DL,7/1/2021,952,N351NW,LAX,15:48
DL,7/1/2021,954,N351NW,LAX,7:00
DL,7/1/2021,1012,N318DX,MSP,16:48
DL,7/1/2021,1026,N369NW,SLC,14:45
DL,7/1/2021,1089,N345NW,SLC,8:30
DL,7/1/2021,1109,N312DN,SLC,5:47
DL,7/1/2021,1168,N389DN,SLC,19:30
DL,7/1/2021,1184,N369NB,DTW,16:03
DL,7/1/2021,1193,N349NW,DTW,5:45
DL,7/1/2021,1238,N119DN,ATL,18:40
DL,7/1/2021,1647,N102DN,ATL,5:40
DL,7/1/2021,1656,N397DN,ATL,7:00
DL,7/1/2021,1662,N136DQ,MSP,8:00
DL,7/1/2021,1773,N336DX,ATL,8:10
DL,7/1/2021,1776,N309DN,ATL,14:04
DL,7/1/2021,2122,N304DU,DTW,18:28
DL,7/1/2021,2207,N116DU,MSP,6:25
DL,7/1/2021,2267,N140DU,MSP,19:36
DL,7/1/2021,2276,N348NW,ATL,12:10
DL,7/1/2021,2334,N126DU,LGA,17:00
DL,7/1/2021,2343,N328DN,ATL,16:53
DL,7/1/2021,2711,N140DU,MSP,11:35
DL,7/2/2021,421,N103DU,LGA,7:00
DL,7/2/2021,448,N344DN,ATL,10:00
DL,7/2/2021,522,N353NB,SLC,12:49
DL,7/2/2021,671,N303DU,DTW,11:11
DL,7/2/2021,830,N140DU,LGA,12:00
DL,7/2/2021,952,N340NW,LAX,15:48
DL,7/2/2021,954,N340NW,LAX,7:00
DL,7/2/2021,1012,N381DZ,MSP,16:48
DL,7/2/2021,1026,N355NW,SLC,14:45
DL,7/2/2021,1089,N351NW,SLC,8:30
DL,7/2/2021,1109,N353NB,SLC,5:47
DL,7/2/2021,1168,N348DN,SLC,19:30
DL,7/2/2021,1184,N333NB,DTW,16:03
DL,7/2/2021,1193,N369NW,DTW,5:45
DL,7/2/2021,1238,N386DN,ATL,18:40
