Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"UA","07/01/2021","0376","N881UA","DEN","11:26"
"UA","07/01/2021","0617","N76529","DEN","06:00"
"UA","07/01/2021","0673","N69888","SFO","07:20"
"UA","07/01/2021","0743","N33266","ORD","10:30"
"UA","07/01/2021","1003","N13718","EWR","11:45"
"UA","07/01/2021","1104","N839UA","DEN","13:36"
"UA","07/01/2021","1610","N63820","DEN","09:05"
"UA","07/01/2021","1834","N76502","EWR","19:30"
"UA","07/01/2021","1859","N68817","IAH","07:05"
"UA","07/01/2021","2600","N66897","DEN","17:29"
"UA","07/02/2021","0336","N54711","IAD","05:45"
"UA","07/02/2021","0376","N426UA","DEN","11:26"
"UA","07/02/2021","0617","N62889","DEN","06:00"
"UA","07/02/2021","1003","N23708","EWR","11:45"
"UA","07/02/2021","1104","N852UA","DEN","13:36"
"UA","07/02/2021","1610","N470UA","DEN","09:05"
"UA","07/02/2021","1834","N27213","EWR","19:30"
"UA","07/02/2021","1859","N834UA","IAH","07:05"
"UA","07/02/2021","2600","N62884","DEN","17:29"
"UA","07/03/2021","0336","N16701","IAD","05:45"
"UA","07/03/2021","0376","N875UA","DEN","11:26"
"UA","07/03/2021","0617","N78501","DEN","06:00"
"UA","07/03/2021","1003","N15710","EWR","11:45"
"UA","07/03/2021","1104","N894UA","DEN","13:36"
"UA","07/03/2021","1610","N468UA","DEN","09:05"
"UA","07/03/2021","1834","N73270","EWR","19:30"
"UA","07/03/2021","1859","N829UA","IAH","07:05"
"UA","07/03/2021","2600","N34222","DEN","17:29"
"UA","07/04/2021","0336","N851UA","IAD","05:45"
"UA","07/04/2021","0376","N401UA","DEN","11:26"
"UA","07/04/2021","0617","N76504","DEN","06:00"
"UA","07/04/2021","1003","N421UA","EWR","11:30"
"UA","07/04/2021","1104","N852UA","DEN","13:36"
"UA","07/04/2021","1610","N464UA","DEN","09:05"
"UA","07/04/2021","1834","N14240","EWR","19:30"
"UA","07/04/2021","1859","N878UA","IAH","07:05"
"UA","07/05/2021","0336","N23707","IAD","05:45"
"UA","07/05/2021","0376","N836UA","DEN","11:26"
"UA","07/05/2021","0617","N26215","DEN","06:00"
"UA","07/05/2021","1003","N23708","EWR","11:45"
"UA","07/05/2021","1104","N820UA","DEN","13:36"
"UA","07/05/2021","1610","N454UA","DEN","09:10"
"UA","07/05/2021","1834","N76269","EWR","19:30"
"UA","07/05/2021","1859","N811UA","IAH","07:05"
"UA","07/05/2021","2600","N75436","DEN","17:29"
"UA","07/06/2021","0336","N27734","IAD","05:45"
"UA","07/06/2021","0376","N898UA","DEN","11:26"
"UA","07/06/2021","0617","N27239","DEN","06:00"
"UA","07/06/2021","1003","N68805","EWR","11:45"
"UA","07/06/2021","1104","N882UA","DEN","13:36"
"UA","07/06/2021","1610","N38451","DEN","09:05"
"UA","07/06/2021","1834","","EWR","19:30"
"UA","07/06/2021","1859","N822UA","IAH","07:05"
"UA","07/06/2021","2600","N37419","DEN","17:29"
"UA","07/07/2021","0336","N54711","IAD","05:45"
"UA","07/07/2021","0376","N847UA","DEN","11:26"
"UA","07/07/2021","0617","N14237","DEN","06:00"
"UA","07/07/2021","1003","N37298","EWR","11:45"
"UA","07/07/2021","1104","N410UA","DEN","13:36"
