Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"AA","07/01/2021","0001","N109NN","LAX","08:00"
"AA","07/01/2021","0003","N101NN","LAX","12:30"
"AA","07/01/2021","0076","N113AN","SFO","07:30"
"AA","07/01/2021","0117","N105NN","LAX","20:00"
"AA","07/01/2021","0171","N104NN","LAX","06:00"
"AA","07/01/2021","0179","N117AN","SFO","11:00"
"AA","07/01/2021","0255","N102NN","LAX","09:30"
"AA","07/01/2021","0302","N112AN","LAX","18:30"
"AA","07/01/2021","0306","N108NN","LAX","17:00"
"AA","07/01/2021","0309","N728AN","MIA","14:40"
"AA","07/01/2021","0688","N794AN","MIA","10:00"
"AA","07/01/2021","0768","N797AN","MIA","07:30"
"AA","07/01/2021","0936","N9018E","STT","08:55"
"AA","07/01/2021","1092","N944AN","AUS","11:50"
"AA","07/01/2021","1093","N721UW","DCA","08:29"
"AA","07/01/2021","1367","N9023N","JAC","08:26"
"AA","07/01/2021","1444","N829NN","CLT","09:45"
"AA","07/01/2021","1466","N722AN","MIA","13:30"
"AA","07/01/2021","1467","N944AN","DCA","18:05"
"AA","07/01/2021","1487","N968NN","PHX","07:40"
"AA","07/01/2021","1548","N962NN","FLL","18:00"
"AA","07/01/2021","1587","N922NN","PHX","16:03"
"AA","07/01/2021","1610","N727AN","MIA","09:00"
"AA","07/01/2021","2234","N916NN","DFW","08:15"
"AA","07/01/2021","2338","N884NN","CLT","11:30"
"AA","07/01/2021","2643","N980NN","CLT","06:25"
"AA","07/01/2021","2652","N116AN","SFO","17:30"
"AA","07/01/2021","2731","N895NN","CLT","18:55"
"AA","07/01/2021","2772","N904NN","AUS","18:30"
"AA","07/01/2021","2819","N301NW","ORD","07:55"
"AA","07/01/2021","2906","N794AN","MIA","18:25"
"AA","07/02/2021","0001","N102NN","LAX","08:00"
"AA","07/02/2021","0003","N113AN","LAX","12:38"
"AA","07/02/2021","0076","N104NN","SFO","07:30"
"AA","07/02/2021","0117","N108NN","LAX","20:00"
"AA","07/02/2021","0171","N109NN","LAX","06:00"
"AA","07/02/2021","0179","N112AN","SFO","11:00"
"AA","07/02/2021","0255","N117AN","LAX","09:30"
"AA","07/02/2021","0302","N101NN","LAX","18:30"
"AA","07/02/2021","0306","N105NN","LAX","17:00"
"AA","07/02/2021","0309","N735AT","MIA","14:40"
"AA","07/02/2021","0676","N106NN","SNA","16:30"
"AA","07/02/2021","0688","N772AN","MIA","10:00"
"AA","07/02/2021","0768","N767AJ","MIA","07:30"
"AA","07/02/2021","0936","N4005X","STT","08:30"
"AA","07/02/2021","1092","N902NN","AUS","11:50"
"AA","07/02/2021","1093","N740UW","DCA","08:29"
"AA","07/02/2021","1367","N9002U","JAC","08:26"
"AA","07/02/2021","1444","N968AN","CLT","09:45"
"AA","07/02/2021","1466","N730AN","MIA","13:30"
"AA","07/02/2021","1467","N807NN","DCA","18:05"
"AA","07/02/2021","1487","N948NN","PHX","07:40"
"AA","07/02/2021","1548","N989NN","FLL","18:00"
"AA","07/02/2021","1587","N869NN","PHX","16:03"
"AA","07/02/2021","1610","N719AN","MIA","09:00"
"AA","07/02/2021","2234","N944AN","DFW","08:15"
"AA","07/02/2021","2338","N914NN","CLT","11:30"
"AA","07/02/2021","2643","N346PR","CLT","06:25"
"AA","07/02/2021","2652","N116AN","SFO","17:30"
"AA","07/02/2021","2731","N966NN","CLT","18:55"
"AA","07/02/2021","2772","N991AN","AUS","18:30"
"AA","07/02/2021","2819","N886NN","ORD","07:55"
"AA","07/02/2021","2906","N772AN","MIA","18:25"
"AA","07/03/2021","0001","N117AN","LAX","08:00"
"AA","07/03/2021","0003","N102NN","LAX","12:38"
"AA","07/03/2021","0076","N109NN","SFO","07:30"
"AA","07/03/2021","0117","N105NN","LAX","20:00"
"AA","07/03/2021","0171","N106NN","LAX","06:00"
"AA","07/03/2021","0179","N101NN","SFO","11:00"
"AA","07/03/2021","0255","N116AN","LAX","09:30"
"AA","07/03/2021","0302","N113AN","LAX","18:30"
"AA","07/03/2021","0306","N108NN","LAX","17:00"
"AA","07/03/2021","0309","N729AN","MIA","14:40"
"AA","07/03/2021","0676","N104NN","SNA","16:30"
"AA","07/03/2021","0688","N755AN","MIA","10:00"
"AA","07/03/2021","0768","N767AJ","MIA","07:30"
"AA","07/03/2021","0936","N5007E","STT","08:30"
"AA","07/03/2021","1093","N709UW","DCA","08:29"
"AA","07/03/2021","1444","N862NN","CLT","09:45"
"AA","07/03/2021","1466","N722AN","MIA","13:30"
"AA","07/03/2021","1467","N846NN","DCA","18:05"
"AA","07/03/2021","1548","N979NN","FLL","18:00"
"AA","07/03/2021","1610","N730AN","MIA","09:00"
"AA","07/03/2021","2234","N860NN","DFW","08:15"
"AA","07/03/2021","2268","N773AN","MIA","06:30"
"AA","07/03/2021","2338","N830NN","CLT","11:30"
"AA","07/03/2021","2643","N902NN","CLT","06:25"
"AA","07/03/2021","2652","N112AN","SFO","17:30"
"AA","07/03/2021","2731","N880NN","CLT","18:55"
"AA","07/03/2021","2819","N956NN","ORD","07:55"
"AA","07/03/2021","2906","N770AN","MIA","18:25"
"AA","07/04/2021","0001","N106NN","LAX","08:00"
"AA","07/04/2021","0003","N109NN","LAX","12:38"
"AA","07/04/2021","0076","N104NN","SFO","07:30"
"AA","07/04/2021","0171","N117AN","LAX","06:00"
"AA","07/04/2021","0179","N113AN","SFO","11:00"
"AA","07/04/2021","0255","N112AN","LAX","09:30"
"AA","07/04/2021","0306","N105NN","LAX","17:00"
"AA","07/04/2021","0309","N717AN","MIA","14:40"
"AA","07/04/2021","0688","N772AN","MIA","10:00"
"AA","07/04/2021","0768","N752AN","MIA","07:30"
"AA","07/04/2021","0936","N5007E","STT","08:30"
"AA","07/04/2021","1093","N703UW","DCA","08:29"
"AA","07/04/2021","1367","N9019F","JAC","08:26"
"AA","07/04/2021","1444","N970AN","CLT","09:45"
