Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"DL","07/01/2021","0045","N808NW","ATL","15:45"
"DL","07/01/2021","0302","N181DN","LAX","07:00"
"DL","07/01/2021","0308","N717TW","SEA","07:31"
"DL","07/01/2021","0309","N828MH","LAX","15:45"
"DL","07/01/2021","0311","N723TW","SFO","16:59"
"DL","07/01/2021","0313","N175DZ","LAX","17:15"
"DL","07/01/2021","0326","N172DZ","LAX","12:15"
"DL","07/01/2021","0346","N306DU","AUS","19:40"
"DL","07/01/2021","0368","N306DU","AUS","08:00"
"DL","07/01/2021","0417","N914DU","ATL","08:30"
"DL","07/01/2021","0424","N3749D","ATL","06:15"
"DL","07/01/2021","0440","N376DA","RSW","08:00"
"DL","07/01/2021","0468","N351DN","FLL","19:59"
"DL","07/01/2021","0483","N813DN","FLL","08:00"
"DL","07/01/2021","0635","N6704Z","STT","10:50"
"DL","07/01/2021","0639","N171DZ","SJU","08:05"
"DL","07/01/2021","0651","N722TW","SFO","20:38"
"DL","07/01/2021","0657","N705TW","SAN","16:55"
"DL","07/01/2021","0699","N830MH","SAN","08:30"
"DL","07/01/2021","0703","N839MH","LAX","09:55"
"DL","07/01/2021","0706","N188DN","SLC","07:10"
"DL","07/01/2021","0728","N712TW","SLC","15:50"
"DL","07/01/2021","0752","N624AG","LAS","07:00"
"DL","07/01/2021","0753","N342NB","TPA","15:54"
"DL","07/01/2021","0760","N103DY","MCO","15:25"
"DL","07/01/2021","0795","N710TW","PHX","08:50"
"DL","07/01/2021","0837","N861DN","SLC","11:05"
"DL","07/01/2021","0897","N393DA","BZN","10:47"
"DL","07/01/2021","0941","N908DN","SEA","09:00"
"DL","07/01/2021","0958","N309US","MIA","07:50"
"DL","07/01/2021","0970","N832MH","DEN","08:05"
"DL","07/01/2021","1065","N103DY","MCO","07:10"
"DL","07/01/2021","1087","N1201P","LAX","14:30"
"DL","07/01/2021","1095","N721TW","SFO","11:20"
"DL","07/01/2021","1269","N368NW","MIA","11:05"
"DL","07/01/2021","1291","N334DN","MCO","19:00"
"DL","07/01/2021","1298","N879DN","SEA","18:35"
