Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"UA","07/01/2021","0515","N677UA","LAX","09:00"
"UA","07/01/2021","0517","N667UA","LAX","19:00"
"UA","07/01/2021","0523","N686UA","SFO","17:10"
"UA","07/02/2021","0515","N684UA","LAX","09:00"
"UA","07/02/2021","0517","N673UA","LAX","19:00"
"UA","07/02/2021","0521","N671UA","SFO","08:00"
"UA","07/02/2021","0523","N667UA","SFO","17:10"
"UA","07/03/2021","0515","N671UA","LAX","09:00"
"UA","07/03/2021","0517","N677UA","LAX","19:00"
"UA","07/03/2021","0521","N670UA","SFO","08:00"
"UA","07/03/2021","0523","N673UA","SFO","17:10"
"UA","07/04/2021","0515","N670UA","LAX","09:00"
"UA","07/04/2021","0521","N684UA","SFO","08:00"
"UA","07/04/2021","0523","N677UA","SFO","17:10"
"UA","07/05/2021","0515","N667UA","LAX","09:00"
"UA","07/05/2021","0517","N665UA","LAX","19:00"
"UA","07/05/2021","0523","N686UA","SFO","17:10"
"UA","07/06/2021","0515","N677UA","LAX","09:00"
"UA","07/06/2021","0517","N652UA","LAX","19:00"
"UA","07/06/2021","0521","N667UA","SFO","08:00"
"UA","07/06/2021","0523","N665UA","SFO","17:10"
"UA","07/07/2021","0515","N667UA","LAX","09:00"
"UA","07/07/2021","0517","N674UA","LAX","19:00"
"UA","07/07/2021","0521","N673UA","SFO","08:00"
"UA","07/07/2021","0523","N652UA","SFO","17:10"
"UA","07/08/2021","0515","N677UA","LAX","09:00"
"UA","07/08/2021","0517","N674UA","LAX","19:00"
"UA","07/08/2021","0521","N675UA","SFO","08:00"
"UA","07/08/2021","0523","N669UA","SFO","17:10"
"UA","07/09/2021","0515","N675UA","LAX","09:00"
"UA","07/09/2021","0517","N674UA","LAX","19:00"
"UA","07/09/2021","0521","N677UA","SFO","08:00"
"UA","07/09/2021","0523","","SFO","17:10"
"UA","07/10/2021","0515","N677UA","LAX","09:00"
"UA","07/10/2021","0517","N652UA","LAX","19:00"
"UA","07/10/2021","0521","N652UA","SFO","08:00"
"UA","07/10/2021","0523","N674UA","SFO","17:10"
"UA","07/11/2021","0515","N677UA","LAX","09:00"
"UA","07/11/2021","0517","","LAX","19:00"
"UA","07/11/2021","0521","N667UA","SFO","08:00"
"UA","07/11/2021","0523","N677UA","SFO","17:10"
"UA","07/12/2021","0515","N667UA","LAX","09:00"
"UA","07/12/2021","0517","N670UA","LAX","19:00"
"UA","07/12/2021","0521","N670UA","SFO","08:00"
"UA","07/12/2021","0523","","SFO","17:10"
"UA","07/13/2021","0515","N669UA","LAX","09:00"
"UA","07/13/2021","0517","N677UA","LAX","19:00"
"UA","07/13/2021","0521","N652UA","SFO","08:00"
"UA","07/13/2021","0523","N670UA","SFO","17:10"
"UA","07/14/2021","0515","N652UA","LAX","09:00"
"UA","07/14/2021","0517","N671UA","LAX","19:00"
"UA","07/14/2021","0521","N669UA","SFO","08:00"
"UA","07/14/2021","0523","N677UA","SFO","17:10"
"UA","07/15/2021","0515","N669UA","LAX","09:00"
"UA","07/15/2021","0517","N667UA","LAX","19:00"
"UA","07/15/2021","0521","N685UA","SFO","08:00"
"UA","07/15/2021","0523","N671UA","SFO","17:10"
"UA","07/16/2021","0515","N685UA","LAX","09:00"
"UA","07/16/2021","0517","N684UA","LAX","19:00"
"UA","07/16/2021","0521","N652UA","SFO","08:00"
"UA","07/16/2021","0523","N667UA","SFO","17:10"
"UA","07/17/2021","0515","N652UA","LAX","09:00"
"UA","07/17/2021","0517","N686UA","LAX","19:00"
"UA","07/17/2021","0521","N677UA","SFO","08:00"
"UA","07/17/2021","0523","N684UA","SFO","17:10"
"UA","07/18/2021","0515","N669UA","LAX","09:00"
"UA","07/18/2021","0517","N667UA","LAX","19:00"
"UA","07/18/2021","0521","N652UA","SFO","08:00"
"UA","07/18/2021","0523","N686UA","SFO","17:10"
"UA","07/19/2021","0515","N652UA","LAX","09:00"
"UA","07/19/2021","0517","N665UA","LAX","19:00"
"UA","07/19/2021","0521","N669UA","SFO","08:00"
"UA","07/19/2021","0523","N667UA","SFO","17:10"
"UA","07/20/2021","0515","N652UA","LAX","09:00"
"UA","07/20/2021","0517","N57852","LAX","19:00"
"UA","07/20/2021","0521","N669UA","SFO","08:00"
"UA","07/20/2021","0523","N670UA","SFO","17:10"
"UA","07/21/2021","0515","N669UA","LAX","09:00"
"UA","07/21/2021","0517","N652UA","LAX","19:00"
"UA","07/21/2021","0521","N652UA","SFO","08:00"
"UA","07/21/2021","0523","N677UA","SFO","17:10"
"UA","07/22/2021","0515","N669UA","LAX","09:00"
"UA","07/22/2021","0517","N670UA","LAX","19:00"
"UA","07/22/2021","0521","N672UA","SFO","08:00"
"UA","07/22/2021","0523","N652UA","SFO","17:10"
"UA","07/23/2021","0515","N677UA","LAX","09:00"
"UA","07/23/2021","0517","N672UA","LAX","19:00"
"UA","07/23/2021","0521","N653UA","SFO","08:00"
"UA","07/23/2021","0523","N670UA","SFO","17:10"
"UA","07/24/2021","0515","N653UA","LAX","09:00"
