Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"AA","07/01/2021","0002","N112AN","JFK","08:00"
"AA","07/01/2021","0028","N112AN","JFK","23:15"
"AA","07/01/2021","0031","N431AN","HNL","08:35"
"AA","07/01/2021","0032","N102NN","JFK","13:30"
"AA","07/01/2021","0059","N413AN","KOA","10:20"
"AA","07/01/2021","0118","N108NN","JFK","07:00"
"AA","07/01/2021","0143","N421UW","HNL","15:20"
"AA","07/01/2021","0184","N109NN","JFK","14:30"
"AA","07/01/2021","0231","N425AN","OGG","18:05"
"AA","07/01/2021","0238","N105NN","JFK","10:00"
"AA","07/01/2021","0253","N404AN","OGG","08:25"
"AA","07/01/2021","0265","N412UW","LIH","10:10"
"AA","07/01/2021","0271","N409AA","OGG","10:30"
"AA","07/01/2021","0274","N104NN","JFK","12:00"
"AA","07/01/2021","0283","N416AN","HNL","10:50"
"AA","07/01/2021","0297","N422AN","HNL","18:35"
"AA","07/01/2021","0338","N407AN","BOS","07:00"
"AA","07/01/2021","0340","N725AN","MIA","23:25"
"AA","07/01/2021","0447","N963NN","BNA","16:10"
"AA","07/01/2021","0453","N162UW","CLT","11:00"
"AA","07/01/2021","0482","N401AN","ORD","09:45"
"AA","07/01/2021","0497","N900UW","PHL","11:30"
"AA","07/01/2021","0528","N919US","ORD","13:36"
"AA","07/01/2021","0529","N717AN","MIA","06:00"
"AA","07/01/2021","0539","N963NN","AUS","08:00"
"AA","07/01/2021","0549","N929NN","ORD","07:05"
"AA","07/01/2021","0566","N536UW","PHL","14:43"
"AA","07/01/2021","0574","N122NN","DFW","18:30"
"AA","07/01/2021","0575","N920US","PHX","14:26"
"AA","07/01/2021","0620","N149AN","FLL","22:51"
"AA","07/01/2021","0660","N839AW","RDU","22:20"
"AA","07/01/2021","0707","N535UW","CLT","22:15"
"AA","07/01/2021","0767","N406AN","PHX","07:00"
"AA","07/01/2021","0783","N575UW","LAS","20:05"
"AA","07/01/2021","0814","N121AN","PHL","06:10"
"AA","07/01/2021","0833","N988NN","PHX","17:44"
"AA","07/01/2021","0841","N820AL","ORD","15:00"
"AA","07/01/2021","0850","N943NN","DEN","14:48"
"AA","07/01/2021","0851","N127AA","PHL","22:42"
"AA","07/01/2021","0862","N170US","PHX","19:55"
"AA","07/01/2021","0897","N904AA","DEN","10:22"
"AA","07/01/2021","0899","N669AW","PHX","15:52"
"AA","07/01/2021","0903","N156UW","DEN","19:55"
"AA","07/01/2021","0990","N773XF","ATL","10:35"
"AA","07/01/2021","1006","N885NN","IND","23:45"
"AA","07/01/2021","1014","N338PK","AUS","15:36"
"AA","07/01/2021","1071","N196UW","ATL","23:16"
"AA","07/01/2021","1075","N404AN","BOS","21:30"
"AA","07/01/2021","1097","N431AN","ORD","23:25"
"AA","07/01/2021","1113","N149AN","FLL","09:50"
"AA","07/01/2021","1146","N171US","DFW","17:30"
"AA","07/01/2021","1158","N163US","LAS","18:15"
"AA","07/01/2021","1200","N122NN","DFW","09:15"
"AA","07/01/2021","1268","N718AN","MIA","13:00"
"AA","07/01/2021","1292","N144AN","BNA","23:55"
"AA","07/01/2021","1311","N122US","PHX","08:35"
"AA","07/01/2021","1331","N549UW","DFW","14:00"
"AA","07/01/2021","1379","N580UW","DEN","13:20"
"AA","07/01/2021","1384","N151UW","ORD","11:45"
"AA","07/01/2021","1405","N352PS","DFW","00:51"
"AA","07/01/2021","1476","N120EE","IAH","12:30"
"AA","07/01/2021","1499","N163US","CLT","06:00"
"AA","07/01/2021","1535","N719AN","MIA","10:30"
"AA","07/01/2021","1637","N885NN","AUS","13:30"
"AA","07/01/2021","1660","N968AN","ORD","08:05"
"AA","07/01/2021","1673","N943NN","SLC","09:12"
"AA","07/01/2021","1702","N156UW","PHX","10:59"
"AA","07/01/2021","1763","N167AN","LAS","21:10"
"AA","07/01/2021","1775","N423AN","DCA","07:05"
"AA","07/01/2021","1799","N127AA","PHL","09:10"
"AA","07/01/2021","1925","N981UY","CLT","12:55"
"AA","07/01/2021","1952","N161UW","CLT","07:25"
"AA","07/01/2021","2091","N567UW","MCO","22:25"
"AA","07/01/2021","2205","N428AA","HNL","19:30"
"AA","07/01/2021","2286","N783AN","MIA","01:30"
"AA","07/01/2021","2289","N725AN","MIA","09:00"
"AA","07/01/2021","2431","N850NN","ORD","06:00"
"AA","07/01/2021","2437","N510UW","DFW","07:00"
"AA","07/01/2021","2455","N405AN","BOS","11:10"
"AA","07/01/2021","2459","N838AA","DFW","08:10"
"AA","07/01/2021","2511","N178US","CLT","09:12"
"AA","07/01/2021","2512","N144AN","MCO","08:19"
"AA","07/01/2021","2532","N315PE","DCA","12:45"
"AA","07/01/2021","2543","N932AM","DFW","15:00"
"AA","07/01/2021","2559","N194UW","CLT","23:59"
"AA","07/01/2021","2578","N123NN","LAS","07:45"
"AA","07/01/2021","2663","N136AN","DFW","23:55"
"AA","07/01/2021","2686","N769US","IAH","18:19"
"AA","07/01/2021","2733","N758AN","DFW","16:30"
"AA","07/01/2021","2789","N723AN","DFW","12:43"
"AA","07/01/2021","2811","N414AL","DFW","06:00"
"AA","07/01/2021","2853","N796AN","DFW","10:30"
"AA","07/01/2021","2870","N128AN","AUS","17:55"
"AA","07/01/2021","2883","N129AA","ORD","17:00"
"AA","07/01/2021","2936","N769US","STL","09:14"
"AA","07/01/2021","2938","N563UW","LAS","11:50"
"AA","07/02/2021","0002","N101NN","JFK","08:00"
"AA","07/02/2021","0028","N101NN","JFK","23:15"
"AA","07/02/2021","0031","N407AN","HNL","08:35"
"AA","07/02/2021","0032","N117AN","JFK","13:30"
"AA","07/02/2021","0059","N421UW","KOA","10:20"
"AA","07/02/2021","0118","N105NN","JFK","07:00"
"AA","07/02/2021","0143","N405AN","HNL","15:20"
"AA","07/02/2021","0184","N102NN","JFK","14:30"
"AA","07/02/2021","0231","N400AN","OGG","18:05"
"AA","07/02/2021","0238","N108NN","JFK","10:00"
"AA","07/02/2021","0253","N418AN","OGG","08:25"
"AA","07/02/2021","0265","N428AA","LIH","10:10"
"AA","07/02/2021","0271","N415AN","OGG","10:30"
"AA","07/02/2021","0274","N109NN","JFK","12:00"
"AA","07/02/2021","0283","N413AN","HNL","11:00"
"AA","07/02/2021","0297","N403AN","HNL","18:35"
"AA","07/02/2021","0338","N409AA","BOS","07:00"
"AA","07/02/2021","0340","N731AN","MIA","23:25"
"AA","07/02/2021","0447","N863NN","BNA","16:10"
"AA","07/02/2021","0453","N156UW","CLT","11:00"
"AA","07/02/2021","0482","N982VJ","ORD","09:45"
"AA","07/02/2021","0497","N137AA","PHL","11:30"
"AA","07/02/2021","0528","N922US","ORD","13:36"
"AA","07/02/2021","0529","N726AN","MIA","06:00"
"AA","07/02/2021","0539","N934NN","AUS","08:28"
"AA","07/02/2021","0549","N943NN","ORD","07:05"
"AA","07/02/2021","0566","N917UY","PHL","14:43"
"AA","07/02/2021","0574","N904AA","DFW","18:30"
"AA","07/02/2021","0575","N575UW","PHX","14:26"
"AA","07/02/2021","0620","N909AM","FLL","22:51"
"AA","07/02/2021","0660","N773XF","RDU","22:20"
"AA","07/02/2021","0707","N553UW","CLT","22:15"
"AA","07/02/2021","0767","N427AN","PHX","07:00"
"AA","07/02/2021","0783","N981UY","LAS","20:05"
"AA","07/02/2021","0814","N166NN","PHL","06:10"
"AA","07/02/2021","0833","N970NN","PHX","17:44"
"AA","07/02/2021","0841","N837AN","ORD","15:00"
"AA","07/02/2021","0850","N894NN","DEN","14:48"
"AA","07/02/2021","0851","N145AN","PHL","22:42"
"AA","07/02/2021","0862","N154UW","PHX","19:55"
"AA","07/02/2021","0897","N970NN","DEN","10:28"
"AA","07/02/2021","0899","N102UW","PHX","15:52"
"AA","07/02/2021","0903","N854NN","DEN","20:25"
"AA","07/02/2021","0990","N773XF","ATL","11:20"
"AA","07/02/2021","1006","N919NN","IND","23:45"
"AA","07/02/2021","1014","N947AN","AUS","15:36"
"AA","07/02/2021","1071","N189UW","ATL","23:16"
"AA","07/02/2021","1075","N418AN","BOS","21:38"
"AA","07/02/2021","1097","N916US","ORD","23:25"
"AA","07/02/2021","1113","N902AA","FLL","09:50"
"AA","07/02/2021","1146","N180US","DFW","17:30"
"AA","07/02/2021","1158","N567UW","LAS","18:15"
"AA","07/02/2021","1200","N121AN","DFW","09:15"
"AA","07/02/2021","1206","N969NN","DFW","00:51"
"AA","07/02/2021","1268","N732AN","MIA","13:00"
"AA","07/02/2021","1292","N158AN","BNA","23:55"
"AA","07/02/2021","1311","N679AW","PHX","08:35"
"AA","07/02/2021","1331","N927UW","DFW","14:00"
"AA","07/02/2021","1379","N154UW","DEN","13:20"
